Date,Adj Close_SESHAPAPER.NS,Close_SESHAPAPER.NS,High_SESHAPAPER.NS,Low_SESHAPAPER.NS,Open_SESHAPAPER.NS,Volume_SESHAPAPER.NS,Date
2022-02-14,136.78985595703125,144.9499969482422,147.8000030517578,136.6999969482422,142.0,162691,2022-02-14
2022-02-21,131.45794677734375,139.3000030517578,150.0,133.60000610351562,150.0,258721,2022-02-21
2022-02-28,136.27081298828125,144.39999389648438,145.8000030517578,136.5500030517578,137.0,119557,2022-02-28
2022-03-07,150.23764038085938,159.1999969482422,169.0,138.75,142.1999969482422,588481,2022-03-07
2022-03-14,174.20773315429688,184.60000610351562,194.4499969482422,158.5500030517578,158.89999389648438,1821710,2022-03-14
2022-03-21,168.59268188476562,178.64999389648438,192.8000030517578,173.5500030517578,184.0,629731,2022-03-21
2022-03-28,169.06451416015625,179.14999389648438,185.6999969482422,171.0,179.0,783843,2022-03-28
2022-04-04,172.65060424804688,182.9499969482422,194.60000610351562,180.8000030517578,181.25,873839,2022-04-04
2022-04-11,191.14720153808594,202.5500030517578,204.0,179.4499969482422,184.0,834810,2022-04-11
2022-04-18,199.78208923339844,211.6999969482422,239.0,200.25,209.89999389648438,4280651,2022-04-18
2022-04-25,191.00564575195312,202.39999389648438,217.75,201.0,211.1999969482422,472132,2022-04-25
2022-05-02,188.12734985351562,199.35000610351562,212.5500030517578,188.39999389648438,202.89999389648438,630353,2022-05-02
2022-05-09,170.8103790283203,181.0,206.14999389648438,178.10000610351562,204.0,838237,2022-05-09
2022-05-16,190.76971435546875,202.14999389648438,207.5500030517578,181.60000610351562,181.60000610351562,1009240,2022-05-16
2022-05-23,175.52890014648438,186.0,203.0,176.4499969482422,202.0,375690,2022-05-23
2022-05-30,177.5106964111328,188.10000610351562,194.6999969482422,185.0500030517578,188.0,146770,2022-05-30
2022-06-06,170.90475463867188,181.10000610351562,190.5,175.0,187.1999969482422,143253,2022-06-06
2022-06-13,161.37335205078125,171.0,180.0,163.10000610351562,180.0,180766,2022-06-13
2022-06-20,172.03721618652344,182.3000030517578,183.39999389648438,160.0,171.0,232875,2022-06-20
2022-06-27,186.94772338867188,198.10000610351562,203.3000030517578,182.5,182.5,638196,2022-06-27
2022-07-04,184.73001098632812,195.75,207.5,192.0,199.89999389648438,368716,2022-07-04
