Date,Adj Close_AEROFLEX.NS,Close_AEROFLEX.NS,High_AEROFLEX.NS,Low_AEROFLEX.NS,Open_AEROFLEX.NS,Volume_AEROFLEX.NS,Date
2024-09-30,187.3699951171875,187.3699951171875,194.74000549316406,176.61000061035156,180.57000732421875,7514728,2024-09-30
2024-10-07,191.1199951171875,191.1199951171875,203.5500030517578,175.10000610351562,188.99000549316406,9454776,2024-10-07
2024-10-14,200.1199951171875,200.1199951171875,214.0,191.1199951171875,191.1199951171875,17628330,2024-10-14
2024-10-21,180.14999389648438,180.14999389648438,202.9499969482422,178.0399932861328,200.35000610351562,6955317,2024-10-21
2024-10-28,194.88999938964844,194.88999938964844,198.49000549316406,179.00999450683594,180.6999969482422,4912696,2024-10-28
2024-11-04,186.91000366210938,186.91000366210938,204.8000030517578,186.10000610351562,194.88999938964844,6693990,2024-11-04
2024-11-11,176.89999389648438,176.89999389648438,190.4499969482422,175.10000610351562,186.97000122070312,2390675,2024-11-11
2024-11-18,179.49000549316406,179.49000549316406,191.0,172.5,177.69000244140625,2702754,2024-11-18
2024-11-25,213.8699951171875,213.8699951171875,218.64999389648438,181.38999938964844,182.97999572753906,12027686,2024-11-25
2024-12-02,218.25999450683594,218.25999450683594,231.0,215.82000732421875,226.0,12197391,2024-12-02
2024-12-09,227.3000030517578,227.3000030517578,234.4499969482422,212.1999969482422,219.2899932861328,10591692,2024-12-09
2024-12-16,204.85000610351562,204.85000610351562,231.8000030517578,203.22000122070312,227.3000030517578,5968780,2024-12-16
2024-12-23,206.82000732421875,206.82000732421875,209.8000030517578,200.02999877929688,209.3000030517578,2318919,2024-12-23
2024-12-30,210.22999572753906,210.22999572753906,215.74000549316406,196.9499969482422,206.88999938964844,2695834,2024-12-30
2025-01-06,188.3000030517578,188.3000030517578,210.22999572753906,186.67999267578125,210.22999572753906,2937969,2025-01-06
2025-01-13,243.6999969482422,243.6999969482422,256.8999938964844,175.0,185.3300018310547,41901570,2025-01-13
2025-01-20,244.05999755859375,244.05999755859375,262.54998779296875,221.1999969482422,243.89999389648438,19251444,2025-01-20
2025-01-27,252.47999572753906,252.47999572753906,263.75,208.0,238.0,13765896,2025-01-27
2025-02-03,254.6199951171875,254.6199951171875,272.0,235.0,246.0,13770488,2025-02-03
2025-02-10,200.72999572753906,200.72999572753906,254.61000061035156,194.0,254.61000061035156,10982576,2025-02-10
2025-02-17,195.52999877929688,195.52999877929688,206.88999938964844,181.25,189.5,6792189,2025-02-17
2025-02-24,171.75,171.75,195.94000244140625,167.8000030517578,191.0,4821537,2025-02-24
2025-03-03,176.4199981689453,176.4199981689453,180.0,155.22000122070312,171.75,7943286,2025-03-03
2025-03-10,162.7100067138672,162.7100067138672,178.0,160.64999389648438,177.80999755859375,2864264,2025-03-10
2025-03-17,176.80999755859375,176.80999755859375,179.3300018310547,162.0500030517578,165.89999389648438,3349494,2025-03-17
2025-03-24,170.1699981689453,170.1699981689453,186.49000549316406,168.10000610351562,177.99000549316406,4396453,2025-03-24
2025-03-31,175.49000549316406,175.49000549316406,183.3800048828125,168.0,170.1699981689453,3278297,2025-03-31
2025-04-07,165.13999938964844,165.13999938964844,175.0,148.00999450683594,148.00999450683594,3618767,2025-04-07
2025-04-14,175.63999938964844,175.63999938964844,180.39999389648438,165.13999938964844,165.13999938964844,2212250,2025-04-14
2025-04-21,172.52000427246094,172.52000427246094,185.25,170.75,176.67999267578125,3774024,2025-04-21
2025-04-28,166.5500030517578,166.5500030517578,180.25,165.14999389648438,173.7899932861328,3171535,2025-04-28
2025-05-05,157.44000244140625,157.44000244140625,169.1999969482422,152.10000610351562,165.38999938964844,3341644,2025-05-05
2025-05-12,167.38999938964844,167.38999938964844,169.60000610351562,161.10000610351562,164.38999938964844,3426062,2025-05-12
2025-05-19,166.88999938964844,166.88999938964844,173.02000427246094,164.99000549316406,168.22000122070312,2566262,2025-05-19
2025-05-26,165.8800048828125,165.8800048828125,171.47999572753906,164.9199981689453,168.39999389648438,2087441,2025-05-26
2025-06-02,163.00999450683594,163.00999450683594,166.3000030517578,161.07000732421875,166.25,2037848,2025-06-02
2025-06-09,171.02000427246094,171.02000427246094,179.0,163.8000030517578,164.64999389648438,9847047,2025-06-09
2025-06-16,204.47000122070312,204.47000122070312,216.83999633789062,165.02000427246094,170.0,144554379,2025-06-16
2025-06-23,209.60000610351562,209.60000610351562,213.9499969482422,196.36000061035156,205.3800048828125,49355192,2025-06-23
2025-06-30,201.38999938964844,201.38999938964844,217.4499969482422,201.0,211.5,13699898,2025-06-30
2025-07-07,198.25,198.25,206.61000061035156,192.25,201.35000610351562,7831341,2025-07-07
2025-07-14,214.8300018310547,214.8300018310547,222.0,195.1999969482422,196.6999969482422,9545697,2025-07-14
