Date,Adj Close_MOTISONS.NS,Close_MOTISONS.NS,High_MOTISONS.NS,Low_MOTISONS.NS,Open_MOTISONS.NS,Volume_MOTISONS.NS,Date
2024-12-30,30.06999969482422,30.06999969482422,30.8700008392334,26.059999465942383,26.510000228881836,14468291,2024-12-30
2025-01-06,26.43000030517578,26.43000030517578,30.600000381469727,26.15999984741211,30.15999984741211,11369137,2025-01-06
2025-01-13,25.420000076293945,25.420000076293945,26.690000534057617,24.520000457763672,26.43000030517578,5880528,2025-01-13
2025-01-20,22.559999465942383,22.559999465942383,26.149999618530273,22.3700008392334,26.1299991607666,7511612,2025-01-20
2025-01-27,24.959999084472656,24.959999084472656,24.969999313354492,20.350000381469727,22.0,11610825,2025-01-27
2025-02-03,24.020000457763672,24.020000457763672,25.5,23.450000762939453,24.700000762939453,10447066,2025-02-03
2025-02-10,20.579999923706055,20.579999923706055,25.010000228881836,20.0,24.989999771118164,9971899,2025-02-10
2025-02-17,19.84000015258789,19.84000015258789,20.770000457763672,18.56999969482422,20.5,12562475,2025-02-17
2025-02-24,17.56999969482422,17.56999969482422,19.809999465942383,17.25,19.809999465942383,7286067,2025-02-24
2025-03-03,18.190000534057617,18.190000534057617,19.75,15.850000381469727,17.799999237060547,12593922,2025-03-03
2025-03-10,16.889999389648438,16.889999389648438,18.790000915527344,16.559999465942383,18.309999465942383,7163055,2025-03-10
2025-03-17,19.25,19.25,19.850000381469727,16.200000762939453,17.040000915527344,15528070,2025-03-17
2025-03-24,16.899999618530273,16.899999618530273,19.979999542236328,16.309999465942383,19.3700008392334,19007793,2025-03-24
2025-03-31,18.270000457763672,18.270000457763672,19.989999771118164,16.5,16.899999618530273,10621895,2025-03-31
2025-04-07,17.670000076293945,17.670000076293945,18.950000762939453,15.399999618530273,15.399999618530273,10615855,2025-04-07
2025-04-14,18.860000610351562,18.860000610351562,19.700000762939453,17.670000076293945,17.670000076293945,6196268,2025-04-14
2025-04-21,17.75,17.75,19.450000762939453,17.59000015258789,18.8700008392334,10291332,2025-04-21
2025-04-28,16.760000228881836,16.760000228881836,17.899999618530273,16.25,17.5,11398686,2025-04-28
2025-05-05,15.989999771118164,15.989999771118164,17.200000762939453,15.510000228881836,16.899999618530273,6959221,2025-05-05
2025-05-12,18.020000457763672,18.020000457763672,18.149999618530273,16.450000762939453,16.450000762939453,7595239,2025-05-12
2025-05-19,17.479999542236328,17.479999542236328,18.600000381469727,17.299999237060547,18.209999084472656,8982812,2025-05-19
2025-05-26,17.1299991607666,17.1299991607666,17.780000686645508,16.709999084472656,17.59000015258789,6959655,2025-05-26
2025-06-02,16.969999313354492,16.969999313354492,17.25,16.6299991607666,17.1299991607666,6092282,2025-06-02
2025-06-09,20.790000915527344,20.790000915527344,22.700000762939453,17.139999389648438,17.149999618530273,84364490,2025-06-09
2025-06-16,20.25,20.25,22.350000381469727,19.829999923706055,20.81999969482422,25975370,2025-06-16
2025-06-23,20.190000534057617,20.190000534057617,20.770000457763672,19.5,20.020000457763672,10948085,2025-06-23
2025-06-30,21.260000228881836,21.260000228881836,22.25,20.290000915527344,20.299999237060547,27659694,2025-06-30
2025-07-07,22.56999969482422,22.56999969482422,24.020000457763672,21.299999237060547,21.399999618530273,58365435,2025-07-07
2025-07-14,21.780000686645508,21.780000686645508,22.81999969482422,21.399999618530273,22.68000030517578,9592766,2025-07-14
