Date,Adj Close_SUPRIYA.NS,Close_SUPRIYA.NS,High_SUPRIYA.NS,Low_SUPRIYA.NS,Open_SUPRIYA.NS,Volume_SUPRIYA.NS,Date
2022-10-24,287.72979736328125,288.70001220703125,294.6000061035156,285.54998779296875,287.6499938964844,366007,2022-10-24
2022-10-31,285.1385192871094,286.1000061035156,292.5,284.04998779296875,292.5,513574,2022-10-31
2022-11-07,250.0568084716797,250.89999389648438,290.75,245.0,288.5,1359733,2022-11-07
2022-11-14,251.75111389160156,252.60000610351562,256.0,231.35000610351562,250.0,2982890,2022-11-14
2022-11-21,243.67832946777344,244.5,258.5,235.9499969482422,253.0,834164,2022-11-21
2022-11-28,250.7544708251953,251.60000610351562,258.5,242.0,248.5,989667,2022-11-28
2022-12-05,240.1402587890625,240.9499969482422,254.9499969482422,238.0,254.0,850650,2022-12-05
2022-12-12,239.2432861328125,240.0500030517578,256.0,238.0,241.89999389648438,760869,2022-12-12
2022-12-19,222.54957580566406,223.3000030517578,255.0,221.75,240.0500030517578,1471728,2022-12-19
2022-12-26,234.2600860595703,235.0500030517578,241.6999969482422,225.0,226.75,557282,2022-12-26
2023-01-02,234.95773315429688,235.75,243.8000030517578,234.10000610351562,237.1999969482422,496455,2023-01-02
2023-01-09,231.9678192138672,232.75,243.89999389648438,231.35000610351562,239.3000030517578,332742,2023-01-09
2023-01-16,214.87545776367188,215.60000610351562,234.6999969482422,215.0,232.89999389648438,599507,2023-01-16
2023-01-23,212.4835205078125,213.1999969482422,225.0,210.60000610351562,219.8000030517578,492755,2023-01-23
2023-01-30,197.4342803955078,198.10000610351562,219.1999969482422,196.5,213.0,668158,2023-01-30
2023-02-06,210.29090881347656,211.0,217.4499969482422,194.5,201.0500030517578,1292224,2023-02-06
2023-02-13,219.06134033203125,219.8000030517578,224.9499969482422,179.10000610351562,212.0,3882024,2023-02-13
2023-02-20,200.0255126953125,200.6999969482422,221.25,199.14999389648438,218.0,1045702,2023-02-20
2023-02-27,202.8161163330078,203.5,207.6999969482422,196.1999969482422,201.10000610351562,719252,2023-02-27
2023-03-06,208.0983123779297,208.8000030517578,217.85000610351562,205.0,206.0,787543,2023-03-06
2023-03-13,194.6436767578125,195.3000030517578,209.39999389648438,192.0,207.0500030517578,693704,2023-03-13
2023-03-20,181.68736267089844,182.3000030517578,195.3000030517578,181.5,195.0,969850,2023-03-20
2023-03-27,190.1089630126953,190.75,192.5,170.14999389648438,182.9499969482422,3087342,2023-03-27
2023-04-03,205.5070343017578,206.1999969482422,213.9499969482422,190.9499969482422,190.9499969482422,867448,2023-04-03
2023-04-10,219.7091522216797,220.4499969482422,226.39999389648438,206.1999969482422,208.64999389648438,1113968,2023-04-10
2023-04-17,222.94822692871094,223.6999969482422,234.0,212.0500030517578,220.5,1416515,2023-04-17
2023-04-24,216.12124633789062,216.85000610351562,227.10000610351562,215.25,224.75,488290,2023-04-24
2023-05-01,220.20745849609375,220.9499969482422,224.1999969482422,215.1999969482422,216.85000610351562,413780,2023-05-01
2023-05-08,247.16656494140625,248.0,255.9499969482422,215.5,223.60000610351562,5726996,2023-05-08
2023-05-15,241.63522338867188,242.4499969482422,250.75,236.0,242.3000030517578,1752344,2023-05-15
2023-05-22,255.78749084472656,256.6499938964844,264.70001220703125,239.60000610351562,241.0500030517578,2962133,2023-05-22
2023-05-29,250.5551300048828,251.39999389648438,264.75,245.4499969482422,260.0,900324,2023-05-29
2023-06-05,247.31605529785156,248.14999389648438,268.29998779296875,246.14999389648438,253.89999389648438,1786557,2023-06-05
2023-06-12,253.99356079101562,254.85000610351562,256.1000061035156,238.0,243.8000030517578,1303221,2023-06-12
2023-06-19,242.7315216064453,243.5500030517578,257.3999938964844,242.10000610351562,257.3999938964844,676841,2023-06-19
2023-06-26,247.01707458496094,247.85000610351562,254.5,240.0500030517578,240.0500030517578,465500,2023-06-26
2023-07-03,244.17665100097656,245.0,251.64999389648438,240.10000610351562,250.0,619828,2023-07-03
2023-07-10,235.6055450439453,236.39999389648438,247.14999389648438,235.64999389648438,247.14999389648438,506263,2023-07-10
2023-07-17,236.30319213867188,237.10000610351562,247.5,233.3000030517578,235.10000610351562,729021,2023-07-17
2023-07-24,253.79420471191406,254.64999389648438,268.1499938964844,237.10000610351562,237.10000610351562,3088659,2023-07-24
2023-07-31,277.0657653808594,278.0,289.0,253.3000030517578,257.0,3936143,2023-07-31
2023-08-07,264.2589416503906,265.1499938964844,281.04998779296875,262.0,280.1000061035156,1245999,2023-08-07
2023-08-14,268.2454833984375,269.1499938964844,279.5,260.75,266.0,954312,2023-08-14
2023-08-21,268.6940002441406,269.6000061035156,277.95001220703125,261.8999938964844,269.20001220703125,953301,2023-08-21
2023-08-28,277.9128723144531,278.8500061035156,285.04998779296875,265.3999938964844,269.6000061035156,1637773,2023-08-28
2023-09-04,304.0248107910156,305.04998779296875,309.29998779296875,273.5,281.3999938964844,2905046,2023-09-04
2023-09-11,297.2476806640625,298.25,310.6000061035156,265.79998779296875,307.75,2421940,2023-09-11
2023-09-18,276.8859558105469,277.25,298.20001220703125,276.0,298.0,749920,2023-09-18
2023-09-25,280.5311584472656,280.8999938964844,287.25,274.25,276.95001220703125,752058,2023-09-25
2023-10-02,269.5955505371094,269.95001220703125,296.6000061035156,269.0,280.8999938964844,1115546,2023-10-02
2023-10-09,244.5784149169922,244.89999389648438,269.8999938964844,243.0500030517578,269.8999938964844,1931133,2023-10-09
2023-10-16,246.47593688964844,246.8000030517578,255.39999389648438,241.75,246.6999969482422,1925326,2023-10-16
2023-10-23,250.2709503173828,250.60000610351562,251.75,234.89999389648438,246.85000610351562,1027796,2023-10-23
2023-10-30,246.42599487304688,246.75,253.4499969482422,242.75,253.4499969482422,434553,2023-10-30
2023-11-06,254.41549682617188,254.75,259.0,241.0,248.4499969482422,2206203,2023-11-06
2023-11-13,246.87539672851562,247.1999969482422,256.45001220703125,244.5,254.0,642958,2023-11-13
2023-11-20,275.93719482421875,276.29998779296875,279.1000061035156,239.8000030517578,248.4499969482422,4239836,2023-11-20
2023-11-27,281.979248046875,282.3500061035156,294.45001220703125,274.70001220703125,276.29998779296875,3782471,2023-11-27
2023-12-04,271.7427062988281,272.1000061035156,290.95001220703125,270.5,284.95001220703125,1211857,2023-12-04
2023-12-11,275.3379821777344,275.70001220703125,285.0,268.8999938964844,279.0,1604016,2023-12-11
2023-12-18,296.6599426269531,297.04998779296875,303.0,270.0,275.1000061035156,3900053,2023-12-18
2023-12-25,314.3367004394531,314.75,325.25,297.04998779296875,297.04998779296875,5410701,2023-12-25
2024-01-01,313.5876770019531,314.0,332.6499938964844,311.70001220703125,316.3999938964844,3466242,2024-01-01
2024-01-08,313.4378967285156,313.8500061035156,322.75,296.79998779296875,316.20001220703125,1936588,2024-01-08
2024-01-15,304.2499694824219,304.6499938964844,313.8500061035156,291.25,313.8500061035156,845869,2024-01-15
2024-01-22,308.6941223144531,309.1000061035156,323.0,294.29998779296875,304.6499938964844,1139433,2024-01-22
2024-01-29,295.3616638183594,295.75,313.1499938964844,295.0,310.0,1110993,2024-01-29
2024-02-05,342.2000732421875,342.6499938964844,366.29998779296875,288.8999938964844,296.0,9378473,2024-02-05
2024-02-12,361.17510986328125,361.6499938964844,394.0,327.1499938964844,345.8999938964844,6299127,2024-02-12
2024-02-19,356.631103515625,357.1000061035156,372.3999938964844,345.04998779296875,363.45001220703125,2108989,2024-02-19
2024-02-26,345.5955810546875,346.04998779296875,365.0,336.8500061035156,360.25,1407805,2024-02-26
2024-03-04,346.19482421875,346.6499938964844,384.6499938964844,341.0,355.0,2961007,2024-03-04
2024-03-11,328.1185607910156,328.54998779296875,355.8999938964844,305.5,354.8500061035156,2015493,2024-03-11
2024-03-18,340.35247802734375,340.79998779296875,342.25,320.95001220703125,334.79998779296875,1036045,2024-03-18
2024-03-25,332.5128173828125,332.95001220703125,350.0,331.29998779296875,340.79998779296875,706789,2024-03-25
2024-04-01,381.94781494140625,382.45001220703125,398.0,336.20001220703125,336.20001220703125,2679534,2024-04-01
2024-04-08,372.9596252441406,373.45001220703125,393.0,371.0,384.79998779296875,1014036,2024-04-08
2024-04-15,363.1724853515625,363.6499938964844,373.79998779296875,352.54998779296875,357.1499938964844,778829,2024-04-15
2024-04-22,408.9622802734375,409.5,424.0,365.20001220703125,369.0,4289306,2024-04-22
2024-04-29,410.0108947753906,410.54998779296875,423.8999938964844,392.3500061035156,411.0,1858379,2024-04-29
2024-05-06,377.6534423828125,378.1499938964844,420.04998779296875,360.79998779296875,414.3500061035156,1319002,2024-05-06
2024-05-13,381.19879150390625,381.70001220703125,386.5,365.0,381.0,641624,2024-05-13
2024-05-20,365.7191467285156,366.20001220703125,384.1000061035156,364.25,376.6499938964844,585176,2024-05-20
2024-05-27,366.5680236816406,367.04998779296875,374.25,341.3500061035156,366.5,2259319,2024-05-27
2024-06-03,360.67578125,361.1499938964844,378.25,330.0,372.20001220703125,1340814,2024-06-03
2024-06-10,397.8269348144531,398.3500061035156,402.95001220703125,356.0,361.70001220703125,2257792,2024-06-10
2024-06-17,398.5260009765625,399.04998779296875,410.0,391.1000061035156,398.3500061035156,979116,2024-06-17
2024-06-24,387.091064453125,387.6000061035156,403.20001220703125,382.95001220703125,399.04998779296875,727190,2024-06-24
2024-07-01,411.1094665527344,411.6499938964844,420.0,388.0,393.3999938964844,1247986,2024-07-01
2024-07-08,390.13702392578125,390.6499938964844,424.70001220703125,380.0,417.0,1720960,2024-07-08
2024-07-15,385.94256591796875,386.45001220703125,419.75,385.0,392.0,1615269,2024-07-15
2024-07-22,387.290771484375,387.79998779296875,391.70001220703125,368.0,385.5,889152,2024-07-22
2024-07-29,421.7454833984375,422.29998779296875,429.25,390.0,392.5,2147658,2024-07-29
2024-08-05,449.3092346191406,449.8999938964844,454.0,384.1000061035156,420.0,4553973,2024-08-05
2024-08-12,509.2304382324219,509.8999938964844,539.8499755859375,460.0,477.70001220703125,11621177,2024-08-12
2024-08-19,552.5734252929688,553.2999877929688,563.9500122070312,519.4500122070312,528.0,2765628,2024-08-19
2024-08-26,545.0333862304688,545.75,576.0,539.2999877929688,558.2999877929688,1546190,2024-08-26
2024-09-02,594.2686157226562,595.0499877929688,614.9000244140625,525.0,549.9500122070312,2704877,2024-09-02
2024-09-09,620.6339721679688,621.4500122070312,647.0,584.0,600.0,2474744,2024-09-09
2024-09-16,630.2213745117188,631.0499877929688,675.0,600.1500244140625,628.9000244140625,2076018,2024-09-16
2024-09-23,564.0999755859375,564.0999755859375,639.5499877929688,561.2000122070312,634.9500122070312,1693511,2024-09-23
2024-09-30,569.4500122070312,569.4500122070312,592.0,547.5499877929688,567.9500122070312,1379892,2024-09-30
2024-10-07,564.7999877929688,564.7999877929688,593.0499877929688,527.0,569.4500122070312,1196698,2024-10-07
2024-10-14,555.0999755859375,555.0999755859375,580.9500122070312,541.7000122070312,572.0,712474,2024-10-14
2024-10-21,547.2999877929688,547.2999877929688,561.9500122070312,511.3999938964844,556.9000244140625,1463457,2024-10-21
2024-10-28,638.0,638.0,646.5,530.0499877929688,554.0999755859375,4350640,2024-10-28
2024-11-04,648.2999877929688,648.2999877929688,689.8499755859375,613.6500244140625,640.0,3094298,2024-11-04
2024-11-11,644.4000244140625,644.4000244140625,662.2999877929688,604.5499877929688,650.5,1292345,2024-11-11
2024-11-18,806.8499755859375,806.8499755859375,833.4000244140625,628.5999755859375,648.9000244140625,8208956,2024-11-18
2024-11-25,775.9500122070312,775.9500122070312,830.0,755.0,809.0,3767765,2024-11-25
2024-12-02,773.9000244140625,773.9000244140625,835.2000122070312,743.0499877929688,778.0,2918570,2024-12-02
2024-12-09,737.7000122070312,737.7000122070312,803.2000122070312,732.0,780.0,1569344,2024-12-09
2024-12-16,729.7999877929688,729.7999877929688,783.25,714.4000244140625,740.0,1883228,2024-12-16
2024-12-23,703.5499877929688,703.5499877929688,741.9500122070312,687.5999755859375,739.7999877929688,775143,2024-12-23
2024-12-30,772.5,772.5,793.5999755859375,684.0499877929688,710.0,2067209,2024-12-30
2025-01-06,662.4000244140625,662.4000244140625,775.0,655.4500122070312,772.5,1341192,2025-01-06
2025-01-13,693.25,693.25,702.0,646.6500244140625,660.0,953014,2025-01-13
2025-01-20,700.5,700.5,752.1500244140625,660.9000244140625,712.9500122070312,1311347,2025-01-20
2025-01-27,721.1500244140625,721.1500244140625,730.0,616.0499877929688,690.75,2000222,2025-01-27
2025-02-03,773.5999755859375,773.5999755859375,797.7999877929688,688.0,722.8499755859375,1617392,2025-02-03
2025-02-10,666.75,666.75,793.0,655.2999877929688,781.0,1635697,2025-02-10
2025-02-17,639.8499755859375,639.8499755859375,691.75,612.0,651.0,1377836,2025-02-17
2025-02-24,597.4000244140625,597.4000244140625,674.5,585.5999755859375,639.8499755859375,833871,2025-02-24
2025-03-03,644.0,644.0,661.8499755859375,556.1500244140625,592.0,1856069,2025-03-03
2025-03-10,597.4500122070312,597.4500122070312,648.25,594.75,640.7999877929688,763184,2025-03-10
2025-03-17,726.25,726.25,733.9000244140625,595.0,596.9000244140625,1635184,2025-03-17
2025-03-24,734.1500244140625,734.1500244140625,768.0,715.25,725.9500122070312,1533224,2025-03-24
2025-03-31,709.6500244140625,709.6500244140625,842.0,686.5499877929688,734.1500244140625,3376812,2025-03-31
2025-04-07,711.0499877929688,711.0499877929688,767.0,604.7000122070312,608.5999755859375,2016670,2025-04-07
2025-04-14,745.4500122070312,745.4500122070312,761.0499877929688,711.0499877929688,711.0499877929688,806459,2025-04-14
2025-04-21,688.5999755859375,688.5999755859375,789.9500122070312,675.0499877929688,754.0,1492180,2025-04-21
2025-04-28,642.6500244140625,642.6500244140625,711.9000244140625,635.1500244140625,691.9500122070312,831375,2025-04-28
2025-05-05,629.0,629.0,665.4000244140625,600.0,645.0,1477246,2025-05-05
2025-05-12,696.5999755859375,696.5999755859375,713.0,647.25,657.75,1157520,2025-05-12
2025-05-19,732.1500244140625,732.1500244140625,735.4000244140625,691.0999755859375,700.0,922186,2025-05-19
2025-05-26,724.0,724.0,782.5,720.1500244140625,737.7000122070312,2179744,2025-05-26
2025-06-02,690.5499877929688,690.5499877929688,728.9500122070312,687.75,724.0,1056226,2025-06-02
2025-06-09,689.5499877929688,689.5499877929688,707.75,676.25,698.0,1437770,2025-06-09
2025-06-16,681.7999877929688,681.7999877929688,711.5999755859375,651.7000122070312,694.0,1043271,2025-06-16
2025-06-23,688.7999877929688,688.7999877929688,705.0,664.9500122070312,675.0,1244764,2025-06-23
2025-06-30,735.2999877929688,735.2999877929688,743.2000122070312,680.9000244140625,688.75,1949420,2025-06-30
2025-07-07,687.6500244140625,687.6500244140625,746.75,682.9500122070312,742.6500244140625,1252990,2025-07-07
2025-07-14,724.0499877929688,724.0499877929688,749.0999755859375,680.0999755859375,690.0,893518,2025-07-14
