Date,Adj Close_TBOTEK.NS,Close_TBOTEK.NS,High_TBOTEK.NS,Low_TBOTEK.NS,Open_TBOTEK.NS,Volume_TBOTEK.NS,Date
2025-04-28,1075.800048828125,1075.800048828125,1143.800048828125,1000.5,1005.0,2926030,2025-04-28
2025-05-05,1169.5,1169.5,1208.0,1036.4000244140625,1088.0,1591115,2025-05-05
2025-05-12,1237.5999755859375,1237.5999755859375,1246.5,1169.5,1218.0,473747,2025-05-12
2025-05-19,1320.9000244140625,1320.9000244140625,1376.0,1162.199951171875,1249.9000244140625,5192087,2025-05-19
2025-05-26,1304.699951171875,1304.699951171875,1340.0,1274.5999755859375,1319.0,1183382,2025-05-26
2025-06-02,1325.300048828125,1325.300048828125,1387.0,1269.5,1304.5999755859375,1171436,2025-06-02
2025-06-09,1286.9000244140625,1286.9000244140625,1408.300048828125,1270.0999755859375,1339.4000244140625,913893,2025-06-09
2025-06-16,1260.699951171875,1260.699951171875,1302.0,1246.199951171875,1292.0,338573,2025-06-16
2025-06-23,1392.0999755859375,1392.0999755859375,1402.0,1246.9000244140625,1260.699951171875,477338,2025-06-23
2025-06-30,1425.300048828125,1425.300048828125,1508.0,1375.4000244140625,1408.0,2001456,2025-06-30
2025-07-07,1325.300048828125,1325.300048828125,1441.199951171875,1314.9000244140625,1435.0,565533,2025-07-07
2025-07-14,1404.199951171875,1404.199951171875,1410.699951171875,1310.9000244140625,1320.0,396951,2025-07-14
