Date,Adj Close_IMAGICAA.NS,Close_IMAGICAA.NS,High_IMAGICAA.NS,Low_IMAGICAA.NS,Open_IMAGICAA.NS,Volume_IMAGICAA.NS,Date
2021-01-04,6.199999809265137,6.199999809265137,6.349999904632568,6.0,6.099999904632568,602718,2021-01-04
2021-01-11,5.900000095367432,5.900000095367432,6.349999904632568,5.849999904632568,6.300000190734863,485071,2021-01-11
2021-01-18,5.449999809265137,5.449999809265137,6.0,5.400000095367432,5.650000095367432,370804,2021-01-18
2021-01-25,5.550000190734863,5.550000190734863,5.699999809265137,5.25,5.449999809265137,220282,2021-01-25
2021-02-01,5.599999904632568,5.599999904632568,5.800000190734863,5.300000190734863,5.699999809265137,356976,2021-02-01
2021-02-08,5.300000190734863,5.300000190734863,5.650000095367432,4.949999809265137,5.599999904632568,578098,2021-02-08
2021-02-15,6.25,6.25,6.849999904632568,5.150000095367432,5.449999809265137,1615581,2021-02-15
2021-02-22,6.25,6.25,7.050000190734863,5.5,6.300000190734863,1276296,2021-02-22
2021-03-01,7.900000095367432,7.900000095367432,8.699999809265137,6.199999809265137,6.5,4941130,2021-03-01
2021-03-08,7.900000095367432,7.900000095367432,8.25,6.900000095367432,7.900000095367432,797483,2021-03-08
2021-03-15,6.800000190734863,6.800000190734863,8.25,6.699999809265137,8.25,647708,2021-03-15
2021-03-22,6.849999904632568,6.849999904632568,7.75,6.599999904632568,6.900000095367432,642955,2021-03-22
2021-03-29,6.5,6.5,7.150000095367432,6.150000095367432,6.849999904632568,167459,2021-03-29
2021-04-05,5.900000095367432,5.900000095367432,6.550000190734863,5.650000095367432,6.349999904632568,462620,2021-04-05
2021-04-12,5.599999904632568,5.599999904632568,6.0,5.449999809265137,5.900000095367432,151656,2021-04-12
2021-04-19,5.349999904632568,5.349999904632568,5.699999809265137,5.0,5.699999809265137,255405,2021-04-19
2021-04-26,5.800000190734863,5.800000190734863,5.949999809265137,5.349999904632568,5.400000095367432,426398,2021-04-26
2021-05-03,5.699999809265137,5.699999809265137,5.949999809265137,5.25,5.900000095367432,603293,2021-05-03
2021-05-10,5.75,5.75,5.949999809265137,5.449999809265137,5.849999904632568,416909,2021-05-10
2021-05-17,7.050000190734863,7.050000190734863,7.199999809265137,5.75,5.849999904632568,796809,2021-05-17
2021-05-24,7.900000095367432,7.900000095367432,8.149999618530273,7.050000190734863,7.300000190734863,2735540,2021-05-24
2021-05-31,7.75,7.75,8.100000381469727,7.099999904632568,7.900000095367432,1256955,2021-05-31
2021-06-07,8.949999809265137,8.949999809265137,9.149999618530273,7.800000190734863,8.050000190734863,1688912,2021-06-07
2021-06-14,8.0,8.0,9.449999809265137,7.699999809265137,9.300000190734863,1133812,2021-06-14
2021-06-21,8.199999809265137,8.199999809265137,9.199999809265137,7.599999904632568,8.0,1025505,2021-06-21
2021-06-28,8.100000381469727,8.100000381469727,8.75,7.949999809265137,8.5,734800,2021-06-28
2021-07-05,8.0,8.0,8.449999809265137,7.849999904632568,8.25,479750,2021-07-05
2021-07-12,8.5,8.5,8.550000190734863,7.599999904632568,8.199999809265137,957631,2021-07-12
2021-07-19,8.449999809265137,8.449999809265137,9.0,8.0,8.5,791052,2021-07-19
2021-07-26,8.699999809265137,8.699999809265137,9.25,8.350000381469727,8.600000381469727,982774,2021-07-26
2021-08-02,8.899999618530273,8.899999618530273,8.899999618530273,7.949999809265137,8.800000190734863,1244906,2021-08-02
2021-08-09,8.350000381469727,8.350000381469727,9.25,7.650000095367432,9.199999809265137,833551,2021-08-09
2021-08-16,7.949999809265137,7.949999809265137,8.949999809265137,7.699999809265137,8.699999809265137,446405,2021-08-16
2021-08-23,7.849999904632568,7.849999904632568,8.300000190734863,7.599999904632568,8.300000190734863,355711,2021-08-23
2021-08-30,7.800000190734863,7.800000190734863,8.149999618530273,7.699999809265137,8.149999618530273,321851,2021-08-30
2021-09-06,7.800000190734863,7.800000190734863,8.050000190734863,7.5,8.050000190734863,262712,2021-09-06
2021-09-13,7.75,7.75,8.0,7.449999809265137,8.0,392195,2021-09-13
2021-09-20,7.599999904632568,7.599999904632568,8.100000381469727,7.5,7.900000095367432,568883,2021-09-20
2021-09-27,11.050000190734863,11.050000190734863,11.050000190734863,7.599999904632568,7.599999904632568,1393571,2021-09-27
2021-10-04,12.699999809265137,12.699999809265137,14.0,11.600000381469727,11.600000381469727,3264634,2021-10-04
2021-10-11,11.449999809265137,11.449999809265137,12.100000381469727,10.449999809265137,12.100000381469727,981375,2021-10-11
2021-10-18,13.399999618530273,13.399999618530273,14.25,12.0,12.0,1559388,2021-10-18
2021-10-25,10.899999618530273,10.899999618530273,13.800000190734863,10.850000381469727,13.800000190734863,773961,2021-10-25
2021-11-01,11.300000190734863,11.300000190734863,11.300000190734863,9.899999618530273,11.100000381469727,653878,2021-11-01
2021-11-08,12.0,12.0,13.550000190734863,11.550000190734863,12.199999809265137,902867,2021-11-08
2021-11-15,11.5,11.5,12.699999809265137,11.149999618530273,12.399999618530273,467986,2021-11-15
2021-11-22,11.550000190734863,11.550000190734863,12.300000190734863,10.449999809265137,11.800000190734863,593284,2021-11-22
2021-11-29,10.050000190734863,10.050000190734863,11.0,9.5,11.0,625983,2021-11-29
2021-12-06,12.75,12.75,12.75,9.75,9.75,671916,2021-12-06
2021-12-13,11.149999618530273,11.149999618530273,13.350000381469727,11.100000381469727,13.350000381469727,600787,2021-12-13
2021-12-20,11.199999809265137,11.199999809265137,11.699999809265137,10.300000190734863,10.899999618530273,454747,2021-12-20
2021-12-27,11.199999809265137,11.199999809265137,11.949999809265137,10.800000190734863,11.300000190734863,508510,2021-12-27
2022-01-03,10.899999618530273,10.899999618530273,12.25,10.5,11.350000381469727,1132073,2022-01-03
2022-01-10,11.050000190734863,11.050000190734863,11.449999809265137,10.649999618530273,10.949999809265137,1079259,2022-01-10
2022-01-17,11.649999618530273,11.649999618530273,12.850000381469727,10.800000190734863,11.25,2226527,2022-01-17
2022-01-24,10.699999809265137,10.699999809265137,12.0,10.550000190734863,11.75,627914,2022-01-24
2022-01-31,12.699999809265137,12.699999809265137,12.699999809265137,10.699999809265137,10.800000190734863,495315,2022-01-31
2022-02-07,13.949999809265137,13.949999809265137,16.799999237060547,11.649999618530273,13.300000190734863,6904322,2022-02-07
2022-02-14,13.550000190734863,13.550000190734863,15.699999809265137,12.600000381469727,13.899999618530273,2190828,2022-02-14
2022-02-21,13.149999618530273,13.149999618530273,14.100000381469727,12.0,13.399999618530273,1789340,2022-02-21
2022-02-28,13.0,13.0,13.5,12.100000381469727,13.149999618530273,1365321,2022-02-28
2022-03-07,15.0,15.0,15.449999809265137,12.449999809265137,12.899999618530273,3824486,2022-03-07
2022-03-14,14.75,14.75,16.200000762939453,14.550000190734863,15.300000190734863,1702087,2022-03-14
2022-03-21,13.399999618530273,13.399999618530273,15.25,13.25,14.699999809265137,1026692,2022-03-21
2022-03-28,14.449999809265137,14.449999809265137,14.449999809265137,12.699999809265137,13.300000190734863,880720,2022-03-28
2022-04-04,17.700000762939453,17.700000762939453,17.700000762939453,14.300000190734863,15.850000381469727,6360047,2022-04-04
2022-04-11,16.25,16.25,18.549999237060547,16.100000381469727,18.100000381469727,2305117,2022-04-11
2022-04-18,17.450000762939453,17.450000762939453,17.450000762939453,15.800000190734863,16.799999237060547,1713965,2022-04-18
2022-04-25,14.800000190734863,14.800000190734863,17.399999618530273,14.800000190734863,17.399999618530273,2271687,2022-04-25
2022-05-02,14.25,14.25,15.300000190734863,13.75,14.199999809265137,1446276,2022-05-02
2022-05-09,15.0,15.0,16.399999618530273,14.25,14.850000381469727,2121957,2022-05-09
2022-05-16,13.300000190734863,13.300000190734863,15.5,13.300000190734863,15.5,1701174,2022-05-16
2022-05-23,13.800000190734863,13.800000190734863,14.550000190734863,12.699999809265137,13.600000381469727,857238,2022-05-23
2022-05-30,14.399999618530273,14.399999618530273,14.600000381469727,13.600000381469727,14.149999618530273,1003659,2022-05-30
2022-06-06,14.550000190734863,14.550000190734863,15.199999809265137,14.050000190734863,14.949999809265137,844571,2022-06-06
2022-06-13,13.550000190734863,13.550000190734863,14.800000190734863,13.300000190734863,14.149999618530273,887861,2022-06-13
2022-06-20,15.75,15.75,15.75,12.5,13.5,2025430,2022-06-20
2022-06-27,21.0,21.0,21.0,17.299999237060547,17.299999237060547,1535058,2022-06-27
2022-07-04,19.899999618530273,19.899999618530273,24.299999237060547,19.899999618530273,22.049999237060547,8114948,2022-07-04
2022-07-11,17.100000381469727,17.100000381469727,18.950000762939453,16.299999237060547,18.950000762939453,4659574,2022-07-11
2022-07-18,19.149999618530273,19.149999618530273,20.0,17.549999237060547,17.950000762939453,4005950,2022-07-18
2022-07-25,24.299999237060547,24.299999237060547,24.399999618530273,20.100000381469727,20.100000381469727,7661757,2022-07-25
2022-08-01,23.0,23.0,25.899999618530273,22.149999618530273,25.0,5584759,2022-08-01
2022-08-08,26.299999237060547,26.299999237060547,26.299999237060547,22.5,23.899999618530273,4877490,2022-08-08
2022-08-15,31.850000381469727,31.850000381469727,31.850000381469727,26.299999237060547,26.299999237060547,8311679,2022-08-15
2022-08-22,40.5,40.5,40.5,30.350000381469727,32.25,10301039,2022-08-22
2022-08-29,40.29999923706055,40.29999923706055,46.79999923706055,40.29999923706055,41.25,7657888,2022-08-29
2022-09-05,34.5,34.5,44.400001525878906,34.5,39.04999923706055,14609968,2022-09-05
2022-09-12,34.849998474121094,34.849998474121094,37.95000076293945,31.799999237060547,34.5,2581400,2022-09-12
2022-09-19,37.900001525878906,37.900001525878906,39.349998474121094,33.150001525878906,34.5,2368414,2022-09-19
2022-09-26,34.54999923706055,34.54999923706055,37.0,32.650001525878906,37.0,1069902,2022-09-26
2022-10-03,33.25,33.25,34.79999923706055,31.799999237060547,34.79999923706055,636462,2022-10-03
2022-10-10,33.75,33.75,34.25,32.0,33.75,1172192,2022-10-10
2022-10-17,30.799999237060547,30.799999237060547,33.95000076293945,29.75,33.400001525878906,1149521,2022-10-17
2022-10-24,28.950000762939453,28.950000762939453,31.149999618530273,28.899999618530273,30.799999237060547,458287,2022-10-24
2022-10-31,35.25,35.25,35.25,28.299999237060547,28.899999618530273,958116,2022-10-31
2022-11-07,31.799999237060547,31.799999237060547,37.29999923706055,31.799999237060547,36.900001525878906,1759023,2022-11-07
2022-11-14,33.0,33.0,34.45000076293945,31.799999237060547,31.950000762939453,1177280,2022-11-14
2022-11-21,32.5,32.5,33.5,30.100000381469727,33.25,873586,2022-11-21
2022-11-28,33.5,33.5,33.70000076293945,31.299999237060547,31.950000762939453,859360,2022-11-28
2022-12-05,36.849998474121094,36.849998474121094,39.79999923706055,32.650001525878906,33.5,3618078,2022-12-05
2022-12-12,37.29999923706055,37.29999923706055,38.29999923706055,34.79999923706055,37.0,2944724,2022-12-12
2022-12-19,35.25,35.25,41.900001525878906,35.25,37.45000076293945,3884582,2022-12-19
2022-12-26,37.099998474121094,37.099998474121094,38.70000076293945,33.5,33.5,2312686,2022-12-26
2023-01-02,43.0,43.0,43.150001525878906,36.79999923706055,37.849998474121094,5011149,2023-01-02
2023-01-09,39.04999923706055,39.04999923706055,44.0,37.150001525878906,43.900001525878906,3456571,2023-01-09
2023-01-16,36.0,36.0,39.0,35.400001525878906,38.599998474121094,2375540,2023-01-16
2023-01-23,34.95000076293945,34.95000076293945,36.900001525878906,34.45000076293945,36.04999923706055,1235253,2023-01-23
2023-01-30,34.900001525878906,34.900001525878906,38.04999923706055,33.5,34.95000076293945,3157602,2023-01-30
2023-02-06,34.95000076293945,34.95000076293945,37.900001525878906,34.099998474121094,35.5,4187145,2023-02-06
2023-02-13,34.25,34.25,36.45000076293945,34.0,35.0,1494486,2023-02-13
2023-02-20,38.95000076293945,38.95000076293945,42.75,34.599998474121094,34.900001525878906,7759104,2023-02-20
2023-02-27,49.25,49.25,49.400001525878906,37.04999923706055,39.349998474121094,19809925,2023-02-27
2023-03-06,50.849998474121094,50.849998474121094,56.20000076293945,47.75,50.0,24829453,2023-03-06
2023-03-13,47.54999923706055,47.54999923706055,51.5,44.0,51.150001525878906,10440046,2023-03-13
2023-03-20,44.95000076293945,44.95000076293945,48.20000076293945,44.54999923706055,47.20000076293945,4136434,2023-03-20
2023-03-27,45.79999923706055,45.79999923706055,47.25,40.95000076293945,45.20000076293945,2888351,2023-03-27
2023-04-03,45.25,45.25,47.150001525878906,45.0,46.20000076293945,1725760,2023-04-03
2023-04-10,44.400001525878906,44.400001525878906,46.599998474121094,43.25,45.45000076293945,1843556,2023-04-10
2023-04-17,43.25,43.25,48.599998474121094,41.79999923706055,44.45000076293945,4809361,2023-04-17
2023-04-24,43.25,43.25,44.79999923706055,41.95000076293945,44.0,2255443,2023-04-24
2023-05-01,42.75,42.75,44.79999923706055,42.599998474121094,43.25,1627043,2023-05-01
2023-05-08,45.70000076293945,45.70000076293945,47.79999923706055,42.5,43.25,3155307,2023-05-08
2023-05-15,42.79999923706055,42.79999923706055,45.900001525878906,41.5,45.79999923706055,2263036,2023-05-15
2023-05-22,42.849998474121094,42.849998474121094,46.400001525878906,42.349998474121094,42.75,2748097,2023-05-22
2023-05-29,41.400001525878906,41.400001525878906,43.70000076293945,40.5,43.04999923706055,2341198,2023-05-29
2023-06-05,42.599998474121094,42.599998474121094,44.54999923706055,39.54999923706055,41.599998474121094,2742715,2023-06-05
2023-06-12,48.0,48.0,53.099998474121094,42.150001525878906,42.29999923706055,11534288,2023-06-12
2023-06-19,45.79999923706055,45.79999923706055,54.0,45.5,48.29999923706055,12395639,2023-06-19
2023-06-26,45.75,45.75,46.900001525878906,42.900001525878906,46.0,6984600,2023-06-26
2023-07-03,50.29999923706055,50.29999923706055,51.29999923706055,44.70000076293945,46.150001525878906,11515744,2023-07-03
2023-07-10,48.25,48.25,51.20000076293945,45.79999923706055,50.79999923706055,6809698,2023-07-10
2023-07-17,47.599998474121094,47.599998474121094,50.70000076293945,47.04999923706055,48.70000076293945,5759916,2023-07-17
2023-07-24,51.95000076293945,51.95000076293945,57.5,47.70000076293945,47.79999923706055,25676497,2023-07-24
2023-07-31,60.400001525878906,60.400001525878906,63.0,51.75,52.29999923706055,19771786,2023-07-31
2023-08-07,62.54999923706055,62.54999923706055,65.25,55.599998474121094,61.150001525878906,20686935,2023-08-07
2023-08-14,59.5,59.5,64.1500015258789,58.29999923706055,61.5,8521264,2023-08-14
2023-08-21,56.5,56.5,60.29999923706055,55.650001525878906,59.5,6979579,2023-08-21
2023-08-28,56.70000076293945,56.70000076293945,59.25,56.0,56.95000076293945,8215445,2023-08-28
2023-09-04,57.79999923706055,57.79999923706055,61.599998474121094,56.25,56.95000076293945,12133851,2023-09-04
2023-09-11,56.400001525878906,56.400001525878906,58.900001525878906,52.150001525878906,58.25,7906717,2023-09-11
2023-09-18,52.20000076293945,52.20000076293945,56.900001525878906,51.95000076293945,56.400001525878906,3663625,2023-09-18
2023-09-25,52.599998474121094,52.599998474121094,54.400001525878906,51.099998474121094,52.400001525878906,6880935,2023-09-25
2023-10-02,52.70000076293945,52.70000076293945,53.099998474121094,50.400001525878906,52.599998474121094,3780536,2023-10-02
2023-10-09,50.5,50.5,52.70000076293945,49.54999923706055,50.79999923706055,5509296,2023-10-09
2023-10-16,48.79999923706055,48.79999923706055,51.75,48.0,50.70000076293945,5816688,2023-10-16
2023-10-23,48.150001525878906,48.150001525878906,49.400001525878906,42.900001525878906,49.0,8191274,2023-10-23
2023-10-30,45.900001525878906,45.900001525878906,49.599998474121094,45.400001525878906,48.70000076293945,6973449,2023-10-30
2023-11-06,45.650001525878906,45.650001525878906,47.650001525878906,45.349998474121094,47.0,4942359,2023-11-06
2023-11-13,50.75,50.75,53.29999923706055,46.70000076293945,47.5,10765708,2023-11-13
2023-11-20,52.900001525878906,52.900001525878906,55.5,49.400001525878906,51.150001525878906,10612315,2023-11-20
2023-11-27,50.20000076293945,50.20000076293945,53.150001525878906,49.849998474121094,52.900001525878906,4057099,2023-11-27
2023-12-04,54.75,54.75,58.29999923706055,50.599998474121094,51.20000076293945,14784241,2023-12-04
2023-12-11,57.54999923706055,57.54999923706055,60.70000076293945,55.5,55.5,20285107,2023-12-11
2023-12-18,57.54999923706055,57.54999923706055,62.20000076293945,54.04999923706055,57.45000076293945,21225979,2023-12-18
2023-12-25,59.349998474121094,59.349998474121094,63.29999923706055,57.5,57.54999923706055,26626071,2023-12-25
2024-01-01,59.70000076293945,59.70000076293945,62.5,58.29999923706055,59.70000076293945,13857141,2024-01-01
2024-01-08,67.1500015258789,67.1500015258789,71.5999984741211,58.29999923706055,59.95000076293945,58230531,2024-01-08
2024-01-15,72.5,72.5,74.69999694824219,63.54999923706055,68.0,37772588,2024-01-15
2024-01-22,71.1500015258789,71.1500015258789,72.80000305175781,65.69999694824219,72.5,15471142,2024-01-22
2024-01-29,76.5999984741211,76.5999984741211,77.75,70.19999694824219,71.6500015258789,25629158,2024-01-29
2024-02-05,77.9000015258789,77.9000015258789,86.6500015258789,76.05000305175781,77.25,46953370,2024-02-05
2024-02-12,84.3499984741211,84.3499984741211,88.0,68.5,77.9000015258789,33507008,2024-02-12
2024-02-19,83.5,83.5,90.69999694824219,80.3499984741211,86.0,24987931,2024-02-19
2024-02-26,82.05000305175781,82.05000305175781,87.6500015258789,79.25,84.0,13746560,2024-02-26
2024-03-04,80.55000305175781,80.55000305175781,83.5,75.19999694824219,82.80000305175781,7916176,2024-03-04
2024-03-11,74.55000305175781,74.55000305175781,84.5,70.3499984741211,82.5,17979928,2024-03-11
2024-03-18,76.75,76.75,77.19999694824219,71.0999984741211,74.55000305175781,8065096,2024-03-18
2024-03-25,77.25,77.25,78.80000305175781,72.9000015258789,76.75,7199568,2024-03-25
2024-04-01,89.4000015258789,89.4000015258789,89.69999694824219,78.75,80.4000015258789,16515550,2024-04-01
2024-04-08,82.0,82.0,90.4000015258789,81.80000305175781,90.0,8323834,2024-04-08
2024-04-15,82.5,82.5,85.0,77.75,79.0,7649575,2024-04-15
2024-04-22,83.1500015258789,83.1500015258789,85.9000015258789,82.0,83.3499984741211,6398279,2024-04-22
2024-04-29,82.94999694824219,82.94999694824219,87.0,82.19999694824219,83.5,6735736,2024-04-29
2024-05-06,79.1500015258789,79.1500015258789,83.30000305175781,75.0,83.0,7686811,2024-05-06
2024-05-13,80.4000015258789,80.4000015258789,83.30000305175781,76.94999694824219,79.80000305175781,4845150,2024-05-13
2024-05-20,82.94999694824219,82.94999694824219,83.9000015258789,78.19999694824219,79.80000305175781,4771118,2024-05-20
2024-05-27,78.4000015258789,78.4000015258789,87.19999694824219,77.0,84.30000305175781,12932985,2024-05-27
2024-06-03,76.8499984741211,76.8499984741211,81.25,66.5,81.0,8281826,2024-06-03
2024-06-10,77.51000213623047,77.51000213623047,78.98999786376953,76.26000213623047,76.9000015258789,6954333,2024-06-10
2024-06-17,79.37999725341797,79.37999725341797,82.75,75.0999984741211,77.51000213623047,8184548,2024-06-17
2024-06-24,78.1500015258789,78.1500015258789,83.9000015258789,77.8499984741211,78.51000213623047,11155507,2024-06-24
2024-07-01,75.9800033569336,75.9800033569336,79.44000244140625,75.5999984741211,78.54000091552734,5338921,2024-07-01
2024-07-08,75.61000061035156,75.61000061035156,79.0,75.0999984741211,76.33999633789062,5561294,2024-07-08
2024-07-15,72.5,72.5,77.0,72.0999984741211,75.98999786376953,2844789,2024-07-15
2024-07-22,81.02999877929688,81.02999877929688,81.80000305175781,69.4000015258789,72.5,8642145,2024-07-22
2024-07-29,82.44999694824219,82.44999694824219,85.2300033569336,80.41999816894531,81.9000015258789,14602506,2024-07-29
2024-08-05,94.83999633789062,94.83999633789062,96.30000305175781,76.25,80.0,53820052,2024-08-05
2024-08-12,91.44999694824219,91.44999694824219,98.5,89.12999725341797,94.9000015258789,19106338,2024-08-12
2024-08-19,96.41000366210938,96.41000366210938,103.25,91.55000305175781,91.98999786376953,31697665,2024-08-19
2024-08-26,92.44000244140625,92.44000244140625,99.94999694824219,91.37000274658203,96.5999984741211,14968746,2024-08-26
2024-09-02,92.5199966430664,92.5199966430664,95.8499984741211,89.0199966430664,92.58999633789062,13329168,2024-09-02
2024-09-09,91.26000213623047,91.26000213623047,92.8499984741211,87.0,92.5999984741211,7890567,2024-09-09
2024-09-16,85.36000061035156,85.36000061035156,92.98999786376953,78.54000091552734,91.94999694824219,15768402,2024-09-16
2024-09-23,84.55999755859375,84.55999755859375,87.25,82.1500015258789,85.69999694824219,9146408,2024-09-23
2024-09-30,80.81999969482422,80.81999969482422,85.56999969482422,80.0199966430664,83.86000061035156,5825147,2024-09-30
2024-10-07,79.54000091552734,79.54000091552734,80.69000244140625,74.58000183105469,79.5999984741211,7820886,2024-10-07
2024-10-14,79.98999786376953,79.98999786376953,83.58999633789062,77.16999816894531,79.54000091552734,6193969,2024-10-14
2024-10-21,73.08000183105469,73.08000183105469,80.44000244140625,72.19999694824219,80.30000305175781,5063498,2024-10-21
2024-10-28,78.0,78.0,78.3499984741211,72.22000122070312,73.20999908447266,3493835,2024-10-28
2024-11-04,74.48999786376953,74.48999786376953,79.4000015258789,74.0,78.13999938964844,4444146,2024-11-04
2024-11-11,70.61000061035156,70.61000061035156,75.18000030517578,70.0,74.0,2798771,2024-11-11
2024-11-18,72.0,72.0,72.88999938964844,68.11000061035156,70.9000015258789,2583891,2024-11-18
2024-11-25,72.87000274658203,72.87000274658203,75.08000183105469,71.19999694824219,73.25,3276125,2024-11-25
2024-12-02,74.47000122070312,74.47000122070312,76.08000183105469,72.20999908447266,73.5999984741211,3345384,2024-12-02
2024-12-09,73.94000244140625,73.94000244140625,79.5,73.25,74.45999908447266,5130408,2024-12-09
2024-12-16,73.58999633789062,73.58999633789062,77.6500015258789,73.43000030517578,74.44999694824219,3830338,2024-12-16
2024-12-23,70.16999816894531,70.16999816894531,73.94999694824219,69.41999816894531,73.58999633789062,2136033,2024-12-23
2024-12-30,72.43000030517578,72.43000030517578,73.4000015258789,68.75,69.30000305175781,2971905,2024-12-30
2025-01-06,67.33000183105469,67.33000183105469,74.0,66.97000122070312,72.75,4235689,2025-01-06
2025-01-13,65.75,65.75,67.26000213623047,61.95000076293945,66.0,3193621,2025-01-13
2025-01-20,63.400001525878906,63.400001525878906,68.29000091552734,62.25,65.70999908447266,3161741,2025-01-20
2025-01-27,66.55000305175781,66.55000305175781,68.98999786376953,58.650001525878906,62.04999923706055,5265885,2025-01-27
2025-02-03,71.87999725341797,71.87999725341797,73.5999984741211,65.2300033569336,65.9000015258789,3800533,2025-02-03
2025-02-10,67.4800033569336,67.4800033569336,76.30000305175781,66.5199966430664,72.16999816894531,11459497,2025-02-10
2025-02-17,67.22000122070312,67.22000122070312,69.9000015258789,63.06999969482422,67.9800033569336,4684861,2025-02-17
2025-02-24,61.83000183105469,61.83000183105469,67.22000122070312,60.0099983215332,66.5,2882484,2025-02-24
2025-03-03,65.62999725341797,65.62999725341797,66.54000091552734,57.04999923706055,61.599998474121094,5746297,2025-03-03
2025-03-10,62.439998626708984,62.439998626708984,68.19999694824219,61.9900016784668,65.0,3722422,2025-03-10
2025-03-17,65.76000213623047,65.76000213623047,67.19999694824219,61.20000076293945,62.79999923706055,4859846,2025-03-17
2025-03-24,66.11000061035156,66.11000061035156,68.16000366210938,62.560001373291016,66.55999755859375,9765105,2025-03-24
2025-03-31,68.56999969482422,68.56999969482422,72.19000244140625,65.25,66.11000061035156,5346012,2025-03-31
2025-04-07,65.44000244140625,65.44000244140625,67.69999694824219,62.0,62.61000061035156,3772181,2025-04-07
2025-04-14,69.55999755859375,69.55999755859375,70.5999984741211,65.44000244140625,65.44000244140625,2423489,2025-04-14
2025-04-21,65.47000122070312,65.47000122070312,70.5999984741211,64.11000061035156,69.5,4066385,2025-04-21
2025-04-28,63.72999954223633,63.72999954223633,66.8499984741211,63.13999938964844,66.5,1792484,2025-04-28
2025-05-05,58.27000045776367,58.27000045776367,65.38999938964844,56.29999923706055,63.400001525878906,5389880,2025-05-05
2025-05-12,65.26000213623047,65.26000213623047,66.5999984741211,61.0,61.400001525878906,3579123,2025-05-12
2025-05-19,64.48999786376953,64.48999786376953,67.63999938964844,63.61000061035156,65.4000015258789,3357420,2025-05-19
2025-05-26,67.55999755859375,67.55999755859375,70.0,62.900001525878906,64.80000305175781,5951917,2025-05-26
2025-06-02,70.9000015258789,70.9000015258789,75.55000305175781,67.01000213623047,67.55999755859375,12095544,2025-06-02
2025-06-09,69.87000274658203,69.87000274658203,74.79000091552734,68.75,70.98999786376953,5630720,2025-06-09
2025-06-16,66.91999816894531,66.91999816894531,70.41000366210938,65.7300033569336,69.87000274658203,3405242,2025-06-16
2025-06-23,69.52999877929688,69.52999877929688,71.7300033569336,65.88999938964844,66.9000015258789,3667402,2025-06-23
2025-06-30,66.98999786376953,66.98999786376953,70.69999694824219,66.44999694824219,69.19000244140625,2436941,2025-06-30
