Date,Adj Close_VALIANTLAB.NS,Close_VALIANTLAB.NS,High_VALIANTLAB.NS,Low_VALIANTLAB.NS,Open_VALIANTLAB.NS,Volume_VALIANTLAB.NS,Date
2024-03-04,164.8000030517578,164.8000030517578,174.85000610351562,158.5,173.35000610351562,463171,2024-03-04
2024-03-11,146.6999969482422,146.6999969482422,168.0500030517578,141.0,167.25,1276861,2024-03-11
2024-03-18,147.75,147.75,155.0,139.0,148.85000610351562,1733240,2024-03-18
2024-03-25,145.0500030517578,145.0500030517578,152.14999389648438,142.6999969482422,147.75,813120,2024-03-25
2024-04-01,165.85000610351562,165.85000610351562,169.89999389648438,147.25,147.25,1115146,2024-04-01
2024-04-08,166.8000030517578,166.8000030517578,171.89999389648438,162.1999969482422,166.4499969482422,536058,2024-04-08
2024-04-15,159.89999389648438,159.89999389648438,166.60000610351562,155.0,161.0,502178,2024-04-15
2024-04-22,157.3000030517578,157.3000030517578,162.5500030517578,155.5500030517578,158.0,257100,2024-04-22
2024-04-29,154.0500030517578,154.0500030517578,168.0,151.8000030517578,157.3000030517578,1059720,2024-04-29
2024-05-06,146.39999389648438,146.39999389648438,157.5,145.14999389648438,155.25,464864,2024-05-06
2024-05-13,146.60000610351562,146.60000610351562,150.6999969482422,139.5,145.0,777403,2024-05-13
2024-05-20,148.64999389648438,148.64999389648438,151.60000610351562,138.6999969482422,145.14999389648438,1006428,2024-05-20
2024-05-27,136.5500030517578,136.5500030517578,150.6999969482422,135.0,150.0,546101,2024-05-27
2024-06-03,147.60000610351562,147.60000610351562,149.0,129.3000030517578,139.4499969482422,1216493,2024-06-03
2024-06-10,146.50999450683594,146.50999450683594,153.89999389648438,145.00999450683594,150.0,526948,2024-06-10
2024-06-17,142.1699981689453,142.1699981689453,150.38999938964844,141.60000610351562,146.50999450683594,453847,2024-06-17
2024-06-24,138.77999877929688,138.77999877929688,144.94000244140625,136.5,143.9499969482422,547521,2024-06-24
2024-07-01,138.97999572753906,138.97999572753906,143.5,137.5500030517578,140.85000610351562,571237,2024-07-01
2024-07-08,150.77999877929688,150.77999877929688,157.49000549316406,131.91000366210938,138.9499969482422,1196614,2024-07-08
2024-07-15,133.02000427246094,133.02000427246094,153.0,131.0,153.0,497604,2024-07-15
2024-07-22,138.2100067138672,138.2100067138672,143.05999755859375,131.5,133.1999969482422,525439,2024-07-22
2024-07-29,134.00999450683594,134.00999450683594,140.0,132.0,140.0,952407,2024-07-29
2024-08-05,128.57000732421875,128.57000732421875,132.64999389648438,115.05000305175781,131.0,1357441,2024-08-05
2024-08-12,108.38999938964844,108.38999938964844,129.1199951171875,108.0,128.57000732421875,673791,2024-08-12
2024-08-19,110.12000274658203,110.12000274658203,115.5,100.19999694824219,108.5,1475069,2024-08-19
2024-08-26,117.26000213623047,117.26000213623047,119.80000305175781,107.41999816894531,109.0,1102160,2024-08-26
2024-09-02,129.4199981689453,129.4199981689453,130.0,113.70999908447266,118.0,1589742,2024-09-02
2024-09-09,127.52999877929688,127.52999877929688,133.49000549316406,126.4800033569336,132.0,1046365,2024-09-09
2024-09-16,119.7699966430664,119.7699966430664,131.8000030517578,116.01000213623047,127.52999877929688,659664,2024-09-16
2024-09-23,118.66999816894531,118.66999816894531,124.43000030517578,116.0999984741211,119.55000305175781,391111,2024-09-23
2024-09-30,118.0199966430664,118.0199966430664,123.91000366210938,115.81999969482422,118.66999816894531,250795,2024-09-30
2024-10-07,114.81999969482422,114.81999969482422,120.31999969482422,110.19999694824219,118.0199966430664,251152,2024-10-07
2024-10-14,114.27999877929688,114.27999877929688,120.4800033569336,112.25,114.86000061035156,354499,2024-10-14
2024-10-21,107.16999816894531,107.16999816894531,116.5,106.01000213623047,116.5,282623,2024-10-21
2024-10-28,116.44000244140625,116.44000244140625,120.0,106.0999984741211,106.0999984741211,259141,2024-10-28
2024-11-04,114.11000061035156,114.11000061035156,119.4000015258789,112.01000213623047,118.5,223642,2024-11-04
2024-11-11,111.0999984741211,111.0999984741211,116.69999694824219,103.2300033569336,114.11000061035156,232909,2024-11-11
2024-11-18,110.93000030517578,110.93000030517578,113.25,107.95999908447266,113.25,416668,2024-11-18
2024-11-25,116.05999755859375,116.05999755859375,119.01000213623047,110.51000213623047,112.5,810374,2024-11-25
2024-12-02,119.41000366210938,119.41000366210938,122.5,114.54000091552734,115.0,587793,2024-12-02
2024-12-09,117.4800033569336,117.4800033569336,127.68000030517578,117.12000274658203,119.41000366210938,1084575,2024-12-09
2024-12-16,116.36000061035156,116.36000061035156,130.1999969482422,109.79000091552734,117.72000122070312,4065467,2024-12-16
2024-12-23,114.12999725341797,114.12999725341797,116.98999786376953,112.0999984741211,116.80000305175781,206801,2024-12-23
2024-12-30,113.26000213623047,113.26000213623047,115.8499984741211,110.5999984741211,114.9000015258789,393093,2024-12-30
2025-01-06,108.02999877929688,108.02999877929688,114.94999694824219,105.30999755859375,114.94999694824219,246052,2025-01-06
2025-01-13,110.0,110.0,117.8499984741211,99.0999984741211,106.0,501362,2025-01-13
2025-01-20,104.66000366210938,104.66000366210938,113.98999786376953,104.11000061035156,111.16999816894531,769001,2025-01-20
2025-01-27,100.11000061035156,100.11000061035156,104.69999694824219,94.98999786376953,103.5,465439,2025-01-27
2025-02-03,106.41999816894531,106.41999816894531,110.9000015258789,97.55999755859375,100.0999984741211,305183,2025-02-03
2025-02-10,95.02999877929688,95.02999877929688,109.41999816894531,93.19999694824219,108.44999694824219,153731,2025-02-10
2025-02-17,92.70999908447266,92.70999908447266,98.44999694824219,91.25,92.04000091552734,168688,2025-02-17
2025-02-24,80.62000274658203,80.62000274658203,94.55000305175781,79.69999694824219,94.55000305175781,293802,2025-02-24
2025-03-03,86.4800033569336,86.4800033569336,92.26000213623047,80.0,82.1500015258789,554816,2025-03-03
2025-03-10,80.77999877929688,80.77999877929688,88.5,80.0,86.0999984741211,267042,2025-03-10
2025-03-17,84.88999938964844,84.88999938964844,86.08999633789062,80.0,80.0,321756,2025-03-17
2025-03-24,76.58000183105469,76.58000183105469,86.08999633789062,75.19999694824219,84.98999786376953,1311648,2025-03-24
2025-03-31,89.08000183105469,89.08000183105469,96.0,76.58000183105469,76.58000183105469,630457,2025-03-31
2025-04-07,93.79000091552734,93.79000091552734,97.98999786376953,84.0,88.0,629021,2025-04-07
2025-04-14,95.51000213623047,95.51000213623047,100.0,92.25,93.79000091552734,215221,2025-04-14
2025-04-21,99.25,99.25,110.55000305175781,93.5,93.5,326086,2025-04-21
2025-04-28,95.0,95.0,102.9000015258789,93.98999786376953,97.0199966430664,21113,2025-04-28
2025-05-05,98.4800033569336,98.4800033569336,101.0,91.5,101.0,249514,2025-05-05
2025-05-12,103.29000091552734,103.29000091552734,104.88999938964844,98.0,98.0,88557,2025-05-12
2025-05-19,101.58000183105469,101.58000183105469,107.9000015258789,100.8499984741211,103.5,141606,2025-05-19
2025-05-26,103.12999725341797,103.12999725341797,106.19999694824219,99.0,102.0,423303,2025-05-26
2025-06-02,107.16999816894531,107.16999816894531,107.9000015258789,100.5999984741211,103.48999786376953,243393,2025-06-02
2025-06-09,119.97000122070312,119.97000122070312,124.4000015258789,106.4000015258789,106.5,565748,2025-06-09
2025-06-16,109.5,109.5,120.25,106.0999984741211,118.80000305175781,84575,2025-06-16
2025-06-23,114.97000122070312,114.97000122070312,117.9800033569336,105.5,105.5,115240,2025-06-23
2025-06-30,116.87999725341797,116.87999725341797,120.20999908447266,108.5999984741211,117.80000305175781,114003,2025-06-30
2025-07-07,112.08999633789062,112.08999633789062,120.5,111.72000122070312,120.5,310826,2025-07-07
2025-07-14,114.80000305175781,114.80000305175781,116.30000305175781,109.37000274658203,111.75,68728,2025-07-14
