Date,Adj Close_FINCABLES.NS,Close_FINCABLES.NS,High_FINCABLES.NS,Low_FINCABLES.NS,Open_FINCABLES.NS,Volume_FINCABLES.NS,Date
2022-05-16,352.6995544433594,361.5,371.0,343.5,365.25,914059,2022-05-16
2022-05-23,353.7239990234375,362.54998779296875,372.0,345.0,368.29998779296875,567193,2022-05-23
2022-05-30,386.4572448730469,396.1000061035156,409.3999938964844,360.0,376.0,2998192,2022-05-30
2022-06-06,374.8469543457031,384.20001220703125,399.0,377.6000061035156,395.0,704966,2022-06-06
2022-06-13,353.4800720214844,362.29998779296875,384.3999938964844,351.3999938964844,376.1499938964844,492660,2022-06-13
2022-06-20,367.18804931640625,376.3500061035156,379.0,351.1000061035156,367.75,342181,2022-06-20
2022-06-27,369.1881408691406,378.3999938964844,389.5,371.3500061035156,383.8500061035156,455251,2022-06-27
2022-07-04,398.018798828125,407.95001220703125,413.8999938964844,378.1499938964844,380.79998779296875,1158372,2022-07-04
2022-07-11,397.9700012207031,407.8999938964844,420.0,401.04998779296875,407.95001220703125,795742,2022-07-11
2022-07-18,402.701904296875,412.75,419.3999938964844,402.20001220703125,410.0,638925,2022-07-18
2022-07-25,414.21466064453125,424.54998779296875,431.0,393.1499938964844,416.0,2163185,2022-07-25
2022-08-01,419.33685302734375,429.79998779296875,442.0,414.95001220703125,428.70001220703125,1768929,2022-08-01
2022-08-08,425.4835205078125,436.1000061035156,443.8500061035156,424.79998779296875,430.70001220703125,1492962,2022-08-08
2022-08-15,444.16729736328125,455.25,478.0,436.1000061035156,436.1000061035156,1977057,2022-08-15
2022-08-22,435.6790771484375,446.54998779296875,455.29998779296875,438.0,455.25,1087765,2022-08-22
2022-08-29,447.3869323730469,458.54998779296875,465.8999938964844,436.70001220703125,439.79998779296875,1038491,2022-08-29
2022-09-05,469.6806640625,481.3999938964844,493.8500061035156,458.1000061035156,464.0,1575252,2022-09-05
2022-09-12,453.33843994140625,464.6499938964844,489.8999938964844,460.79998779296875,481.8999938964844,636866,2022-09-12
2022-09-19,459.2510070800781,464.8500061035156,480.29998779296875,444.29998779296875,469.29998779296875,943319,2022-09-19
2022-09-26,463.8450012207031,469.5,489.8500061035156,437.0,464.8500061035156,2065438,2022-09-26
2022-10-03,458.1148681640625,463.70001220703125,475.0,452.6000061035156,470.95001220703125,491538,2022-10-03
2022-10-10,456.1389465332031,461.70001220703125,470.0,446.8999938964844,463.70001220703125,929472,2022-10-10
2022-10-17,488.8896789550781,494.8500061035156,502.3999938964844,445.79998779296875,463.5,3526246,2022-10-17
2022-10-24,514.08251953125,520.3499755859375,538.0,500.0,500.0,4103348,2022-10-24
2022-10-31,523.3693237304688,529.75,535.9000244140625,508.1499938964844,521.0,1676701,2022-10-31
2022-11-07,508.4017639160156,514.5999755859375,545.2999877929688,501.0,533.9500122070312,2122622,2022-11-07
2022-11-14,524.9500122070312,531.3499755859375,545.0,506.79998779296875,512.7000122070312,1294195,2022-11-14
2022-11-21,559.4296875,566.25,570.0,530.0499877929688,530.0499877929688,3174470,2022-11-21
2022-11-28,557.3055419921875,564.0999755859375,593.9000244140625,546.2000122070312,568.0,2211106,2022-11-28
2022-12-05,546.7838745117188,553.4500122070312,578.0,548.75,568.8499755859375,887466,2022-12-05
2022-12-12,571.1863403320312,578.1500244140625,592.0,550.7999877929688,553.4500122070312,1431923,2022-12-12
2022-12-19,503.3138122558594,509.45001220703125,583.8499755859375,491.1499938964844,580.0,1044709,2022-12-19
2022-12-26,540.4114990234375,547.0,559.0,496.5,501.6000061035156,822920,2022-12-26
2023-01-02,536.4103393554688,542.9500122070312,565.4000244140625,532.1500244140625,550.0,1139509,2023-01-02
2023-01-09,545.9440307617188,552.5999755859375,557.0,524.75,549.8499755859375,1039925,2023-01-09
2023-01-16,550.1428833007812,556.8499755859375,573.4000244140625,549.7999877929688,554.5999755859375,734559,2023-01-16
2023-01-23,535.274169921875,541.7999877929688,564.9000244140625,526.4000244140625,560.0,417660,2023-01-23
2023-01-30,548.1175537109375,554.7999877929688,567.5999755859375,525.3499755859375,542.0,690739,2023-01-30
2023-02-06,557.6019897460938,564.4000244140625,586.0,535.0,550.0,1141689,2023-02-06
2023-02-13,673.143310546875,681.3499755859375,700.0,557.9000244140625,567.7999877929688,9019903,2023-02-13
2023-02-20,712.0687866210938,720.75,729.75,648.5,681.3499755859375,7651993,2023-02-20
2023-02-27,766.5050659179688,775.8499755859375,782.9500122070312,690.5499877929688,720.75,5819355,2023-02-27
2023-03-06,781.966552734375,791.5,847.5,758.2000122070312,775.8499755859375,8522254,2023-03-06
2023-03-13,798.0702514648438,807.7999877929688,821.4000244140625,740.5,787.4000244140625,4052398,2023-03-13
2023-03-20,778.5087890625,788.0,826.25,771.3499755859375,795.0,3510772,2023-03-20
2023-03-27,802.8124389648438,812.5999755859375,842.0,762.0,790.0,2268184,2023-03-27
2023-04-03,853.1488037109375,863.5499877929688,874.0,808.0,823.2999877929688,2318155,2023-04-03
2023-04-10,827.75830078125,837.8499755859375,894.9500122070312,816.5999755859375,877.9000244140625,2744500,2023-04-10
2023-04-17,843.17041015625,853.4500122070312,876.7999877929688,836.5,840.0,2957430,2023-04-17
2023-04-24,884.1212158203125,894.9000244140625,922.4000244140625,855.25,861.9500122070312,2684889,2023-04-24
2023-05-01,890.1970825195312,901.0499877929688,922.7000122070312,890.0,894.9000244140625,1516492,2023-05-01
2023-05-08,892.1235961914062,903.0,937.0,881.0,905.2000122070312,1672382,2023-05-08
2023-05-15,870.2404174804688,880.8499755859375,914.0,875.0,905.7000122070312,878430,2023-05-15
2023-05-22,833.0933227539062,843.25,891.4500122070312,828.0,884.9000244140625,1155816,2023-05-22
