Date,Adj Close_GMBREW.NS,Close_GMBREW.NS,High_GMBREW.NS,Low_GMBREW.NS,Open_GMBREW.NS,Volume_GMBREW.NS,Date
2023-07-17,465.4402770996094,474.6000061035156,484.6400146484375,472.1600036621094,476.0799865722656,204070,2023-07-17
2023-07-24,467.0878601074219,476.2799987792969,481.67999267578125,468.0,478.3999938964844,157849,2023-07-24
2023-07-31,459.8306884765625,468.8800048828125,483.9599914550781,466.67999267578125,479.20001220703125,169147,2023-07-31
2023-08-07,456.37860107421875,465.3599853515625,475.1199951171875,456.79998779296875,475.1199951171875,165404,2023-08-07
2023-08-14,468.3823547363281,477.6000061035156,487.760009765625,459.55999755859375,468.79998779296875,362878,2023-08-14
2023-08-21,458.45770263671875,467.4800109863281,480.0,465.6000061035156,477.6000061035156,173242,2023-08-21
2023-08-28,469.2061767578125,478.44000244140625,485.20001220703125,469.1600036621094,472.0,213594,2023-08-28
2023-09-04,547.3875732421875,558.1599731445312,572.0800170898438,482.2799987792969,483.20001220703125,1732084,2023-09-04
2023-09-11,520.2025756835938,530.4400024414062,568.0,508.0,568.0,474335,2023-09-11
2023-09-18,532.2455444335938,542.719970703125,570.4000244140625,522.4000244140625,522.4000244140625,712524,2023-09-18
2023-09-25,570.0614013671875,581.280029296875,600.0,540.0399780273438,541.5599975585938,854347,2023-09-25
2023-10-02,613.094482421875,625.1599731445312,628.7999877929688,565.5999755859375,581.280029296875,832825,2023-10-02
2023-10-09,551.46728515625,562.3200073242188,646.4000244140625,559.2000122070312,624.6400146484375,2510646,2023-10-09
2023-10-16,519.2218627929688,529.4400024414062,571.0399780273438,526.0399780273438,564.239990234375,362121,2023-10-16
2023-10-23,501.647705078125,511.5199890136719,537.5999755859375,492.0400085449219,532.7999877929688,273638,2023-10-23
2023-10-30,528.7542724609375,539.1599731445312,544.3200073242188,504.44000244140625,511.5199890136719,241236,2023-10-30
2023-11-06,517.731201171875,527.9199829101562,549.3200073242188,526.4400024414062,539.1599731445312,222919,2023-11-06
2023-11-13,520.2810668945312,530.52001953125,542.2000122070312,520.7999877929688,536.0,198608,2023-11-13
2023-11-20,514.7106323242188,524.8400268554688,539.6799926757812,523.2000122070312,533.280029296875,171672,2023-11-20
2023-11-27,514.5537109375,524.6799926757812,529.4000244140625,516.8800048828125,524.8400268554688,146683,2023-11-27
2023-12-04,525.53759765625,535.8800048828125,554.4000244140625,526.4400024414062,529.0800170898438,353455,2023-12-04
2023-12-11,529.1465454101562,539.5599975585938,544.760009765625,532.8800048828125,540.4400024414062,161600,2023-12-11
2023-12-18,534.9915771484375,545.52001953125,573.5999755859375,534.0,542.4000244140625,597846,2023-12-18
2023-12-25,553.5071411132812,564.4000244140625,575.1599731445312,545.52001953125,545.52001953125,284255,2023-12-25
2024-01-01,531.6571655273438,542.1199951171875,585.5999755859375,524.9600219726562,572.8800048828125,1258623,2024-01-01
2024-01-08,529.6173095703125,540.0399780273438,547.8800048828125,532.1199951171875,539.3200073242188,306251,2024-01-08
2024-01-15,525.9298706054688,536.280029296875,544.0,521.760009765625,540.6400146484375,220309,2024-01-15
2024-01-22,508.4342041015625,518.4400024414062,536.280029296875,516.0,536.280029296875,107116,2024-01-22
2024-01-29,507.8064880371094,517.7999877929688,527.2000122070312,513.5999755859375,520.1199951171875,136835,2024-01-29
2024-02-05,502.9814758300781,512.8800048828125,528.0,497.7200012207031,523.2000122070312,192133,2024-02-05
2024-02-12,504.11907958984375,514.0399780273438,526.4000244140625,500.0,526.4000244140625,134398,2024-02-12
2024-02-19,494.50823974609375,504.239990234375,521.5999755859375,503.6000061035156,514.47998046875,137803,2024-02-19
2024-02-26,483.83819580078125,493.3599853515625,515.8800048828125,490.5199890136719,508.0,153404,2024-02-26
2024-03-04,486.70184326171875,496.2799987792969,504.0,489.9599914550781,499.67999267578125,117628,2024-03-04
2024-03-11,463.2827453613281,472.3999938964844,500.0,464.0400085449219,500.0,167047,2024-03-11
2024-03-18,515.6913452148438,525.8400268554688,528.5999755859375,473.3999938964844,476.79998779296875,326668,2024-03-18
2024-03-25,497.4111022949219,507.20001220703125,534.5999755859375,504.0799865722656,525.8400268554688,206274,2024-03-25
2024-04-01,595.4026489257812,607.1199951171875,651.7999877929688,516.0,520.0,5178868,2024-04-01
2024-04-08,604.3074340820312,616.2000122070312,639.4000244140625,594.4000244140625,615.2000122070312,799003,2024-04-08
2024-04-15,588.8123779296875,600.4000244140625,623.2000122070312,587.6400146484375,604.0,417574,2024-04-15
2024-04-22,613.7614135742188,625.8400268554688,638.5999755859375,601.6400146484375,604.0,621367,2024-04-22
2024-04-29,603.248291015625,615.1199951171875,660.0,612.8400268554688,631.8400268554688,765980,2024-04-29
