Date,Adj Close_CHOICEIN.NS,Close_CHOICEIN.NS,High_CHOICEIN.NS,Low_CHOICEIN.NS,Open_CHOICEIN.NS,Volume_CHOICEIN.NS,Date
2023-05-22,180.35000610351562,180.35000610351562,185.5,174.0,178.35000610351562,6407230,2023-05-22
2023-05-29,187.39999389648438,187.39999389648438,194.27499389648438,180.5749969482422,181.25,10915012,2023-05-29
2023-06-05,191.27499389648438,191.27499389648438,196.47500610351562,185.25,189.1999969482422,6335034,2023-06-05
2023-06-12,191.1750030517578,191.1750030517578,197.4499969482422,188.6999969482422,192.4250030517578,7160786,2023-06-12
2023-06-19,188.9250030517578,188.9250030517578,195.9499969482422,187.8000030517578,195.0,5114544,2023-06-19
2023-06-26,180.47500610351562,180.47500610351562,190.10000610351562,178.625,189.72500610351562,3635622,2023-06-26
2023-07-03,172.47500610351562,172.47500610351562,181.27499389648438,166.125,181.25,10477590,2023-07-03
2023-07-10,173.0500030517578,173.0500030517578,174.875,168.39999389648438,174.0,7775800,2023-07-10
2023-07-17,175.3000030517578,175.3000030517578,181.75,171.25,174.3249969482422,11911956,2023-07-17
2023-07-24,175.85000610351562,175.85000610351562,179.75,174.6999969482422,175.4499969482422,7108310,2023-07-24
2023-07-31,176.875,176.875,181.0,173.5500030517578,176.875,4847536,2023-07-31
2023-08-07,178.9250030517578,178.9250030517578,180.0,175.75,177.5,10570100,2023-08-07
2023-08-14,182.27499389648438,182.27499389648438,183.39999389648438,176.0,178.9250030517578,6955086,2023-08-14
2023-08-21,182.52499389648438,182.52499389648438,186.89999389648438,181.60000610351562,182.0,7788336,2023-08-21
2023-08-28,190.10000610351562,190.10000610351562,193.3249969482422,180.52499389648438,183.02499389648438,5966844,2023-08-28
2023-09-04,204.77499389648438,204.77499389648438,207.10000610351562,188.625,189.64999389648438,8558330,2023-09-04
2023-09-11,207.6999969482422,207.6999969482422,210.375,199.5,206.1999969482422,5582064,2023-09-11
2023-09-18,206.1999969482422,206.1999969482422,209.4499969482422,202.85000610351562,207.5,2817210,2023-09-18
2023-09-25,210.5749969482422,210.5749969482422,211.3249969482422,205.9499969482422,206.0,4656948,2023-09-25
2023-10-02,212.6750030517578,212.6750030517578,213.39999389648438,210.1750030517578,210.5749969482422,3663478,2023-10-02
2023-10-09,211.60000610351562,211.60000610351562,213.875,207.97500610351562,213.875,3967798,2023-10-09
2023-10-16,213.22500610351562,213.22500610351562,220.5,211.64999389648438,213.4499969482422,6173822,2023-10-16
2023-10-23,204.14999389648438,204.14999389648438,214.35000610351562,193.5,213.22500610351562,3166550,2023-10-23
2023-10-30,204.22500610351562,204.22500610351562,207.4250030517578,201.0,204.9499969482422,3094142,2023-10-30
2023-11-06,220.5500030517578,220.5500030517578,224.0,202.8000030517578,206.4499969482422,5861916,2023-11-06
2023-11-13,220.14999389648438,220.14999389648438,227.8249969482422,216.8000030517578,226.875,3480014,2023-11-13
2023-11-20,218.5749969482422,218.5749969482422,221.4499969482422,217.64999389648438,220.75,2314480,2023-11-20
2023-11-27,218.25,218.25,223.1999969482422,215.8000030517578,218.5749969482422,1727944,2023-11-27
2023-12-04,221.5500030517578,221.5500030517578,227.5,216.5,220.47500610351562,7325214,2023-12-04
2023-12-11,221.60000610351562,221.60000610351562,228.75,220.60000610351562,228.75,6044992,2023-12-11
2023-12-18,218.22500610351562,218.22500610351562,229.0,217.02499389648438,222.6999969482422,2633166,2023-12-18
2023-12-25,230.125,230.125,231.3000030517578,214.89999389648438,218.22500610351562,4477364,2023-12-25
2024-01-01,240.27499389648438,240.27499389648438,242.75,229.0,233.5,4253182,2024-01-01
2024-01-08,267.9750061035156,267.9750061035156,272.25,241.0500030517578,241.9499969482422,10837818,2024-01-08
2024-01-15,270.82501220703125,270.82501220703125,280.0,262.5,267.9750061035156,7495520,2024-01-15
2024-01-22,270.6000061035156,270.6000061035156,275.3500061035156,260.5,270.82501220703125,2278234,2024-01-22
