Date,Adj Close_ALKEM.NS,Close_ALKEM.NS,High_ALKEM.NS,Low_ALKEM.NS,Open_ALKEM.NS,Volume_ALKEM.NS,Date
2022-11-21,3014.424560546875,3068.35009765625,3140.0,3050.0,3130.0,483534,2022-11-21
2022-11-28,3059.71435546875,3114.449951171875,3174.800048828125,3033.0,3069.0,372984,2022-11-28
2022-12-05,3083.046875,3138.199951171875,3163.0,3060.0,3140.0,177223,2022-12-05
2022-12-12,2996.937255859375,3050.550048828125,3174.75,3040.300048828125,3174.75,457396,2022-12-12
2022-12-19,2986.13037109375,3039.550048828125,3119.800048828125,2940.050048828125,3042.89990234375,710611,2022-12-19
2022-12-26,2951.89306640625,3004.699951171875,3102.39990234375,2981.0,3046.199951171875,297451,2022-12-26
2023-01-02,2978.07470703125,3031.35009765625,3087.449951171875,2973.0,3005.0,276326,2023-01-02
2023-01-09,2972.081787109375,3025.25,3094.800048828125,2998.5,3047.300048828125,338758,2023-01-09
2023-01-16,2979.106201171875,3032.39990234375,3077.949951171875,3008.550048828125,3020.0,96328,2023-01-16
2023-01-23,2947.96337890625,3000.699951171875,3061.449951171875,2983.0,3044.949951171875,182860,2023-01-23
2023-01-30,2997.624755859375,3051.25,3086.199951171875,2980.0,2999.0,357589,2023-01-30
2023-02-06,3234.83154296875,3292.699951171875,3350.0,3040.550048828125,3051.949951171875,1322710,2023-02-06
2023-02-13,3204.621826171875,3261.949951171875,3350.0,3191.0,3297.949951171875,489069,2023-02-13
2023-02-20,3239.399658203125,3297.35009765625,3329.0,3227.199951171875,3260.0,555530,2023-02-20
2023-02-27,3103.677734375,3159.199951171875,3310.0,3071.050048828125,3297.0,389715,2023-02-27
2023-03-06,3090.5625,3145.85009765625,3216.5,3104.550048828125,3159.89990234375,140596,2023-03-06
2023-03-13,3058.53515625,3113.25,3188.5,3042.300048828125,3117.35009765625,283597,2023-03-13
2023-03-20,3098.32373046875,3153.75,3225.0,3087.60009765625,3100.85009765625,511428,2023-03-20
