Date,Adj Close_AARTISURF.NS,Close_AARTISURF.NS,High_AARTISURF.NS,Low_AARTISURF.NS,Open_AARTISURF.NS,Volume_AARTISURF.NS,Date
2021-11-15,1139.7391357421875,1139.7391357421875,1207.7818603515625,1135.849609375,1201.33203125,56169,2021-11-15
2021-11-22,1067.8070068359375,1067.8070068359375,1151.1124267578125,1063.4742431640625,1151.1124267578125,91640,2021-11-22
2021-11-29,1032.1116943359375,1032.1116943359375,1085.1376953125,987.1109619140625,1062.4896240234375,294950,2021-11-29
2021-12-06,1096.36328125,1096.36328125,1117.6326904296875,1007.4449462890625,1031.9639892578125,114593,2021-12-06
2021-12-13,1026.7943115234375,1026.7943115234375,1125.4610595703125,1022.3139038085938,1097.938720703125,84143,2021-12-13
2021-12-20,970.3218383789062,970.3218383789062,1019.162841796875,945.3104858398438,1019.162841796875,59461,2021-12-20
2021-12-27,1042.5494384765625,1042.5494384765625,1095.9693603515625,953.1880493164062,990.0158081054688,188878,2021-12-27
2022-01-03,1043.977294921875,1043.977294921875,1094.0,1009.0204467773438,1060.520263671875,211702,2022-01-03
2022-01-10,1036.1981201171875,1036.1981201171875,1053.6273193359375,1021.1322631835938,1053.6273193359375,48281,2022-01-10
2022-01-17,974.1129150390625,974.1129150390625,1058.3538818359375,966.973876953125,1052.642578125,58290,2022-01-17
2022-01-24,945.9013061523438,945.9013061523438,984.6984252929688,934.7249755859375,974.1129150390625,40879,2022-01-24
2022-01-31,948.80615234375,948.80615234375,1004.3923950195312,918.42822265625,963.0350341796875,140452,2022-01-31
2022-02-07,859.6909790039062,859.6909790039062,960.0809936523438,851.76416015625,945.3104858398438,102995,2022-02-07
2022-02-14,851.6656494140625,851.6656494140625,930.6384887695312,773.9729614257812,854.71826171875,286151,2022-02-14
2022-02-21,784.0661010742188,784.0661010742188,860.6264038085938,738.5238037109375,847.8253173828125,73087,2022-02-21
2022-02-28,795.7840576171875,795.7840576171875,822.1246948242188,753.343505859375,777.9117431640625,124571,2022-02-28
2022-03-07,782.4906005859375,782.4906005859375,820.9430541992188,748.9124145507812,792.6822509765625,155211,2022-03-07
2022-03-14,755.263671875,755.263671875,783.8199462890625,738.5730590820312,783.8199462890625,63928,2022-03-14
2022-03-21,786.6755981445312,786.6755981445312,906.3656616210938,738.5238037109375,738.5238037109375,302201,2022-03-21
2022-03-28,744.6289672851562,744.6289672851562,791.7467651367188,733.600341796875,782.8352661132812,160146,2022-03-28
2022-04-04,945.6551513671875,945.6551513671875,950.2340087890625,755.8052978515625,755.8052978515625,287353,2022-04-04
2022-04-11,888.788818359375,888.788818359375,965.9891357421875,885.834716796875,965.9891357421875,41845,2022-04-11
2022-04-18,850.139404296875,850.139404296875,889.1826782226562,801.6430053710938,885.243896484375,56061,2022-04-18
2022-04-25,771.806640625,771.806640625,848.81005859375,768.0647583007812,841.9171752929688,54936,2022-04-25
2022-05-02,742.5610961914062,742.5610961914062,787.7587280273438,726.7074584960938,771.0188598632812,43888,2022-05-02
2022-05-09,661.323486328125,661.323486328125,758.2177734375,646.9468383789062,758.2177734375,53624,2022-05-09
2022-05-16,710.0167846679688,710.0167846679688,753.2450561523438,646.0114135742188,646.0114135742188,53892,2022-05-16
2022-05-23,671.6135864257812,671.6135864257812,724.294921875,656.74462890625,724.2456665039062,32523,2022-05-23
2022-05-30,687.71337890625,687.71337890625,713.9063720703125,659.7479248046875,699.0374145507812,35726,2022-05-30
2022-06-06,678.3095092773438,678.3095092773438,708.9828491210938,669.5949096679688,708.9828491210938,17227,2022-06-06
2022-06-13,617.061279296875,617.061279296875,713.9063720703125,600.666015625,656.7938232421875,30512,2022-06-13
2022-06-20,614.1564331054688,614.1564331054688,643.008056640625,594.1177978515625,641.0386962890625,44908,2022-06-20
2022-06-27,625.628173828125,625.628173828125,638.4784545898438,608.5436401367188,623.5110473632812,57702,2022-06-27
2022-07-04,673.9276123046875,673.9276123046875,683.3807373046875,618.4398193359375,623.8064575195312,58665,2022-07-04
2022-07-11,708.2935791015625,708.2935791015625,755.6575927734375,670.8258056640625,685.35009765625,73846,2022-07-11
2022-07-18,745.8598022460938,745.8598022460938,757.2330932617188,715.875732421875,728.6768188476562,35283,2022-07-18
2022-07-25,728.1845092773438,728.1845092773438,772.0035400390625,704.0593872070312,756.3961181640625,31946,2022-07-25
2022-08-01,758.956298828125,758.956298828125,830.7900390625,733.600341796875,733.600341796875,111234,2022-08-01
2022-08-08,741.8225708007812,741.8225708007812,777.9117431640625,738.5238037109375,777.9117431640625,29494,2022-08-08
2022-08-15,740.7393798828125,740.7393798828125,768.0647583007812,728.6768188476562,741.8225708007812,32168,2022-08-15
2022-08-22,739.5577392578125,739.5577392578125,755.0175170898438,721.63623046875,745.6629028320312,25439,2022-08-22
2022-08-29,847.1360473632812,847.1360473632812,934.2818603515625,704.0593872070312,708.9828491210938,505653,2022-08-29
2022-09-05,815.921142578125,815.921142578125,870.2764892578125,812.376220703125,851.17333984375,111936,2022-09-05
2022-09-12,816.7088623046875,816.7088623046875,908.6304931640625,810.4067993164062,817.2996826171875,202736,2022-09-12
2022-09-19,795.39013671875,795.39013671875,837.9783325195312,790.07275390625,822.6663208007812,52847,2022-09-19
2022-09-26,752.752685546875,752.752685546875,788.8419189453125,738.5238037109375,788.8419189453125,47452,2022-09-26
2022-10-03,764.7660522460938,764.7660522460938,787.7587280273438,740.4932250976562,751.3248901367188,28540,2022-10-03
2022-10-10,766.78466796875,766.78466796875,886.2285766601562,754.3282470703125,772.98828125,46828,2022-10-10
2022-10-17,739.508544921875,739.508544921875,777.9609985351562,738.474609375,765.2091674804688,24895,2022-10-17
2022-10-24,720.602294921875,720.602294921875,757.2823486328125,714.0048217773438,746.8445434570312,20214,2022-10-24
2022-10-31,788.2510986328125,788.2510986328125,823.3063354492188,709.9675903320312,714.8910522460938,167338,2022-10-31
2022-11-07,721.8824462890625,721.8824462890625,775.9423828125,718.829833984375,775.9423828125,52720,2022-11-07
2022-11-14,703.3700561523438,703.3700561523438,732.6156005859375,699.234375,727.8890991210938,21551,2022-11-14
2022-11-21,714.7433471679688,714.7433471679688,773.9237060546875,685.6455078125,706.3241577148438,82732,2022-11-21
2022-11-28,699.7759399414062,699.7759399414062,728.5291137695312,695.2955322265625,712.0354614257812,43630,2022-11-28
2022-12-05,687.6641235351562,687.6641235351562,706.9642333984375,684.3654174804688,702.0899658203125,30004,2022-12-05
2022-12-12,658.073974609375,658.073974609375,692.2429809570312,655.8091430664062,682.39599609375,45341,2022-12-12
2022-12-19,599.3859252929688,599.3859252929688,688.30419921875,595.7425537109375,658.073974609375,41702,2022-12-19
2022-12-26,623.560302734375,623.560302734375,635.1304931640625,586.978759765625,615.4365234375,36684,2022-12-26
2023-01-02,627.4005737304688,627.4005737304688,684.316162109375,617.4551391601562,628.2376098632812,80530,2023-01-02
2023-01-09,631.4871215820312,631.4871215820312,654.2828979492188,614.4518432617188,627.4005737304688,52228,2023-01-09
2023-01-16,572.5,572.5,644.9774780273438,563.0,637.7891845703125,81979,2023-01-16
2023-01-23,558.8499755859375,558.8499755859375,611.0,555.5,575.0,60644,2023-01-23
2023-01-30,530.4000244140625,530.4000244140625,565.0,499.1499938964844,564.3499755859375,104734,2023-01-30
2023-02-06,543.0499877929688,543.0499877929688,605.0499877929688,512.0,530.4000244140625,456063,2023-02-06
2023-02-13,542.0499877929688,542.0499877929688,577.75,531.0499877929688,548.9000244140625,95613,2023-02-13
2023-02-20,525.5499877929688,525.5499877929688,544.0,518.5999755859375,544.0,24390,2023-02-20
2023-02-27,524.75,524.75,534.5,510.0,525.5499877929688,25870,2023-02-27
2023-03-06,524.6500244140625,524.6500244140625,549.8499755859375,518.0999755859375,528.0,45888,2023-03-06
2023-03-13,483.6499938964844,483.6499938964844,528.0,479.95001220703125,522.5,56570,2023-03-13
2023-03-20,459.8500061035156,459.8500061035156,496.0,455.1000061035156,485.5,160445,2023-03-20
2023-03-27,453.70001220703125,453.70001220703125,460.6499938964844,418.04998779296875,460.0,98579,2023-03-27
2023-04-03,475.75,475.75,487.5,454.95001220703125,460.04998779296875,28207,2023-04-03
2023-04-10,578.1500244140625,578.1500244140625,643.7999877929688,469.04998779296875,475.5,1387301,2023-04-10
2023-04-17,589.8499755859375,589.8499755859375,625.0,556.0999755859375,577.9000244140625,94958,2023-04-17
2023-04-24,685.7000122070312,685.7000122070312,719.3499755859375,590.5999755859375,601.7999877929688,450338,2023-04-24
2023-05-01,638.7000122070312,638.7000122070312,689.0,635.0999755859375,685.7000122070312,113638,2023-05-01
2023-05-08,646.7999877929688,646.7999877929688,670.8499755859375,630.5,642.8499755859375,67894,2023-05-08
2023-05-15,617.9500122070312,617.9500122070312,652.5499877929688,614.75,650.0,41784,2023-05-15
2023-05-22,627.9000244140625,627.9000244140625,645.0999755859375,611.0,628.0,33347,2023-05-22
2023-05-29,622.1500244140625,622.1500244140625,636.5,606.4000244140625,629.0499877929688,22688,2023-05-29
2023-06-05,626.9000244140625,626.9000244140625,641.9500122070312,619.0,628.3499755859375,41921,2023-06-05
2023-06-12,668.0,668.0,679.9500122070312,620.0,626.9000244140625,104035,2023-06-12
2023-06-19,611.75,611.75,683.9500122070312,603.0,668.0,70880,2023-06-19
2023-06-26,618.5999755859375,618.5999755859375,658.9000244140625,611.1500244140625,617.7999877929688,46395,2023-06-26
2023-07-03,616.7000122070312,616.7000122070312,630.0,608.0999755859375,630.0,58278,2023-07-03
2023-07-10,608.1500244140625,608.1500244140625,629.8499755859375,605.0499877929688,629.8499755859375,56954,2023-07-10
2023-07-17,604.8499755859375,604.8499755859375,615.7999877929688,603.1500244140625,614.1500244140625,39315,2023-07-17
2023-07-24,606.9500122070312,606.9500122070312,683.9500122070312,605.0,623.7000122070312,232044,2023-07-24
2023-07-31,604.1500244140625,604.1500244140625,615.0,600.0499877929688,607.0,49059,2023-07-31
2023-08-07,596.7999877929688,596.7999877929688,609.0,586.5499877929688,608.8499755859375,58204,2023-08-07
2023-08-14,597.0,597.0,611.0,590.0,594.2000122070312,33757,2023-08-14
2023-08-21,598.5499877929688,598.5499877929688,613.2999877929688,587.2000122070312,595.0,44019,2023-08-21
2023-08-28,642.5999755859375,642.5999755859375,663.0,591.0,605.0499877929688,205454,2023-08-28
2023-09-04,663.1500244140625,663.1500244140625,688.0,635.0,643.9000244140625,216042,2023-09-04
2023-09-11,641.25,641.25,672.0,613.0,669.9500122070312,88099,2023-09-11
2023-09-18,651.7999877929688,651.7999877929688,663.5,631.6500244140625,641.9500122070312,54807,2023-09-18
2023-09-25,639.0499877929688,639.0499877929688,658.25,615.0,658.25,44493,2023-09-25
2023-10-02,627.2999877929688,627.2999877929688,648.7000122070312,625.0999755859375,639.0499877929688,24499,2023-10-02
2023-10-09,607.5499877929688,607.5499877929688,633.7000122070312,598.0,621.5999755859375,50382,2023-10-09
2023-10-16,598.8499755859375,598.8499755859375,616.4000244140625,592.25,600.0,38464,2023-10-16
2023-10-23,582.5,582.5,607.2000122070312,566.6500244140625,604.75,45363,2023-10-23
2023-10-30,595.9500122070312,595.9500122070312,658.0,581.0999755859375,584.0,214084,2023-10-30
2023-11-06,618.5999755859375,618.5999755859375,649.9000244140625,602.0,612.1500244140625,128516,2023-11-06
2023-11-13,625.0,625.0,640.0,617.0,635.0,29667,2023-11-13
2023-11-20,619.6500244140625,619.6500244140625,637.5,613.0999755859375,625.0,45358,2023-11-20
2023-11-27,607.4000244140625,607.4000244140625,630.0,602.0,619.6500244140625,64873,2023-11-27
2023-12-04,634.0,634.0,661.3499755859375,604.8499755859375,619.4000244140625,140679,2023-12-04
2023-12-11,622.75,622.75,651.9500122070312,617.5,635.0,73845,2023-12-11
2023-12-18,625.4500122070312,625.4500122070312,653.0,600.0,626.0499877929688,146541,2023-12-18
2023-12-25,753.7999877929688,753.7999877929688,784.5999755859375,625.4500122070312,625.4500122070312,2306355,2023-12-25
2024-01-01,729.0,729.0,773.4000244140625,725.5,755.0,454129,2024-01-01
2024-01-08,724.0,724.0,747.5999755859375,712.0999755859375,744.8499755859375,259259,2024-01-08
2024-01-15,753.5,753.5,764.6500244140625,685.2999877929688,726.0,603038,2024-01-15
2024-01-22,738.75,738.75,781.0,723.0,753.5,417241,2024-01-22
2024-01-29,717.2999877929688,717.2999877929688,753.9500122070312,693.5,750.0,300192,2024-01-29
2024-02-05,698.2000122070312,698.2000122070312,745.9000244140625,683.5999755859375,727.75,264330,2024-02-05
2024-02-12,683.0,683.0,714.7999877929688,660.2000122070312,691.2000122070312,270967,2024-02-12
2024-02-19,683.5999755859375,683.5999755859375,700.0,673.0,693.25,103210,2024-02-19
2024-02-26,670.7000122070312,670.7000122070312,712.9000244140625,665.0999755859375,688.0,195789,2024-02-26
2024-03-04,640.25,640.25,685.4000244140625,634.2999877929688,685.0,113833,2024-03-04
2024-03-11,592.2999877929688,592.2999877929688,637.0,549.3499755859375,635.0,295475,2024-03-11
2024-03-18,584.9500122070312,584.9500122070312,614.2999877929688,557.0499877929688,590.0,179252,2024-03-18
2024-03-25,552.6500244140625,552.6500244140625,586.0,548.1500244140625,584.9500122070312,161454,2024-03-25
2024-04-01,624.0,624.0,633.0,560.0,560.0,153825,2024-04-01
2024-04-08,658.4000244140625,658.4000244140625,679.8499755859375,613.8499755859375,625.0,282112,2024-04-08
2024-04-15,650.9500122070312,650.9500122070312,689.0,620.0,645.25,167125,2024-04-15
2024-04-22,652.9500122070312,652.9500122070312,684.0,630.0,664.0,311900,2024-04-22
2024-04-29,686.3499755859375,686.3499755859375,783.5,680.0,720.0,2353780,2024-04-29
2024-05-06,679.9000244140625,679.9000244140625,692.4500122070312,654.0,687.0,205320,2024-05-06
2024-05-13,691.1500244140625,691.1500244140625,714.0,650.0,679.9000244140625,142831,2024-05-13
2024-05-20,664.0499877929688,664.0499877929688,700.0,661.0499877929688,700.0,82088,2024-05-20
2024-05-27,662.7000122070312,662.7000122070312,675.0499877929688,650.0,674.0,101673,2024-05-27
2024-06-03,661.5499877929688,661.5499877929688,685.0,632.5999755859375,670.0,117123,2024-06-03
2024-06-10,686.6500244140625,686.6500244140625,702.75,662.2000122070312,665.0,96428,2024-06-10
2024-06-17,713.7999877929688,713.7999877929688,739.2000122070312,675.0,686.6500244140625,275128,2024-06-17
2024-06-24,674.5499877929688,674.5499877929688,713.7999877929688,670.0,713.7999877929688,136240,2024-06-24
2024-07-01,699.5499877929688,699.5499877929688,718.9500122070312,672.1500244140625,674.2999877929688,125957,2024-07-01
2024-07-08,706.0999755859375,706.0999755859375,774.9500122070312,688.0,704.5,345323,2024-07-08
2024-07-15,696.0999755859375,696.0999755859375,728.7999877929688,687.2999877929688,704.0,77781,2024-07-15
2024-07-22,641.75,641.75,659.75,626.2000122070312,640.0499877929688,257541,2024-07-22
2024-07-29,637.2000122070312,637.2000122070312,657.1500244140625,635.4500122070312,652.75,105687,2024-07-29
2024-08-05,632.0499877929688,632.0499877929688,636.0,605.0,630.0,88514,2024-08-05
2024-08-12,633.0499877929688,633.0499877929688,640.0,620.0499877929688,632.0499877929688,60543,2024-08-12
2024-08-19,640.4000244140625,640.4000244140625,656.5499877929688,628.0,638.9000244140625,77577,2024-08-19
2024-08-26,643.1500244140625,643.1500244140625,664.5499877929688,640.0,643.5,67100,2024-08-26
2024-09-02,656.4500122070312,656.4500122070312,669.9500122070312,630.0,651.0,341263,2024-09-02
2024-09-09,639.7000122070312,639.7000122070312,669.0,632.5,651.0,67067,2024-09-09
2024-09-16,849.8499755859375,849.8499755859375,918.0,643.0999755859375,643.0999755859375,2472533,2024-09-16
2024-09-23,827.5,827.5,878.5,813.0,852.0999755859375,204878,2024-09-23
2024-09-30,809.5499877929688,809.5499877929688,861.0,800.0,839.9000244140625,168814,2024-09-30
2024-10-07,790.6500244140625,790.6500244140625,818.2000122070312,770.0,810.0,90149,2024-10-07
2024-10-14,765.7000122070312,765.7000122070312,804.0,739.7000122070312,800.0,45163,2024-10-14
2024-10-21,698.6500244140625,698.6500244140625,772.0,691.5,760.2000122070312,41484,2024-10-21
2024-10-28,736.1500244140625,736.1500244140625,749.9000244140625,678.0,704.9500122070312,19121,2024-10-28
2024-11-04,727.9000244140625,727.9000244140625,768.7999877929688,710.0,768.7999877929688,21133,2024-11-04
2024-11-11,642.0,642.0,735.0,625.0,730.0,52783,2024-11-11
2024-11-18,644.4000244140625,644.4000244140625,670.8499755859375,617.0999755859375,635.0,25797,2024-11-18
2024-11-25,638.7000122070312,638.7000122070312,669.0,616.5999755859375,669.0,45914,2024-11-25
2024-12-02,653.9000244140625,653.9000244140625,669.0,621.0,630.0,42473,2024-12-02
2024-12-09,654.7000122070312,654.7000122070312,679.7000122070312,645.0,658.0,25218,2024-12-09
2024-12-16,642.6500244140625,642.6500244140625,674.5,640.0499877929688,669.4000244140625,24477,2024-12-16
2024-12-23,647.0999755859375,647.0999755859375,660.0,635.0499877929688,642.6500244140625,21036,2024-12-23
2024-12-30,655.2000122070312,655.2000122070312,668.0,629.0,647.0999755859375,39309,2024-12-30
2025-01-06,614.25,614.25,660.9000244140625,610.0,660.8499755859375,39267,2025-01-06
2025-01-13,614.9500122070312,614.9500122070312,620.0,584.0,609.9500122070312,34309,2025-01-13
2025-01-20,583.2000122070312,583.2000122070312,618.9500122070312,578.0499877929688,614.9500122070312,41413,2025-01-20
2025-01-27,590.4500122070312,590.4500122070312,598.9000244140625,545.0499877929688,583.2000122070312,52001,2025-01-27
2025-02-03,611.5499877929688,611.5499877929688,619.7999877929688,560.9500122070312,599.0,43856,2025-02-03
2025-02-10,495.25,495.25,612.0,492.0,612.0,76489,2025-02-10
2025-02-17,486.5,486.5,503.45001220703125,437.8999938964844,487.0,71884,2025-02-17
2025-02-24,427.1000061035156,427.1000061035156,480.0,422.79998779296875,480.0,69941,2025-02-24
2025-03-03,462.20001220703125,462.20001220703125,481.0,402.0,427.1000061035156,57918,2025-03-03
2025-03-10,440.3999938964844,440.3999938964844,479.6000061035156,440.0,470.0,41049,2025-03-10
2025-03-17,445.45001220703125,445.45001220703125,458.29998779296875,420.0,435.0,112579,2025-03-17
2025-03-24,400.70001220703125,400.70001220703125,467.70001220703125,400.0,450.0,177213,2025-03-24
2025-03-31,430.1000061035156,430.1000061035156,445.1000061035156,400.70001220703125,400.70001220703125,44990,2025-03-31
2025-04-07,435.54998779296875,435.54998779296875,439.0,396.0,416.0,39607,2025-04-07
2025-04-14,448.5,448.5,460.0,437.0,439.45001220703125,23227,2025-04-14
2025-04-21,445.3500061035156,445.3500061035156,468.0,438.8500061035156,452.5,42404,2025-04-21
2025-04-28,427.0,427.0,451.95001220703125,425.0,440.0,17718,2025-04-28
2025-05-05,429.04998779296875,429.04998779296875,452.8999938964844,417.5,425.3500061035156,49881,2025-05-05
2025-05-12,622.0,622.0,622.0,438.0,438.0,173053,2025-05-12
2025-05-19,586.3499755859375,586.3499755859375,653.0999755859375,566.2999877929688,653.0999755859375,166915,2025-05-19
2025-05-26,559.9500122070312,559.9500122070312,597.7000122070312,549.0,597.7000122070312,52952,2025-05-26
2025-06-02,586.4500122070312,586.4500122070312,587.75,545.0,559.5,36091,2025-06-02
2025-06-09,572.75,572.75,605.0,560.0,587.75,31457,2025-06-09
2025-06-16,544.9000244140625,544.9000244140625,574.7000122070312,541.5,572.25,25043,2025-06-16
2025-06-23,551.4500122070312,551.4500122070312,562.0,521.3499755859375,535.3499755859375,19756,2025-06-23
