Date,Adj Close_LASA.NS,Close_LASA.NS,High_LASA.NS,Low_LASA.NS,Open_LASA.NS,Volume_LASA.NS,Date
2025-03-24,16.850000381469727,16.850000381469727,20.950000762939453,16.799999237060547,20.950000762939453,1130185,2025-03-24
2025-03-31,18.549999237060547,18.549999237060547,19.3700008392334,16.850000381469727,16.850000381469727,535352,2025-03-31
2025-04-07,17.3700008392334,17.3700008392334,18.549999237060547,17.09000015258789,18.549999237060547,261744,2025-04-07
2025-04-14,17.459999084472656,17.459999084472656,18.389999389648438,17.299999237060547,17.3700008392334,608038,2025-04-14
2025-04-21,17.219999313354492,17.219999313354492,18.739999771118164,16.559999465942383,17.5,1401173,2025-04-21
2025-04-28,17.049999237060547,17.049999237060547,18.229999542236328,16.799999237060547,17.219999313354492,436477,2025-04-28
2025-05-05,16.790000915527344,16.790000915527344,18.450000762939453,16.600000381469727,17.110000610351562,344555,2025-05-05
2025-05-12,18.469999313354492,18.469999313354492,18.829999923706055,16.959999084472656,16.959999084472656,514937,2025-05-12
2025-05-19,16.450000762939453,16.450000762939453,19.0,15.5600004196167,18.299999237060547,1990750,2025-05-19
2025-05-26,14.670000076293945,14.670000076293945,17.440000534057617,13.899999618530273,16.84000015258789,1888082,2025-05-26
2025-06-02,14.069999694824219,14.069999694824219,15.470000267028809,12.960000038146973,14.670000076293945,1803331,2025-06-02
2025-06-09,12.5600004196167,12.5600004196167,14.1899995803833,12.520000457763672,14.1899995803833,659947,2025-06-09
2025-06-16,9.84000015258789,9.84000015258789,13.050000190734863,9.84000015258789,12.5600004196167,1349072,2025-06-16
2025-06-23,10.239999771118164,10.239999771118164,10.239999771118164,8.420000076293945,9.930000305175781,1267633,2025-06-23
2025-06-30,11.960000038146973,11.960000038146973,11.960000038146973,9.949999809265137,10.539999961853027,416552,2025-06-30
2025-07-07,12.65999984741211,12.65999984741211,13.149999618530273,12.1899995803833,12.1899995803833,215729,2025-07-07
