Date,Adj Close_STEELXIND.NS,Close_STEELXIND.NS,High_STEELXIND.NS,Low_STEELXIND.NS,Open_STEELXIND.NS,Volume_STEELXIND.NS,Date
2021-08-23,8.029999732971191,8.029999732971191,8.899999618530273,7.900000095367432,8.550000190734863,43325080,2021-08-23
2021-08-30,8.0649995803833,8.0649995803833,8.460000038146973,7.840000152587891,8.029999732971191,22176500,2021-08-30
2021-09-06,8.005000114440918,8.005000114440918,8.164999961853027,7.900000095367432,8.130000114440918,10421740,2021-09-06
2021-09-13,7.5,7.5,8.039999961853027,7.429999828338623,8.039999961853027,8530370,2021-09-13
2021-09-20,7.119999885559082,7.119999885559082,7.639999866485596,7.019999980926514,7.389999866485596,7294080,2021-09-20
2021-09-27,7.389999866485596,7.389999866485596,7.574999809265137,6.75,7.119999885559082,15578380,2021-09-27
2021-10-04,7.010000228881836,7.010000228881836,7.409999847412109,7.0,7.309999942779541,7205920,2021-10-04
2021-10-11,7.804999828338623,7.804999828338623,8.204999923706055,6.920000076293945,7.300000190734863,29794990,2021-10-11
2021-10-18,7.610000133514404,7.610000133514404,8.069999694824219,7.125,7.900000095367432,22992640,2021-10-18
2021-10-25,7.329999923706055,7.329999923706055,7.809999942779541,7.300000190734863,7.800000190734863,8397870,2021-10-25
2021-11-01,9.125,9.125,9.430000305175781,7.409999847412109,7.579999923706055,53053910,2021-11-01
2021-11-08,8.5600004196167,8.5600004196167,9.229999542236328,8.25,9.1899995803833,19435790,2021-11-08
2021-11-15,8.045000076293945,8.045000076293945,8.600000381469727,7.835000038146973,8.600000381469727,13825960,2021-11-15
2021-11-22,8.960000038146973,8.960000038146973,9.600000381469727,7.599999904632568,8.045000076293945,41213890,2021-11-22
2021-11-29,9.039999961853027,9.039999961853027,9.380000114440918,8.515000343322754,8.800000190734863,19144060,2021-11-29
2021-12-06,11.510000228881836,11.510000228881836,11.6899995803833,9.125,9.125,82619110,2021-12-06
2021-12-13,13.020000457763672,13.020000457763672,13.600000381469727,11.3100004196167,11.529999732971191,76650930,2021-12-13
2021-12-20,16.165000915527344,16.165000915527344,16.399999618530273,12.699999809265137,13.100000381469727,101483540,2021-12-20
2021-12-27,17.44499969482422,17.44499969482422,18.34000015258789,16.15999984741211,16.399999618530273,76627430,2021-12-27
2022-01-03,21.565000534057617,21.565000534057617,21.799999237060547,17.530000686645508,17.600000381469727,38724910,2022-01-03
2022-01-10,25.53499984741211,25.53499984741211,26.260000228881836,21.610000610351562,22.0,45376840,2022-01-10
2022-01-17,22.174999237060547,22.174999237060547,26.19499969482422,20.600000381469727,25.530000686645508,32311660,2022-01-17
2022-01-24,22.850000381469727,22.850000381469727,22.889999389648438,20.020000457763672,21.299999237060547,38018640,2022-01-24
2022-01-31,24.395000457763672,24.395000457763672,24.709999084472656,22.524999618530273,23.5,25372360,2022-01-31
2022-02-07,23.40999984741211,23.40999984741211,24.530000686645508,23.100000381469727,24.479999542236328,15329850,2022-02-07
2022-02-14,22.975000381469727,22.975000381469727,23.600000381469727,21.235000610351562,23.0,15794510,2022-02-14
2022-02-21,23.56999969482422,23.56999969482422,24.100000381469727,21.329999923706055,22.5,17732030,2022-02-21
2022-02-28,23.93000030517578,23.93000030517578,24.290000915527344,22.5,23.479999542236328,8858920,2022-02-28
2022-03-07,24.844999313354492,24.844999313354492,25.299999237060547,22.799999237060547,23.40999984741211,10679170,2022-03-07
2022-03-14,24.969999313354492,24.969999313354492,25.790000915527344,24.100000381469727,25.200000762939453,6657880,2022-03-14
2022-03-21,23.469999313354492,23.469999313354492,24.899999618530273,22.100000381469727,24.899999618530273,6506660,2022-03-21
2022-03-28,24.094999313354492,24.094999313354492,24.475000381469727,23.049999237060547,23.940000534057617,13869240,2022-03-28
2022-04-04,25.395000457763672,25.395000457763672,25.584999084472656,22.700000762939453,24.079999923706055,22905410,2022-04-04
2022-04-11,23.809999465942383,23.809999465942383,25.8700008392334,23.5049991607666,25.399999618530273,9071400,2022-04-11
2022-04-18,21.6200008392334,21.6200008392334,23.6299991607666,21.09000015258789,23.6299991607666,18335470,2022-04-18
2022-04-25,22.014999389648438,22.014999389648438,22.2450008392334,20.915000915527344,21.34000015258789,21749030,2022-04-25
