Date,Adj Close_JYOTICNC.NS,Close_JYOTICNC.NS,High_JYOTICNC.NS,Low_JYOTICNC.NS,Open_JYOTICNC.NS,Volume_JYOTICNC.NS,Date
2024-09-09,1185.300048828125,1185.300048828125,1199.9000244140625,1098.0,1159.0,702648,2024-09-09
2024-09-16,1170.0999755859375,1170.0999755859375,1223.550048828125,1134.0,1190.0,1117466,2024-09-16
2024-09-23,1185.800048828125,1185.800048828125,1221.0,1150.0,1179.9000244140625,847240,2024-09-23
2024-09-30,1135.5999755859375,1135.5999755859375,1198.0,1101.0,1198.0,561902,2024-09-30
2024-10-07,1133.449951171875,1133.449951171875,1157.949951171875,1001.0999755859375,1157.949951171875,1119371,2024-10-07
2024-10-14,1114.5,1114.5,1149.0,1098.050048828125,1136.5999755859375,583370,2024-10-14
2024-10-21,992.9000244140625,992.9000244140625,1122.0,970.2999877929688,1121.949951171875,701772,2024-10-21
2024-10-28,1078.4000244140625,1078.4000244140625,1088.0,977.4500122070312,1013.9000244140625,379143,2024-10-28
2024-11-04,1130.5,1130.5,1175.0,1033.0999755859375,1065.0,734084,2024-11-04
2024-11-11,1114.699951171875,1114.699951171875,1160.0,1040.75,1160.0,952385,2024-11-11
2024-11-18,1231.1500244140625,1231.1500244140625,1270.0,1075.0,1106.9000244140625,2228189,2024-11-18
2024-11-25,1242.1500244140625,1242.1500244140625,1279.5999755859375,1195.4000244140625,1255.0,1314880,2024-11-25
2024-12-02,1340.25,1340.25,1399.0,1221.0,1230.0,2979075,2024-12-02
2024-12-09,1258.1500244140625,1258.1500244140625,1352.6500244140625,1243.0,1340.0,1481428,2024-12-09
2024-12-16,1331.8499755859375,1331.8499755859375,1504.300048828125,1257.949951171875,1258.1500244140625,6913519,2024-12-16
2024-12-23,1368.5999755859375,1368.5999755859375,1386.0,1327.9000244140625,1348.0,1137710,2024-12-23
2024-12-30,1370.0,1370.0,1416.449951171875,1320.050048828125,1378.6500244140625,2149842,2024-12-30
2025-01-06,1258.449951171875,1258.449951171875,1407.949951171875,1250.0,1392.449951171875,1704247,2025-01-06
2025-01-13,1236.6500244140625,1236.6500244140625,1264.449951171875,1152.25,1230.0,1401732,2025-01-13
2025-01-20,1128.550048828125,1128.550048828125,1300.0,1124.050048828125,1255.199951171875,1501581,2025-01-20
2025-01-27,1030.3499755859375,1030.3499755859375,1118.800048828125,904.1500244140625,1118.800048828125,2820104,2025-01-27
2025-02-03,1149.199951171875,1149.199951171875,1154.0,966.2000122070312,999.9000244140625,1948020,2025-02-03
2025-02-10,957.5499877929688,957.5499877929688,1134.1500244140625,947.4000244140625,1129.1500244140625,4048474,2025-02-10
2025-02-17,897.0499877929688,897.0499877929688,1017.7000122070312,875.0,958.0999755859375,3122847,2025-02-17
2025-02-24,798.6500244140625,798.6500244140625,893.0,750.0999755859375,893.0,4670481,2025-02-24
2025-03-03,966.7000122070312,966.7000122070312,977.7000122070312,760.0999755859375,808.8499755859375,14888194,2025-03-03
2025-03-10,1000.2999877929688,1000.2999877929688,1028.699951171875,907.8499755859375,965.0,6176604,2025-03-10
2025-03-17,1118.449951171875,1118.449951171875,1156.0,987.0999755859375,1001.0,5581314,2025-03-17
2025-03-24,1058.550048828125,1058.550048828125,1170.0,1030.0,1150.0,2276873,2025-03-24
2025-03-31,1022.75,1022.75,1097.699951171875,1009.0999755859375,1058.550048828125,857946,2025-03-31
2025-04-07,1011.2999877929688,1011.2999877929688,1027.75,890.0,890.0,1768254,2025-04-07
2025-04-14,1069.300048828125,1069.300048828125,1091.699951171875,1011.2999877929688,1011.2999877929688,816105,2025-04-14
2025-04-21,1081.699951171875,1081.699951171875,1125.0,1053.199951171875,1077.0,1247918,2025-04-21
2025-04-28,1102.199951171875,1102.199951171875,1121.0,1061.5999755859375,1082.699951171875,676224,2025-04-28
2025-05-05,1134.5,1134.5,1221.0,1095.0999755859375,1115.0,2441618,2025-05-05
2025-05-12,1258.800048828125,1258.800048828125,1269.9000244140625,1154.9000244140625,1154.9000244140625,1676095,2025-05-12
2025-05-19,1238.4000244140625,1238.4000244140625,1272.4000244140625,1183.0,1258.800048828125,863073,2025-05-19
2025-05-26,1295.5999755859375,1295.5999755859375,1305.0,1224.0999755859375,1260.0,2320271,2025-05-26
2025-06-02,1216.199951171875,1216.199951171875,1330.0,1200.5999755859375,1305.9000244140625,1604749,2025-06-02
2025-06-09,1139.800048828125,1139.800048828125,1262.800048828125,1111.0,1222.0,1213665,2025-06-09
2025-06-16,1092.300048828125,1092.300048828125,1158.0,1080.0,1140.0,1357641,2025-06-16
2025-06-23,1125.5999755859375,1125.5999755859375,1147.9000244140625,1089.0,1092.300048828125,939559,2025-06-23
2025-06-30,1035.9000244140625,1035.9000244140625,1120.0,1019.0,1120.0,20108835,2025-06-30
2025-07-07,1015.2000122070312,1015.2000122070312,1053.5,1010.2000122070312,1043.0,1443239,2025-07-07
2025-07-14,1026.4000244140625,1026.4000244140625,1036.0,998.0,1005.0,743661,2025-07-14
