Date,Adj Close_TCS.NS,Close_TCS.NS,High_TCS.NS,Low_TCS.NS,Open_TCS.NS,Volume_TCS.NS,Date
2021-07-05,3040.921875,3208.14990234375,3374.0,3201.0,3342.0,15623866,2021-07-05
2021-07-12,3028.267578125,3194.800048828125,3236.0,3175.0,3235.0,9235338,2021-07-12
2021-07-19,3052.0224609375,3212.85009765625,3241.550048828125,3156.14990234375,3180.0,8044530,2021-07-19
2021-07-26,3008.89501953125,3167.449951171875,3225.449951171875,3132.39990234375,3200.0,8773572,2021-07-26
2021-08-02,3144.118896484375,3309.800048828125,3324.0,3167.0,3180.0,14169885,2021-08-02
2021-08-09,3290.0302734375,3463.39990234375,3480.0,3310.0,3323.89990234375,11154762,2021-08-09
2021-08-16,3381.319580078125,3559.5,3595.0,3436.5,3460.0,11886965,2021-08-16
2021-08-23,3533.927734375,3720.14990234375,3729.5,3561.89990234375,3580.0,14225841,2021-08-23
2021-08-30,3649.72607421875,3842.050048828125,3859.14990234375,3687.60009765625,3715.0,13034459,2021-08-30
2021-09-06,3601.611328125,3791.39990234375,3877.60009765625,3756.0,3849.699951171875,8897055,2021-09-06
2021-09-13,3636.23681640625,3827.85009765625,3981.75,3767.0,3767.0,15567844,2021-09-13
2021-09-20,3677.51171875,3871.300048828125,3944.39990234375,3807.85009765625,3809.0,9638827,2021-09-20
2021-09-27,3543.475341796875,3730.199951171875,3904.0,3722.14990234375,3900.0,10246384,2021-09-27
2021-10-04,3738.640869140625,3935.64990234375,3989.89990234375,3707.449951171875,3724.800048828125,9494552,2021-10-04
2021-10-11,3430.6689453125,3611.449951171875,3757.5,3608.199951171875,3755.0,27586233,2021-10-11
2021-10-18,3330.083251953125,3498.85009765625,3690.10009765625,3485.0,3603.449951171875,17222122,2021-10-18
2021-10-25,3233.860107421875,3397.75,3529.0,3385.949951171875,3503.0,15370613,2021-10-25
2021-11-01,3339.41064453125,3508.64990234375,3519.89990234375,3412.949951171875,3437.949951171875,6974762,2021-11-01
2021-11-08,3355.9716796875,3526.050048828125,3548.0,3436.0,3548.0,8857036,2021-11-08
2021-11-15,3308.0498046875,3475.699951171875,3575.550048828125,3451.60009765625,3528.0,7591873,2021-11-15
2021-11-22,3280.591796875,3446.85009765625,3515.949951171875,3407.800048828125,3478.39990234375,11274013,2021-11-22
2021-11-29,3464.852783203125,3640.449951171875,3665.949951171875,3406.449951171875,3447.14990234375,16311510,2021-11-29
2021-12-06,3461.379638671875,3636.800048828125,3658.0,3522.0,3640.449951171875,7841435,2021-12-06
2021-12-13,3411.45947265625,3584.35009765625,3662.0,3558.14990234375,3650.0,11640416,2021-12-13
2021-12-20,3493.83447265625,3670.89990234375,3705.0,3510.14990234375,3589.0,9880411,2021-12-20
2021-12-27,3558.03125,3738.35009765625,3760.0,3653.10009765625,3671.0,7620892,2021-12-27
2022-01-03,3667.626220703125,3853.5,3889.14990234375,3745.0,3750.0,10838679,2022-01-03
2022-01-10,3776.74658203125,3968.14990234375,3978.0,3836.550048828125,3978.0,19079572,2022-01-10
2022-01-17,3648.591796875,3833.5,4043.0,3771.10009765625,3992.699951171875,18223318,2022-01-17
2022-01-24,3518.232177734375,3690.050048828125,3849.64990234375,3625.10009765625,3840.0,15451074,2022-01-24
2022-01-31,3637.268798828125,3814.89990234375,3882.5,3721.39990234375,3749.0,11096678,2022-01-31
2022-02-07,3522.904296875,3694.949951171875,3831.800048828125,3690.0,3791.0,12468260,2022-02-07
2022-02-14,3617.246337890625,3793.89990234375,3854.10009765625,3710.0,3724.0,19963589,2022-02-14
2022-02-21,3356.81494140625,3520.75,3827.800048828125,3391.10009765625,3810.0,22889515,2022-02-21
2022-02-28,3360.247314453125,3524.35009765625,3578.60009765625,3455.89990234375,3490.0,10348579,2022-02-28
2022-03-07,3431.564697265625,3599.14990234375,3684.0,3431.550048828125,3450.0,12703640,2022-03-07
2022-03-14,3501.737548828125,3672.75,3710.0,3580.0,3580.0,12107748,2022-03-14
2022-03-21,3534.822265625,3707.449951171875,3779.5,3615.0,3696.0,10486816,2022-03-21
2022-03-28,3583.7333984375,3758.75,3763.0,3661.199951171875,3695.0,9588632,2022-03-28
