Date,Adj Close_BOHRAIND.NS,Close_BOHRAIND.NS,High_BOHRAIND.NS,Low_BOHRAIND.NS,Open_BOHRAIND.NS,Volume_BOHRAIND.NS,Date
2021-11-29,78.0,78.0,78.0,68.0,68.0,1000,2021-11-29
2021-12-06,93.0,93.0,93.0,78.0,78.0,2900,2021-12-06
2021-12-13,111.0,111.0,111.0,97.0,97.0,2200,2021-12-13
2021-12-20,125.0,125.0,134.0,111.0,121.0,6700,2021-12-20
2021-12-27,120.0,120.0,124.0,111.0,119.0,5900,2021-12-27
2022-01-03,120.0,120.0,120.0,120.0,120.0,0,2022-01-03
2022-01-10,120.0,120.0,120.0,120.0,120.0,0,2022-01-10
2022-01-17,120.0,120.0,120.0,120.0,120.0,0,2022-01-17
2022-01-24,120.0,120.0,120.0,120.0,120.0,0,2022-01-24
2022-01-31,120.0,120.0,120.0,120.0,120.0,0,2022-01-31
2022-02-07,120.0,120.0,120.0,120.0,120.0,0,2022-02-07
2022-02-14,120.0,120.0,120.0,120.0,120.0,0,2022-02-14
2022-02-21,120.0,120.0,120.0,120.0,120.0,0,2022-02-21
2022-02-28,120.0,120.0,120.0,120.0,120.0,0,2022-02-28
2022-03-07,120.0,120.0,120.0,120.0,120.0,0,2022-03-07
2022-03-14,120.0,120.0,120.0,120.0,120.0,0,2022-03-14
2022-03-21,120.0,120.0,120.0,120.0,120.0,0,2022-03-21
2022-03-28,120.0,120.0,120.0,120.0,120.0,0,2022-03-28
2022-04-04,120.0,120.0,120.0,120.0,120.0,0,2022-04-04
2022-04-11,120.0,120.0,120.0,120.0,120.0,0,2022-04-11
2022-04-18,120.0,120.0,120.0,120.0,120.0,0,2022-04-18
2022-04-25,120.0,120.0,120.0,120.0,120.0,0,2022-04-25
2022-05-02,120.0,120.0,120.0,120.0,120.0,0,2022-05-02
2022-05-09,120.0,120.0,120.0,120.0,120.0,0,2022-05-09
2022-05-16,120.0,120.0,120.0,120.0,120.0,0,2022-05-16
2022-05-23,120.0,120.0,120.0,120.0,120.0,0,2022-05-23
2022-05-30,120.0,120.0,120.0,120.0,120.0,0,2022-05-30
2022-06-06,120.0,120.0,120.0,120.0,120.0,0,2022-06-06
2022-06-13,120.0,120.0,120.0,120.0,120.0,0,2022-06-13
2022-06-20,120.0,120.0,120.0,120.0,120.0,0,2022-06-20
2022-06-27,120.0,120.0,120.0,120.0,120.0,0,2022-06-27
2022-07-04,120.0,120.0,120.0,120.0,120.0,0,2022-07-04
2022-07-11,120.0,120.0,120.0,120.0,120.0,0,2022-07-11
2022-07-18,120.0,120.0,120.0,120.0,120.0,0,2022-07-18
2022-07-25,120.0,120.0,120.0,120.0,120.0,0,2022-07-25
2022-08-01,120.0,120.0,120.0,120.0,120.0,0,2022-08-01
2022-08-08,120.0,120.0,120.0,120.0,120.0,0,2022-08-08
2022-08-15,120.0,120.0,120.0,120.0,120.0,0,2022-08-15
2022-08-22,120.0,120.0,120.0,120.0,120.0,0,2022-08-22
2022-08-29,120.0,120.0,120.0,120.0,120.0,0,2022-08-29
2022-09-05,120.0,120.0,120.0,120.0,120.0,0,2022-09-05
2022-09-12,120.0,120.0,120.0,120.0,120.0,0,2022-09-12
2022-09-19,120.0,120.0,120.0,120.0,120.0,0,2022-09-19
2022-09-26,120.0,120.0,120.0,120.0,120.0,0,2022-09-26
2022-10-03,120.0,120.0,120.0,120.0,120.0,0,2022-10-03
2022-10-10,120.0,120.0,120.0,120.0,120.0,0,2022-10-10
2022-10-17,120.0,120.0,120.0,120.0,120.0,0,2022-10-17
2022-10-24,72.05000305175781,72.05000305175781,120.0,65.4000015258789,120.0,1303,2022-10-24
2022-10-31,87.5,87.5,87.5,75.6500015258789,75.6500015258789,1229,2022-10-31
2022-11-07,106.25,106.25,106.25,87.5,87.5,6334,2022-11-07
2022-11-14,163.5500030517578,163.5500030517578,163.5500030517578,128.5,128.5,52010,2022-11-14
2022-11-21,188.8000030517578,188.8000030517578,206.89999389648438,171.6999969482422,171.6999969482422,54589,2022-11-21
2022-11-28,158.35000610351562,158.35000610351562,179.39999389648438,153.89999389648438,179.39999389648438,22188,2022-11-28
2022-12-05,146.0500030517578,146.0500030517578,155.89999389648438,135.85000610351562,150.4499969482422,14660,2022-12-05
2022-12-12,150.1999969482422,150.1999969482422,157.0,138.75,146.0500030517578,6438,2022-12-12
2022-12-19,130.1999969482422,130.1999969482422,154.9499969482422,130.14999389648438,150.1999969482422,2674,2022-12-19
2022-12-26,147.60000610351562,147.60000610351562,155.6999969482422,136.60000610351562,136.64999389648438,1963,2022-12-26
2023-01-02,139.39999389648438,139.39999389648438,154.89999389648438,133.10000610351562,147.60000610351562,4532,2023-01-02
2023-01-09,138.9499969482422,138.9499969482422,144.9499969482422,134.0,142.9499969482422,1171,2023-01-09
2023-01-16,132.0,132.0,138.89999389648438,130.10000610351562,138.89999389648438,1721,2023-01-16
2023-01-23,135.0,135.0,137.9499969482422,123.30000305175781,137.9499969482422,1292,2023-01-23
2023-01-30,121.6500015258789,121.6500015258789,138.9499969482422,121.6500015258789,135.0,2965,2023-01-30
2023-02-06,125.4000015258789,125.4000015258789,127.5,114.1500015258789,127.5,1880,2023-02-06
2023-02-13,118.80000305175781,118.80000305175781,125.3499984741211,118.80000305175781,119.1500015258789,145,2023-02-13
2023-02-20,114.0,114.0,124.6500015258789,113.0,118.80000305175781,1312,2023-02-20
2023-02-27,111.69999694824219,111.69999694824219,115.44999694824219,105.55000305175781,114.0,1760,2023-02-27
2023-03-06,115.30000305175781,115.30000305175781,125.30000305175781,113.25,116.9000015258789,2408,2023-03-06
2023-03-13,111.0,111.0,115.30000305175781,111.0,115.30000305175781,125,2023-03-13
2023-03-20,91.94999694824219,91.94999694824219,113.9000015258789,90.69999694824219,111.0,4988,2023-03-20
2023-03-27,76.0,76.0,94.25,76.0,94.25,2402,2023-03-27
2023-04-03,79.55000305175781,79.55000305175781,79.55000305175781,71.05000305175781,76.0,7175,2023-04-03
2023-04-10,91.05000305175781,91.05000305175781,91.05000305175781,75.5999984741211,83.5,4007,2023-04-10
2023-04-17,102.8499984741211,102.8499984741211,110.05000305175781,88.30000305175781,95.5999984741211,3072,2023-04-17
2023-04-24,100.9000015258789,100.9000015258789,108.0,93.8499984741211,107.9000015258789,744,2023-04-24
2023-05-01,96.25,96.25,105.9000015258789,94.1500015258789,100.9000015258789,2822,2023-05-01
2023-05-08,98.3499984741211,98.3499984741211,100.1500015258789,90.1500015258789,96.25,1868,2023-05-08
2023-05-15,85.80000305175781,85.80000305175781,103.25,85.44999694824219,103.25,1323,2023-05-15
2023-05-22,97.94999694824219,97.94999694824219,99.0,81.55000305175781,90.0,3209,2023-05-22
2023-05-29,95.94999694824219,95.94999694824219,98.5,89.0,97.94999694824219,1037,2023-05-29
2023-06-05,90.0,90.0,100.0,88.0,99.0,1893,2023-06-05
2023-06-12,82.25,82.25,94.44999694824219,81.55000305175781,94.44999694824219,1907,2023-06-12
2023-06-19,81.9000015258789,81.9000015258789,87.55000305175781,80.75,86.30000305175781,3631,2023-06-19
2023-06-26,82.0,82.0,86.1500015258789,80.0,85.75,623,2023-06-26
2023-07-03,63.5,63.5,82.05000305175781,63.5,82.05000305175781,45200,2023-07-03
2023-07-10,60.0,60.0,63.70000076293945,54.29999923706055,60.349998474121094,114804,2023-07-10
2023-07-17,53.04999923706055,53.04999923706055,63.0,52.79999923706055,57.150001525878906,34762,2023-07-17
2023-07-24,62.650001525878906,62.650001525878906,62.79999923706055,50.400001525878906,53.45000076293945,48123,2023-07-24
2023-07-31,61.0,61.0,65.75,60.0,62.79999923706055,17622,2023-07-31
2023-08-07,55.25,55.25,59.79999923706055,55.25,59.79999923706055,12001,2023-08-07
2023-08-14,51.0,51.0,54.150001525878906,51.0,54.150001525878906,3624,2023-08-14
2023-08-21,46.25,46.25,50.0,46.25,50.0,9817,2023-08-21
2023-08-28,44.79999923706055,44.79999923706055,45.349998474121094,43.599998474121094,45.349998474121094,5032,2023-08-28
2023-09-04,46.54999923706055,46.54999923706055,46.54999923706055,44.79999923706055,45.650001525878906,2484,2023-09-04
2023-09-11,59.25,59.25,59.25,48.0,48.0,15316,2023-09-11
2023-09-18,54.95000076293945,54.95000076293945,62.20000076293945,54.95000076293945,62.20000076293945,27050,2023-09-18
2023-09-25,50.75,50.75,53.900001525878906,49.75,53.849998474121094,5631,2023-09-25
2023-10-02,50.650001525878906,50.650001525878906,50.75,50.599998474121094,50.75,823,2023-10-02
2023-10-09,46.099998474121094,46.099998474121094,49.70000076293945,46.099998474121094,49.70000076293945,4971,2023-10-09
2023-10-16,44.349998474121094,44.349998474121094,47.04999923706055,44.349998474121094,47.0,8883,2023-10-16
2023-10-23,44.29999923706055,44.29999923706055,44.349998474121094,44.29999923706055,44.349998474121094,434,2023-10-23
2023-10-30,50.70000076293945,50.70000076293945,52.95000076293945,42.099998474121094,42.099998474121094,12537,2023-10-30
2023-11-06,52.900001525878906,52.900001525878906,55.79999923706055,48.25,48.25,22231,2023-11-06
2023-11-13,48.75,48.75,53.75,46.29999923706055,51.349998474121094,53857,2023-11-13
2023-11-20,37.79999923706055,37.79999923706055,48.70000076293945,37.79999923706055,48.70000076293945,80736,2023-11-20
2023-11-27,37.599998474121094,37.599998474121094,37.79999923706055,32.45000076293945,37.79999923706055,288624,2023-11-27
2023-12-04,34.0,34.0,36.70000076293945,33.04999923706055,35.849998474121094,204701,2023-12-04
2023-12-11,28.899999618530273,28.899999618530273,34.650001525878906,27.399999618530273,34.650001525878906,346091,2023-12-11
2023-12-18,22.649999618530273,22.649999618530273,29.700000762939453,22.649999618530273,29.700000762939453,490542,2023-12-18
2023-12-25,26.75,26.75,26.75,22.149999618530273,22.649999618530273,167378,2023-12-25
2024-01-01,30.899999618530273,30.899999618530273,31.0,28.049999237060547,28.049999237060547,353995,2024-01-01
2024-01-08,28.0,28.0,30.899999618530273,28.0,30.299999237060547,78206,2024-01-08
2024-01-15,26.0,26.0,28.049999237060547,26.0,28.0,38353,2024-01-15
2024-01-22,25.149999618530273,25.149999618530273,26.0,24.25,26.0,52978,2024-01-22
2024-01-29,25.350000381469727,25.350000381469727,25.5,25.0,25.0,25305,2024-01-29
2024-02-05,24.5,24.5,25.850000381469727,24.5,25.850000381469727,120637,2024-02-05
2024-02-12,24.850000381469727,24.850000381469727,25.700000762939453,22.049999237060547,25.700000762939453,341900,2024-02-12
2024-02-19,23.100000381469727,23.100000381469727,25.649999618530273,21.799999237060547,24.850000381469727,297394,2024-02-19
2024-02-26,23.100000381469727,23.100000381469727,23.75,20.899999618530273,23.100000381469727,115157,2024-02-26
2024-03-04,22.049999237060547,22.049999237060547,24.5,20.950000762939453,24.100000381469727,150606,2024-03-04
2024-03-11,20.149999618530273,20.149999618530273,24.049999237060547,20.149999618530273,23.100000381469727,278356,2024-03-11
2024-03-18,18.850000381469727,18.850000381469727,20.950000762939453,18.049999237060547,20.950000762939453,228592,2024-03-18
2024-03-25,18.850000381469727,18.850000381469727,19.299999237060547,17.5,18.850000381469727,155764,2024-03-25
2024-04-01,20.25,20.25,21.0,18.25,19.299999237060547,213601,2024-04-01
2024-04-08,20.100000381469727,20.100000381469727,21.399999618530273,19.399999618530273,20.25,92205,2024-04-08
2024-04-15,18.700000762939453,18.700000762939453,20.100000381469727,18.299999237060547,20.100000381469727,77710,2024-04-15
2024-04-22,19.0,19.0,19.75,18.200000762939453,18.700000762939453,123553,2024-04-22
2024-04-29,19.299999237060547,19.299999237060547,19.850000381469727,18.0,19.0,72702,2024-04-29
2024-05-06,18.700000762939453,18.700000762939453,19.299999237060547,17.450000762939453,19.299999237060547,68750,2024-05-06
2024-05-13,21.100000381469727,21.100000381469727,21.100000381469727,17.850000381469727,19.100000381469727,187194,2024-05-13
2024-05-20,18.950000762939453,18.950000762939453,22.100000381469727,18.149999618530273,20.100000381469727,68006,2024-05-20
2024-05-27,18.600000381469727,18.600000381469727,19.700000762939453,18.600000381469727,19.700000762939453,15465,2024-05-27
2024-06-03,17.799999237060547,17.799999237060547,19.299999237060547,17.700000762939453,19.299999237060547,29873,2024-06-03
2024-06-10,16.90999984741211,16.90999984741211,17.0,16.90999984741211,17.0,49760,2024-06-10
2024-06-17,17.56999969482422,17.56999969482422,17.75,16.059999465942383,16.90999984741211,65649,2024-06-17
2024-06-24,16.690000534057617,16.690000534057617,17.549999237060547,16.690000534057617,16.690000534057617,52141,2024-06-24
2024-07-01,15.850000381469727,15.850000381469727,16.5,15.850000381469727,16.5,17323,2024-07-01
2024-07-08,15.050000190734863,15.050000190734863,15.050000190734863,15.050000190734863,15.050000190734863,4803,2024-07-08
2024-07-15,14.289999961853027,14.289999961853027,14.289999961853027,14.289999961853027,14.289999961853027,14340,2024-07-15
2024-07-22,13.800000190734863,13.800000190734863,14.0,13.569999694824219,13.569999694824219,28779,2024-07-22
2024-07-29,13.109999656677246,13.109999656677246,13.109999656677246,13.109999656677246,13.109999656677246,27022,2024-07-29
2024-08-05,12.449999809265137,12.449999809265137,12.449999809265137,12.449999809265137,12.449999809265137,12819,2024-08-05
2024-08-12,11.859999656677246,11.859999656677246,13.069999694824219,11.819999694824219,11.819999694824219,18322,2024-08-12
2024-08-19,11.859999656677246,11.859999656677246,11.859999656677246,11.859999656677246,11.859999656677246,0,2024-08-19
2024-08-26,11.859999656677246,11.859999656677246,11.859999656677246,11.859999656677246,11.859999656677246,0,2024-08-26
2024-09-02,12.449999809265137,12.449999809265137,12.449999809265137,12.0,12.449999809265137,50955,2024-09-02
2024-09-09,13.069999694824219,13.069999694824219,13.069999694824219,11.819999694824219,13.069999694824219,96748,2024-09-09
2024-09-16,13.720000267028809,13.720000267028809,13.720000267028809,13.710000038146973,13.710000038146973,59165,2024-09-16
2024-09-23,14.300000190734863,14.300000190734863,14.399999618530273,13.029999732971191,13.380000114440918,157074,2024-09-23
2024-09-30,15.010000228881836,15.010000228881836,15.010000228881836,15.010000228881836,15.010000228881836,43016,2024-09-30
2024-10-07,15.760000228881836,15.760000228881836,15.760000228881836,15.760000228881836,15.760000228881836,204626,2024-10-07
2024-10-14,16.540000915527344,16.540000915527344,16.540000915527344,16.540000915527344,16.540000915527344,42199,2024-10-14
2024-10-21,17.360000610351562,17.360000610351562,17.360000610351562,17.360000610351562,17.360000610351562,15703,2024-10-21
2024-10-28,17.549999237060547,17.549999237060547,18.219999313354492,17.5,18.219999313354492,72285,2024-10-28
2024-11-04,17.639999389648438,17.639999389648438,18.420000076293945,16.68000030517578,17.549999237060547,89926,2024-11-04
2024-11-11,16.75,16.75,18.489999771118164,16.75,18.0,30492,2024-11-11
2024-11-18,15.90999984741211,15.90999984741211,15.90999984741211,15.90999984741211,15.90999984741211,28904,2024-11-18
2024-11-25,16.700000762939453,16.700000762939453,16.700000762939453,15.109999656677246,16.700000762939453,131958,2024-11-25
2024-12-02,16.239999771118164,16.239999771118164,17.530000686645508,15.859999656677246,17.530000686645508,50023,2024-12-02
2024-12-09,16.809999465942383,16.809999465942383,17.040000915527344,15.420000076293945,17.0,58808,2024-12-09
2024-12-16,16.270000457763672,16.270000457763672,17.649999618530273,15.960000038146973,17.600000381469727,461198,2024-12-16
2024-12-23,16.309999465942383,16.309999465942383,17.040000915527344,15.899999618530273,17.040000915527344,65737,2024-12-23
2024-12-30,17.100000381469727,17.100000381469727,17.1200008392334,16.0,16.350000381469727,163065,2024-12-30
2025-01-06,17.950000762939453,17.950000762939453,17.950000762939453,17.950000762939453,17.950000762939453,22685,2025-01-06
2025-01-13,18.690000534057617,18.690000534057617,18.84000015258789,17.049999237060547,18.84000015258789,95133,2025-01-13
2025-01-20,19.6200008392334,19.6200008392334,19.6200008392334,18.690000534057617,18.690000534057617,73820,2025-01-20
2025-01-27,20.600000381469727,20.600000381469727,20.600000381469727,20.600000381469727,20.600000381469727,24544,2025-01-27
2025-02-03,21.6299991607666,21.6299991607666,21.6299991607666,20.600000381469727,21.6299991607666,51727,2025-02-03
2025-02-10,22.709999084472656,22.709999084472656,22.709999084472656,22.709999084472656,22.709999084472656,26302,2025-02-10
2025-02-17,23.84000015258789,23.84000015258789,23.84000015258789,23.299999237060547,23.299999237060547,64619,2025-02-17
2025-02-24,25.030000686645508,25.030000686645508,25.030000686645508,23.84000015258789,25.030000686645508,67207,2025-02-24
2025-03-03,31.639999389648438,31.639999389648438,31.639999389648438,23.770000457763672,25.899999618530273,314067,2025-03-03
2025-03-10,34.22999954223633,34.22999954223633,34.22999954223633,32.27000045776367,32.27000045776367,74648,2025-03-10
2025-03-17,37.77000045776367,37.77000045776367,37.77000045776367,34.90999984741211,34.90999984741211,61896,2025-03-17
2025-03-24,36.970001220703125,36.970001220703125,39.290000915527344,36.970001220703125,38.52000045776367,250461,2025-03-24
2025-03-31,35.47999954223633,35.47999954223633,36.970001220703125,34.099998474121094,36.970001220703125,67347,2025-03-31
2025-04-07,35.279998779296875,35.279998779296875,36.720001220703125,34.75,34.900001525878906,59336,2025-04-07
2025-04-14,33.86000061035156,33.86000061035156,35.97999954223633,33.189998626708984,35.279998779296875,37737,2025-04-14
2025-04-21,29.700000762939453,29.700000762939453,34.400001525878906,29.610000610351562,33.91999816894531,178844,2025-04-21
2025-04-28,30.100000381469727,30.100000381469727,31.200000762939453,28.0,29.610000610351562,96152,2025-04-28
2025-05-05,28.3799991607666,28.3799991607666,32.04999923706055,28.149999618530273,29.149999618530273,111263,2025-05-05
2025-05-12,29.010000228881836,29.010000228881836,30.889999389648438,28.3799991607666,28.3799991607666,80392,2025-05-12
2025-05-19,35.90999984741211,35.90999984741211,35.90999984741211,28.5,28.5,295017,2025-05-19
2025-05-26,34.810001373291016,34.810001373291016,37.349998474121094,34.810001373291016,36.619998931884766,113045,2025-05-26
2025-06-02,33.0,33.0,34.11000061035156,32.7400016784668,34.11000061035156,12280,2025-06-02
2025-06-09,31.780000686645508,31.780000686645508,33.709999084472656,31.139999389648438,32.38999938964844,23465,2025-06-09
2025-06-16,28.81999969482422,28.81999969482422,31.940000534057617,28.81999969482422,31.139999389648438,192365,2025-06-16
2025-06-23,27.920000076293945,27.920000076293945,28.260000228881836,27.0,28.25,410726,2025-06-23
2025-06-30,26.360000610351562,26.360000610351562,30.68000030517578,25.549999237060547,29.0,243638,2025-06-30
2025-07-07,25.649999618530273,25.649999618530273,28.290000915527344,25.049999237060547,26.889999389648438,152617,2025-07-07
2025-07-14,25.860000610351562,25.860000610351562,27.81999969482422,25.6299991607666,26.93000030517578,19241,2025-07-14
