Date,Adj Close_MANINFRA.NS,Close_MANINFRA.NS,High_MANINFRA.NS,Low_MANINFRA.NS,Open_MANINFRA.NS,Volume_MANINFRA.NS,Date
2023-05-08,86.5972900390625,88.25,89.80000305175781,81.80000305175781,83.5,12400486,2023-05-08
2023-05-15,91.45459747314453,93.19999694824219,95.69999694824219,88.80000305175781,89.0,6755888,2023-05-15
2023-05-22,93.04251098632812,94.44999694824219,96.80000305175781,93.30000305175781,94.94999694824219,4052070,2023-05-22
2023-05-29,92.89474487304688,94.30000305175781,95.0,90.1500015258789,94.9000015258789,2937743,2023-05-29
2023-06-05,101.46510314941406,103.0,104.80000305175781,95.44999694824219,95.5,7998875,2023-06-05
2023-06-12,110.23247528076172,111.9000015258789,117.80000305175781,98.19999694824219,102.1500015258789,15421352,2023-06-12
2023-06-19,113.9758529663086,115.69999694824219,119.1500015258789,112.05000305175781,112.69999694824219,8676345,2023-06-19
2023-06-26,112.30119323730469,114.0,117.4000015258789,112.55000305175781,115.69999694824219,5035627,2023-06-26
2023-07-03,108.11451721191406,109.75,115.9000015258789,109.0999984741211,114.19999694824219,4351022,2023-07-03
2023-07-10,110.18321228027344,111.8499984741211,114.5999984741211,108.1500015258789,110.4000015258789,3452240,2023-07-10
2023-07-17,113.23702239990234,114.94999694824219,117.4000015258789,112.4000015258789,112.8499984741211,3883242,2023-07-17
2023-07-24,120.08346557617188,121.9000015258789,124.05000305175781,114.1500015258789,115.0,16966001,2023-07-24
2023-07-31,143.134765625,145.3000030517578,149.6999969482422,122.75,122.94999694824219,20479748,2023-07-31
2023-08-07,137.9137420654297,140.0,148.75,138.35000610351562,145.75,7908138,2023-08-07
2023-08-14,140.97361755371094,142.75,155.5,138.3000030517578,139.5,6782115,2023-08-14
2023-08-21,136.5296173095703,138.25,141.85000610351562,132.64999389648438,141.1999969482422,9513956,2023-08-21
2023-08-28,150.60227966308594,152.5,155.25,136.5,138.0,18799017,2023-08-28
2023-09-04,150.4541473388672,152.35000610351562,157.8000030517578,151.3000030517578,153.85000610351562,7761048,2023-09-04
2023-09-11,143.63999938964844,145.4499969482422,155.25,139.0,154.89999389648438,6524604,2023-09-11
2023-09-18,143.146240234375,144.9499969482422,149.64999389648438,142.64999389648438,146.9499969482422,2537028,2023-09-18
2023-09-25,150.20724487304688,152.10000610351562,163.8000030517578,146.0,146.0,12870815,2023-09-25
2023-10-02,158.9471435546875,160.9499969482422,162.0,148.0500030517578,152.10000610351562,5327339,2023-10-02
2023-10-09,160.8728485107422,162.89999389648438,168.75,151.1999969482422,157.0,9734255,2023-10-09
2023-10-16,159.3915252685547,161.39999389648438,166.75,156.4499969482422,163.8000030517578,6008510,2023-10-16
2023-10-23,147.9358673095703,149.8000030517578,162.0,138.10000610351562,161.89999389648438,6385535,2023-10-23
2023-10-30,148.57778930664062,150.4499969482422,154.0500030517578,146.8000030517578,149.8000030517578,3224126,2023-10-30
2023-11-06,140.77609252929688,142.5500030517578,153.75,137.1999969482422,152.0,10993148,2023-11-06
2023-11-13,142.80059814453125,144.60000610351562,150.75,140.4499969482422,142.85000610351562,5144650,2023-11-13
2023-11-20,184.88351440429688,186.75,188.4499969482422,144.0500030517578,144.0500030517578,51688926,2023-11-20
2023-11-27,199.38710021972656,201.39999389648438,209.85000610351562,183.8000030517578,186.75,22805098,2023-11-27
2023-12-04,196.5160675048828,198.5,205.8000030517578,193.1999969482422,205.0,7110935,2023-12-04
2023-12-11,196.12010192871094,198.10000610351562,206.8000030517578,193.3000030517578,198.6999969482422,6815190,2023-12-11
2023-12-18,200.52560424804688,202.5500030517578,214.0,190.14999389648438,199.89999389648438,12567946,2023-12-18
2023-12-25,214.53419494628906,216.6999969482422,219.0,201.75,202.5500030517578,7588768,2023-12-25
2024-01-01,216.86070251464844,219.0500030517578,224.5500030517578,214.60000610351562,218.0,7638860,2024-01-01
2024-01-08,225.0282440185547,227.3000030517578,230.4499969482422,215.0,219.0500030517578,5593613,2024-01-08
2024-01-15,217.6031951904297,219.8000030517578,230.9499969482422,210.60000610351562,227.0500030517578,3917165,2024-01-15
2024-01-22,223.49374389648438,225.75,229.0,211.39999389648438,219.8000030517578,2149718,2024-01-22
2024-01-29,232.9482879638672,235.3000030517578,242.0,225.25,226.0,6260601,2024-01-29
2024-02-05,223.74124145507812,226.0,249.3000030517578,223.60000610351562,236.89999389648438,7959338,2024-02-05
2024-02-12,219.33572387695312,221.5500030517578,226.0,207.5,225.9499969482422,3260858,2024-02-12
2024-02-19,216.14683532714844,217.8000030517578,227.6999969482422,208.39999389648438,221.3000030517578,2218251,2024-02-19
2024-02-26,215.1544189453125,216.8000030517578,220.35000610351562,204.0,216.0,2759650,2024-02-26
2024-03-04,206.07386779785156,207.64999389648438,212.0,198.5500030517578,206.0,2939395,2024-03-04
2024-03-11,184.6874542236328,186.10000610351562,210.8000030517578,168.14999389648438,208.60000610351562,6631978,2024-03-11
2024-03-18,207.4136199951172,209.0,211.25,188.0,193.25,4033711,2024-03-18
2024-03-25,202.79893493652344,204.35000610351562,214.89999389648438,203.0,209.0,2205930,2024-03-25
2024-04-01,213.0703582763672,214.6999969482422,216.39999389648438,208.64999389648438,209.0,2943205,2024-04-01
