Date,Adj Close_SWANENERGY.NS,Close_SWANENERGY.NS,High_SWANENERGY.NS,Low_SWANENERGY.NS,Open_SWANENERGY.NS,Volume_SWANENERGY.NS,Date
2021-08-16,126.3368911743164,126.55000305175781,136.0,125.0,134.0,534998,2021-08-16
2021-08-23,140.41314697265625,140.64999389648438,153.6999969482422,123.19999694824219,127.0999984741211,10680150,2021-08-23
2021-08-30,132.47653198242188,132.6999969482422,144.5,132.0,141.89999389648438,1206902,2021-08-30
2021-09-06,132.97569274902344,133.1999969482422,134.89999389648438,130.75,133.0,250706,2021-09-06
2021-09-13,128.9796142578125,129.10000610351562,138.89999389648438,128.5,134.89999389648438,405185,2021-09-13
2021-09-20,127.93059539794922,128.0500030517578,133.0,126.80000305175781,129.10000610351562,232779,2021-09-20
2021-09-27,127.23123168945312,127.3499984741211,133.75,125.1500015258789,128.6999969482422,198231,2021-09-27
2021-10-04,130.57810974121094,130.6999969482422,134.0,127.25,128.0,329615,2021-10-04
2021-10-11,131.3773651123047,131.5,137.5,129.6999969482422,131.89999389648438,561318,2021-10-11
2021-10-18,130.37831115722656,130.5,137.0,124.0999984741211,131.60000610351562,553553,2021-10-18
2021-10-25,126.8815689086914,127.0,135.5500030517578,124.94999694824219,135.5500030517578,239202,2021-10-25
2021-11-01,131.47727966308594,131.60000610351562,133.0,125.3499984741211,125.3499984741211,71651,2021-11-01
2021-11-08,125.98240661621094,126.0999984741211,132.0,124.94999694824219,131.60000610351562,226707,2021-11-08
2021-11-15,120.68734741210938,120.80000305175781,129.89999389648438,119.75,129.1999969482422,295070,2021-11-15
2021-11-22,117.84000396728516,117.94999694824219,123.0,115.19999694824219,121.0,186124,2021-11-22
2021-11-29,124.48380279541016,124.5999984741211,126.0,113.69999694824219,118.55000305175781,139697,2021-11-29
2021-12-06,123.38483428955078,123.5,126.19999694824219,119.0,126.19999694824219,327923,2021-12-06
2021-12-13,139.8694610595703,140.0,157.39999389648438,123.25,123.25,4673248,2021-12-13
2021-12-20,147.16262817382812,147.3000030517578,150.3000030517578,129.0,138.5500030517578,3755556,2021-12-20
2021-12-27,145.66403198242188,145.8000030517578,153.5,140.64999389648438,149.89999389648438,900219,2021-12-27
2022-01-03,164.14678955078125,164.3000030517578,173.0,121.30000305175781,146.89999389648438,6265147,2022-01-03
2022-01-10,174.2373504638672,174.39999389648438,188.0,163.0,164.3000030517578,2974733,2022-01-10
2022-01-17,174.78684997558594,174.9499969482422,183.64999389648438,172.39999389648438,180.0,1234290,2022-01-17
2022-01-24,166.4446563720703,166.60000610351562,178.89999389648438,160.75,175.0,665856,2022-01-24
2022-01-31,164.34658813476562,164.5,171.0,163.25,167.0,1134163,2022-01-31
2022-02-07,166.84426879882812,167.0,182.85000610351562,164.5,164.5,1217097,2022-02-07
2022-02-14,163.2476043701172,163.39999389648438,172.0,159.0,159.5,375615,2022-02-14
2022-02-21,161.5491943359375,161.6999969482422,167.89999389648438,150.25,164.9499969482422,639933,2022-02-21
2022-02-28,160.60009765625,160.75,166.1999969482422,157.0500030517578,161.8000030517578,107057,2022-02-28
2022-03-07,182.12998962402344,182.3000030517578,200.0,156.3000030517578,160.75,1766993,2022-03-07
2022-03-14,179.6822967529297,179.85000610351562,194.25,176.1999969482422,183.3000030517578,677846,2022-03-14
2022-03-21,177.4843292236328,177.64999389648438,190.75,175.14999389648438,181.5,401623,2022-03-21
2022-03-28,191.4712677001953,191.64999389648438,203.5,174.4499969482422,175.14999389648438,2507701,2022-03-28
2022-04-04,268.59930419921875,268.8500061035156,291.0,190.64999389648438,192.25,11502778,2022-04-04
2022-04-11,279.38922119140625,279.6499938964844,292.8999938964844,260.75,269.8999938964844,2180323,2022-04-11
2022-04-18,306.7636413574219,307.04998779296875,319.75,275.45001220703125,283.0,6426192,2022-04-18
2022-04-25,321.9494934082031,322.25,333.3999938964844,303.0,306.20001220703125,2758855,2022-04-25
2022-05-02,306.9135437011719,307.20001220703125,336.8999938964844,300.54998779296875,322.0,917978,2022-05-02
2022-05-09,267.400390625,267.6499938964844,307.0,255.14999389648438,300.04998779296875,1062941,2022-05-09
2022-05-16,290.6787109375,290.95001220703125,300.5,262.25,268.3500061035156,691114,2022-05-16
2022-05-23,286.03302001953125,286.29998779296875,303.0,271.25,301.0,592445,2022-05-23
2022-05-30,275.2430725097656,275.5,296.3500061035156,275.0,296.3500061035156,249315,2022-05-30
2022-06-06,241.724365234375,241.9499969482422,293.5,239.1999969482422,273.0,952759,2022-06-06
2022-06-13,214.000244140625,214.1999969482422,249.0,208.0,231.5500030517578,2556444,2022-06-13
2022-06-20,198.1150665283203,198.3000030517578,215.1999969482422,187.25,214.1999969482422,2628235,2022-06-20
2022-06-27,183.22897338867188,183.39999389648438,205.0,181.1999969482422,201.39999389648438,1065105,2022-06-27
2022-07-04,182.4796600341797,182.64999389648438,194.5500030517578,180.5,185.9499969482422,656090,2022-07-04
2022-07-11,189.27333068847656,189.4499969482422,193.75,183.10000610351562,184.0,466836,2022-07-11
2022-07-18,218.6459197998047,218.85000610351562,222.0,185.64999389648438,189.9499969482422,1106616,2022-07-18
2022-07-25,209.45448303222656,209.64999389648438,225.89999389648438,208.14999389648438,222.0500030517578,959449,2022-07-25
2022-08-01,206.35739135742188,206.5500030517578,217.10000610351562,204.0500030517578,213.8000030517578,438633,2022-08-01
2022-08-08,206.15757751464844,206.35000610351562,212.0,201.0,209.39999389648438,301477,2022-08-08
2022-08-15,202.51097106933594,202.6999969482422,209.0,201.5,206.35000610351562,309272,2022-08-15
2022-08-22,203.16036987304688,203.35000610351562,223.0,198.0500030517578,204.9499969482422,1211893,2022-08-22
2022-08-29,223.09176635742188,223.3000030517578,231.3000030517578,199.0,201.0,2219430,2022-08-29
2022-09-05,234.181396484375,234.39999389648438,236.0,206.5,223.9499969482422,3766956,2022-09-05
2022-09-12,233.98159790039062,234.1999969482422,248.0,228.0500030517578,235.60000610351562,3400817,2022-09-12
2022-09-19,228.18699645996094,228.39999389648438,245.0,215.0500030517578,233.0,2771896,2022-09-19
2022-09-26,223.3852996826172,223.5,229.85000610351562,216.8000030517578,228.39999389648438,1224418,2022-09-26
2022-10-03,223.08546447753906,223.1999969482422,227.0,220.5,224.5,756042,2022-10-03
2022-10-10,211.04164123535156,211.14999389648438,227.75,209.5,225.6999969482422,372178,2022-10-10
2022-10-17,208.49295043945312,208.60000610351562,212.9499969482422,203.0,212.9499969482422,479310,2022-10-17
2022-10-24,205.84429931640625,205.9499969482422,212.35000610351562,204.3000030517578,211.39999389648438,139978,2022-10-24
2022-10-31,211.39146423339844,211.5,227.9499969482422,203.1999969482422,207.39999389648438,1998339,2022-10-31
2022-11-07,244.12466430664062,244.25,246.9499969482422,211.60000610351562,212.9499969482422,2214595,2022-11-07
2022-11-14,223.98500061035156,224.10000610351562,248.0,221.0,246.1999969482422,1231036,2022-11-14
2022-11-21,230.88145446777344,231.0,264.0,222.0,222.0,5962983,2022-11-21
2022-11-28,254.8191680908203,254.9499969482422,259.5,228.1999969482422,231.0,4602295,2022-11-28
2022-12-05,271.0108337402344,271.1499938964844,286.45001220703125,256.54998779296875,257.0,6454771,2022-12-05
2022-12-12,293.3493957519531,293.5,301.70001220703125,267.20001220703125,270.8500061035156,4041511,2022-12-12
2022-12-19,274.6090087890625,274.75,303.0,265.8999938964844,296.0,2177022,2022-12-19
2022-12-26,305.7929992675781,305.95001220703125,324.0,274.75,274.75,3186687,2022-12-26
2023-01-02,310.69049072265625,310.8500061035156,337.79998779296875,301.29998779296875,306.0,7187049,2023-01-02
2023-01-09,326.1325378417969,326.29998779296875,331.3999938964844,311.95001220703125,311.95001220703125,1997340,2023-01-09
2023-01-16,361.8641662597656,362.04998779296875,369.6000061035156,320.29998779296875,327.1000061035156,5207743,2023-01-16
2023-01-23,334.67816162109375,334.8500061035156,379.0,328.29998779296875,362.8999938964844,6822029,2023-01-23
2023-01-30,272.6600036621094,272.79998779296875,341.75,265.29998779296875,328.5,3512802,2023-01-30
2023-02-06,271.5605773925781,271.70001220703125,284.0,248.0500030517578,272.5,3485043,2023-02-06
2023-02-13,277.00775146484375,277.1499938964844,283.3500061035156,268.0,271.95001220703125,1041954,2023-02-13
2023-02-20,250.67129516601562,250.8000030517578,278.0,247.85000610351562,277.45001220703125,793252,2023-02-20
2023-02-27,261.21588134765625,261.3500061035156,264.25,248.3000030517578,251.0,694384,2023-02-27
2023-03-06,297.9969787597656,298.1499938964844,301.6000061035156,266.04998779296875,268.0,9003719,2023-03-06
2023-03-13,231.0813446044922,231.1999969482422,305.95001220703125,221.5,301.1000061035156,16351989,2023-03-13
2023-03-20,217.4383544921875,217.5500030517578,234.8000030517578,211.85000610351562,225.0500030517578,5031851,2023-03-20
2023-03-27,213.69027709960938,213.8000030517578,219.9499969482422,192.64999389648438,218.9499969482422,4809233,2023-03-27
2023-04-03,220.4368133544922,220.5500030517578,223.25,210.4499969482422,215.3000030517578,1283672,2023-04-03
2023-04-10,224.38478088378906,224.5,227.8000030517578,214.0,220.89999389648438,1427213,2023-04-10
2023-04-17,212.44091796875,212.5500030517578,227.60000610351562,211.0,227.0,1007737,2023-04-17
2023-04-24,220.78662109375,220.89999389648438,223.5,208.0500030517578,212.5500030517578,748102,2023-04-24
2023-05-01,237.42808532714844,237.5500030517578,246.89999389648438,218.0,220.89999389648438,2146936,2023-05-01
2023-05-08,236.0787811279297,236.1999969482422,244.0,233.0,238.5,797522,2023-05-08
2023-05-15,229.98191833496094,230.10000610351562,239.25,225.10000610351562,237.5500030517578,1090749,2023-05-15
2023-05-22,229.13233947753906,229.25,243.4499969482422,227.85000610351562,241.85000610351562,903245,2023-05-22
2023-05-29,252.12054443359375,252.25,260.5,218.5500030517578,231.39999389648438,2198514,2023-05-29
2023-06-05,239.47703552246094,239.60000610351562,254.75,236.5500030517578,254.5500030517578,646788,2023-06-05
2023-06-12,235.1792449951172,235.3000030517578,242.89999389648438,233.0,242.0,699232,2023-06-12
2023-06-19,271.11077880859375,271.25,275.6499938964844,232.6999969482422,236.9499969482422,10699223,2023-06-19
2023-06-26,260.2164001464844,260.3500061035156,283.8500061035156,254.0,271.5,5222588,2023-06-26
2023-07-03,261.7655944824219,261.8999938964844,269.1000061035156,260.0,262.29998779296875,1557647,2023-07-03
2023-07-10,230.631591796875,230.75,271.1499938964844,222.10000610351562,262.79998779296875,6444296,2023-07-10
2023-07-17,226.033935546875,226.14999389648438,234.8000030517578,224.4499969482422,228.89999389648438,2267054,2023-07-17
2023-07-24,218.83763122558594,218.9499969482422,231.89999389648438,217.0500030517578,227.39999389648438,1799919,2023-07-24
2023-07-31,243.9247589111328,244.0500030517578,247.0,214.25,219.0,6382191,2023-07-31
2023-08-07,269.2617492675781,269.3999938964844,272.6000061035156,241.9499969482422,246.0,4628745,2023-08-07
2023-08-14,267.01287841796875,267.1499938964844,284.70001220703125,255.75,273.1000061035156,6746001,2023-08-14
2023-08-21,301.34527587890625,301.5,307.0,270.0,270.0,9908152,2023-08-21
2023-08-28,306.0428771972656,306.20001220703125,317.70001220703125,302.5,305.0,9216888,2023-08-28
2023-09-04,300.9954528808594,301.1499938964844,312.8500061035156,292.1499938964844,308.79998779296875,7557818,2023-09-04
2023-09-11,289.751220703125,289.8999938964844,307.79998779296875,273.04998779296875,303.70001220703125,4965324,2023-09-11
2023-09-18,298.3967590332031,298.54998779296875,304.70001220703125,287.04998779296875,290.0,3934792,2023-09-18
2023-09-25,287.75115966796875,287.79998779296875,342.79998779296875,283.1499938964844,321.0,17956338,2023-09-25
2023-10-02,297.4994812011719,297.54998779296875,299.5,282.25,287.79998779296875,4303393,2023-10-02
2023-10-09,305.1982116699219,305.25,316.79998779296875,286.8999938964844,293.1000061035156,9932064,2023-10-09
2023-10-16,312.2469787597656,312.29998779296875,332.04998779296875,305.1000061035156,307.70001220703125,12944959,2023-10-16
2023-10-23,369.1373596191406,369.20001220703125,390.0,295.29998779296875,314.5,47296696,2023-10-23
2023-10-30,385.93450927734375,386.0,399.8999938964844,375.6499938964844,378.0,24294314,2023-10-30
2023-11-06,422.32830810546875,422.3999938964844,446.79998779296875,368.3500061035156,388.0,21863625,2023-11-06
2023-11-13,429.27716064453125,429.3500061035156,462.8500061035156,416.6000061035156,447.04998779296875,30096816,2023-11-13
2023-11-20,421.428466796875,421.5,440.79998779296875,416.25,429.5,6626822,2023-11-20
2023-11-27,415.1795349121094,415.25,437.70001220703125,414.0,421.5,5553419,2023-11-27
2023-12-04,465.2210388183594,465.29998779296875,487.0,413.0,422.0,63086731,2023-12-04
2023-12-11,514.0127563476562,514.0999755859375,518.5,460.0,465.04998779296875,43314120,2023-12-11
2023-12-18,506.3140563964844,506.3999938964844,521.4000244140625,475.79998779296875,509.75,35041797,2023-12-18
2023-12-25,510.9132995605469,511.0,525.2999877929688,498.6000061035156,506.3999938964844,36439035,2023-12-25
2024-01-01,560.1549072265625,560.25,566.4000244140625,496.8999938964844,514.0,28407674,2024-01-01
2024-01-08,562.0546264648438,562.1500244140625,575.0,531.2999877929688,564.9500122070312,43548893,2024-01-08
2024-01-15,584.8507690429688,584.9500122070312,590.9500122070312,525.7999877929688,564.0,23358959,2024-01-15
2024-01-22,609.0966186523438,609.2000122070312,617.9000244140625,566.3499755859375,584.9500122070312,17164441,2024-01-22
2024-01-29,686.783447265625,686.9000244140625,693.7000122070312,594.0,610.5,48427911,2024-01-29
2024-02-05,708.079833984375,708.2000122070312,711.4000244140625,652.3499755859375,686.9000244140625,24114631,2024-02-05
2024-02-12,729.0263061523438,729.1500244140625,764.25,677.6500244140625,709.25,24516340,2024-02-12
2024-02-19,736.375,736.5,762.5999755859375,701.4000244140625,716.0,15884268,2024-02-19
2024-02-26,762.0706787109375,762.2000122070312,782.25,708.75,741.0,24380056,2024-02-26
2024-03-04,686.7333984375,686.8499755859375,747.3499755859375,678.0999755859375,745.0,18210078,2024-03-04
2024-03-11,569.203369140625,569.2999877929688,697.75,437.1000061035156,692.0,65007028,2024-03-11
2024-03-18,665.237060546875,665.3499755859375,669.0,542.5499877929688,580.0,16270969,2024-03-18
2024-03-25,669.8363037109375,669.9500122070312,677.9000244140625,642.4000244140625,665.3499755859375,6075778,2024-03-25
2024-04-01,674.7855224609375,674.9000244140625,687.0,647.1500244140625,674.0,8294472,2024-04-01
2024-04-08,651.2394409179688,651.3499755859375,684.7000122070312,648.25,681.5,5120561,2024-04-08
2024-04-15,616.1454467773438,616.25,643.7999877929688,598.0,631.0499877929688,4426790,2024-04-15
2024-04-22,613.5458984375,613.6500244140625,633.0,600.0499877929688,622.0,5174579,2024-04-22
2024-04-29,593.5492553710938,593.6500244140625,641.9000244140625,580.25,617.0,5868400,2024-04-29
2024-05-06,529.0602416992188,529.1500244140625,588.9000244140625,524.3499755859375,588.0,9287991,2024-05-06
2024-05-13,599.7982177734375,599.9000244140625,609.2000122070312,503.25,531.9500122070312,7704623,2024-05-13
2024-05-20,630.4429931640625,630.5499877929688,631.0,591.5,599.2000122070312,6307669,2024-05-20
2024-05-27,574.6524658203125,574.75,648.0,574.75,639.7000122070312,6581858,2024-05-27
2024-06-03,588.60009765625,588.7000122070312,603.4500122070312,539.0,599.9500122070312,14504825,2024-06-03
2024-06-10,637.141845703125,637.25,641.2000122070312,585.7000122070312,587.7999877929688,8957901,2024-06-10
2024-06-17,656.738525390625,656.8499755859375,670.0,637.25,637.25,10452687,2024-06-17
2024-06-24,586.8004150390625,586.9000244140625,641.9000244140625,583.5999755859375,631.0,7887902,2024-06-24
2024-07-01,659.5380859375,659.6500244140625,659.6500244140625,587.5,587.9500122070312,6880015,2024-07-01
2024-07-08,717.7781982421875,717.9000244140625,747.7000122070312,692.5999755859375,692.5999755859375,16346831,2024-07-08
2024-07-15,690.2828369140625,690.4000244140625,730.0,687.2000122070312,729.7000122070312,6820458,2024-07-15
2024-07-22,731.52587890625,731.6500244140625,744.7999877929688,650.7000122070312,680.0999755859375,12116863,2024-07-22
2024-07-29,720.0778198242188,720.2000122070312,764.4000244140625,708.0499877929688,738.0,12049910,2024-07-29
2024-08-05,688.7330932617188,688.8499755859375,710.7000122070312,651.6500244140625,690.9500122070312,8147196,2024-08-05
2024-08-12,679.9845581054688,680.0999755859375,706.9000244140625,667.0999755859375,688.0,9170088,2024-08-12
2024-08-19,699.78125,699.9000244140625,718.8499755859375,676.0,688.0,10663418,2024-08-19
2024-08-26,677.2850952148438,677.4000244140625,714.0,668.0,712.9500122070312,6927029,2024-08-26
2024-09-02,623.2942504882812,623.4000244140625,687.2000122070312,620.0,680.9000244140625,5507046,2024-09-02
2024-09-09,617.0952758789062,617.2000122070312,640.25,605.5,623.0,6471012,2024-09-09
2024-09-16,595.9488525390625,596.0499877929688,622.0,569.7000122070312,617.25,6676404,2024-09-16
2024-09-23,581.7999877929688,581.7999877929688,624.4500122070312,565.0,600.9000244140625,11700047,2024-09-23
2024-09-30,554.5499877929688,554.5499877929688,589.0499877929688,551.0,586.25,5952891,2024-09-30
2024-10-07,569.4500122070312,569.4500122070312,576.7999877929688,509.54998779296875,555.75,7224493,2024-10-07
2024-10-14,540.25,540.25,571.9500122070312,526.6500244140625,571.0,3895878,2024-10-14
2024-10-21,465.25,465.25,543.2000122070312,455.70001220703125,541.0,7205238,2024-10-21
2024-10-28,500.70001220703125,500.70001220703125,511.5,464.20001220703125,475.0,5312699,2024-10-28
2024-11-04,525.2000122070312,525.2000122070312,569.5999755859375,478.0,497.54998779296875,34285434,2024-11-04
2024-11-11,510.95001220703125,510.95001220703125,557.7000122070312,501.75,521.0,18909185,2024-11-11
2024-11-18,586.7999877929688,586.7999877929688,594.4000244140625,477.0,484.04998779296875,31306601,2024-11-18
2024-11-25,610.9500122070312,610.9500122070312,632.0,593.0,610.0,22005159,2024-11-25
2024-12-02,720.9000244140625,720.9000244140625,737.2000122070312,607.0,608.0,59041458,2024-12-02
2024-12-09,787.1500244140625,787.1500244140625,804.4000244140625,705.0499877929688,725.9500122070312,62336991,2024-12-09
2024-12-16,740.2000122070312,740.2000122070312,809.7999877929688,736.8499755859375,781.9000244140625,38446325,2024-12-16
2024-12-23,737.2000122070312,737.2000122070312,757.0,708.2000122070312,749.0,13201449,2024-12-23
2024-12-30,754.9000244140625,754.9000244140625,771.4000244140625,706.6500244140625,738.0,16777235,2024-12-30
2025-01-06,649.5,649.5,756.6500244140625,643.3499755859375,755.0499877929688,14799714,2025-01-06
2025-01-13,684.9500122070312,684.9500122070312,702.0,596.0999755859375,636.0,20104298,2025-01-13
2025-01-20,589.5,589.5,689.7999877929688,583.1500244140625,689.7999877929688,13518427,2025-01-20
2025-01-27,564.3499755859375,564.3499755859375,579.0,512.0999755859375,566.3499755859375,18076243,2025-01-27
2025-02-03,541.2999877929688,541.2999877929688,557.8499755859375,532.0499877929688,548.1500244140625,5891997,2025-02-03
2025-02-10,439.20001220703125,439.20001220703125,538.5999755859375,435.1000061035156,537.25,12520774,2025-02-10
2025-02-17,430.25,430.25,480.6499938964844,398.8500061035156,445.0,31786060,2025-02-17
2025-02-24,408.0,408.0,440.70001220703125,397.95001220703125,425.04998779296875,9869260,2025-02-24
2025-03-03,445.3500061035156,445.3500061035156,462.45001220703125,385.79998779296875,413.20001220703125,13751858,2025-03-03
2025-03-10,398.1000061035156,398.1000061035156,449.8500061035156,396.1000061035156,445.25,6778090,2025-03-10
2025-03-17,443.6499938964844,443.6499938964844,447.20001220703125,392.04998779296875,401.3500061035156,10859583,2025-03-17
2025-03-24,430.20001220703125,430.20001220703125,487.8999938964844,421.0,447.1000061035156,25296333,2025-03-24
2025-03-31,418.6000061035156,418.6000061035156,449.6000061035156,413.45001220703125,430.20001220703125,7005894,2025-03-31
2025-04-07,396.95001220703125,396.95001220703125,408.95001220703125,362.20001220703125,362.20001220703125,8831946,2025-04-07
2025-04-14,429.29998779296875,429.29998779296875,441.75,396.95001220703125,396.95001220703125,9270220,2025-04-14
2025-04-21,415.1000061035156,415.1000061035156,454.25,405.3999938964844,430.79998779296875,10338935,2025-04-21
2025-04-28,414.8500061035156,414.8500061035156,428.79998779296875,399.1499938964844,407.0,6037077,2025-04-28
2025-05-05,391.1000061035156,391.1000061035156,423.79998779296875,388.75,412.25,6720431,2025-05-05
2025-05-12,455.54998779296875,455.54998779296875,461.3500061035156,408.0,408.0,11664833,2025-05-12
2025-05-19,431.8500061035156,431.8500061035156,465.79998779296875,422.0,458.5,7210546,2025-05-19
2025-05-26,433.8500061035156,433.8500061035156,451.3999938964844,430.0,434.70001220703125,7231327,2025-05-26
2025-06-02,453.70001220703125,453.70001220703125,468.79998779296875,410.0,410.0,27218621,2025-06-02
2025-06-09,430.1499938964844,430.1499938964844,478.0,429.04998779296875,456.20001220703125,12736306,2025-06-09
2025-06-16,418.79998779296875,418.79998779296875,436.8999938964844,412.0,430.8999938964844,6682850,2025-06-16
2025-06-23,448.8500061035156,448.8500061035156,462.0,414.5,416.8500061035156,25212714,2025-06-23
2025-06-30,446.29998779296875,446.29998779296875,457.29998779296875,434.5,450.75,5667624,2025-06-30
2025-07-07,453.8500061035156,453.8500061035156,473.0,438.54998779296875,445.8999938964844,12024804,2025-07-07
2025-07-14,502.25,502.25,513.9000244140625,448.0,451.45001220703125,31480550,2025-07-14
