Date,Adj Close_ABSLAMC.NS,Close_ABSLAMC.NS,High_ABSLAMC.NS,Low_ABSLAMC.NS,Open_ABSLAMC.NS,Volume_ABSLAMC.NS,Date
2022-07-04,406.41094970703125,431.6000061035156,434.1000061035156,404.3999938964844,405.8999938964844,512846,2022-07-04
2022-07-11,390.12060546875,414.29998779296875,432.54998779296875,411.25,431.6000061035156,260027,2022-07-11
2022-07-18,409.0555419921875,428.45001220703125,435.25,413.79998779296875,414.04998779296875,197825,2022-07-18
2022-07-25,404.1863708496094,423.3500061035156,430.20001220703125,407.95001220703125,428.8999938964844,226504,2022-07-25
2022-08-01,412.3493347167969,431.8999938964844,433.0,419.8999938964844,423.0,379476,2022-08-01
2022-08-08,424.18804931640625,444.29998779296875,446.6000061035156,430.29998779296875,432.95001220703125,705927,2022-08-08
2022-08-15,426.6225891113281,446.8500061035156,477.75,443.0,444.29998779296875,599371,2022-08-15
2022-08-22,430.8711853027344,451.29998779296875,452.5,440.0,443.0,222259,2022-08-22
2022-08-29,452.5913391113281,474.04998779296875,474.3500061035156,440.0,440.0,419424,2022-08-29
2022-09-05,452.4481201171875,473.8999938964844,476.70001220703125,464.0,474.04998779296875,294749,2022-09-05
2022-09-12,453.5938415527344,475.1000061035156,503.0,473.5,490.29998779296875,541347,2022-09-12
2022-09-19,447.0061950683594,468.20001220703125,489.0,464.0,476.25,1532903,2022-09-19
2022-09-26,434.4036560058594,455.0,463.95001220703125,450.04998779296875,462.0,448928,2022-09-26
2022-10-03,429.4390563964844,449.79998779296875,456.6000061035156,447.5,455.0,171979,2022-10-03
2022-10-10,415.6908874511719,435.3999938964844,449.0,432.04998779296875,449.0,130575,2022-10-10
2022-10-17,407.2892761230469,426.6000061035156,440.20001220703125,421.5,431.0,211747,2022-10-17
2022-10-24,393.8275451660156,412.5,438.0,400.0,436.0,450236,2022-10-24
2022-10-31,396.6440124511719,415.45001220703125,426.29998779296875,406.0,419.0,367813,2022-10-31
2022-11-07,409.8193054199219,429.25,431.0,415.6499938964844,417.45001220703125,314415,2022-11-07
2022-11-14,408.0530700683594,427.3999938964844,434.3999938964844,423.1499938964844,430.0,351422,2022-11-14
2022-11-21,399.12628173828125,418.04998779296875,429.45001220703125,416.3999938964844,427.3999938964844,731520,2022-11-21
2022-11-28,414.30657958984375,433.95001220703125,441.0,418.0,418.04998779296875,897646,2022-11-28
2022-12-05,429.2004089355469,449.54998779296875,451.5,430.1000061035156,437.45001220703125,703959,2022-12-05
2022-12-12,432.7328796386719,453.25,471.8999938964844,443.54998779296875,449.95001220703125,566992,2022-12-12
2022-12-19,416.7411193847656,436.5,467.95001220703125,429.25,455.0,634399,2022-12-19
2022-12-26,434.4036560058594,455.0,456.04998779296875,432.0,432.0,177702,2022-12-26
2023-01-02,428.2933654785156,448.6000061035156,460.25,445.95001220703125,451.54998779296875,250990,2023-01-02
2023-01-09,436.1699523925781,456.8500061035156,459.0,447.20001220703125,452.95001220703125,306595,2023-01-09
2023-01-16,423.3287658691406,443.3999938964844,462.8999938964844,442.0,457.95001220703125,256056,2023-01-16
2023-01-23,407.9575500488281,427.29998779296875,447.79998779296875,425.0,447.79998779296875,411305,2023-01-23
2023-01-30,387.9559020996094,406.3500061035156,434.0,405.04998779296875,412.79998779296875,298123,2023-01-30
2023-02-06,383.61187744140625,401.79998779296875,409.0,399.75,408.6499938964844,206115,2023-02-06
2023-02-13,381.5592041015625,399.6499938964844,404.8999938964844,397.29998779296875,402.25,169492,2023-02-13
2023-02-20,370.4842834472656,388.04998779296875,410.20001220703125,385.1000061035156,402.70001220703125,232235,2023-02-20
2023-02-27,360.9847106933594,378.1000061035156,387.95001220703125,377.25,385.20001220703125,252681,2023-02-27
2023-03-06,355.2085266113281,372.04998779296875,381.75,371.0,380.0,525031,2023-03-06
2023-03-13,343.2743835449219,359.54998779296875,373.1000061035156,353.54998779296875,372.04998779296875,588812,2023-03-13
2023-03-20,324.37066650390625,339.75,368.8999938964844,339.0,368.8999938964844,726607,2023-03-20
2023-03-27,301.34661865234375,311.20001220703125,343.1000061035156,307.0,343.1000061035156,1432951,2023-03-27
2023-04-03,329.81573486328125,340.6000061035156,343.1000061035156,312.54998779296875,312.54998779296875,364816,2023-04-03
2023-04-10,326.1844787597656,336.8500061035156,352.8999938964844,329.0,340.6000061035156,454293,2023-04-10
2023-04-17,332.5270690917969,343.3999938964844,349.45001220703125,333.20001220703125,336.79998779296875,160749,2023-04-17
2023-04-24,327.44329833984375,338.1499938964844,345.3500061035156,330.6499938964844,344.3500061035156,225549,2023-04-24
2023-05-01,343.0819396972656,354.29998779296875,358.54998779296875,334.1499938964844,338.1499938964844,306281,2023-05-01
2023-05-08,342.4525146484375,353.6499938964844,366.54998779296875,351.54998779296875,351.54998779296875,224140,2023-05-08
2023-05-15,337.756103515625,348.79998779296875,365.79998779296875,345.54998779296875,353.6000061035156,173030,2023-05-15
2023-05-22,336.49725341796875,347.5,353.95001220703125,342.6499938964844,348.8999938964844,171270,2023-05-22
2023-05-29,347.8752136230469,359.25,360.54998779296875,348.0,348.0,175970,2023-05-29
2023-06-05,361.23828125,373.04998779296875,379.20001220703125,359.79998779296875,360.54998779296875,323329,2023-06-05
2023-06-12,359.1079406738281,370.8500061035156,379.04998779296875,368.04998779296875,373.95001220703125,196440,2023-06-12
2023-06-19,355.91241455078125,367.54998779296875,380.0,365.5,372.04998779296875,233720,2023-06-19
2023-06-26,360.5604553222656,372.3500061035156,402.0,362.54998779296875,366.6000061035156,1299698,2023-06-26
2023-07-03,358.333251953125,370.04998779296875,384.0,369.04998779296875,376.70001220703125,543430,2023-07-03
2023-07-10,371.55108642578125,383.70001220703125,385.5,366.0,370.0,406901,2023-07-10
2023-07-17,376.6348571777344,388.95001220703125,399.8999938964844,380.04998779296875,385.0,475095,2023-07-17
2023-07-24,395.1784973144531,408.1000061035156,414.95001220703125,393.8500061035156,397.8500061035156,854786,2023-07-24
2023-07-31,394.88800048828125,407.79998779296875,419.04998779296875,405.25,410.5,388422,2023-07-31
2023-08-07,394.51519775390625,402.20001220703125,409.75,399.0,408.0,298067,2023-08-07
2023-08-14,383.3820495605469,390.8500061035156,402.20001220703125,387.45001220703125,402.20001220703125,211941,2023-08-14
2023-08-21,381.51837158203125,388.95001220703125,397.0,382.04998779296875,390.8500061035156,291572,2023-08-21
2023-08-28,382.057861328125,389.5,394.79998779296875,384.3500061035156,390.0,259621,2023-08-28
2023-09-04,414.6235046386719,422.70001220703125,425.0,388.79998779296875,390.0,738319,2023-09-04
2023-09-11,407.5120544433594,415.45001220703125,429.8999938964844,407.04998779296875,426.6000061035156,497137,2023-09-11
2023-09-18,408.934326171875,416.8999938964844,423.95001220703125,410.0,412.8500061035156,284241,2023-09-18
2023-09-25,425.3642883300781,433.6499938964844,447.6499938964844,412.29998779296875,418.0,711503,2023-09-25
2023-10-02,425.6094970703125,433.8999938964844,441.70001220703125,426.0,433.6499938964844,429670,2023-10-02
2023-10-09,449.78851318359375,458.54998779296875,460.0,423.0,423.04998779296875,912551,2023-10-09
2023-10-16,436.59552001953125,445.1000061035156,460.1000061035156,433.04998779296875,460.0,380465,2023-10-16
2023-10-23,430.07257080078125,438.45001220703125,449.0,423.0,445.0,966511,2023-10-23
2023-10-30,437.1349792480469,445.6499938964844,449.95001220703125,435.04998779296875,444.6000061035156,313120,2023-10-30
2023-11-06,446.25732421875,454.95001220703125,459.0,439.1000061035156,449.0,354642,2023-11-06
2023-11-13,450.7203674316406,459.5,461.75,445.20001220703125,461.45001220703125,453752,2023-11-13
2023-11-20,448.4152526855469,457.1499938964844,461.0,442.0,459.5,336164,2023-11-20
2023-11-27,439.63629150390625,448.20001220703125,461.29998779296875,446.1000061035156,457.1499938964844,259387,2023-11-27
2023-12-04,450.86749267578125,459.6499938964844,470.0,447.5,452.95001220703125,569245,2023-12-04
2023-12-11,452.0935974121094,460.8999938964844,467.20001220703125,456.0,460.0,401366,2023-12-11
2023-12-18,466.3165588378906,475.3999938964844,494.6499938964844,455.45001220703125,460.0,1331606,2023-12-18
2023-12-25,460.3821716308594,469.3500061035156,479.3999938964844,461.45001220703125,475.3999938964844,303141,2023-12-25
2024-01-01,466.46368408203125,475.54998779296875,480.0,466.0,472.0,466343,2024-01-01
2024-01-08,489.17138671875,498.70001220703125,501.0,469.1499938964844,479.0,821027,2024-01-08
2024-01-15,470.2401428222656,479.3999938964844,504.8999938964844,472.0,498.70001220703125,341138,2024-01-15
2024-01-22,458.1751708984375,467.1000061035156,492.04998779296875,463.75,479.3999938964844,267793,2024-01-22
2024-01-29,470.5834655761719,479.75,494.5,465.95001220703125,471.20001220703125,1157642,2024-01-29
2024-02-05,470.3382263183594,479.5,497.8500061035156,475.5,479.75,536677,2024-02-05
2024-02-12,470.093017578125,479.25,485.0,458.45001220703125,484.79998779296875,370914,2024-02-12
2024-02-19,485.689208984375,495.1499938964844,509.3999938964844,478.5,480.25,672516,2024-02-19
2024-02-26,513.93896484375,523.9500122070312,536.0,491.1499938964844,495.1000061035156,1605265,2024-02-26
2024-03-04,506.4350891113281,516.2999877929688,524.7000122070312,506.54998779296875,520.0499877929688,357096,2024-03-04
2024-03-11,469.7006530761719,478.8500061035156,530.7000122070312,466.6000061035156,514.0,645679,2024-03-11
2024-03-18,447.091064453125,455.79998779296875,483.70001220703125,452.04998779296875,483.70001220703125,1627519,2024-03-18
2024-03-25,446.30633544921875,455.0,458.20001220703125,450.25,455.79998779296875,566428,2024-03-25
2024-04-01,471.5643310546875,480.75,485.0,455.0,455.0,1279618,2024-04-01
2024-04-08,486.42486572265625,495.8999938964844,504.0,471.25,480.8500061035156,1005315,2024-04-08
2024-04-15,494.3210754394531,503.95001220703125,523.0,480.1000061035156,485.95001220703125,1525224,2024-04-15
2024-04-22,544.3466186523438,554.9500122070312,569.0,503.95001220703125,503.95001220703125,4126455,2024-04-22
2024-04-29,532.4287719726562,542.7999877929688,569.4000244140625,533.3499755859375,564.0,1368951,2024-04-29
2024-05-06,527.5733032226562,537.8499755859375,558.0,520.0,543.0,1678112,2024-05-06
2024-05-13,515.1160278320312,525.1500244140625,547.2999877929688,523.0,543.9000244140625,1269206,2024-05-13
2024-05-20,516.2440185546875,526.2999877929688,542.0,512.9500122070312,531.0,1305910,2024-05-20
2024-05-27,512.565673828125,522.5499877929688,541.8499755859375,513.2999877929688,526.5499877929688,3571259,2024-05-27
2024-06-03,565.1415405273438,576.1500244140625,595.0,517.3499755859375,528.7999877929688,3529406,2024-06-03
2024-06-10,666.1244506835938,679.0999755859375,701.9000244140625,588.0,596.6500244140625,5926361,2024-06-10
2024-06-17,645.9180908203125,658.5,683.0,653.0999755859375,679.0999755859375,1519737,2024-06-17
2024-06-24,620.0715942382812,632.1500244140625,665.4500122070312,616.2000122070312,658.5,1208125,2024-06-24
2024-07-01,646.947998046875,659.5499877929688,665.3499755859375,631.0999755859375,643.9000244140625,1917736,2024-07-01
2024-07-08,663.427001953125,676.3499755859375,680.0,645.8499755859375,663.0,2195803,2024-07-08
2024-07-15,663.47607421875,676.4000244140625,732.4000244140625,672.0,681.0,2763034,2024-07-15
2024-07-22,692.3633422851562,705.8499755859375,716.75,656.5499877929688,676.0,1864551,2024-07-22
2024-07-29,672.8926391601562,686.0,723.9500122070312,681.5,715.0,1500996,2024-07-29
2024-08-05,695.75,695.75,703.5999755859375,617.4000244140625,617.4000244140625,3149901,2024-08-05
2024-08-12,708.75,708.75,721.0,683.0999755859375,697.5,2542456,2024-08-12
2024-08-19,743.0,743.0,775.0,701.2999877929688,710.0,3240855,2024-08-19
2024-08-26,748.0999755859375,748.0999755859375,753.1500244140625,711.9000244140625,745.0,1994692,2024-08-26
2024-09-02,725.4500122070312,725.4500122070312,759.9000244140625,721.5,759.9000244140625,1623852,2024-09-02
2024-09-09,748.75,748.75,761.2000122070312,715.0499877929688,719.25,1572021,2024-09-09
2024-09-16,761.2000122070312,761.2000122070312,774.9000244140625,718.75,746.25,3693103,2024-09-16
2024-09-23,735.2000122070312,735.2000122070312,770.9500122070312,720.9500122070312,770.0,1598967,2024-09-23
2024-09-30,716.75,716.75,755.0999755859375,711.6500244140625,735.2000122070312,1378062,2024-09-30
2024-10-07,690.7000122070312,690.7000122070312,723.8499755859375,667.5499877929688,723.8499755859375,1427915,2024-10-07
2024-10-14,761.6500244140625,761.6500244140625,804.0,681.2999877929688,691.9500122070312,11373868,2024-10-14
2024-10-21,735.4500122070312,735.4500122070312,780.5,711.0999755859375,762.7000122070312,2155091,2024-10-21
2024-10-28,808.2000122070312,808.2000122070312,814.6500244140625,736.2999877929688,740.1500244140625,2447388,2024-10-28
2024-11-04,800.0,800.0,838.0,781.0499877929688,812.7000122070312,2273433,2024-11-04
2024-11-11,801.2999877929688,801.2999877929688,829.0,776.2000122070312,803.9500122070312,1387338,2024-11-11
2024-11-18,843.7000122070312,843.7000122070312,869.7999877929688,793.0,800.9500122070312,2075896,2024-11-18
2024-11-25,865.2000122070312,865.2000122070312,894.4000244140625,836.0,865.0,1971632,2024-11-25
2024-12-02,849.5999755859375,849.5999755859375,911.8499755859375,841.0,899.7000122070312,2452044,2024-12-02
2024-12-09,832.5,832.5,872.2000122070312,802.25,854.4000244140625,2944811,2024-12-09
2024-12-16,800.75,800.75,847.0,792.2000122070312,835.0,1984793,2024-12-16
2024-12-23,816.6500244140625,816.6500244140625,822.5,775.0,795.0,1150100,2024-12-23
2024-12-30,822.2000122070312,822.2000122070312,858.6500244140625,815.0,815.0499877929688,1923516,2024-12-30
2025-01-06,782.0999755859375,782.0999755859375,828.7000122070312,765.0,828.7000122070312,1682765,2025-01-06
2025-01-13,758.2999877929688,758.2999877929688,782.0,717.0,764.5,1336086,2025-01-13
2025-01-20,708.75,708.75,767.0,700.2999877929688,760.0,1003195,2025-01-20
2025-01-27,676.9000244140625,676.9000244140625,709.3499755859375,587.0,656.0499877929688,3484182,2025-01-27
2025-02-03,695.9000244140625,695.9000244140625,717.8499755859375,638.7999877929688,666.0,1850278,2025-02-03
2025-02-10,652.8499755859375,652.8499755859375,698.7999877929688,642.7999877929688,695.0,1488196,2025-02-10
2025-02-17,662.7999877929688,662.7999877929688,675.7000122070312,632.0499877929688,652.8499755859375,1423351,2025-02-17
2025-02-24,615.5,615.5,666.1500244140625,605.0499877929688,660.0,1256406,2025-02-24
2025-03-03,619.5499877929688,619.5499877929688,630.1500244140625,595.2999877929688,615.5,1429642,2025-03-03
2025-03-10,591.2000122070312,591.2000122070312,624.0,575.2999877929688,620.0,980268,2025-03-10
2025-03-17,638.5999755859375,638.5999755859375,653.6500244140625,588.0,603.4500122070312,1237961,2025-03-17
2025-03-24,636.7000122070312,636.7000122070312,662.0,621.0,645.0,1080576,2025-03-24
2025-03-31,654.5,654.5,667.4500122070312,630.0,636.7000122070312,680338,2025-03-31
2025-04-07,625.0499877929688,625.0499877929688,646.0,556.4500122070312,556.4500122070312,1343528,2025-04-07
2025-04-14,626.0499877929688,626.0499877929688,641.5,618.0499877929688,625.0499877929688,631964,2025-04-14
2025-04-21,642.2999877929688,642.2999877929688,682.5999755859375,593.8499755859375,634.5499877929688,1972670,2025-04-21
2025-04-28,656.3499755859375,656.3499755859375,686.0,631.25,645.0,3012280,2025-04-28
2025-05-05,643.75,643.75,666.9000244140625,623.0,657.4500122070312,1383352,2025-05-05
2025-05-12,707.9500122070312,707.9500122070312,711.7000122070312,652.7999877929688,652.7999877929688,2928463,2025-05-12
2025-05-19,721.75,721.75,739.5,697.0,707.9500122070312,2446299,2025-05-19
2025-05-26,747.0499877929688,747.0499877929688,759.7999877929688,721.5,729.2000122070312,1255384,2025-05-26
2025-06-02,778.7000122070312,778.7000122070312,797.0,740.9500122070312,750.0,1955144,2025-06-02
2025-06-09,765.6500244140625,765.6500244140625,822.0,762.9000244140625,792.0,1818187,2025-06-09
2025-06-16,755.9500122070312,755.9500122070312,777.4000244140625,731.0,765.6500244140625,953946,2025-06-16
2025-06-23,763.9500122070312,763.9500122070312,788.7999877929688,745.9000244140625,752.2000122070312,1256385,2025-06-23
2025-06-30,803.7000122070312,803.7000122070312,821.7999877929688,763.9500122070312,766.5,2442023,2025-06-30
2025-07-07,844.2999877929688,844.2999877929688,872.0499877929688,797.1500244140625,804.2999877929688,2761323,2025-07-07
2025-07-14,864.6500244140625,864.6500244140625,868.0,838.0,844.9500122070312,721758,2025-07-14
