Date,Adj Close_AMNPLST.NS,Close_AMNPLST.NS,High_AMNPLST.NS,Low_AMNPLST.NS,Open_AMNPLST.NS,Volume_AMNPLST.NS,Date
2024-05-13,195.34080505371094,195.64999389648438,208.89999389648438,190.35000610351562,194.5500030517578,37453,2024-05-13
2024-05-20,192.69500732421875,193.0,202.25,190.35000610351562,195.35000610351562,27899,2024-05-20
2024-05-27,204.1768341064453,204.5,221.6999969482422,186.5,196.89999389648438,441187,2024-05-27
2024-06-03,200.9319610595703,201.25,212.5,180.0500030517578,212.0,84006,2024-06-03
2024-06-10,255.10621643066406,255.50999450683594,261.20001220703125,198.8800048828125,204.25,825396,2024-06-10
2024-06-17,251.11253356933594,251.50999450683594,279.04998779296875,248.0,255.50999450683594,430175,2024-06-17
2024-06-24,276.06304931640625,276.5,346.0,249.2100067138672,258.0,1712836,2024-06-24
2024-07-01,302.2715759277344,302.75,331.79998779296875,273.04998779296875,276.5,1131465,2024-07-01
2024-07-08,282.7524719238281,283.20001220703125,314.79998779296875,275.0,305.45001220703125,169350,2024-07-08
2024-07-15,263.9322509765625,264.3500061035156,289.45001220703125,261.1000061035156,283.20001220703125,93003,2024-07-15
2024-07-22,324.8358459472656,325.3500061035156,357.70001220703125,241.60000610351562,264.0,975153,2024-07-22
2024-07-29,324.73602294921875,325.25,348.0,307.8999938964844,321.95001220703125,269939,2024-07-29
2024-08-05,329.1789855957031,329.70001220703125,357.0,300.0,312.54998779296875,910782,2024-08-05
2024-08-12,317.44757080078125,317.95001220703125,339.0,310.45001220703125,325.0,165847,2024-08-12
2024-08-19,326.4333190917969,326.95001220703125,359.95001220703125,317.79998779296875,323.0,655196,2024-08-19
2024-08-26,313.6036376953125,314.1000061035156,349.3500061035156,310.75,328.95001220703125,229899,2024-08-26
2024-09-02,319.1947937011719,319.70001220703125,335.0,310.8500061035156,311.6000061035156,146869,2024-09-02
2024-09-09,325.63458251953125,326.1499938964844,336.5,313.20001220703125,323.5,92503,2024-09-09
2024-09-16,315.8999938964844,315.8999938964844,340.95001220703125,311.8500061035156,335.25,91012,2024-09-16
2024-09-23,307.45001220703125,307.45001220703125,322.1499938964844,304.3500061035156,322.1499938964844,52181,2024-09-23
2024-09-30,303.54998779296875,303.54998779296875,316.04998779296875,294.0,311.6499938964844,81280,2024-09-30
2024-10-07,291.95001220703125,291.95001220703125,308.8500061035156,281.04998779296875,303.6000061035156,42880,2024-10-07
2024-10-14,325.75,325.75,340.0,285.0,293.0,263017,2024-10-14
2024-10-21,283.6000061035156,283.6000061035156,334.29998779296875,275.8999938964844,326.0,88122,2024-10-21
2024-10-28,289.3999938964844,289.3999938964844,294.25,275.0,280.0,30445,2024-10-28
2024-11-04,290.20001220703125,290.20001220703125,299.3500061035156,281.3500061035156,293.79998779296875,27990,2024-11-04
2024-11-11,283.75,283.75,295.0,272.25,294.04998779296875,21316,2024-11-11
2024-11-18,262.04998779296875,262.04998779296875,289.8500061035156,257.70001220703125,289.29998779296875,42954,2024-11-18
2024-11-25,268.6499938964844,268.6499938964844,275.0,255.0,267.0,30916,2024-11-25
2024-12-02,283.6499938964844,283.6499938964844,286.95001220703125,265.0,269.70001220703125,24887,2024-12-02
2024-12-09,269.6000061035156,269.6000061035156,294.6499938964844,264.04998779296875,284.0,55576,2024-12-09
2024-12-16,258.29998779296875,258.29998779296875,284.04998779296875,254.10000610351562,273.0,28309,2024-12-16
2024-12-23,299.29998779296875,299.29998779296875,349.0,256.0,257.0,647194,2024-12-23
2024-12-30,312.25,312.25,336.8999938964844,275.6000061035156,299.29998779296875,1175567,2024-12-30
2025-01-06,297.54998779296875,297.54998779296875,329.0,288.0,316.0,453569,2025-01-06
2025-01-13,274.1000061035156,274.1000061035156,297.29998779296875,270.0,296.0,87733,2025-01-13
2025-01-20,287.95001220703125,287.95001220703125,318.0,269.54998779296875,274.1000061035156,536284,2025-01-20
2025-01-27,299.95001220703125,299.95001220703125,305.0,243.0,289.79998779296875,164348,2025-01-27
2025-02-03,287.3500061035156,287.3500061035156,310.04998779296875,280.8500061035156,294.0,118677,2025-02-03
2025-02-10,263.29998779296875,263.29998779296875,290.6499938964844,252.89999389648438,290.6499938964844,82089,2025-02-10
2025-02-17,231.9499969482422,231.9499969482422,266.8999938964844,221.8000030517578,259.0,74909,2025-02-17
2025-02-24,204.64999389648438,204.64999389648438,230.64999389648438,197.89999389648438,230.0,48806,2025-02-24
2025-03-03,218.02999877929688,218.02999877929688,227.52000427246094,192.0,204.64999389648438,71512,2025-03-03
2025-03-10,207.55999755859375,207.55999755859375,227.9499969482422,204.0,215.0,47483,2025-03-10
2025-03-17,229.75,229.75,239.0,201.8000030517578,210.0,78407,2025-03-17
2025-03-24,213.99000549316406,213.99000549316406,249.0,212.25,225.39999389648438,119914,2025-03-24
2025-03-31,217.4499969482422,217.4499969482422,224.1300048828125,213.99000549316406,213.99000549316406,22998,2025-03-31
2025-04-07,209.61000061035156,209.61000061035156,216.19000244140625,200.80999755859375,205.0,22242,2025-04-07
2025-04-14,221.13999938964844,221.13999938964844,225.0,210.50999450683594,210.50999450683594,20067,2025-04-14
2025-04-21,216.99000549316406,216.99000549316406,240.8699951171875,213.9499969482422,219.5,46697,2025-04-21
2025-04-28,209.02999877929688,209.02999877929688,221.99000549316406,203.69000244140625,218.89999389648438,23201,2025-04-28
2025-05-05,188.10000610351562,188.10000610351562,219.75999450683594,186.16000366210938,205.1199951171875,59504,2025-05-05
2025-05-12,209.97000122070312,209.97000122070312,216.9199981689453,192.80999755859375,192.80999755859375,46537,2025-05-12
2025-05-19,225.82000732421875,225.82000732421875,228.83999633789062,208.1999969482422,214.3800048828125,61838,2025-05-19
2025-05-26,226.27999877929688,226.27999877929688,245.0,221.0,228.89999389648438,63102,2025-05-26
2025-06-02,241.3699951171875,241.3699951171875,256.6000061035156,223.64999389648438,224.14999389648438,59754,2025-06-02
2025-06-09,251.88999938964844,251.88999938964844,272.0,240.10000610351562,240.10000610351562,175512,2025-06-09
2025-06-16,237.3300018310547,237.3300018310547,255.85000610351562,233.11000061035156,250.0,76975,2025-06-16
2025-06-23,247.49000549316406,247.49000549316406,255.77999877929688,232.3300018310547,236.1999969482422,56120,2025-06-23
2025-06-30,243.92999267578125,243.92999267578125,255.85000610351562,238.0,243.0,45224,2025-06-30
2025-07-07,248.3000030517578,248.3000030517578,263.7900085449219,245.19000244140625,247.60000610351562,62809,2025-07-07
2025-07-14,254.0,254.0,256.0,243.0500030517578,249.0,11512,2025-07-14
