Date,Adj Close_SHAILY.NS,Close_SHAILY.NS,High_SHAILY.NS,Low_SHAILY.NS,Open_SHAILY.NS,Volume_SHAILY.NS,Date
2023-06-05,266.7970275878906,267.07000732421875,278.0,254.60000610351562,259.20001220703125,179715,2023-06-05
2023-06-12,297.6454772949219,297.95001220703125,316.8399963378906,258.6499938964844,262.80999755859375,647535,2023-06-12
2023-06-19,299.2737731933594,299.5799865722656,351.739990234375,294.6199951171875,296.3999938964844,899790,2023-06-19
2023-06-26,295.5076599121094,295.80999755859375,305.20001220703125,294.0,297.0199890136719,92890,2023-06-26
2023-07-03,294.6784973144531,294.9800109863281,303.5899963378906,289.6000061035156,297.0,93770,2023-07-03
2023-07-10,285.5978088378906,285.8900146484375,303.79998779296875,279.989990234375,300.0,143930,2023-07-10
2023-07-17,279.8836364746094,280.1700134277344,292.989990234375,273.6000061035156,291.79998779296875,110160,2023-07-17
2023-07-24,269.2445068359375,269.5199890136719,287.0,267.20001220703125,280.0,272415,2023-07-24
2023-07-31,269.3743896484375,269.6499938964844,277.5,260.2200012207031,268.989990234375,121580,2023-07-31
2023-08-07,294.3488464355469,294.6499938964844,309.79998779296875,265.20001220703125,274.989990234375,331585,2023-08-07
2023-08-14,323.02947998046875,323.3599853515625,331.0,292.07000732421875,297.5899963378906,383580,2023-08-14
2023-08-21,340.2918395996094,340.6400146484375,367.79998779296875,324.54998779296875,327.45001220703125,403110,2023-08-21
2023-08-28,347.1747741699219,347.5299987792969,352.0,326.6499938964844,352.0,178365,2023-08-28
2023-09-04,343.2787780761719,343.6300048828125,359.79998779296875,334.010009765625,359.7900085449219,145470,2023-09-04
2023-09-11,358.4532470703125,358.82000732421875,364.989990234375,341.04998779296875,349.20001220703125,154595,2023-09-11
2023-09-18,339.6824645996094,340.0299987792969,363.6000061035156,334.54998779296875,362.0,83250,2023-09-18
2023-09-25,359.851806640625,360.2200012207031,362.0,338.2200012207031,338.2200012207031,157595,2023-09-25
2023-10-02,366.1753234863281,366.54998779296875,379.5899963378906,352.4200134277344,360.2200012207031,143865,2023-10-02
2023-10-09,356.5751647949219,356.94000244140625,372.489990234375,352.0,363.4100036621094,137090,2023-10-09
2023-10-16,361.5101318359375,361.8800048828125,382.989990234375,352.20001220703125,356.29998779296875,96435,2023-10-16
2023-10-23,353.8179931640625,354.17999267578125,364.9800109863281,326.4700012207031,358.2099914550781,181740,2023-10-23
2023-10-30,346.58538818359375,346.94000244140625,361.79998779296875,344.9200134277344,356.1000061035156,185705,2023-10-30
2023-11-06,357.7239990234375,358.0899963378906,368.70001220703125,340.4200134277344,350.0,173970,2023-11-06
2023-11-13,359.2624206542969,359.6300048828125,368.3999938964844,357.3299865722656,365.20001220703125,217680,2023-11-13
2023-11-20,349.2926025390625,349.6499938964844,384.95001220703125,343.70001220703125,364.3999938964844,699305,2023-11-20
2023-11-27,324.468017578125,324.79998779296875,349.6499938964844,309.70001220703125,349.6499938964844,394898,2023-11-27
2023-12-04,336.9053039550781,337.25,349.70001220703125,318.0,330.0,179473,2023-12-04
2023-12-11,327.8146057128906,328.1499938964844,342.6000061035156,323.20001220703125,336.0,151107,2023-12-11
2023-12-18,342.1998596191406,342.54998779296875,349.70001220703125,331.54998779296875,332.0,184220,2023-12-18
2023-12-25,335.8064270019531,336.1499938964844,348.3500061035156,332.0,342.54998779296875,80099,2023-12-25
2024-01-01,334.0082702636719,334.3500061035156,349.0,329.5,333.0,115494,2024-01-01
2024-01-08,321.27130126953125,321.6000061035156,337.6499938964844,320.0,331.79998779296875,566200,2024-01-08
2024-01-15,327.0154113769531,327.3500061035156,336.0,312.5,321.6000061035156,323006,2024-01-15
2024-01-22,321.7208251953125,322.04998779296875,334.0,318.04998779296875,327.3500061035156,294214,2024-01-22
2024-01-29,399.3414001464844,399.75,413.6000061035156,323.25,323.25,1504090,2024-01-29
2024-02-05,401.8887939453125,402.29998779296875,432.5,396.1499938964844,396.1499938964844,691452,2024-02-05
2024-02-12,487.1515808105469,487.6499938964844,516.75,371.1499938964844,405.0,1516580,2024-02-12
2024-02-19,530.7569580078125,531.2999877929688,545.0,499.0,500.04998779296875,982884,2024-02-19
2024-02-26,543.1942138671875,543.75,559.7000122070312,515.5999755859375,529.0,520888,2024-02-26
2024-03-04,518.2197875976562,518.75,558.8499755859375,512.75,558.8499755859375,243832,2024-03-04
2024-03-11,491.9966125488281,492.5,540.0,451.1000061035156,540.0,692321,2024-03-11
2024-03-18,482.8059997558594,483.29998779296875,503.75,467.20001220703125,494.95001220703125,469786,2024-03-18
2024-03-25,529.4083251953125,529.9500122070312,540.0,477.3999938964844,483.29998779296875,320467,2024-03-25
2024-04-01,547.6896362304688,548.25,578.0,505.3999938964844,535.0,997965,2024-04-01
2024-04-08,562.8740844726562,563.4500122070312,579.5,552.3499755859375,554.25,546946,2024-04-08
2024-04-15,595.5407104492188,596.1500244140625,615.0,520.0,546.0499877929688,833672,2024-04-15
2024-04-22,636.1491088867188,636.7999877929688,669.8499755859375,600.1500244140625,604.4500122070312,1097186,2024-04-22
2024-04-29,617.7179565429688,618.3499755859375,645.0999755859375,602.4000244140625,636.8499755859375,435681,2024-04-29
2024-05-06,604.9310302734375,605.5499877929688,630.0,586.0,628.0,396107,2024-05-06
2024-05-13,673.4609985351562,674.1500244140625,685.0,605.5999755859375,609.9000244140625,318641,2024-05-13
2024-05-20,669.2652587890625,669.9500122070312,692.0999755859375,652.7999877929688,672.5999755859375,158415,2024-05-20
2024-05-27,635.0003051757812,635.6500244140625,692.0,610.3499755859375,690.0,303707,2024-05-27
2024-06-03,640.9442138671875,641.5999755859375,665.0,540.75,665.0,340787,2024-06-03
2024-06-10,698.3355102539062,699.0499877929688,704.0,634.5999755859375,647.1500244140625,250032,2024-06-10
2024-06-17,764.7675170898438,765.5499877929688,792.0,677.7000122070312,699.0499877929688,880096,2024-06-17
2024-06-24,800.880615234375,801.7000122070312,835.0,759.0,766.7000122070312,483768,2024-06-24
2024-07-01,887.142333984375,888.0499877929688,924.75,795.0,812.0,579881,2024-07-01
2024-07-08,850.1801147460938,851.0499877929688,917.25,818.0,914.0,442496,2024-07-08
2024-07-15,856.373779296875,857.25,890.3499755859375,810.0,853.0,260240,2024-07-15
2024-07-22,854.42578125,855.2999877929688,892.9500122070312,823.25,872.0,412924,2024-07-22
2024-07-29,845.4349975585938,846.2999877929688,874.7999877929688,815.0,850.0499877929688,536053,2024-07-29
2024-08-05,907.0719604492188,908.0,939.7999877929688,802.0499877929688,812.0,919807,2024-08-05
2024-08-12,1004.522216796875,1005.5499877929688,1024.0,886.2000122070312,911.0,834148,2024-08-12
2024-08-19,981.2460327148438,982.25,1019.0,960.6500244140625,1019.0,474881,2024-08-19
2024-08-26,1053.47216796875,1054.550048828125,1061.449951171875,895.6500244140625,982.25,1963509,2024-08-26
2024-09-02,1003.5232543945312,1004.5499877929688,1048.3499755859375,972.8499755859375,1042.050048828125,615077,2024-09-02
2024-09-09,972.4050903320312,973.4000244140625,1018.9500122070312,943.8499755859375,991.0999755859375,1044227,2024-09-09
2024-09-16,1040.5999755859375,1040.5999755859375,1059.4000244140625,950.0999755859375,977.0,2147230,2024-09-16
2024-09-23,1025.449951171875,1025.449951171875,1091.0,1001.2999877929688,1060.0,1306321,2024-09-23
2024-09-30,984.25,984.25,1028.0,953.0999755859375,1025.449951171875,436617,2024-09-30
2024-10-07,973.5999755859375,973.5999755859375,1024.0,923.1500244140625,995.0,401520,2024-10-07
2024-10-14,937.2000122070312,937.2000122070312,988.7999877929688,919.0499877929688,973.5999755859375,251138,2024-10-14
2024-10-21,913.4000244140625,913.4000244140625,943.7999877929688,873.0999755859375,940.0,475162,2024-10-21
2024-10-28,1029.0,1029.0,1037.0,871.0999755859375,921.5999755859375,822420,2024-10-28
2024-11-04,1129.6500244140625,1129.6500244140625,1187.949951171875,969.9500122070312,1032.0,1113851,2024-11-04
2024-11-11,1134.3499755859375,1134.3499755859375,1159.9000244140625,1028.949951171875,1129.0,426884,2024-11-11
2024-11-18,1096.75,1096.75,1159.1500244140625,1080.050048828125,1134.050048828125,366308,2024-11-18
2024-11-25,1297.3499755859375,1297.3499755859375,1350.0,1075.0,1105.0,1552398,2024-11-25
2024-12-02,1306.9000244140625,1306.9000244140625,1400.0,1285.0,1312.050048828125,1589944,2024-12-02
2024-12-09,1489.4000244140625,1489.4000244140625,1495.0,1313.25,1323.0,2674562,2024-12-09
2024-12-16,1447.949951171875,1447.949951171875,1540.0,1428.5999755859375,1490.800048828125,1153429,2024-12-16
2024-12-23,1467.0999755859375,1467.0999755859375,1515.0,1394.050048828125,1451.949951171875,626876,2024-12-23
2024-12-30,1549.199951171875,1549.199951171875,1564.8499755859375,1375.0,1477.3499755859375,349097,2024-12-30
2025-01-06,1564.9000244140625,1564.9000244140625,1651.699951171875,1450.0,1569.9000244140625,808665,2025-01-06
2025-01-13,1495.9000244140625,1495.9000244140625,1574.9000244140625,1423.050048828125,1540.0,426236,2025-01-13
2025-01-20,1441.25,1441.25,1570.0,1435.050048828125,1520.0,297605,2025-01-20
2025-01-27,1613.4000244140625,1613.4000244140625,1614.699951171875,1301.0,1494.949951171875,391685,2025-01-27
2025-02-03,1604.4000244140625,1604.4000244140625,1747.949951171875,1534.050048828125,1624.3499755859375,291678,2025-02-03
2025-02-10,1526.300048828125,1526.300048828125,1684.0,1431.699951171875,1684.0,286487,2025-02-10
2025-02-17,1461.5999755859375,1461.5999755859375,1536.0,1308.6500244140625,1500.0,272674,2025-02-17
2025-02-24,1518.5999755859375,1518.5999755859375,1565.25,1388.550048828125,1406.0,797231,2025-02-24
2025-03-03,1796.0,1796.0,1796.300048828125,1479.25,1545.0,515571,2025-03-03
2025-03-10,1809.5,1809.5,1874.4000244140625,1710.0,1814.449951171875,135682,2025-03-10
2025-03-17,1752.300048828125,1752.300048828125,1870.0,1725.0999755859375,1859.0,106127,2025-03-17
2025-03-24,1827.3499755859375,1827.3499755859375,1942.75,1711.0,1752.300048828125,461573,2025-03-24
2025-03-31,1525.1500244140625,1525.1500244140625,1850.0,1525.1500244140625,1827.3499755859375,589642,2025-03-31
2025-04-07,1496.25,1496.25,1577.800048828125,1372.6500244140625,1372.6500244140625,717060,2025-04-07
2025-04-14,1830.800048828125,1830.800048828125,1849.699951171875,1496.25,1496.25,510484,2025-04-14
2025-04-21,1607.4000244140625,1607.4000244140625,1779.800048828125,1524.5,1762.0999755859375,621201,2025-04-21
2025-04-28,1555.699951171875,1555.699951171875,1620.0,1503.199951171875,1604.0,226345,2025-04-28
2025-05-05,1639.300048828125,1639.300048828125,1690.0,1500.0999755859375,1580.4000244140625,423535,2025-05-05
2025-05-12,1671.5999755859375,1671.5999755859375,1800.0,1660.0,1719.0,967295,2025-05-12
2025-05-19,1806.800048828125,1806.800048828125,1865.0,1658.800048828125,1671.5999755859375,857409,2025-05-19
2025-05-26,2016.800048828125,2016.800048828125,2023.5999755859375,1785.199951171875,1830.0,953534,2025-05-26
2025-06-02,1754.0,1754.0,2073.800048828125,1744.0,2034.5,1009775,2025-06-02
2025-06-09,1738.0999755859375,1738.0999755859375,1822.9000244140625,1715.0,1748.0999755859375,586083,2025-06-09
2025-06-16,1719.9000244140625,1719.9000244140625,1799.699951171875,1696.0999755859375,1735.0,289046,2025-06-16
2025-06-23,1699.300048828125,1699.300048828125,1764.0999755859375,1650.0,1685.5,404687,2025-06-23
2025-06-30,1628.4000244140625,1628.4000244140625,1722.5,1600.699951171875,1722.0,281373,2025-06-30
2025-07-07,1611.800048828125,1611.800048828125,1656.0,1580.0,1632.0,314025,2025-07-07
2025-07-14,1632.4000244140625,1632.4000244140625,1643.4000244140625,1595.0,1614.5,79044,2025-07-14
