Date,Adj Close_RBZJEWEL.NS,Close_RBZJEWEL.NS,High_RBZJEWEL.NS,Low_RBZJEWEL.NS,Open_RBZJEWEL.NS,Volume_RBZJEWEL.NS,Date
2024-09-30,170.85000610351562,170.85000610351562,170.85000610351562,163.0,163.0,157446,2024-09-30
2024-10-07,187.0,187.0,187.67999267578125,174.25,174.25,378231,2024-10-07
2024-10-14,186.0,186.0,193.58999633789062,183.17999267578125,190.74000549316406,253591,2024-10-14
2024-10-21,183.97000122070312,183.97000122070312,198.97999572753906,183.85000610351562,195.3000030517578,899454,2024-10-21
2024-10-28,218.6999969482422,218.6999969482422,223.0,174.77000427246094,183.97000122070312,642053,2024-10-28
2024-11-04,200.00999450683594,200.00999450683594,222.0,200.00999450683594,222.0,215153,2024-11-04
2024-11-11,188.22999572753906,188.22999572753906,203.1999969482422,188.22999572753906,200.0,206239,2024-11-11
2024-11-18,173.61000061035156,173.61000061035156,187.0,173.60000610351562,184.4600067138672,207815,2024-11-18
2024-11-25,187.0,187.0,191.4499969482422,172.0,177.0800018310547,128767,2024-11-25
2024-12-02,189.0399932861328,189.0399932861328,195.0,186.89999389648438,187.0,275806,2024-12-02
2024-12-09,208.72000122070312,208.72000122070312,208.72000122070312,181.00999450683594,192.99000549316406,689863,2024-12-09
2024-12-16,206.64999389648438,206.64999389648438,219.5,201.2100067138672,209.60000610351562,570211,2024-12-16
2024-12-23,201.8699951171875,201.8699951171875,216.97999572753906,197.86000061035156,216.97999572753906,629843,2024-12-23
2024-12-30,217.4199981689453,217.4199981689453,217.4199981689453,190.00999450683594,204.72999572753906,890615,2024-12-30
2025-01-06,209.7100067138672,209.7100067138672,251.67999267578125,208.50999450683594,228.0,2514695,2025-01-06
2025-01-13,198.89999389648438,198.89999389648438,212.8000030517578,186.00999450683594,203.0500030517578,1006520,2025-01-13
2025-01-20,180.0,180.0,204.25,178.97999572753906,204.0,869666,2025-01-20
2025-01-27,185.52000427246094,185.52000427246094,192.66000366210938,162.4499969482422,177.99000549316406,1167731,2025-01-27
2025-02-03,200.33999633789062,200.33999633789062,219.11000061035156,177.10000610351562,181.02000427246094,679486,2025-02-03
2025-02-10,187.22000122070312,187.22000122070312,219.89999389648438,181.14999389648438,207.0,2386609,2025-02-10
2025-02-17,171.49000549316406,171.49000549316406,194.0,165.27000427246094,187.22000122070312,1396909,2025-02-17
2025-02-24,153.30999755859375,153.30999755859375,176.92999267578125,151.5,171.6999969482422,776958,2025-02-24
2025-03-03,148.27000427246094,148.27000427246094,161.2899932861328,143.0,155.05999755859375,1454226,2025-03-03
2025-03-10,138.08999633789062,138.08999633789062,152.0,134.0,148.00999450683594,706025,2025-03-10
2025-03-17,139.32000732421875,139.32000732421875,144.75,132.0,140.0,668751,2025-03-17
2025-03-24,136.27000427246094,136.27000427246094,152.8000030517578,131.0,141.9499969482422,349676,2025-03-24
2025-03-31,139.1199951171875,139.1199951171875,146.75,130.0500030517578,136.27000427246094,350818,2025-03-31
2025-04-07,132.75999450683594,132.75999450683594,137.75,125.5,132.16000366210938,537295,2025-04-07
2025-04-14,144.14999389648438,144.14999389648438,146.35000610351562,132.75999450683594,132.75999450683594,372150,2025-04-14
2025-04-21,137.36000061035156,137.36000061035156,151.5,137.36000061035156,144.10000610351562,358187,2025-04-21
2025-04-28,130.0,130.0,134.61000061035156,129.27000427246094,134.61000061035156,110026,2025-04-28
2025-05-05,133.39999389648438,133.39999389648438,133.39999389648438,130.0500030517578,132.60000610351562,153574,2025-05-05
2025-05-12,147.25999450683594,147.25999450683594,147.25999450683594,136.05999755859375,136.05999755859375,95710,2025-05-12
2025-05-19,143.82000732421875,143.82000732421875,145.0,140.0,145.0,279278,2025-05-19
2025-05-26,146.88999938964844,146.88999938964844,147.5,141.0,141.69000244140625,104806,2025-05-26
2025-06-02,140.8000030517578,140.8000030517578,145.0,140.0,145.0,139576,2025-06-02
2025-06-09,149.7100067138672,149.7100067138672,162.0,142.5500030517578,146.3000030517578,402642,2025-06-09
2025-06-16,147.3699951171875,147.3699951171875,154.0,143.0,148.8800048828125,292823,2025-06-16
2025-06-23,145.2899932861328,145.2899932861328,152.5,143.82000732421875,149.6999969482422,641181,2025-06-23
2025-06-30,141.57000732421875,141.57000732421875,148.39999389648438,136.25,145.97999572753906,620838,2025-06-30
2025-07-07,139.22999572753906,139.22999572753906,146.0,138.4499969482422,140.14999389648438,476975,2025-07-07
2025-07-14,139.91000366210938,139.91000366210938,144.0,137.1999969482422,140.60000610351562,169349,2025-07-14
