Date,Adj Close_SAPPHIRE.NS,Close_SAPPHIRE.NS,High_SAPPHIRE.NS,Low_SAPPHIRE.NS,Open_SAPPHIRE.NS,Volume_SAPPHIRE.NS,Date
2022-05-02,239.8000030517578,239.8000030517578,266.4599914550781,236.22000122070312,264.20001220703125,2148060,2022-05-02
2022-05-09,202.67999267578125,202.67999267578125,239.8000030517578,199.60000610351562,239.8000030517578,6096005,2022-05-09
2022-05-16,212.66000366210938,212.66000366210938,227.8000030517578,202.60000610351562,203.05999755859375,3616610,2022-05-16
2022-05-23,210.1699981689453,210.1699981689453,215.13999938964844,189.22999572753906,213.9600067138672,3206910,2022-05-23
2022-05-30,199.60000610351562,199.60000610351562,227.08999633789062,198.3000030517578,212.0,4416810,2022-05-30
2022-06-06,201.38999938964844,201.38999938964844,203.77999877929688,181.8000030517578,199.8000030517578,5382465,2022-06-06
2022-06-13,190.27000427246094,190.27000427246094,198.8000030517578,188.1999969482422,198.8000030517578,2703345,2022-06-13
2022-06-20,210.42999267578125,210.42999267578125,213.60000610351562,186.0,189.02000427246094,2919665,2022-06-20
2022-06-27,216.99000549316406,216.99000549316406,220.8000030517578,202.25,213.0,2561385,2022-06-27
2022-07-04,224.24000549316406,224.24000549316406,248.16000366210938,215.0500030517578,215.0500030517578,4047875,2022-07-04
2022-07-11,220.1199951171875,220.1199951171875,225.75999450683594,213.1199951171875,224.0,2677475,2022-07-11
2022-07-18,221.97999572753906,221.97999572753906,228.75,220.1699981689453,220.1699981689453,1502510,2022-07-18
2022-07-25,229.52000427246094,229.52000427246094,231.52999877929688,216.30999755859375,222.0,3834745,2022-07-25
2022-08-01,257.04998779296875,257.04998779296875,262.6000061035156,233.60000610351562,235.60000610351562,5595405,2022-08-01
2022-08-08,264.4800109863281,264.4800109863281,267.79998779296875,247.33999633789062,255.1999969482422,4088330,2022-08-08
2022-08-15,256.7699890136719,256.7699890136719,269.20001220703125,252.60000610351562,264.4800109863281,2376445,2022-08-15
2022-08-22,251.77999877929688,251.77999877929688,254.85000610351562,242.39999389648438,254.85000610351562,4842655,2022-08-22
2022-08-29,270.55999755859375,270.55999755859375,282.70001220703125,242.60000610351562,242.60000610351562,5392300,2022-08-29
2022-09-05,282.9100036621094,282.9100036621094,296.0,268.20001220703125,271.989990234375,3849080,2022-09-05
2022-09-12,291.07000732421875,291.07000732421875,295.0,272.2200012207031,282.9100036621094,3033640,2022-09-12
2022-09-19,289.9700012207031,289.9700012207031,308.79998779296875,279.1300048828125,293.6000061035156,2486360,2022-09-19
2022-09-26,297.75,297.75,303.79998779296875,274.489990234375,285.79998779296875,1715685,2022-09-26
2022-10-03,295.0,295.0,314.79998779296875,291.3800048828125,297.75,3296340,2022-10-03
2022-10-10,285.79998779296875,285.79998779296875,301.989990234375,278.4100036621094,291.0,2794360,2022-10-10
2022-10-17,287.04998779296875,287.04998779296875,295.989990234375,284.010009765625,285.010009765625,3299385,2022-10-17
2022-10-24,294.2099914550781,294.2099914550781,298.0,286.3999938964844,289.7799987792969,1626000,2022-10-24
2022-10-31,286.2099914550781,286.2099914550781,298.9800109863281,272.75,293.3999938964844,4181340,2022-10-31
2022-11-07,273.45001220703125,273.45001220703125,292.0,266.4100036621094,286.2099914550781,1781385,2022-11-07
2022-11-14,268.5,268.5,279.0,260.20001220703125,272.0,3044530,2022-11-14
2022-11-21,265.7900085449219,265.7900085449219,281.70001220703125,263.260009765625,268.5,3335940,2022-11-21
2022-11-28,271.6600036621094,271.6600036621094,275.19000244140625,264.55999755859375,265.7900085449219,4724920,2022-11-28
2022-12-05,277.69000244140625,277.69000244140625,286.0899963378906,271.2200012207031,273.1000061035156,2478215,2022-12-05
2022-12-12,274.3500061035156,274.3500061035156,289.489990234375,270.3999938964844,275.0,9962000,2022-12-12
2022-12-19,265.3800048828125,265.3800048828125,279.7900085449219,257.17999267578125,279.7900085449219,3254495,2022-12-19
2022-12-26,267.4599914550781,267.4599914550781,279.0,262.4800109863281,267.010009765625,3344290,2022-12-26
2023-01-02,264.6700134277344,264.6700134277344,270.0,258.0,268.0899963378906,2214730,2023-01-02
2023-01-09,260.6400146484375,260.6400146484375,270.5899963378906,255.24000549316406,269.3999938964844,1600115,2023-01-09
2023-01-16,259.05999755859375,259.05999755859375,263.5799865722656,253.0,261.9599914550781,2027535,2023-01-16
2023-01-23,257.19000244140625,257.19000244140625,264.0,246.1999969482422,257.6000061035156,1061110,2023-01-23
2023-01-30,231.60000610351562,231.60000610351562,267.1000061035156,220.5,259.79998779296875,8169375,2023-01-30
2023-02-06,241.0500030517578,241.0500030517578,256.0,227.2100067138672,233.60000610351562,2679600,2023-02-06
2023-02-13,233.94000244140625,233.94000244140625,244.0,228.61000061035156,244.0,3498290,2023-02-13
2023-02-20,238.8300018310547,238.8300018310547,249.74000549316406,232.0399932861328,236.0,3080665,2023-02-20
2023-02-27,249.47000122070312,249.47000122070312,252.8000030517578,238.36000061035156,241.8000030517578,1679270,2023-02-27
2023-03-06,242.86000061035156,242.86000061035156,253.0,241.39999389648438,253.0,1471130,2023-03-06
2023-03-13,237.60000610351562,237.60000610351562,245.57000732421875,224.0,242.0,5525135,2023-03-13
2023-03-20,235.75,235.75,259.3999938964844,232.6699981689453,237.60000610351562,1218950,2023-03-20
2023-03-27,243.6199951171875,243.6199951171875,248.0,227.52000427246094,234.1999969482422,980070,2023-03-27
2023-04-03,243.0,243.0,246.2899932861328,238.25999450683594,244.88999938964844,338750,2023-04-03
2023-04-10,238.1999969482422,238.1999969482422,243.9600067138672,235.36000061035156,239.32000732421875,1384120,2023-04-10
2023-04-17,239.50999450683594,239.50999450683594,241.9600067138672,232.47999572753906,238.0,1748970,2023-04-17
2023-04-24,239.1699981689453,239.1699981689453,241.8000030517578,233.83999633789062,238.0,732725,2023-04-24
2023-05-01,259.989990234375,259.989990234375,264.6700134277344,239.0,239.1699981689453,4089915,2023-05-01
2023-05-08,255.44000244140625,255.44000244140625,268.760009765625,252.44000244140625,262.6000061035156,3030735,2023-05-08
2023-05-15,259.6400146484375,259.6400146484375,269.9599914550781,249.39999389648438,254.39999389648438,1804020,2023-05-15
2023-05-22,265.0799865722656,265.0799865722656,273.32000732421875,256.79998779296875,259.6400146484375,1650905,2023-05-22
2023-05-29,286.2900085449219,286.2900085449219,293.0,261.0199890136719,265.6000061035156,3498030,2023-05-29
2023-06-05,273.3999938964844,273.3999938964844,289.9800109863281,272.0199890136719,287.79998779296875,2259390,2023-06-05
2023-06-12,279.4599914550781,279.4599914550781,283.5799865722656,267.20001220703125,273.3999938964844,1320900,2023-06-12
2023-06-19,271.6000061035156,271.6000061035156,285.8999938964844,270.0199890136719,281.7699890136719,924020,2023-06-19
2023-06-26,274.8299865722656,274.8299865722656,289.79998779296875,271.6000061035156,274.0,6297730,2023-06-26
2023-07-03,278.010009765625,278.010009765625,283.7799987792969,269.0199890136719,277.9200134277344,2522880,2023-07-03
2023-07-10,281.04998779296875,281.04998779296875,283.79998779296875,270.989990234375,276.5,1686225,2023-07-10
2023-07-17,285.55999755859375,285.55999755859375,295.9800109863281,278.2300109863281,282.989990234375,3829555,2023-07-17
2023-07-24,277.9800109863281,277.9800109863281,287.5899963378906,270.75,285.54998779296875,985090,2023-07-24
2023-07-31,271.69000244140625,271.69000244140625,281.17999267578125,261.989990234375,281.17999267578125,3485495,2023-07-31
2023-08-07,272.6499938964844,272.6499938964844,277.989990234375,269.2099914550781,272.0,1161725,2023-08-07
2023-08-14,265.7699890136719,265.7699890136719,274.0799865722656,262.1000061035156,273.3900146484375,1570815,2023-08-14
2023-08-21,275.0899963378906,275.0899963378906,278.20001220703125,262.8699951171875,264.239990234375,2492085,2023-08-21
2023-08-28,281.67999267578125,281.67999267578125,288.6300048828125,272.6000061035156,275.0899963378906,2183685,2023-08-28
2023-09-04,303.2300109863281,303.2300109863281,307.5199890136719,282.2799987792969,283.79998779296875,3652345,2023-09-04
2023-09-11,294.3500061035156,294.3500061035156,313.57000732421875,281.0,307.6000061035156,4995050,2023-09-11
2023-09-18,296.7900085449219,296.7900085449219,299.79998779296875,287.32000732421875,295.989990234375,922755,2023-09-18
2023-09-25,290.67999267578125,290.67999267578125,303.79998779296875,281.79998779296875,297.0,3915135,2023-09-25
2023-10-02,284.9100036621094,284.9100036621094,291.70001220703125,278.75,290.67999267578125,1541355,2023-10-02
2023-10-09,286.5899963378906,286.5899963378906,296.0,275.0400085449219,282.6000061035156,1567380,2023-10-09
2023-10-16,281.6300048828125,281.6300048828125,293.44000244140625,279.95001220703125,289.67999267578125,1524100,2023-10-16
2023-10-23,258.2799987792969,258.2799987792969,283.0400085449219,256.79998779296875,280.0,1761435,2023-10-23
2023-10-30,261.42999267578125,261.42999267578125,269.0,242.60000610351562,252.0,3926405,2023-10-30
2023-11-06,260.0799865722656,260.0799865722656,267.5899963378906,258.0,261.82000732421875,2234245,2023-11-06
2023-11-13,279.260009765625,279.260009765625,281.79998779296875,260.6199951171875,263.1499938964844,2572590,2023-11-13
2023-11-20,281.0,281.0,285.82000732421875,274.0,279.989990234375,1409705,2023-11-20
2023-11-27,283.07000732421875,283.07000732421875,284.94000244140625,276.0,281.0,845240,2023-11-27
2023-12-04,286.4800109863281,286.4800109863281,295.0,274.75,284.79998779296875,3701350,2023-12-04
2023-12-11,281.8299865722656,281.8299865722656,288.0,278.0,288.0,1325850,2023-12-11
2023-12-18,283.1499938964844,283.1499938964844,288.79998779296875,276.1700134277344,281.8299865722656,5127225,2023-12-18
2023-12-25,284.2200012207031,284.2200012207031,289.5,277.2799987792969,283.1499938964844,1046450,2023-12-25
2024-01-01,284.6099853515625,284.6099853515625,288.0,279.20001220703125,282.42999267578125,2753400,2024-01-01
2024-01-08,288.6300048828125,288.6300048828125,291.20001220703125,275.79998779296875,284.6099853515625,4733375,2024-01-08
2024-01-15,284.80999755859375,284.80999755859375,288.6300048828125,280.3999938964844,288.6300048828125,589980,2024-01-15
2024-01-22,284.9700012207031,284.9700012207031,301.989990234375,281.05999755859375,284.80999755859375,1018405,2024-01-22
2024-01-29,282.7200012207031,282.7200012207031,295.0,281.5199890136719,286.3999938964844,1582200,2024-01-29
2024-02-05,275.8900146484375,275.8900146484375,288.79998779296875,270.20001220703125,284.07000732421875,4577455,2024-02-05
2024-02-12,274.0199890136719,274.0199890136719,277.6600036621094,265.79998779296875,276.0,4846425,2024-02-12
2024-02-19,301.3999938964844,301.3999938964844,307.6000061035156,270.1600036621094,274.989990234375,3915525,2024-02-19
2024-02-26,300.4100036621094,300.4100036621094,309.6000061035156,292.3999938964844,302.010009765625,4611785,2024-02-26
2024-03-04,300.17999267578125,300.17999267578125,309.0299987792969,296.0,303.20001220703125,3333785,2024-03-04
2024-03-11,288.05999755859375,288.05999755859375,305.0,271.1400146484375,304.6700134277344,6428990,2024-03-11
2024-03-18,317.70001220703125,317.70001220703125,336.0,289.75,289.989990234375,13705590,2024-03-18
2024-03-25,313.7900085449219,313.7900085449219,327.92999267578125,306.3699951171875,317.70001220703125,3568445,2024-03-25
2024-04-01,305.1000061035156,305.1000061035156,327.6499938964844,292.6700134277344,316.5199890136719,3276180,2024-04-01
2024-04-08,312.7099914550781,312.7099914550781,316.3299865722656,300.45001220703125,303.0,3340690,2024-04-08
2024-04-15,295.75,295.75,312.8900146484375,291.0,309.5400085449219,4294475,2024-04-15
2024-04-22,271.29998779296875,271.29998779296875,299.7900085449219,269.92999267578125,298.20001220703125,3722765,2024-04-22
2024-04-29,282.82000732421875,282.82000732421875,287.1199951171875,259.30999755859375,268.0199890136719,4413530,2024-04-29
2024-05-06,283.42999267578125,283.42999267578125,287.1300048828125,264.79998779296875,282.9700012207031,2728225,2024-05-06
2024-05-13,276.760009765625,276.760009765625,281.3999938964844,270.0199890136719,277.05999755859375,3125305,2024-05-13
2024-05-20,278.25,278.25,287.0,276.760009765625,278.19000244140625,1251255,2024-05-20
2024-05-27,290.2900085449219,290.2900085449219,299.20001220703125,274.6600036621094,279.6000061035156,3046765,2024-05-27
2024-06-03,296.3500061035156,296.3500061035156,303.3999938964844,276.0,292.2300109863281,4091365,2024-06-03
2024-06-10,300.75,300.75,305.07000732421875,295.29998779296875,301.989990234375,1102385,2024-06-10
2024-06-17,318.0400085449219,318.0400085449219,334.20001220703125,297.04998779296875,300.75,8278160,2024-06-17
2024-06-24,313.4599914550781,313.4599914550781,322.19000244140625,304.20001220703125,318.0400085449219,3138605,2024-06-24
2024-07-01,316.4800109863281,316.4800109863281,324.20001220703125,303.0,315.79998779296875,1639770,2024-07-01
2024-07-08,310.3299865722656,310.3299865722656,324.0,303.4599914550781,318.07000732421875,3239635,2024-07-08
2024-07-15,305.25,305.25,314.19000244140625,302.739990234375,310.3999938964844,2609015,2024-07-15
2024-07-22,311.1600036621094,311.1600036621094,327.20001220703125,297.0,301.010009765625,2426450,2024-07-22
2024-07-29,335.6300048828125,335.6300048828125,363.44000244140625,310.82000732421875,315.79998779296875,8508595,2024-07-29
2024-08-05,318.1199951171875,318.1199951171875,343.0,315.0,331.1600036621094,14996690,2024-08-05
2024-08-12,312.5899963378906,312.5899963378906,322.260009765625,303.6099853515625,315.2200012207031,2670070,2024-08-12
2024-08-19,326.0899963378906,326.0899963378906,328.6000061035156,308.8399963378906,315.67999267578125,2749160,2024-08-19
2024-08-26,333.5299987792969,333.5299987792969,338.79998779296875,316.739990234375,328.9800109863281,2971370,2024-08-26
2024-09-02,336.3500061035156,336.3500061035156,364.3999938964844,317.04998779296875,337.9800109863281,9376693,2024-09-02
2024-09-09,328.25,328.25,341.0,320.6499938964844,331.3500061035156,3909962,2024-09-09
2024-09-16,347.1499938964844,347.1499938964844,359.29998779296875,323.0,332.0,3289324,2024-09-16
2024-09-23,372.75,372.75,401.0,347.95001220703125,353.6499938964844,17367042,2024-09-23
2024-09-30,350.45001220703125,350.45001220703125,372.70001220703125,343.29998779296875,372.70001220703125,5993812,2024-09-30
2024-10-07,371.0,371.0,374.95001220703125,343.20001220703125,352.1000061035156,2973891,2024-10-07
2024-10-14,347.1499938964844,347.1499938964844,372.54998779296875,341.04998779296875,372.20001220703125,2313880,2024-10-14
2024-10-21,323.8500061035156,323.8500061035156,350.29998779296875,321.20001220703125,345.20001220703125,1749769,2024-10-21
2024-10-28,324.8999938964844,324.8999938964844,359.75,311.6000061035156,322.3999938964844,3768080,2024-10-28
2024-11-04,320.79998779296875,320.79998779296875,334.3500061035156,308.04998779296875,320.1000061035156,2576704,2024-11-04
2024-11-11,307.04998779296875,307.04998779296875,321.1000061035156,302.6000061035156,321.1000061035156,915712,2024-11-11
2024-11-18,300.3999938964844,300.3999938964844,311.1499938964844,297.04998779296875,303.04998779296875,810586,2024-11-18
2024-11-25,326.20001220703125,326.20001220703125,336.6000061035156,301.54998779296875,303.1499938964844,1670121,2024-11-25
2024-12-02,350.20001220703125,350.20001220703125,355.5,321.3999938964844,329.8500061035156,1853576,2024-12-02
2024-12-09,312.29998779296875,312.29998779296875,351.95001220703125,309.45001220703125,350.54998779296875,2169065,2024-12-09
2024-12-16,311.75,311.75,321.29998779296875,302.0,311.0,1501999,2024-12-16
2024-12-23,330.6499938964844,330.6499938964844,333.79998779296875,308.0,312.0,2050389,2024-12-23
2024-12-30,348.8500061035156,348.8500061035156,371.3500061035156,321.1499938964844,330.04998779296875,5610869,2024-12-30
2025-01-06,328.6499938964844,328.6499938964844,374.6499938964844,327.0,349.04998779296875,4576706,2025-01-06
2025-01-13,318.04998779296875,318.04998779296875,335.45001220703125,314.5,328.6499938964844,1969331,2025-01-13
2025-01-20,305.3500061035156,305.3500061035156,323.8999938964844,301.6000061035156,315.20001220703125,1521890,2025-01-20
2025-01-27,315.75,315.75,321.8999938964844,283.70001220703125,306.95001220703125,2985417,2025-01-27
2025-02-03,323.1499938964844,323.1499938964844,346.0,292.8999938964844,305.0,7584829,2025-02-03
2025-02-10,299.8500061035156,299.8500061035156,327.70001220703125,291.75,323.79998779296875,2629648,2025-02-10
2025-02-17,326.3500061035156,326.3500061035156,333.6000061035156,284.8500061035156,299.04998779296875,2102645,2025-02-17
2025-02-24,310.25,310.25,331.20001220703125,300.1499938964844,325.0,1796548,2025-02-24
2025-03-03,337.75,337.75,346.0,301.1000061035156,310.1499938964844,8939764,2025-03-03
2025-03-10,304.1499938964844,304.1499938964844,336.8500061035156,297.04998779296875,336.8500061035156,3103710,2025-03-10
2025-03-17,313.95001220703125,313.95001220703125,319.5,294.0,307.75,2491634,2025-03-17
2025-03-24,294.45001220703125,294.45001220703125,318.95001220703125,288.0,311.1499938964844,3383570,2025-03-24
2025-03-31,295.04998779296875,295.04998779296875,309.0,289.95001220703125,294.45001220703125,1344037,2025-03-31
2025-04-07,305.29998779296875,305.29998779296875,306.79998779296875,275.79998779296875,285.54998779296875,913319,2025-04-07
2025-04-14,303.29998779296875,303.29998779296875,316.0,302.3500061035156,305.29998779296875,664484,2025-04-14
2025-04-21,324.6499938964844,324.6499938964844,341.8999938964844,304.04998779296875,304.04998779296875,1487991,2025-04-21
2025-04-28,320.45001220703125,320.45001220703125,326.75,312.3999938964844,320.54998779296875,698226,2025-04-28
2025-05-05,300.1000061035156,300.1000061035156,324.0,290.1000061035156,319.70001220703125,5213746,2025-05-05
2025-05-12,331.0,331.0,334.0,301.04998779296875,306.1499938964844,2951610,2025-05-12
2025-05-19,319.29998779296875,319.29998779296875,340.0,313.5,331.0,1400516,2025-05-19
2025-05-26,318.1000061035156,318.1000061035156,336.45001220703125,310.20001220703125,318.6000061035156,1401603,2025-05-26
2025-06-02,332.5,332.5,334.20001220703125,308.20001220703125,320.0,1357183,2025-06-02
2025-06-09,321.5,321.5,343.25,312.3999938964844,333.29998779296875,1050486,2025-06-09
2025-06-16,325.20001220703125,325.20001220703125,339.95001220703125,314.1000061035156,323.6499938964844,3984206,2025-06-16
2025-06-23,327.8500061035156,327.8500061035156,334.8500061035156,320.54998779296875,325.0,993868,2025-06-23
2025-06-30,336.75,336.75,355.0,318.6000061035156,331.0,27006739,2025-06-30
2025-07-07,330.8500061035156,330.8500061035156,341.3999938964844,325.0,333.0,2443775,2025-07-07
2025-07-14,333.3500061035156,333.3500061035156,335.6499938964844,328.04998779296875,330.95001220703125,197742,2025-07-14
