Date,Adj Close_WSI.NS,Close_WSI.NS,High_WSI.NS,Low_WSI.NS,Open_WSI.NS,Volume_WSI.NS,Date
2021-11-15,9.050000190734863,9.050000190734863,9.800000190734863,9.050000190734863,9.350000381469727,14750,2021-11-15
2021-11-22,9.050000190734863,9.050000190734863,9.050000190734863,9.050000190734863,9.050000190734863,0,2021-11-22
2021-11-29,9.5,9.5,9.5,8.649999618530273,9.5,67706,2021-11-29
2021-12-06,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,162770,2021-12-06
2021-12-13,10.399999618530273,10.399999618530273,10.399999618530273,10.399999618530273,10.399999618530273,236192,2021-12-13
2021-12-20,10.399999618530273,10.399999618530273,10.399999618530273,10.149999618530273,10.399999618530273,149410,2021-12-20
2021-12-27,10.399999618530273,10.399999618530273,10.399999618530273,10.399999618530273,10.399999618530273,15226,2021-12-27
2022-01-03,10.399999618530273,10.399999618530273,10.399999618530273,10.399999618530273,10.399999618530273,15479,2022-01-03
2022-01-10,10.899999618530273,10.899999618530273,10.899999618530273,10.399999618530273,10.399999618530273,10341,2022-01-10
2022-01-17,10.899999618530273,10.899999618530273,10.899999618530273,10.899999618530273,10.899999618530273,16947,2022-01-17
2022-01-24,10.899999618530273,10.899999618530273,10.899999618530273,10.899999618530273,10.899999618530273,20589,2022-01-24
2022-01-31,10.899999618530273,10.899999618530273,10.899999618530273,10.899999618530273,10.899999618530273,22920,2022-01-31
2022-02-07,10.899999618530273,10.899999618530273,10.899999618530273,10.899999618530273,10.899999618530273,5689,2022-02-07
2022-02-14,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,5823,2022-02-14
2022-02-21,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,10618,2022-02-21
2022-02-28,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,750,2022-02-28
2022-03-07,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,20764,2022-03-07
2022-03-14,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,1400,2022-03-14
2022-03-21,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,2731,2022-03-21
2022-03-28,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,4599,2022-03-28
2022-04-04,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,2813,2022-04-04
2022-04-11,11.949999809265137,11.949999809265137,11.949999809265137,11.399999618530273,11.399999618530273,3498,2022-04-11
2022-04-18,11.949999809265137,11.949999809265137,11.949999809265137,11.949999809265137,11.949999809265137,2500,2022-04-18
2022-04-25,11.949999809265137,11.949999809265137,11.949999809265137,11.949999809265137,11.949999809265137,515,2022-04-25
2022-05-02,11.949999809265137,11.949999809265137,11.949999809265137,11.949999809265137,11.949999809265137,9279,2022-05-02
2022-05-09,12.5,12.5,12.5,12.5,12.5,1093,2022-05-09
2022-05-16,12.5,12.5,12.5,12.5,12.5,201,2022-05-16
2022-05-23,12.5,12.5,12.5,12.5,12.5,771,2022-05-23
2022-05-30,12.5,12.5,12.5,12.5,12.5,7401,2022-05-30
2022-06-06,12.5,12.5,12.5,12.5,12.5,1,2022-06-06
2022-06-13,13.100000381469727,13.100000381469727,13.100000381469727,13.100000381469727,13.100000381469727,2694,2022-06-13
2022-06-20,13.100000381469727,13.100000381469727,13.100000381469727,13.100000381469727,13.100000381469727,10252,2022-06-20
2022-06-27,13.100000381469727,13.100000381469727,13.100000381469727,13.100000381469727,13.100000381469727,13310,2022-06-27
2022-07-04,13.100000381469727,13.100000381469727,13.100000381469727,13.100000381469727,13.100000381469727,804,2022-07-04
2022-07-11,13.75,13.75,13.75,13.75,13.75,8312,2022-07-11
2022-07-18,13.75,13.75,13.75,13.75,13.75,2600,2022-07-18
2022-07-25,13.75,13.75,13.75,13.75,13.75,950,2022-07-25
2022-08-01,13.75,13.75,13.75,13.75,13.75,925,2022-08-01
2022-08-08,14.399999618530273,14.399999618530273,14.399999618530273,14.399999618530273,14.399999618530273,1054,2022-08-08
2022-08-15,14.399999618530273,14.399999618530273,14.399999618530273,14.399999618530273,14.399999618530273,1391,2022-08-15
2022-08-22,14.399999618530273,14.399999618530273,14.399999618530273,14.399999618530273,14.399999618530273,1071,2022-08-22
2022-08-29,14.399999618530273,14.399999618530273,14.399999618530273,14.399999618530273,14.399999618530273,3121,2022-08-29
2022-09-05,14.399999618530273,14.399999618530273,14.399999618530273,14.399999618530273,14.399999618530273,800,2022-09-05
2022-09-12,14.399999618530273,14.399999618530273,14.399999618530273,14.399999618530273,14.399999618530273,2550,2022-09-12
2022-09-19,15.100000381469727,15.100000381469727,15.100000381469727,14.399999618530273,14.399999618530273,1651,2022-09-19
2022-09-26,15.100000381469727,15.100000381469727,15.100000381469727,15.100000381469727,15.100000381469727,10296,2022-09-26
2022-10-03,15.100000381469727,15.100000381469727,15.100000381469727,15.100000381469727,15.100000381469727,5010,2022-10-03
2022-10-10,15.100000381469727,15.100000381469727,15.100000381469727,15.100000381469727,15.100000381469727,1100,2022-10-10
2022-10-17,15.100000381469727,15.100000381469727,15.100000381469727,15.100000381469727,15.100000381469727,912,2022-10-17
2022-10-24,15.100000381469727,15.100000381469727,15.100000381469727,15.100000381469727,15.100000381469727,0,2022-10-24
2022-10-31,15.100000381469727,15.100000381469727,15.100000381469727,15.100000381469727,15.100000381469727,722,2022-10-31
2022-11-07,15.100000381469727,15.100000381469727,15.100000381469727,15.100000381469727,15.100000381469727,55,2022-11-07
