Date,Adj Close_IRMENERGY.NS,Close_IRMENERGY.NS,High_IRMENERGY.NS,Low_IRMENERGY.NS,Open_IRMENERGY.NS,Volume_IRMENERGY.NS,Date
2024-04-08,476.52471923828125,478.1000061035156,505.29998779296875,475.6000061035156,500.29998779296875,227248,2024-04-08
2024-04-15,557.1581420898438,559.0,559.0,458.20001220703125,474.20001220703125,2342074,2024-04-15
2024-04-22,565.97900390625,567.8499755859375,641.0,560.0,593.0,3633776,2024-04-22
2024-04-29,568.2215576171875,570.0999755859375,587.4000244140625,529.75,574.9000244140625,936169,2024-04-29
2024-05-06,554.3175659179688,556.1500244140625,575.4000244140625,532.4000244140625,575.4000244140625,653263,2024-05-06
2024-05-13,570.5140380859375,572.4000244140625,590.0999755859375,539.3499755859375,554.9500122070312,472912,2024-05-13
2024-05-20,485.84393310546875,487.45001220703125,577.8499755859375,469.1000061035156,564.1500244140625,951450,2024-05-20
2024-05-27,473.7837829589844,475.3500061035156,495.79998779296875,453.5,490.0,711584,2024-05-27
2024-06-03,473.7837829589844,475.3500061035156,502.0,431.6000061035156,500.0,1206766,2024-06-03
2024-06-10,477.8702697753906,479.45001220703125,500.0,460.75,484.6499938964844,809594,2024-06-10
2024-06-17,467.3550109863281,468.8999938964844,484.3999938964844,465.0,479.45001220703125,625523,2024-06-17
2024-06-24,447.2215881347656,448.70001220703125,470.0,445.54998779296875,469.79998779296875,500794,2024-06-24
2024-07-01,463.9662170410156,465.5,477.0,451.0,451.0,817865,2024-07-01
2024-07-08,449.1651611328125,450.6499938964844,469.8500061035156,448.95001220703125,465.5,546813,2024-07-08
2024-07-15,452.3999938964844,452.3999938964844,472.0,451.79998779296875,454.0,656884,2024-07-15
2024-07-22,460.3999938964844,460.3999938964844,465.0,436.04998779296875,450.5,428327,2024-07-22
2024-07-29,450.75,450.75,466.70001220703125,448.1499938964844,463.0,436138,2024-07-29
2024-08-05,446.6499938964844,446.6499938964844,465.0,439.20001220703125,445.25,438658,2024-08-05
2024-08-12,408.5,408.5,450.0,404.0,450.0,545478,2024-08-12
2024-08-19,418.1000061035156,418.1000061035156,432.20001220703125,409.6000061035156,414.6499938964844,1638986,2024-08-19
2024-08-26,423.3999938964844,423.3999938964844,429.79998779296875,410.0,424.45001220703125,959948,2024-08-26
2024-09-02,430.29998779296875,430.29998779296875,452.0,418.79998779296875,425.0,945912,2024-09-02
2024-09-09,458.1000061035156,458.1000061035156,471.5,419.0,431.6499938964844,2664952,2024-09-09
2024-09-16,445.6000061035156,445.6000061035156,478.0,440.79998779296875,462.6499938964844,1642266,2024-09-16
2024-09-23,439.20001220703125,439.20001220703125,461.0,437.3500061035156,446.8999938964844,731744,2024-09-23
2024-09-30,425.95001220703125,425.95001220703125,450.0,422.79998779296875,440.0,396855,2024-09-30
2024-10-07,422.79998779296875,422.79998779296875,433.3999938964844,408.0,429.0,410068,2024-10-07
2024-10-14,410.70001220703125,410.70001220703125,426.04998779296875,409.1000061035156,424.0,403442,2024-10-14
2024-10-21,370.70001220703125,370.70001220703125,414.95001220703125,363.3999938964844,411.0,659532,2024-10-21
2024-10-28,404.5,404.5,410.8999938964844,368.29998779296875,372.0,262972,2024-10-28
2024-11-04,407.75,407.75,415.45001220703125,389.29998779296875,405.0,221710,2024-11-04
2024-11-11,376.45001220703125,376.45001220703125,419.95001220703125,364.79998779296875,407.75,225186,2024-11-11
2024-11-18,366.70001220703125,366.70001220703125,384.45001220703125,361.54998779296875,374.1000061035156,230147,2024-11-18
2024-11-25,371.20001220703125,371.20001220703125,379.79998779296875,360.6000061035156,373.8500061035156,276086,2024-11-25
2024-12-02,390.3999938964844,390.3999938964844,394.0,371.20001220703125,376.5,387550,2024-12-02
2024-12-09,376.6499938964844,376.6499938964844,398.0,374.0,394.95001220703125,167499,2024-12-09
2024-12-16,361.8999938964844,361.8999938964844,383.0,357.95001220703125,375.04998779296875,188385,2024-12-16
2024-12-23,348.79998779296875,348.79998779296875,367.29998779296875,345.1499938964844,367.29998779296875,181019,2024-12-23
2024-12-30,367.0,367.0,371.20001220703125,334.79998779296875,354.0,301961,2024-12-30
2025-01-06,337.6499938964844,337.6499938964844,369.04998779296875,336.0,368.0,285347,2025-01-06
2025-01-13,341.6000061035156,341.6000061035156,351.95001220703125,325.0,335.0,215382,2025-01-13
2025-01-20,328.3500061035156,328.3500061035156,365.0,325.54998779296875,342.0,255105,2025-01-20
2025-01-27,316.25,316.25,329.0,291.25,325.8999938964844,307090,2025-01-27
2025-02-03,312.8500061035156,312.8500061035156,322.25,303.1000061035156,316.25,228038,2025-02-03
2025-02-10,287.6000061035156,287.6000061035156,315.8999938964844,271.54998779296875,312.8500061035156,471288,2025-02-10
2025-02-17,275.75,275.75,288.20001220703125,265.79998779296875,288.0,328941,2025-02-17
2025-02-24,261.8999938964844,261.8999938964844,280.04998779296875,257.25,278.5,214176,2025-02-24
2025-03-03,263.54998779296875,263.54998779296875,274.95001220703125,238.60000610351562,259.0,640774,2025-03-03
2025-03-10,245.5,245.5,270.0,239.4499969482422,264.8999938964844,535849,2025-03-10
2025-03-17,285.5,285.5,288.45001220703125,237.0,248.89999389648438,661641,2025-03-17
2025-03-24,278.8999938964844,278.8999938964844,303.04998779296875,264.0,285.0,2562935,2025-03-24
2025-03-31,297.75,297.75,324.45001220703125,278.8999938964844,278.8999938964844,1776244,2025-03-31
2025-04-07,292.1000061035156,292.1000061035156,297.75,252.75,279.0,429951,2025-04-07
2025-04-14,299.54998779296875,299.54998779296875,304.6499938964844,292.1000061035156,294.75,184679,2025-04-14
2025-04-21,284.45001220703125,284.45001220703125,311.8999938964844,282.04998779296875,299.8999938964844,345256,2025-04-21
2025-04-28,278.3999938964844,278.3999938964844,307.0,278.0,282.0,317700,2025-04-28
2025-05-05,261.8500061035156,261.8500061035156,285.0,258.0,279.0,317034,2025-05-05
2025-05-12,280.25,280.25,295.0,268.0,269.1000061035156,1037851,2025-05-12
2025-05-19,278.20001220703125,278.20001220703125,292.29998779296875,277.0,280.54998779296875,317652,2025-05-19
2025-05-26,282.79998779296875,282.79998779296875,288.0,278.25,278.25,204565,2025-05-26
2025-06-02,299.6000061035156,299.6000061035156,309.0,282.0,285.6499938964844,479200,2025-06-02
2025-06-09,295.04998779296875,295.04998779296875,315.8999938964844,286.3500061035156,300.0,384376,2025-06-09
2025-06-16,286.5,286.5,306.0,282.1000061035156,293.0,251912,2025-06-16
2025-06-23,299.20001220703125,299.20001220703125,315.5,281.70001220703125,282.20001220703125,964527,2025-06-23
2025-06-30,313.70001220703125,313.70001220703125,335.0,298.04998779296875,298.04998779296875,1985911,2025-06-30
2025-07-07,304.8500061035156,304.8500061035156,318.45001220703125,304.0,315.8500061035156,195438,2025-07-07
2025-07-14,305.3500061035156,305.3500061035156,311.0,301.3999938964844,304.95001220703125,65678,2025-07-14
