Date,Adj Close_RAJTV.NS,Close_RAJTV.NS,High_RAJTV.NS,Low_RAJTV.NS,Open_RAJTV.NS,Volume_RAJTV.NS,Date
2021-09-06,34.25,34.25,35.849998474121094,33.599998474121094,35.29999923706055,47336,2021-09-06
2021-09-13,36.20000076293945,36.20000076293945,38.5,33.79999923706055,35.29999923706055,50950,2021-09-13
2021-09-20,36.95000076293945,36.95000076293945,38.0,34.25,35.650001525878906,41238,2021-09-20
2021-09-27,35.54999923706055,35.54999923706055,37.04999923706055,35.0,37.04999923706055,39412,2021-09-27
2021-10-04,36.45000076293945,36.45000076293945,37.349998474121094,34.599998474121094,35.400001525878906,25319,2021-10-04
2021-10-11,36.04999923706055,36.04999923706055,37.04999923706055,35.099998474121094,36.45000076293945,42264,2021-10-11
2021-10-18,34.849998474121094,34.849998474121094,37.20000076293945,34.650001525878906,36.900001525878906,49475,2021-10-18
2021-10-25,34.599998474121094,34.599998474121094,36.04999923706055,34.0,35.599998474121094,25603,2021-10-25
2021-11-01,35.349998474121094,35.349998474121094,36.0,33.5,35.29999923706055,9932,2021-11-01
2021-11-08,35.650001525878906,35.650001525878906,36.400001525878906,34.25,35.400001525878906,14771,2021-11-08
2021-11-15,34.599998474121094,34.599998474121094,36.45000076293945,34.150001525878906,36.45000076293945,14048,2021-11-15
2021-11-22,35.04999923706055,35.04999923706055,36.25,33.25,36.0,20838,2021-11-22
2021-11-29,34.900001525878906,34.900001525878906,36.650001525878906,34.150001525878906,36.650001525878906,13761,2021-11-29
2021-12-06,38.54999923706055,38.54999923706055,39.349998474121094,33.79999923706055,34.20000076293945,124064,2021-12-06
2021-12-13,38.20000076293945,38.20000076293945,44.0,37.29999923706055,39.0,260763,2021-12-13
2021-12-20,36.349998474121094,36.349998474121094,38.349998474121094,35.099998474121094,38.20000076293945,40218,2021-12-20
2021-12-27,40.45000076293945,40.45000076293945,44.400001525878906,33.25,35.75,289321,2021-12-27
2022-01-03,49.150001525878906,49.150001525878906,52.0,39.650001525878906,40.0,394908,2022-01-03
2022-01-10,47.5,47.5,53.75,43.25,50.0,157819,2022-01-10
2022-01-17,44.95000076293945,44.95000076293945,49.849998474121094,44.150001525878906,45.5,32301,2022-01-17
2022-01-24,42.400001525878906,42.400001525878906,46.79999923706055,40.849998474121094,46.79999923706055,21459,2022-01-24
2022-01-31,41.599998474121094,41.599998474121094,43.400001525878906,40.04999923706055,43.25,20779,2022-01-31
2022-02-07,42.75,42.75,44.400001525878906,40.95000076293945,42.5,21379,2022-02-07
2022-02-14,41.70000076293945,41.70000076293945,44.75,38.79999923706055,42.70000076293945,19547,2022-02-14
2022-02-21,39.650001525878906,39.650001525878906,42.79999923706055,36.25,39.900001525878906,16645,2022-02-21
2022-02-28,42.0,42.0,44.650001525878906,38.54999923706055,38.900001525878906,17513,2022-02-28
2022-03-07,42.75,42.75,43.54999923706055,40.099998474121094,42.0,24949,2022-03-07
2022-03-14,41.849998474121094,41.849998474121094,44.0,40.79999923706055,42.75,10575,2022-03-14
2022-03-21,40.849998474121094,40.849998474121094,42.70000076293945,40.0,40.04999923706055,20799,2022-03-21
2022-03-28,39.79999923706055,39.79999923706055,42.20000076293945,38.75,39.349998474121094,21627,2022-03-28
2022-04-04,40.95000076293945,40.95000076293945,42.25,39.25,39.25,46866,2022-04-04
2022-04-11,41.099998474121094,41.099998474121094,43.70000076293945,40.0,43.70000076293945,15606,2022-04-11
2022-04-18,46.0,46.0,46.650001525878906,40.20000076293945,41.900001525878906,106405,2022-04-18
2022-04-25,42.400001525878906,42.400001525878906,47.099998474121094,41.5,46.599998474121094,57801,2022-04-25
2022-05-02,38.70000076293945,38.70000076293945,42.95000076293945,37.29999923706055,42.400001525878906,27269,2022-05-02
2022-05-09,36.099998474121094,36.099998474121094,39.099998474121094,33.400001525878906,37.95000076293945,22053,2022-05-09
2022-05-16,37.849998474121094,37.849998474121094,38.900001525878906,35.650001525878906,37.04999923706055,22466,2022-05-16
2022-05-23,37.79999923706055,37.79999923706055,39.900001525878906,36.5,39.900001525878906,10532,2022-05-23
2022-05-30,38.849998474121094,38.849998474121094,42.0,37.099998474121094,40.79999923706055,41606,2022-05-30
2022-06-06,39.599998474121094,39.599998474121094,42.95000076293945,38.29999923706055,39.04999923706055,42887,2022-06-06
2022-06-13,36.04999923706055,36.04999923706055,39.849998474121094,35.150001525878906,38.45000076293945,12550,2022-06-13
2022-06-20,36.04999923706055,36.04999923706055,38.599998474121094,34.0,36.150001525878906,24226,2022-06-20
2022-06-27,36.849998474121094,36.849998474121094,39.0,36.0,36.900001525878906,16351,2022-06-27
2022-07-04,36.849998474121094,36.849998474121094,38.349998474121094,34.25,36.29999923706055,15734,2022-07-04
2022-07-11,36.79999923706055,36.79999923706055,37.79999923706055,36.099998474121094,37.45000076293945,7753,2022-07-11
2022-07-18,56.0,56.0,57.79999923706055,36.45000076293945,36.45000076293945,2511492,2022-07-18
2022-07-25,54.25,54.25,64.19999694824219,53.29999923706055,56.0,775408,2022-07-25
2022-08-01,51.54999923706055,51.54999923706055,51.54999923706055,45.29999923706055,51.54999923706055,155237,2022-08-01
2022-08-08,47.45000076293945,47.45000076293945,52.04999923706055,46.349998474121094,52.0,53359,2022-08-08
2022-08-15,44.20000076293945,44.20000076293945,49.349998474121094,43.04999923706055,47.45000076293945,48535,2022-08-15
2022-08-22,47.75,47.75,48.54999923706055,43.099998474121094,43.20000076293945,35302,2022-08-22
2022-08-29,46.5,46.5,48.150001525878906,45.0,47.75,15431,2022-08-29
2022-09-05,45.849998474121094,45.849998474121094,48.79999923706055,44.75,47.45000076293945,46203,2022-09-05
2022-09-12,43.900001525878906,43.900001525878906,46.900001525878906,43.650001525878906,46.400001525878906,28371,2022-09-12
2022-09-19,41.20000076293945,41.20000076293945,44.849998474121094,40.79999923706055,44.849998474121094,44199,2022-09-19
2022-09-26,40.54999923706055,40.54999923706055,43.25,39.599998474121094,41.349998474121094,31454,2022-09-26
2022-10-03,40.70000076293945,40.70000076293945,42.5,38.599998474121094,41.95000076293945,34590,2022-10-03
2022-10-10,41.349998474121094,41.349998474121094,44.599998474121094,38.150001525878906,43.849998474121094,17050,2022-10-10
2022-10-17,47.900001525878906,47.900001525878906,49.150001525878906,39.349998474121094,42.20000076293945,269084,2022-10-17
2022-10-24,44.849998474121094,44.849998474121094,49.599998474121094,44.0,49.5,68807,2022-10-24
2022-10-31,45.29999923706055,45.29999923706055,47.599998474121094,43.099998474121094,47.29999923706055,56859,2022-10-31
2022-11-07,45.70000076293945,45.70000076293945,48.20000076293945,45.150001525878906,45.150001525878906,23373,2022-11-07
2022-11-14,45.04999923706055,45.04999923706055,48.599998474121094,43.25,45.099998474121094,9421,2022-11-14
2022-11-21,46.400001525878906,46.400001525878906,49.70000076293945,43.400001525878906,45.04999923706055,61424,2022-11-21
2022-11-28,49.20000076293945,49.20000076293945,50.599998474121094,45.29999923706055,47.95000076293945,97766,2022-11-28
2022-12-05,54.5,54.5,62.75,49.20000076293945,50.20000076293945,551385,2022-12-05
2022-12-12,49.400001525878906,49.400001525878906,58.79999923706055,47.349998474121094,54.95000076293945,223033,2022-12-12
2022-12-19,44.650001525878906,44.650001525878906,51.45000076293945,44.599998474121094,49.900001525878906,53700,2022-12-19
2022-12-26,54.849998474121094,54.849998474121094,57.20000076293945,40.95000076293945,44.650001525878906,490611,2022-12-26
2023-01-02,56.900001525878906,56.900001525878906,63.900001525878906,53.45000076293945,54.849998474121094,500636,2023-01-02
2023-01-09,52.45000076293945,52.45000076293945,58.70000076293945,50.54999923706055,57.29999923706055,69636,2023-01-09
2023-01-16,50.150001525878906,50.150001525878906,54.75,50.04999923706055,54.75,15899,2023-01-16
2023-01-23,47.75,47.75,51.0,46.349998474121094,50.95000076293945,11279,2023-01-23
2023-01-30,48.599998474121094,48.599998474121094,50.900001525878906,45.650001525878906,45.650001525878906,8028,2023-01-30
2023-02-06,46.95000076293945,46.95000076293945,48.45000076293945,45.599998474121094,47.150001525878906,5721,2023-02-06
2023-02-13,46.25,46.25,48.349998474121094,44.5,46.95000076293945,10215,2023-02-13
2023-02-20,41.0,41.0,46.25,40.849998474121094,46.25,12817,2023-02-20
2023-02-27,43.0,43.0,43.650001525878906,40.20000076293945,42.650001525878906,16102,2023-02-27
2023-03-06,42.54999923706055,42.54999923706055,44.45000076293945,42.0,43.900001525878906,14060,2023-03-06
2023-03-13,39.5,39.5,43.349998474121094,37.849998474121094,43.349998474121094,36371,2023-03-13
2023-03-20,39.95000076293945,39.95000076293945,40.650001525878906,37.650001525878906,39.400001525878906,16668,2023-03-20
2023-03-27,39.25,39.25,41.0,37.0,41.0,18861,2023-03-27
2023-04-03,42.45000076293945,42.45000076293945,42.849998474121094,39.5,41.20000076293945,6740,2023-04-03
2023-04-10,46.79999923706055,46.79999923706055,48.75,42.45000076293945,42.45000076293945,14714,2023-04-10
2023-04-17,45.20000076293945,45.20000076293945,48.900001525878906,43.25,46.79999923706055,8507,2023-04-17
2023-04-24,43.95000076293945,43.95000076293945,47.54999923706055,42.70000076293945,44.0,18420,2023-04-24
2023-05-01,44.29999923706055,44.29999923706055,46.849998474121094,42.400001525878906,43.95000076293945,31037,2023-05-01
2023-05-08,45.599998474121094,45.599998474121094,47.0,43.45000076293945,44.900001525878906,28794,2023-05-08
2023-05-15,45.79999923706055,45.79999923706055,49.95000076293945,44.400001525878906,44.45000076293945,116203,2023-05-15
2023-05-22,43.95000076293945,43.95000076293945,48.54999923706055,42.900001525878906,47.5,50316,2023-05-22
2023-05-29,46.79999923706055,46.79999923706055,48.95000076293945,43.400001525878906,43.849998474121094,62475,2023-05-29
2023-06-05,54.04999923706055,54.04999923706055,62.79999923706055,46.849998474121094,46.900001525878906,692297,2023-06-05
2023-06-12,46.099998474121094,46.099998474121094,55.650001525878906,45.95000076293945,55.0,97982,2023-06-12
2023-06-19,46.099998474121094,46.099998474121094,49.0,46.0,48.0,17838,2023-06-19
2023-06-26,45.45000076293945,45.45000076293945,47.5,45.0,46.150001525878906,10220,2023-06-26
2023-07-03,46.150001525878906,46.150001525878906,47.0,45.04999923706055,45.04999923706055,4553,2023-07-03
2023-07-10,46.0,46.0,46.95000076293945,44.650001525878906,46.099998474121094,20516,2023-07-10
2023-07-17,44.95000076293945,44.95000076293945,46.79999923706055,43.400001525878906,46.0,25018,2023-07-17
2023-07-24,44.79999923706055,44.79999923706055,45.400001525878906,42.650001525878906,44.150001525878906,32637,2023-07-24
2023-07-31,44.599998474121094,44.599998474121094,46.650001525878906,43.150001525878906,46.5,6998,2023-07-31
2023-08-07,43.900001525878906,43.900001525878906,45.5,42.70000076293945,45.29999923706055,14753,2023-08-07
2023-08-14,48.0,48.0,50.20000076293945,43.900001525878906,44.5,106448,2023-08-14
2023-08-21,48.20000076293945,48.20000076293945,49.349998474121094,45.599998474121094,48.0,68785,2023-08-21
2023-08-28,48.400001525878906,48.400001525878906,49.5,46.25,49.0,26629,2023-08-28
2023-09-04,47.349998474121094,47.349998474121094,49.20000076293945,46.45000076293945,47.54999923706055,39263,2023-09-04
2023-09-11,48.79999923706055,48.79999923706055,49.400001525878906,44.849998474121094,48.599998474121094,54652,2023-09-11
2023-09-18,47.54999923706055,47.54999923706055,50.849998474121094,47.099998474121094,50.349998474121094,81187,2023-09-18
2023-09-25,50.29999923706055,50.29999923706055,52.650001525878906,47.20000076293945,49.400001525878906,132105,2023-09-25
2023-10-02,50.5,50.5,51.79999923706055,48.0,50.29999923706055,45735,2023-10-02
2023-10-09,55.099998474121094,55.099998474121094,62.0,49.79999923706055,50.400001525878906,1080678,2023-10-09
2023-10-16,55.20000076293945,55.20000076293945,57.29999923706055,51.70000076293945,55.5,298976,2023-10-16
2023-10-23,50.75,50.75,56.900001525878906,49.04999923706055,56.900001525878906,76572,2023-10-23
2023-10-30,52.70000076293945,52.70000076293945,55.650001525878906,50.400001525878906,52.900001525878906,62378,2023-10-30
2023-11-06,52.20000076293945,52.20000076293945,54.95000076293945,51.75,53.25,33188,2023-11-06
2023-11-13,53.0,53.0,54.650001525878906,51.20000076293945,52.349998474121094,29166,2023-11-13
2023-11-20,52.20000076293945,52.20000076293945,54.0,50.20000076293945,53.5,35554,2023-11-20
2023-11-27,51.599998474121094,51.599998474121094,53.04999923706055,51.0,52.20000076293945,30727,2023-11-27
2023-12-04,54.70000076293945,54.70000076293945,56.70000076293945,52.0,52.0,184221,2023-12-04
2023-12-11,54.099998474121094,54.099998474121094,55.95000076293945,52.0,55.95000076293945,39545,2023-12-11
2023-12-18,54.75,54.75,55.849998474121094,50.0,55.849998474121094,62743,2023-12-18
2023-12-25,54.70000076293945,54.70000076293945,57.0,54.25,54.75,47504,2023-12-25
2024-01-01,61.400001525878906,61.400001525878906,63.900001525878906,54.900001525878906,56.70000076293945,297191,2024-01-01
2024-01-08,67.0999984741211,67.0999984741211,71.44999694824219,59.20000076293945,63.0,821628,2024-01-08
2024-01-15,69.6500015258789,69.6500015258789,74.44999694824219,62.400001525878906,67.0999984741211,668893,2024-01-15
2024-01-22,71.3499984741211,71.3499984741211,75.25,65.5999984741211,69.6500015258789,247829,2024-01-22
2024-01-29,66.6500015258789,66.6500015258789,73.5,64.9000015258789,72.0,101198,2024-01-29
2024-02-05,68.3499984741211,68.3499984741211,70.9000015258789,63.0,66.6500015258789,65245,2024-02-05
2024-02-12,65.1500015258789,65.1500015258789,69.75,62.75,68.4000015258789,23164,2024-02-12
2024-02-19,62.95000076293945,62.95000076293945,67.3499984741211,61.0,63.20000076293945,32059,2024-02-19
2024-02-26,60.150001525878906,60.150001525878906,63.95000076293945,56.099998474121094,63.95000076293945,17000,2024-02-26
2024-03-04,59.54999923706055,59.54999923706055,64.80000305175781,58.20000076293945,63.849998474121094,19852,2024-03-04
2024-03-11,51.150001525878906,51.150001525878906,60.0,48.599998474121094,58.400001525878906,16424,2024-03-11
2024-03-18,52.0,52.0,52.900001525878906,49.04999923706055,51.150001525878906,25377,2024-03-18
2024-03-25,56.400001525878906,56.400001525878906,56.45000076293945,51.0,52.0,40438,2024-03-25
2024-04-01,68.4000015258789,68.4000015258789,70.75,59.20000076293945,59.20000076293945,46416,2024-04-01
2024-04-08,69.5999984741211,69.5999984741211,70.9000015258789,68.0,70.8499984741211,101785,2024-04-08
2024-04-15,72.0,72.0,73.05000305175781,68.5,69.0,144726,2024-04-15
2024-04-22,79.1500015258789,79.1500015258789,79.1500015258789,70.05000305175781,72.0,240504,2024-04-22
2024-04-29,96.1500015258789,96.1500015258789,96.1500015258789,83.0999984741211,83.0999984741211,103877,2024-04-29
2024-05-06,114.30000305175781,114.30000305175781,115.25,96.0,97.9000015258789,424672,2024-05-06
2024-05-13,140.3000030517578,140.3000030517578,140.3000030517578,120.0,120.0,92966,2024-05-13
2024-05-20,129.39999389648438,129.39999389648438,137.5500030517578,129.39999389648438,137.5500030517578,20791,2024-05-20
2024-05-27,121.8499984741211,121.8499984741211,126.8499984741211,119.5,126.8499984741211,57437,2024-05-27
2024-06-03,123.9000015258789,123.9000015258789,124.25,118.0,124.0,66671,2024-06-03
2024-06-10,117.0,117.0,126.0,115.27999877929688,125.0,58962,2024-06-10
2024-06-17,112.44999694824219,112.44999694824219,121.69999694824219,112.44999694824219,117.0,62405,2024-06-17
2024-06-24,98.76000213623047,98.76000213623047,107.01000213623047,96.13999938964844,107.01000213623047,167021,2024-06-24
2024-07-01,96.36000061035156,96.36000061035156,101.0,92.5,99.04000091552734,66104,2024-07-01
2024-07-08,91.05000305175781,91.05000305175781,111.52999877929688,91.05000305175781,99.80000305175781,573353,2024-07-08
2024-07-15,81.94000244140625,81.94000244140625,86.9000015258789,78.05000305175781,86.48999786376953,124482,2024-07-15
2024-07-22,71.91000366210938,71.91000366210938,84.5,67.05999755859375,78.0999984741211,288402,2024-07-22
2024-07-29,64.26000213623047,64.26000213623047,74.55000305175781,63.5,72.98999786376953,200755,2024-07-29
2024-08-05,59.970001220703125,59.970001220703125,64.94999694824219,56.439998626708984,64.26000213623047,131859,2024-08-05
2024-08-12,50.95000076293945,50.95000076293945,62.20000076293945,50.470001220703125,59.970001220703125,179153,2024-08-12
2024-08-19,56.0099983215332,56.0099983215332,61.0,50.0,50.0,226571,2024-08-19
2024-08-26,51.90999984741211,51.90999984741211,56.0099983215332,50.540000915527344,56.0099983215332,238991,2024-08-26
2024-09-02,51.38999938964844,51.38999938964844,52.9900016784668,49.2599983215332,52.04999923706055,68298,2024-09-02
2024-09-09,50.560001373291016,50.560001373291016,52.900001525878906,47.5,52.400001525878906,147935,2024-09-09
2024-09-16,48.810001373291016,48.810001373291016,52.880001068115234,48.5,50.560001373291016,65351,2024-09-16
2024-09-23,50.029998779296875,50.029998779296875,51.22999954223633,48.0,50.4900016784668,59148,2024-09-23
2024-09-30,46.86000061035156,46.86000061035156,50.70000076293945,46.18000030517578,50.029998779296875,62169,2024-09-30
2024-10-07,46.2400016784668,46.2400016784668,47.20000076293945,44.0099983215332,45.25,44832,2024-10-07
2024-10-14,46.119998931884766,46.119998931884766,47.4900016784668,44.900001525878906,46.20000076293945,32744,2024-10-14
2024-10-21,43.869998931884766,43.869998931884766,46.5,43.0099983215332,46.0,34848,2024-10-21
2024-10-28,43.40999984741211,43.40999984741211,46.0,42.29999923706055,43.869998931884766,14389,2024-10-28
2024-11-04,52.4900016784668,52.4900016784668,52.4900016784668,41.5,45.45000076293945,66964,2024-11-04
2024-11-11,56.79999923706055,56.79999923706055,56.79999923706055,53.529998779296875,53.529998779296875,43840,2024-11-11
2024-11-18,61.459999084472656,61.459999084472656,61.459999084472656,57.93000030517578,57.93000030517578,36691,2024-11-18
2024-11-25,67.83000183105469,67.83000183105469,67.83000183105469,62.68000030517578,62.68000030517578,103342,2024-11-25
2024-12-02,69.30999755859375,69.30999755859375,69.30999755859375,66.47000122070312,68.0,89983,2024-12-02
2024-12-09,74.30000305175781,74.30000305175781,75.01000213623047,70.69000244140625,70.69000244140625,71977,2024-12-09
2024-12-16,81.08999633789062,81.08999633789062,81.08999633789062,72.80999755859375,75.77999877929688,67430,2024-12-16
2024-12-23,78.33999633789062,78.33999633789062,82.70999908447266,78.33999633789062,82.70999908447266,60836,2024-12-23
2024-12-30,77.0,77.0,80.0,76.7699966430664,78.9000015258789,58953,2024-12-30
2025-01-06,80.5999984741211,80.5999984741211,80.5999984741211,75.45999908447266,75.45999908447266,128837,2025-01-06
2025-01-13,82.5,82.5,82.5,79.36000061035156,79.94999694824219,19093,2025-01-13
2025-01-20,89.18000030517578,89.18000030517578,91.9000015258789,78.5199966430664,82.5,165143,2025-01-20
2025-01-27,91.73999786376953,91.73999786376953,92.0,83.0,86.95999908447266,54031,2025-01-27
2025-02-03,93.75,93.75,94.25,86.63999938964844,89.44999694824219,174449,2025-02-03
2025-02-10,84.27999877929688,84.27999877929688,95.0,79.0199966430664,94.0,220075,2025-02-10
2025-02-17,82.2699966430664,82.2699966430664,86.88999938964844,78.51000213623047,84.79000091552734,38378,2025-02-17
2025-02-24,79.56999969482422,79.56999969482422,84.5,76.0,82.5,27290,2025-02-24
2025-03-03,82.69000244140625,82.69000244140625,83.52999877929688,75.58999633789062,80.0,77199,2025-03-03
2025-03-10,84.54000091552734,84.54000091552734,87.86000061035156,79.51000213623047,83.0,146999,2025-03-10
2025-03-17,83.81999969482422,83.81999969482422,90.0999984741211,79.80000305175781,87.48999786376953,240816,2025-03-17
2025-03-24,84.86000061035156,84.86000061035156,88.01000213623047,80.0,87.88999938964844,276977,2025-03-24
2025-03-31,79.48999786376953,79.48999786376953,86.6500015258789,78.0,84.86000061035156,527801,2025-03-31
2025-04-07,72.0,72.0,88.0,72.0,78.5999984741211,916379,2025-04-07
2025-04-14,55.400001525878906,55.400001525878906,64.80000305175781,55.400001525878906,64.80000305175781,242559,2025-04-14
2025-04-21,48.779998779296875,48.779998779296875,54.0,48.380001068115234,52.630001068115234,543628,2025-04-21
2025-04-28,46.939998626708984,46.939998626708984,49.97999954223633,46.099998474121094,48.959999084472656,38730,2025-04-28
2025-05-05,44.16999816894531,44.16999816894531,47.68000030517578,43.150001525878906,47.150001525878906,57185,2025-05-05
2025-05-12,49.63999938964844,49.63999938964844,50.0,42.0,42.0,58727,2025-05-12
2025-05-19,46.52000045776367,46.52000045776367,52.849998474121094,45.439998626708984,50.52000045776367,116473,2025-05-19
2025-05-26,44.70000076293945,44.70000076293945,48.439998626708984,44.70000076293945,46.0,65067,2025-05-26
2025-06-02,45.130001068115234,45.130001068115234,45.689998626708984,42.599998474121094,44.70000076293945,37672,2025-06-02
2025-06-09,46.099998474121094,46.099998474121094,47.099998474121094,45.0,45.79999923706055,26869,2025-06-09
2025-06-16,45.75,45.75,47.38999938964844,44.45000076293945,46.099998474121094,14867,2025-06-16
2025-06-23,44.560001373291016,44.560001373291016,46.7400016784668,44.0,46.58000183105469,75903,2025-06-23
2025-06-30,44.56999969482422,44.56999969482422,46.38999938964844,42.810001373291016,45.349998474121094,20981,2025-06-30
2025-07-07,44.75,44.75,45.5,44.0,44.0,16361,2025-07-07
2025-07-14,46.11000061035156,46.11000061035156,46.5,44.099998474121094,44.099998474121094,13721,2025-07-14
