Date,Adj Close_AZAD.NS,Close_AZAD.NS,High_AZAD.NS,Low_AZAD.NS,Open_AZAD.NS,Volume_AZAD.NS,Date
2024-07-08,1744.5999755859375,1744.5999755859375,1857.949951171875,1690.0,1844.949951171875,1103345,2024-07-08
2024-07-15,1618.550048828125,1618.550048828125,1764.0,1610.0,1755.050048828125,1895803,2024-07-15
2024-07-22,1608.0,1608.0,1660.0,1539.449951171875,1625.0,976975,2024-07-22
2024-07-29,1609.800048828125,1609.800048828125,1660.0,1585.0,1623.300048828125,451497,2024-07-29
2024-08-05,1639.699951171875,1639.699951171875,1674.4000244140625,1506.050048828125,1585.0,1003833,2024-08-05
2024-08-12,1627.199951171875,1627.199951171875,1667.0999755859375,1580.050048828125,1611.949951171875,542856,2024-08-12
2024-08-19,1619.6500244140625,1619.6500244140625,1660.0,1595.0999755859375,1656.050048828125,517553,2024-08-19
2024-08-26,1542.949951171875,1542.949951171875,1640.0,1521.0,1637.5999755859375,555329,2024-08-26
2024-09-02,1556.800048828125,1556.800048828125,1649.050048828125,1491.0,1560.699951171875,1118527,2024-09-02
2024-09-09,1577.4000244140625,1577.4000244140625,1618.949951171875,1507.0,1560.050048828125,856877,2024-09-09
2024-09-16,1490.1500244140625,1490.1500244140625,1582.9000244140625,1447.199951171875,1582.8499755859375,823459,2024-09-16
2024-09-23,1495.75,1495.75,1523.0,1470.300048828125,1509.9000244140625,569992,2024-09-23
2024-09-30,1398.199951171875,1398.199951171875,1495.699951171875,1380.0,1491.050048828125,646477,2024-09-30
2024-10-07,1500.800048828125,1500.800048828125,1520.0,1320.050048828125,1408.75,701527,2024-10-07
2024-10-14,1581.0999755859375,1581.0999755859375,1590.0,1483.4000244140625,1515.75,523465,2024-10-14
2024-10-21,1407.5999755859375,1407.5999755859375,1596.300048828125,1396.0,1589.0,553845,2024-10-21
2024-10-28,1461.800048828125,1461.800048828125,1471.199951171875,1382.4000244140625,1409.4000244140625,309737,2024-10-28
2024-11-04,1641.5,1641.5,1710.0,1555.0,1579.9000244140625,4732744,2024-11-04
2024-11-11,1579.050048828125,1579.050048828125,1720.0,1551.0,1640.0,913085,2024-11-11
2024-11-18,1578.1500244140625,1578.1500244140625,1623.3499755859375,1539.9000244140625,1590.0,645267,2024-11-18
2024-11-25,1729.6500244140625,1729.6500244140625,1804.0,1582.75,1605.0,2155251,2024-11-25
2024-12-02,1759.0999755859375,1759.0999755859375,1845.0,1705.0,1739.949951171875,1445514,2024-12-02
2024-12-09,1776.4000244140625,1776.4000244140625,1851.300048828125,1742.0,1762.6500244140625,986923,2024-12-09
2024-12-16,1659.0999755859375,1659.0999755859375,1838.550048828125,1650.0,1779.949951171875,608537,2024-12-16
2024-12-23,1680.9000244140625,1680.9000244140625,1732.300048828125,1636.050048828125,1669.699951171875,262500,2024-12-23
2024-12-30,1885.449951171875,1885.449951171875,1929.800048828125,1650.0,1685.0,1572531,2024-12-30
2025-01-06,1668.0999755859375,1668.0999755859375,1915.449951171875,1664.5999755859375,1894.9000244140625,1039464,2025-01-06
2025-01-13,1693.25,1693.25,1742.699951171875,1550.75,1663.0,914728,2025-01-13
2025-01-20,1520.050048828125,1520.050048828125,1720.0,1490.0,1697.9000244140625,454647,2025-01-20
2025-01-27,1506.3499755859375,1506.3499755859375,1600.0,1286.0,1495.0,1955936,2025-01-27
2025-02-03,1557.300048828125,1557.300048828125,1609.949951171875,1443.0,1491.0,1608890,2025-02-03
2025-02-10,1296.550048828125,1296.550048828125,1566.0,1272.5,1560.5999755859375,1086112,2025-02-10
2025-02-17,1358.050048828125,1358.050048828125,1378.75,1170.050048828125,1296.550048828125,1529517,2025-02-17
2025-02-24,1273.75,1273.75,1363.800048828125,1237.0,1335.0,530122,2025-02-24
2025-03-03,1330.8499755859375,1330.8499755859375,1374.6500244140625,1170.1500244140625,1280.050048828125,1976428,2025-03-03
2025-03-10,1278.3499755859375,1278.3499755859375,1345.0,1245.300048828125,1340.0,793028,2025-03-10
2025-03-17,1435.5999755859375,1435.5999755859375,1439.9000244140625,1251.0,1289.199951171875,1187421,2025-03-17
2025-03-24,1359.6500244140625,1359.6500244140625,1475.800048828125,1350.0,1448.800048828125,772390,2025-03-24
2025-03-31,1300.5999755859375,1300.5999755859375,1405.3499755859375,1288.0,1359.6500244140625,506720,2025-03-31
2025-04-07,1337.25,1337.25,1345.0,1159.449951171875,1181.0,694350,2025-04-07
2025-04-14,1465.800048828125,1465.800048828125,1480.800048828125,1337.25,1337.25,799042,2025-04-14
2025-04-21,1504.699951171875,1504.699951171875,1593.199951171875,1445.0,1481.0,1576210,2025-04-21
2025-04-28,1551.199951171875,1551.199951171875,1635.0,1506.0,1519.9000244140625,1392029,2025-04-28
2025-05-05,1608.5,1608.5,1674.9000244140625,1544.300048828125,1585.0,2076729,2025-05-05
2025-05-12,1819.5999755859375,1819.5999755859375,1848.9000244140625,1646.4000244140625,1657.9000244140625,1707647,2025-05-12
2025-05-19,1793.5999755859375,1793.5999755859375,1880.0,1770.0,1830.0,1331726,2025-05-19
2025-05-26,1770.4000244140625,1770.4000244140625,1873.9000244140625,1747.199951171875,1830.0,1668378,2025-05-26
2025-06-02,1649.699951171875,1649.699951171875,1899.0,1559.9000244140625,1779.0,12429145,2025-06-02
2025-06-09,1648.800048828125,1648.800048828125,1703.699951171875,1550.0,1665.0,2730463,2025-06-09
2025-06-16,1618.699951171875,1618.699951171875,1675.699951171875,1592.0,1645.0,1434761,2025-06-16
2025-06-23,1600.5999755859375,1600.5999755859375,1649.800048828125,1581.4000244140625,1610.0,1375620,2025-06-23
2025-06-30,1642.4000244140625,1642.4000244140625,1676.9000244140625,1601.699951171875,1604.9000244140625,835262,2025-06-30
2025-07-07,1588.300048828125,1588.300048828125,1642.699951171875,1583.199951171875,1642.0,414103,2025-07-07
2025-07-14,1544.800048828125,1544.800048828125,1600.0,1541.0,1600.0,303587,2025-07-14
