Date,Adj Close_TPLPLASTEH.NS,Close_TPLPLASTEH.NS,High_TPLPLASTEH.NS,Low_TPLPLASTEH.NS,Open_TPLPLASTEH.NS,Volume_TPLPLASTEH.NS,Date
2022-03-21,23.810964584350586,24.6299991607666,26.020000457763672,24.510000228881836,25.399999618530273,255560,2022-03-21
2022-03-28,23.936643600463867,24.760000228881836,25.399999618530273,23.219999313354492,24.440000534057617,558285,2022-03-28
2022-04-04,30.046478271484375,31.079999923706055,33.15999984741211,25.049999237060547,25.3799991607666,1673900,2022-04-04
2022-04-11,28.683366775512695,29.670000076293945,31.799999237060547,29.100000381469727,31.200000762939453,267060,2022-04-11
2022-04-18,35.044559478759766,36.25,36.5,28.020000457763672,28.530000686645508,4261350,2022-04-18
2022-04-25,29.099069595336914,30.100000381469727,36.0,29.850000381469727,36.0,1631310,2022-04-25
2022-05-02,27.465267181396484,28.40999984741211,30.729999542236328,27.530000686645508,29.610000610351562,215710,2022-05-02
2022-05-09,23.714292526245117,24.530000686645508,29.989999771118164,24.059999465942383,29.989999771118164,360300,2022-05-09
2022-05-16,26.98189353942871,27.90999984741211,28.549999237060547,24.709999084472656,26.579999923706055,244865,2022-05-16
2022-05-23,25.135408401489258,26.0,28.469999313354492,24.360000610351562,28.469999313354492,146255,2022-05-23
2022-05-30,25.82179832458496,26.709999084472656,27.989999771118164,25.940000534057617,26.0,162705,2022-05-30
2022-06-06,27.996976852416992,28.959999084472656,29.790000915527344,26.190000534057617,26.420000076293945,328845,2022-06-06
2022-06-13,24.95172691345215,25.809999465942383,28.780000686645508,25.020000457763672,27.670000076293945,351605,2022-06-13
2022-06-20,23.617616653442383,24.43000030517578,25.600000381469727,23.43000030517578,25.540000915527344,229765,2022-06-20
2022-06-27,30.81987762451172,31.8799991607666,32.38999938964844,24.889999389648438,24.899999618530273,566710,2022-06-27
2022-07-04,33.93280029296875,35.099998474121094,36.29999923706055,31.049999237060547,33.0099983215332,2278055,2022-07-04
2022-07-11,31.680282592773438,32.77000045776367,35.810001373291016,32.400001525878906,35.52000045776367,600175,2022-07-11
