Date,Adj Close_3MINDIA.NS,Close_3MINDIA.NS,High_3MINDIA.NS,Low_3MINDIA.NS,Open_3MINDIA.NS,Volume_3MINDIA.NS,Date
2021-11-15,24227.353515625,25194.150390625,26782.900390625,24872.150390625,26700.0,10505,2021-11-15
2021-11-22,24218.5546875,25185.0,25999.900390625,25001.0,25200.0,7681,2021-11-22
2021-11-29,24819.4765625,25809.900390625,25989.900390625,23947.849609375,25200.0,15384,2021-11-29
2021-12-06,24288.41796875,25257.650390625,26599.400390625,24900.0,25809.900390625,10690,2021-12-06
2021-12-13,23594.556640625,24536.099609375,25485.0,24461.55078125,25485.0,15245,2021-12-13
2021-12-20,24269.376953125,25237.849609375,25525.44921875,23760.0,24401.0,16761,2021-12-20
2021-12-27,24387.609375,25360.80078125,25680.0,24155.650390625,25245.0,19617,2021-12-27
2022-01-03,24569.884765625,25550.349609375,25970.0,25356.0,25448.0,19239,2022-01-03
2022-01-10,24130.7578125,25093.69921875,25827.900390625,24751.099609375,25305.0,11620,2022-01-10
2022-01-17,23755.291015625,24703.25,25400.0,24451.30078125,25124.900390625,10354,2022-01-17
2022-01-24,23470.794921875,24407.400390625,25010.0,23800.0,24610.0,12795,2022-01-24
2022-01-31,23794.765625,24744.30078125,25221.5,24153.400390625,24600.0,17059,2022-01-31
2022-02-07,22176.830078125,23061.80078125,26943.0,22126.650390625,24968.0,15675,2022-02-07
2022-02-14,20810.021484375,21640.44921875,23055.0,21530.0,23055.0,13525,2022-02-14
2022-02-21,20593.3203125,21415.099609375,22240.849609375,20300.0,21700.0,16243,2022-02-21
2022-02-28,19597.31640625,20379.349609375,21749.400390625,20215.099609375,21500.0,10898,2022-02-28
2022-03-07,19133.859375,19897.400390625,20799.94921875,19600.0,20199.349609375,54964,2022-03-07
2022-03-14,19258.24609375,20026.75,20249.80078125,19433.75,19999.94921875,44513,2022-03-14
2022-03-21,19083.759765625,19845.30078125,20799.0,19600.0,20210.0,22135,2022-03-21
2022-03-28,19206.4140625,19972.849609375,20600.0,19374.099609375,20169.0,24853,2022-03-28
2022-04-04,20617.9375,21440.69921875,21700.0,19998.94921875,19999.0,18488,2022-04-04
2022-04-11,20521.052734375,21339.94921875,21550.0,21050.0,21303.0,5172,2022-04-11
2022-04-18,19695.40234375,20481.349609375,21800.0,20211.55078125,21300.0,15415,2022-04-18
2022-04-25,19198.435546875,19964.55078125,20740.0,19831.0,20740.0,7583,2022-04-25
2022-05-02,17741.953125,18449.94921875,20101.0,18100.0,19806.599609375,18724,2022-05-02
2022-05-09,17298.548828125,17988.849609375,18979.0,17650.0,18540.0,23753,2022-05-09
2022-05-16,17305.375,17995.94921875,19300.0,17788.80078125,18149.0,12444,2022-05-16
2022-05-23,16889.47265625,17563.44921875,18235.0,17273.0,18235.0,22195,2022-05-23
2022-05-30,20473.40625,21290.400390625,21786.0,19052.0,19800.0,99433,2022-05-30
2022-06-06,19698.671875,20484.75,21358.400390625,20356.55078125,21000.0,12150,2022-06-06
2022-06-13,18890.85546875,19644.69921875,20487.0,19411.0,20424.0,18383,2022-06-13
2022-06-20,19671.45703125,20456.44921875,20626.69921875,19423.650390625,19670.0,119172,2022-06-20
2022-06-27,21064.951171875,21905.55078125,22857.900390625,20100.0,20700.0,49363,2022-06-27
2022-07-04,21993.400390625,22871.05078125,23011.25,21906.0,21906.0,17323,2022-07-04
2022-07-11,21086.875,21928.349609375,23212.19921875,21510.05078125,22701.0,14805,2022-07-11
2022-07-18,22108.5078125,22990.75,23279.94921875,22052.0,22380.0,9875,2022-07-18
2022-07-25,21870.072265625,22742.80078125,23600.0,22050.55078125,22990.75,10891,2022-07-25
2022-08-01,22792.705078125,23702.25,24100.0,22500.0,22752.0,16981,2022-08-01
2022-08-08,21607.7890625,22470.05078125,24100.0,22241.5,23702.25,24151,2022-08-08
2022-08-15,21979.359375,22856.44921875,23450.0,22050.0,22470.05078125,21681,2022-08-15
2022-08-22,22200.58203125,23086.5,23250.0,22208.349609375,22856.44921875,50268,2022-08-22
2022-08-29,22191.20703125,23076.75,23510.099609375,22000.05078125,22001.0,15874,2022-08-29
2022-09-05,21963.494140625,22839.94921875,23386.5,22600.099609375,23229.0,22760,2022-09-05
2022-09-12,23019.501953125,23938.099609375,24357.0,22550.150390625,22839.94921875,25559,2022-09-12
2022-09-19,22803.041015625,23713.0,24331.75,22900.0,24200.0,31097,2022-09-19
2022-09-26,23662.0625,24606.30078125,24850.0,22620.0,23240.0,29405,2022-09-26
2022-10-03,23526.134765625,24464.94921875,25209.0,23675.05078125,24900.0,19451,2022-10-03
2022-10-10,22120.716796875,23003.44921875,24595.94921875,22825.75,24305.0,17857,2022-10-10
2022-10-17,22073.83984375,22954.69921875,24200.0,22743.05078125,22996.0,14615,2022-10-17
2022-10-24,22156.298828125,23040.44921875,23323.0,22506.599609375,23298.69921875,5686,2022-10-24
2022-10-31,21994.265625,22871.94921875,23950.0,22801.0,23112.0,12576,2022-10-31
2022-11-07,22772.125,23680.849609375,24163.80078125,22291.0,22986.349609375,41433,2022-11-07
2022-11-14,23382.951171875,24316.05078125,24900.0,23630.19921875,23799.0,24062,2022-11-14
2022-11-21,22022.009765625,22900.80078125,23970.0,22850.0,23970.0,17933,2022-11-21
2022-11-28,23067.37109375,23149.349609375,23559.849609375,22765.05078125,22905.0,21337,2022-11-28
2022-12-05,23038.42578125,23120.30078125,23400.0,22851.0,23165.0,7699,2022-12-05
2022-12-12,23006.736328125,23088.5,23493.75,22925.0,23155.0,6971,2022-12-12
2022-12-19,22344.83984375,22424.25,23240.0,22150.0,22901.0,15745,2022-12-19
2022-12-26,21865.392578125,21943.099609375,22717.0,21900.0,22255.0,6009,2022-12-26
2023-01-02,22215.44921875,22294.400390625,22589.0,21300.44921875,22130.0,23545,2023-01-02
2023-01-09,22317.287109375,22396.599609375,22869.0,22001.849609375,22375.0,11371,2023-01-09
2023-01-16,22627.3359375,22707.75,22842.30078125,22305.150390625,22305.150390625,8433,2023-01-16
2023-01-23,22520.46484375,22600.5,22868.94921875,22265.25,22707.75,6476,2023-01-23
2023-01-30,22951.880859375,23033.44921875,23685.849609375,22275.19921875,22405.0,12409,2023-01-30
2023-02-06,23337.412109375,23420.349609375,23994.94921875,22500.0,23100.0,44129,2023-02-06
2023-02-13,22098.515625,22177.05078125,23420.30078125,21500.0,23310.0,72828,2023-02-13
2023-02-20,21776.259765625,21853.650390625,22550.0,21600.0,22180.0,102340,2023-02-20
2023-02-27,23120.6328125,23202.80078125,23360.099609375,21650.0,22000.0,25694,2023-02-27
2023-03-06,23499.287109375,23582.80078125,23888.0,23100.25,23160.05078125,17803,2023-03-06
2023-03-13,22855.125,22936.349609375,23743.75,22851.69921875,23582.80078125,13024,2023-03-13
2023-03-20,22243.998046875,22323.05078125,23198.900390625,21730.0,23198.0,16987,2023-03-20
2023-03-27,22882.52734375,22963.849609375,23284.400390625,22204.599609375,22323.05078125,12834,2023-03-27
2023-04-03,23245.638671875,23328.25,23400.0,22261.55078125,23189.94921875,10651,2023-04-03
2023-04-10,22780.640625,22861.599609375,23409.94921875,22698.94921875,23400.0,8773,2023-04-10
2023-04-17,22268.759765625,22347.900390625,23000.0,22300.0,22920.05078125,8567,2023-04-17
2023-04-24,22468.349609375,22548.19921875,22800.0,22125.25,22400.0,37264,2023-04-24
2023-05-01,23304.728515625,23387.55078125,23794.0,22201.0,22548.19921875,18055,2023-05-01
2023-05-08,23412.39453125,23495.599609375,24113.400390625,23251.05078125,23400.0,28450,2023-05-08
2023-05-15,23827.220703125,23911.900390625,24004.0,23001.0,23534.44921875,16714,2023-05-15
2023-05-22,24130.79296875,24216.55078125,24600.0,23823.849609375,23911.900390625,9803,2023-05-22
2023-05-29,26160.9765625,26253.94921875,26501.900390625,23805.0,24226.5,36604,2023-05-29
2023-06-05,26435.40234375,26529.349609375,27717.44921875,26200.0,26350.0,28556,2023-06-05
2023-06-12,27831.740234375,27930.650390625,28500.0,26329.44921875,26660.30078125,18754,2023-06-12
2023-06-19,26881.466796875,26977.0,28150.0,26512.0,27930.650390625,12255,2023-06-19
2023-06-26,26917.0390625,27012.69921875,27800.0,26700.0,27050.0,9454,2023-06-26
2023-07-03,26902.2421875,26997.849609375,28248.0,26902.19921875,27298.94921875,21926,2023-07-03
2023-07-10,28496.177734375,28597.44921875,29190.0,26754.099609375,27000.0,21971,2023-07-10
2023-07-17,27916.48828125,28015.69921875,28854.94921875,27719.44921875,28360.05078125,8869,2023-07-17
2023-07-24,27693.33203125,27791.75,28596.0,27530.0,28015.69921875,15635,2023-07-24
2023-07-31,28165.5,28165.5,29097.900390625,27555.0,27899.0,25766,2023-07-31
2023-08-07,29469.30078125,29469.30078125,29750.0,26628.0,28050.0,40371,2023-08-07
2023-08-14,29126.69921875,29126.69921875,29549.94921875,28420.05078125,29451.05078125,12828,2023-08-14
2023-08-21,30355.05078125,30355.05078125,30722.25,28666.0,29126.69921875,13755,2023-08-21
2023-08-28,31151.349609375,31151.349609375,31989.0,30386.849609375,30600.0,16595,2023-08-28
2023-09-04,32914.8515625,32914.8515625,33250.0,31150.05078125,31690.0,32678,2023-09-04
2023-09-11,30366.80078125,30366.80078125,33249.8515625,30120.099609375,32715.0,18520,2023-09-11
2023-09-18,31285.099609375,31285.099609375,31450.0,29610.0,30853.44921875,12834,2023-09-18
2023-09-25,31805.849609375,31805.849609375,32885.0,30600.0,31113.0,18892,2023-09-25
2023-10-02,31150.099609375,31150.099609375,32064.75,30464.5,31805.849609375,8616,2023-10-02
2023-10-09,30815.75,30815.75,31400.0,30601.0,31000.0,10960,2023-10-09
2023-10-16,30092.69921875,30092.69921875,31115.05078125,30001.0,30625.0,9280,2023-10-16
2023-10-23,29775.400390625,29775.400390625,30175.94921875,28870.0,30032.0,9884,2023-10-23
2023-10-30,31289.099609375,31289.099609375,31450.0,29500.0,29884.0,8793,2023-10-30
2023-11-06,31558.0,31558.0,32409.349609375,31083.05078125,31310.0,12328,2023-11-06
2023-11-13,30357.400390625,30357.400390625,31881.44921875,30286.0,31847.0,9617,2023-11-13
2023-11-20,30325.19921875,30325.19921875,31231.0,29850.0,30513.650390625,8429,2023-11-20
2023-11-27,31088.44921875,31088.44921875,31486.94921875,30194.900390625,30325.19921875,22062,2023-11-27
2023-12-04,31479.69921875,31479.69921875,31650.0,30730.0,31088.44921875,18613,2023-12-04
2023-12-11,31193.05078125,31193.05078125,31934.349609375,30996.0,31607.0,10761,2023-12-11
2023-12-18,31182.0,31182.0,31699.900390625,30469.55078125,30832.05078125,11084,2023-12-18
2023-12-25,37309.1484375,37309.1484375,39876.1015625,31078.099609375,31182.0,169231,2023-12-25
2024-01-01,34696.94921875,34696.94921875,37500.0,33532.69921875,37000.0,49870,2024-01-01
2024-01-08,34091.3984375,34091.3984375,35103.75,33632.80078125,34700.0,17970,2024-01-08
2024-01-15,33916.0,33916.0,34746.8515625,33701.0,34092.0,14739,2024-01-15
2024-01-22,34048.25,34048.25,34850.0,33305.0,33916.0,11964,2024-01-22
2024-01-29,32868.80078125,32868.80078125,34659.05078125,32800.0,34259.94921875,17600,2024-01-29
2024-02-05,32642.650390625,32642.650390625,34587.1484375,32024.94921875,32975.0,34939,2024-02-05
2024-02-12,30897.349609375,30897.349609375,32897.80078125,30507.69921875,32699.900390625,18444,2024-02-12
2024-02-19,30379.650390625,30379.650390625,31666.19921875,30250.099609375,31225.099609375,28546,2024-02-19
2024-02-26,31714.349609375,31714.349609375,32380.69921875,30400.0,30567.80078125,22132,2024-02-26
2024-03-04,30480.55078125,30480.55078125,31836.05078125,30005.05078125,31836.0,25760,2024-03-04
2024-03-11,29594.44921875,29594.44921875,31132.44921875,29400.0,30315.25,37228,2024-03-11
2024-03-18,30728.400390625,30728.400390625,30900.0,29203.400390625,29595.0,26286,2024-03-18
2024-03-25,31193.349609375,31193.349609375,31657.44921875,30179.849609375,30728.400390625,18148,2024-03-25
2024-04-01,30348.44921875,30348.44921875,31449.94921875,29851.150390625,30800.0,18715,2024-04-01
2024-04-08,29611.099609375,29611.099609375,30556.44921875,29501.099609375,30348.44921875,26519,2024-04-08
2024-04-15,29660.5,29660.5,29999.94921875,28907.05078125,29610.0,11869,2024-04-15
2024-04-22,29967.94921875,29967.94921875,30700.0,29500.0,29789.650390625,20769,2024-04-22
2024-04-29,29696.80078125,29696.80078125,30600.0,29351.150390625,29967.94921875,39353,2024-04-29
2024-05-06,28694.30078125,28694.30078125,29881.849609375,28614.44921875,29732.349609375,15970,2024-05-06
2024-05-13,31096.650390625,31096.650390625,31389.0,28498.94921875,28715.0,56443,2024-05-13
2024-05-20,30692.05078125,30692.05078125,31689.900390625,30312.849609375,30312.849609375,17517,2024-05-20
2024-05-27,33385.0,33385.0,35545.25,30295.650390625,30687.0,233012,2024-05-27
2024-06-03,33752.3515625,33752.3515625,34462.69921875,30453.80078125,34100.0,51326,2024-06-03
2024-06-10,36489.25,36489.25,37397.0,33754.44921875,34200.0,60590,2024-06-10
2024-06-17,37965.44921875,37965.44921875,38258.44921875,36489.25,36489.25,39543,2024-06-17
2024-06-24,36804.30078125,36804.30078125,38501.0,36525.75,38247.55078125,29280,2024-06-24
2024-07-01,38768.1015625,38768.1015625,40856.5,37050.0,37350.6015625,79389,2024-07-01
2024-07-08,38646.0,38646.0,40181.0,38237.8984375,38629.0,30264,2024-07-08
2024-07-15,37515.5,37515.5,40100.05078125,37313.69921875,40000.0,13200,2024-07-15
2024-07-22,37926.80078125,37926.80078125,39250.1015625,37018.8984375,37100.05078125,19439,2024-07-22
2024-07-29,39413.25,39413.25,40642.94921875,38500.0,38999.0,53814,2024-07-29
2024-08-05,37439.80078125,37439.80078125,39500.0,36915.94921875,39050.0,24013,2024-08-05
2024-08-12,35680.05078125,35680.05078125,38199.8515625,35454.25,37499.94921875,17446,2024-08-12
2024-08-19,34981.25,34981.25,36360.0,34808.0,35965.0,28063,2024-08-19
2024-08-26,35663.6484375,35663.6484375,36150.0,34778.0,35481.25,23464,2024-08-26
2024-09-02,35098.75,35098.75,36244.0,34465.55078125,35750.0,37427,2024-09-02
2024-09-09,35520.1484375,35520.1484375,35640.6015625,34500.0,35151.8984375,19986,2024-09-09
2024-09-16,34838.8515625,34838.8515625,36128.0,34687.6484375,35798.0,16005,2024-09-16
2024-09-23,34526.1015625,34526.1015625,35900.0,34425.0,35238.80078125,34705,2024-09-23
2024-09-30,34329.8515625,34329.8515625,34989.0,33444.05078125,34700.0,32656,2024-09-30
2024-10-07,33995.05078125,33995.05078125,35254.0,33555.0,34329.8515625,18818,2024-10-07
2024-10-14,34011.1484375,34011.1484375,34623.0,33325.80078125,34138.75,31821,2024-10-14
2024-10-21,33748.6484375,33748.6484375,34369.94921875,33131.6015625,34011.1484375,14533,2024-10-21
2024-10-28,36166.80078125,36166.80078125,36317.6015625,33210.0,33800.0,23630,2024-10-28
2024-11-04,35925.69921875,35925.69921875,37133.75,35250.0,36350.0,20170,2024-11-04
2024-11-11,32466.099609375,32466.099609375,36049.05078125,32247.5,35964.94921875,21547,2024-11-11
2024-11-18,30685.5,30685.5,32830.44921875,30629.0,32400.0,25809,2024-11-18
2024-11-25,32245.30078125,32245.30078125,32799.19921875,30690.0,31100.0,32793,2024-11-25
2024-12-02,31392.80078125,31392.80078125,32301.55078125,30900.0,32245.30078125,40739,2024-12-02
2024-12-09,31602.19921875,31602.19921875,31770.0,30871.0,31682.5,21608,2024-12-09
2024-12-16,30813.849609375,30813.849609375,31661.849609375,30500.0,31602.19921875,22108,2024-12-16
2024-12-23,30436.0,30436.0,31347.94921875,30351.900390625,31100.0,13573,2024-12-23
2024-12-30,30623.94921875,30623.94921875,31685.849609375,30079.05078125,30500.0,19351,2024-12-30
2025-01-06,29693.94921875,29693.94921875,31255.0,29600.0,30623.94921875,34798,2025-01-06
2025-01-13,29634.19921875,29634.19921875,30750.0,28625.0,29500.0,47248,2025-01-13
2025-01-20,29109.650390625,29109.650390625,30031.0,28560.150390625,29699.900390625,39023,2025-01-20
2025-01-27,29896.19921875,29896.19921875,30257.94921875,28412.0,29109.650390625,36988,2025-01-27
2025-02-03,28167.25,28167.25,30225.0,27901.05078125,29688.0,58717,2025-02-03
2025-02-10,26739.94921875,26739.94921875,28250.0,26453.25,28250.0,62816,2025-02-10
2025-02-17,27344.099609375,27344.099609375,27799.0,26222.05078125,26557.69921875,22416,2025-02-17
2025-02-24,26297.30078125,26297.30078125,27344.150390625,26010.0,27344.099609375,23027,2025-02-24
2025-03-03,27723.30078125,27723.30078125,28494.69921875,25718.150390625,26297.30078125,29823,2025-03-03
2025-03-10,27880.30078125,27880.30078125,28199.80078125,26860.849609375,27750.099609375,19302,2025-03-10
2025-03-17,28528.599609375,28528.599609375,29258.0,27221.0,27580.0,23113,2025-03-17
2025-03-24,28889.150390625,28889.150390625,29416.30078125,27660.05078125,28649.0,25251,2025-03-24
2025-03-31,28326.099609375,28326.099609375,29179.94921875,27971.0,28889.150390625,9850,2025-03-31
2025-04-07,29006.30078125,29006.30078125,29199.5,26820.099609375,27499.94921875,11816,2025-04-07
2025-04-14,30335.0,30335.0,31160.0,29185.0,29665.0,20672,2025-04-14
2025-04-21,30020.0,30020.0,30465.0,29105.0,30335.0,28754,2025-04-21
2025-04-28,30100.0,30100.0,30470.0,29410.0,30000.0,13917,2025-04-28
2025-05-05,29050.0,29050.0,30265.0,28180.0,29615.0,12450,2025-05-05
2025-05-12,29680.0,29680.0,29865.0,29040.0,29305.0,32698,2025-05-12
2025-05-19,30095.0,30095.0,30580.0,29250.0,29680.0,13378,2025-05-19
2025-05-26,29275.0,29275.0,30405.0,27830.0,30105.0,31208,2025-05-26
2025-06-02,29360.0,29360.0,30300.0,28830.0,29290.0,17622,2025-06-02
2025-06-09,29145.0,29145.0,29770.0,28935.0,29475.0,14199,2025-06-09
2025-06-16,28490.0,28490.0,29400.0,28455.0,29400.0,11424,2025-06-16
2025-06-23,28650.0,28650.0,28865.0,28275.0,28490.0,12814,2025-06-23
2025-06-30,28945.0,28945.0,29445.0,28380.0,28705.0,22657,2025-06-30
2025-07-07,29700.0,29700.0,29970.0,28950.0,29055.0,24126,2025-07-07
2025-07-14,29760.0,29760.0,30195.0,29310.0,29615.0,6056,2025-07-14
