Date,Adj Close_SECMARK.NS,Close_SECMARK.NS,High_SECMARK.NS,Low_SECMARK.NS,Open_SECMARK.NS,Volume_SECMARK.NS,Date
2024-03-11,90.0,90.0,95.69999694824219,90.0,95.69999694824219,17219,2024-03-11
2024-03-18,87.05000305175781,87.05000305175781,90.0,86.44999694824219,90.0,2843,2024-03-18
2024-03-25,90.0999984741211,90.0999984741211,99.55000305175781,83.9000015258789,87.05000305175781,12584,2024-03-25
2024-04-01,108.5999984741211,108.5999984741211,109.44999694824219,88.0999984741211,90.0999984741211,6139,2024-04-01
2024-04-08,109.94999694824219,109.94999694824219,118.25,100.25,118.25,20202,2024-04-08
2024-04-15,107.30000305175781,107.30000305175781,116.5999984741211,104.25,107.5,10641,2024-04-15
2024-04-22,113.80000305175781,113.80000305175781,115.0,106.5999984741211,113.19999694824219,14994,2024-04-22
2024-04-29,110.44999694824219,110.44999694824219,117.80000305175781,107.30000305175781,113.5,6043,2024-04-29
2024-05-06,113.0,113.0,114.5,105.4000015258789,112.0,5310,2024-05-06
2024-05-13,108.4000015258789,108.4000015258789,115.5,104.6500015258789,112.5,22259,2024-05-13
2024-05-20,102.0999984741211,102.0999984741211,111.94999694824219,101.5999984741211,110.9000015258789,23339,2024-05-20
2024-05-27,103.0,103.0,107.05000305175781,99.0,101.94999694824219,26864,2024-05-27
2024-06-03,104.05000305175781,104.05000305175781,109.5,97.3499984741211,105.55000305175781,15088,2024-06-03
2024-06-10,106.0,106.0,109.25,100.0,104.05000305175781,6884,2024-06-10
2024-06-17,105.0,105.0,107.5,100.1500015258789,106.0,7960,2024-06-17
2024-06-24,101.98999786376953,101.98999786376953,106.80000305175781,96.5,105.0,20264,2024-06-24
2024-07-01,97.43000030517578,97.43000030517578,103.98999786376953,96.05999755859375,101.98999786376953,40023,2024-07-01
2024-07-08,101.0,101.0,103.0,97.43000030517578,97.43000030517578,5608,2024-07-08
2024-07-15,97.0,97.0,101.0,96.0999984741211,101.0,1958,2024-07-15
2024-07-22,97.98999786376953,97.98999786376953,105.75,96.0199966430664,98.94000244140625,3936,2024-07-22
2024-07-29,97.94999694824219,97.94999694824219,105.16000366210938,96.5,100.0,4061,2024-07-29
2024-08-05,101.38999938964844,101.38999938964844,103.04000091552734,91.19999694824219,97.94000244140625,9116,2024-08-05
2024-08-12,98.58000183105469,98.58000183105469,108.9800033569336,94.01000213623047,108.9800033569336,10100,2024-08-12
2024-08-19,98.1500015258789,98.1500015258789,112.4000015258789,96.19999694824219,101.5999984741211,21563,2024-08-19
2024-08-26,94.51000213623047,94.51000213623047,102.77999877929688,93.20999908447266,98.25,12820,2024-08-26
2024-09-02,93.94000244140625,93.94000244140625,103.95999908447266,87.98999786376953,101.88999938964844,40666,2024-09-02
2024-09-09,90.26000213623047,90.26000213623047,95.19000244140625,86.80000305175781,86.80000305175781,14603,2024-09-09
2024-09-16,91.62000274658203,91.62000274658203,102.9800033569336,87.36000061035156,91.97000122070312,31945,2024-09-16
2024-09-23,90.44000244140625,90.44000244140625,96.48999786376953,88.70999908447266,91.72000122070312,11565,2024-09-23
2024-09-30,92.58000183105469,92.58000183105469,95.94999694824219,86.01000213623047,93.01000213623047,6145,2024-09-30
2024-10-07,102.41000366210938,102.41000366210938,120.26000213623047,86.0199966430664,94.5,224211,2024-10-07
2024-10-14,111.69000244140625,111.69000244140625,145.10000610351562,100.41000366210938,104.4000015258789,681149,2024-10-14
2024-10-21,105.87000274658203,105.87000274658203,121.69999694824219,100.0,115.0,58672,2024-10-21
2024-10-28,113.2699966430664,113.2699966430664,117.80000305175781,101.80000305175781,111.79000091552734,14566,2024-10-28
2024-11-04,102.88999938964844,102.88999938964844,113.2699966430664,101.25,112.83000183105469,25470,2024-11-04
2024-11-11,100.31999969482422,100.31999969482422,107.9000015258789,92.3499984741211,104.25,11861,2024-11-11
2024-11-18,102.52999877929688,102.52999877929688,108.0,93.51000213623047,100.73999786376953,15544,2024-11-18
2024-11-25,113.88999938964844,113.88999938964844,122.0,100.0,102.52999877929688,82079,2024-11-25
2024-12-02,121.93000030517578,121.93000030517578,136.9499969482422,105.05000305175781,110.0,132825,2024-12-02
2024-12-09,124.75,124.75,127.69999694824219,116.0,127.6500015258789,30355,2024-12-09
2024-12-16,117.16999816894531,117.16999816894531,127.19999694824219,115.19000244140625,127.19999694824219,33210,2024-12-16
2024-12-23,112.2300033569336,112.2300033569336,120.4000015258789,110.8499984741211,120.4000015258789,12375,2024-12-23
2024-12-30,114.97000122070312,114.97000122070312,117.0,108.19999694824219,110.41999816894531,13541,2024-12-30
2025-01-06,104.45999908447266,104.45999908447266,118.27999877929688,103.80999755859375,113.80999755859375,19308,2025-01-06
2025-01-13,110.51000213623047,110.51000213623047,111.9800033569336,101.02999877929688,104.19999694824219,5644,2025-01-13
2025-01-20,107.0,107.0,113.91000366210938,104.95999908447266,113.91000366210938,6540,2025-01-20
2025-01-27,102.0,102.0,109.23999786376953,101.02999877929688,106.19000244140625,10649,2025-01-27
2025-02-03,103.12999725341797,103.12999725341797,111.98999786376953,99.05000305175781,107.0,10113,2025-02-03
2025-02-10,98.6500015258789,98.6500015258789,105.98999786376953,94.16000366210938,101.94999694824219,6547,2025-02-10
2025-02-17,95.0199966430664,95.0199966430664,107.0,90.80000305175781,90.80000305175781,8402,2025-02-17
2025-02-24,89.45999908447266,89.45999908447266,97.79000091552734,82.20999908447266,93.54000091552734,10047,2025-02-24
2025-03-03,84.69000244140625,84.69000244140625,97.4000015258789,83.41000366210938,84.41000366210938,14081,2025-03-03
2025-03-10,82.6500015258789,82.6500015258789,92.4000015258789,81.55000305175781,88.0,11956,2025-03-10
2025-03-17,91.0,91.0,92.98999786376953,83.0,83.0,8415,2025-03-17
2025-03-24,83.05000305175781,83.05000305175781,91.20999908447266,81.0,86.22000122070312,11253,2025-03-24
2025-03-31,85.0,85.0,91.38999938964844,81.41999816894531,83.05000305175781,1796,2025-03-31
2025-04-07,87.12999725341797,87.12999725341797,88.9000015258789,75.0,75.0,5403,2025-04-07
2025-04-14,124.29000091552734,124.29000091552734,124.29000091552734,84.0,87.44999694824219,101462,2025-04-14
2025-04-21,105.16000366210938,105.16000366210938,133.9499969482422,103.45999908447266,132.0,126001,2025-04-21
2025-04-28,127.72000122070312,127.72000122070312,139.9499969482422,104.63999938964844,104.63999938964844,195548,2025-04-28
2025-05-05,115.30999755859375,115.30999755859375,130.5500030517578,112.0,128.39999389648438,59456,2025-05-05
2025-05-12,125.47000122070312,125.47000122070312,135.97000122070312,117.87999725341797,124.0,42509,2025-05-12
2025-05-19,160.1699981689453,160.1699981689453,174.6300048828125,121.61000061035156,127.0,369898,2025-05-19
2025-05-26,150.94000244140625,150.94000244140625,164.0,138.75,160.00999450683594,30497,2025-05-26
2025-06-02,159.80999755859375,159.80999755859375,163.0,149.6999969482422,150.94000244140625,30050,2025-06-02
2025-06-09,160.97000122070312,160.97000122070312,163.0,155.0,159.80999755859375,16871,2025-06-09
2025-06-16,152.0,152.0,162.0,147.0,161.75,15771,2025-06-16
2025-06-23,151.07000732421875,151.07000732421875,158.9199981689453,150.0500030517578,158.9199981689453,9191,2025-06-23
2025-06-30,153.5399932861328,153.5399932861328,158.08999633789062,148.5500030517578,156.39999389648438,5734,2025-06-30
2025-07-07,145.97999572753906,145.97999572753906,155.0,144.44000244140625,153.5399932861328,5216,2025-07-07
2025-07-14,140.9199981689453,140.9199981689453,148.8000030517578,138.52000427246094,141.00999450683594,3453,2025-07-14
