Date,Adj Close_SMSPHARMA.NS,Close_SMSPHARMA.NS,High_SMSPHARMA.NS,Low_SMSPHARMA.NS,Open_SMSPHARMA.NS,Volume_SMSPHARMA.NS,Date
2021-10-04,154.2776641845703,155.35000610351562,160.64999389648438,149.4499969482422,155.60000610351562,431538,2021-10-04
2021-10-11,147.7232208251953,148.75,157.10000610351562,147.64999389648438,156.25,423546,2021-10-11
2021-10-18,136.6005401611328,137.5500030517578,150.89999389648438,137.0,150.10000610351562,440055,2021-10-18
2021-10-25,139.57984924316406,140.5500030517578,144.4499969482422,132.10000610351562,136.0,361664,2021-10-25
2021-11-01,134.1674346923828,135.10000610351562,143.39999389648438,134.14999389648438,143.39999389648438,153818,2021-11-01
2021-11-08,136.94810485839844,137.89999389648438,147.5,132.89999389648438,135.89999389648438,644605,2021-11-08
2021-11-15,131.23780822753906,132.14999389648438,141.89999389648438,129.9499969482422,141.89999389648438,786808,2021-11-15
2021-11-22,129.4005889892578,130.3000030517578,136.0,122.6500015258789,132.39999389648438,609473,2021-11-22
2021-11-29,127.8116226196289,128.6999969482422,135.0,121.5,131.89999389648438,297259,2021-11-29
2021-12-06,125.72611999511719,126.5999984741211,132.0,125.9000015258789,129.6999969482422,281108,2021-12-06
2021-12-13,121.455810546875,122.30000305175781,128.5,122.05000305175781,127.8499984741211,237131,2021-12-13
2021-12-20,125.62681579589844,126.5,128.0,116.05000305175781,121.69999694824219,325285,2021-12-20
2021-12-27,127.61300659179688,128.5,134.64999389648438,122.80000305175781,126.0,664066,2021-12-27
2022-01-03,136.35226440429688,137.3000030517578,139.89999389648438,128.5500030517578,128.64999389648438,915072,2022-01-03
2022-01-10,134.26673889160156,135.1999969482422,138.10000610351562,129.0500030517578,137.9499969482422,849843,2022-01-10
2022-01-17,131.9329833984375,132.85000610351562,158.85000610351562,126.8499984741211,135.0,1196005,2022-01-17
2022-01-24,123.69027709960938,124.55000305175781,133.60000610351562,122.0,132.5,357617,2022-01-24
2022-01-31,125.82543182373047,126.69999694824219,130.0,124.0,124.0,236909,2022-01-31
