Date,Adj Close_DIVGIITTS.NS,Close_DIVGIITTS.NS,High_DIVGIITTS.NS,Low_DIVGIITTS.NS,Open_DIVGIITTS.NS,Volume_DIVGIITTS.NS,Date
2023-09-04,987.279541015625,991.0499877929688,1045.0,925.0,945.0,287546,2023-09-04
2023-09-11,953.807373046875,957.4500122070312,1002.6500244140625,890.0,999.0,179304,2023-09-11
2023-09-18,932.3394165039062,935.9000244140625,980.0,930.7000122070312,964.9000244140625,111926,2023-09-18
2023-09-25,1037.28857421875,1041.25,1096.4000244140625,938.0499877929688,944.0,798092,2023-09-25
2023-10-02,1064.4349365234375,1068.5,1085.0,1011.0499877929688,1041.25,202149,2023-10-02
2023-10-09,1087.646240234375,1091.800048828125,1150.0,1025.0,1040.0999755859375,222746,2023-10-09
2023-10-16,1083.312744140625,1087.449951171875,1140.3499755859375,1073.0,1107.0,1320887,2023-10-16
2023-10-23,1074.097900390625,1078.199951171875,1099.0,1002.2999877929688,1094.9000244140625,148820,2023-10-23
2023-10-30,1046.2044677734375,1050.199951171875,1121.800048828125,1023.4000244140625,1085.8499755859375,126164,2023-10-30
2023-11-06,1053.0782470703125,1057.0999755859375,1085.699951171875,1045.0,1060.050048828125,88080,2023-11-06
2023-11-13,1094.22119140625,1098.4000244140625,1138.8499755859375,1060.800048828125,1087.9000244140625,95458,2023-11-13
2023-11-20,1074.8948974609375,1079.0,1145.0,1062.050048828125,1104.199951171875,170575,2023-11-20
2023-11-27,1018.36083984375,1022.25,1093.0,1004.4000244140625,1079.0,130984,2023-11-27
2023-12-04,970.64306640625,974.3499755859375,1071.25,970.0,1048.0,144017,2023-12-04
2023-12-11,996.643798828125,1000.4500122070312,1023.6500244140625,950.25,978.9500122070312,133780,2023-12-11
2023-12-18,990.7662353515625,994.5499877929688,1067.699951171875,974.9500122070312,1017.0,171169,2023-12-18
2023-12-25,977.0187377929688,980.75,1014.75,975.0499877929688,994.5499877929688,67376,2023-12-25
2024-01-01,972.5358276367188,976.25,995.75,955.0,984.9000244140625,131241,2024-01-01
2024-01-08,1009.3452758789062,1013.2000122070312,1020.0,958.0499877929688,976.25,132647,2024-01-08
2024-01-15,977.3673706054688,981.0999755859375,1020.0,969.7999877929688,1013.2000122070312,145205,2024-01-15
2024-01-22,924.7184448242188,928.25,998.5,901.0499877929688,981.0999755859375,100269,2024-01-22
2024-01-29,905.1431884765625,908.5999755859375,973.7999877929688,900.0,938.9500122070312,179438,2024-01-29
2024-02-05,861.5098266601562,864.7999877929688,924.0,829.0,910.0,268926,2024-02-05
2024-02-12,839.145263671875,842.3499755859375,890.0499877929688,797.6500244140625,890.0,124888,2024-02-12
2024-02-19,855.3334350585938,858.5999755859375,878.9500122070312,824.9000244140625,858.7999877929688,96885,2024-02-19
2024-02-26,852.7931518554688,856.0499877929688,879.9500122070312,819.7999877929688,858.5999755859375,197078,2024-02-26
2024-03-04,812.2479858398438,815.3499755859375,861.75,793.1500244140625,855.0,155917,2024-03-04
2024-03-11,739.8743896484375,742.7000122070312,815.2999877929688,650.0499877929688,815.0499877929688,505064,2024-03-11
2024-03-18,780.9674682617188,783.9500122070312,824.9500122070312,747.0,747.0,271053,2024-03-18
2024-03-25,766.970947265625,769.9000244140625,804.9500122070312,751.2999877929688,792.9000244140625,152440,2024-03-25
2024-04-01,839.9920654296875,843.2000122070312,850.0,760.5499877929688,772.9000244140625,148620,2024-04-01
2024-04-08,824.849853515625,828.0,858.9000244140625,786.0,843.5499877929688,242053,2024-04-08
2024-04-15,826.1448974609375,829.2999877929688,839.0,791.0,815.0,107635,2024-04-15
2024-04-22,825.0989379882812,828.25,850.9000244140625,815.0,833.2999877929688,123733,2024-04-22
2024-04-29,829.531982421875,832.7000122070312,860.0,819.5499877929688,845.0,120641,2024-04-29
2024-05-06,798.74951171875,801.7999877929688,868.7000122070312,795.5999755859375,840.0999755859375,206646,2024-05-06
2024-05-13,826.6928100585938,829.8499755859375,839.0499877929688,786.0499877929688,801.7999877929688,65393,2024-05-13
2024-05-20,813.8917236328125,817.0,850.0,814.0499877929688,822.25,79483,2024-05-20
2024-05-27,710.6859130859375,713.4000244140625,800.0,703.7000122070312,800.0,191132,2024-05-27
2024-06-03,721.3451538085938,724.0999755859375,746.0,649.0,721.0,143655,2024-06-03
2024-06-10,682.1448364257812,684.75,735.0,680.0499877929688,715.0999755859375,145853,2024-06-10
2024-06-17,656.0942993164062,658.5999755859375,697.9000244140625,639.1500244140625,684.75,537561,2024-06-17
2024-06-24,662.021728515625,664.5499877929688,678.5,655.2000122070312,663.25,187282,2024-06-24
2024-07-01,743.2614135742188,746.0999755859375,789.0,661.0499877929688,666.9000244140625,618521,2024-07-01
2024-07-08,690.662353515625,693.2999877929688,769.0,687.4000244140625,750.0,175119,2024-07-08
2024-07-15,680.800048828125,683.4000244140625,718.0,675.0499877929688,695.5,104408,2024-07-15
2024-07-22,671.0372314453125,673.5999755859375,703.9500122070312,663.4000244140625,683.4000244140625,127092,2024-07-22
2024-07-29,666.7000122070312,666.7000122070312,689.9500122070312,662.0,676.0,96726,2024-07-29
2024-08-05,679.5,679.5,698.4500122070312,634.5,656.7999877929688,261428,2024-08-05
2024-08-12,643.4500122070312,643.4500122070312,687.0,640.5999755859375,685.9500122070312,113088,2024-08-12
2024-08-19,624.75,624.75,655.0,622.0,646.2000122070312,218490,2024-08-19
2024-08-26,612.7000122070312,612.7000122070312,643.7999877929688,610.5,624.75,199138,2024-08-26
2024-09-02,587.5,587.5,623.0499877929688,585.0,615.3499755859375,443946,2024-09-02
2024-09-09,616.3499755859375,616.3499755859375,635.0,573.1500244140625,591.0,590760,2024-09-09
2024-09-16,599.2999877929688,599.2999877929688,619.7000122070312,588.5999755859375,619.7000122070312,158050,2024-09-16
2024-09-23,581.0499877929688,581.0499877929688,604.5999755859375,575.25,604.5999755859375,107056,2024-09-23
2024-09-30,585.6500244140625,585.6500244140625,617.0499877929688,574.9000244140625,588.5,83802,2024-09-30
2024-10-07,649.5999755859375,649.5999755859375,666.0,572.0,586.0,546567,2024-10-07
2024-10-14,616.5499877929688,616.5499877929688,659.9500122070312,596.0,655.0,283933,2024-10-14
2024-10-21,606.9500122070312,606.9500122070312,621.9500122070312,587.9500122070312,621.9500122070312,120235,2024-10-21
2024-10-28,656.5,656.5,660.0,601.0499877929688,610.5,104503,2024-10-28
2024-11-04,650.6500244140625,650.6500244140625,669.0,628.0499877929688,657.0,135559,2024-11-04
2024-11-11,595.7999877929688,595.7999877929688,659.0,588.6500244140625,659.0,61861,2024-11-11
2024-11-18,644.6500244140625,644.6500244140625,662.4000244140625,595.7999877929688,595.7999877929688,195401,2024-11-18
2024-11-25,689.2999877929688,689.2999877929688,707.3499755859375,626.9000244140625,646.5499877929688,261893,2024-11-25
2024-12-02,686.6500244140625,686.6500244140625,712.0,680.0499877929688,688.2999877929688,171313,2024-12-02
2024-12-09,695.7999877929688,695.7999877929688,710.0,671.25,691.25,141938,2024-12-09
2024-12-16,647.25,647.25,702.2999877929688,642.5999755859375,699.5,144178,2024-12-16
2024-12-23,621.6500244140625,621.6500244140625,660.0,617.5,660.0,66829,2024-12-23
2024-12-30,634.5499877929688,634.5499877929688,641.4500122070312,604.0499877929688,620.0,42790,2024-12-30
2025-01-06,598.25,598.25,637.9000244140625,582.5499877929688,637.9000244140625,83696,2025-01-06
2025-01-13,610.7999877929688,610.7999877929688,613.5,584.4000244140625,601.4000244140625,49952,2025-01-13
2025-01-20,594.0499877929688,594.0499877929688,617.1500244140625,588.0499877929688,611.9000244140625,39545,2025-01-20
2025-01-27,594.8499755859375,594.8499755859375,607.9500122070312,561.25,597.2000122070312,52917,2025-01-27
2025-02-03,506.20001220703125,506.20001220703125,596.8499755859375,499.0,590.0,131904,2025-02-03
2025-02-10,471.70001220703125,471.70001220703125,520.0,461.0,520.0,52446,2025-02-10
2025-02-17,507.8500061035156,507.8500061035156,523.3499755859375,437.04998779296875,455.0,59361,2025-02-17
2025-02-24,492.5,492.5,505.04998779296875,452.6000061035156,503.20001220703125,49282,2025-02-24
2025-03-03,475.3999938964844,475.3999938964844,505.8500061035156,464.1499938964844,495.0,78240,2025-03-03
2025-03-10,445.6499938964844,445.6499938964844,485.45001220703125,443.6000061035156,477.8999938964844,111164,2025-03-10
2025-03-17,484.3500061035156,484.3500061035156,496.0,441.0,445.0,112222,2025-03-17
2025-03-24,445.25,445.25,489.79998779296875,437.5,485.0,157495,2025-03-24
2025-03-31,460.1000061035156,460.1000061035156,479.79998779296875,441.1499938964844,445.25,33150,2025-03-31
2025-04-07,427.1000061035156,427.1000061035156,443.29998779296875,410.1000061035156,440.0,47134,2025-04-07
2025-04-14,465.8999938964844,465.8999938964844,472.8999938964844,429.8500061035156,429.8500061035156,24528,2025-04-14
2025-04-21,489.79998779296875,489.79998779296875,501.95001220703125,462.20001220703125,468.3999938964844,39875,2025-04-21
2025-04-28,463.45001220703125,463.45001220703125,489.6000061035156,461.75,489.6000061035156,18180,2025-04-28
2025-05-05,445.45001220703125,445.45001220703125,475.20001220703125,440.3999938964844,452.29998779296875,33131,2025-05-05
2025-05-12,540.1500244140625,540.1500244140625,559.0,460.0,461.04998779296875,53843,2025-05-12
2025-05-19,542.3499755859375,542.3499755859375,559.0,521.0999755859375,540.0,19778,2025-05-19
2025-05-26,557.0,557.0,576.0999755859375,541.0999755859375,543.0,37731,2025-05-26
2025-06-02,603.25,603.25,612.7000122070312,519.0,530.0,145137,2025-06-02
2025-06-09,601.75,601.75,616.25,570.4000244140625,597.1500244140625,82097,2025-06-09
2025-06-16,595.2999877929688,595.2999877929688,625.9500122070312,582.5499877929688,601.0,63025,2025-06-16
2025-06-23,606.2999877929688,606.2999877929688,626.0,572.2999877929688,586.4000244140625,63778,2025-06-23
2025-06-30,627.5999755859375,627.5999755859375,644.9000244140625,598.0999755859375,600.7999877929688,61777,2025-06-30
2025-07-07,622.75,622.75,639.9000244140625,616.75,639.9000244140625,28824,2025-07-07
2025-07-14,620.8499755859375,620.8499755859375,631.0999755859375,610.2000122070312,620.0,27687,2025-07-14
