Date,Adj Close_NRL.NS,Close_NRL.NS,High_NRL.NS,Low_NRL.NS,Open_NRL.NS,Volume_NRL.NS,Date
2023-02-20,73.06666564941406,73.06666564941406,77.63333129882812,71.83333587646484,77.63333129882812,262790,2023-02-20
2023-02-27,72.03333282470703,72.03333282470703,74.66666412353516,67.30000305175781,74.66666412353516,391453,2023-02-27
2023-03-06,83.43333435058594,83.43333435058594,85.33333587646484,72.43333435058594,73.5,804046,2023-03-06
2023-03-13,78.66666412353516,78.66666412353516,86.66666412353516,77.53333282470703,83.5999984741211,1003826,2023-03-13
2023-03-20,73.30000305175781,73.30000305175781,78.13333129882812,64.53333282470703,64.53333282470703,460472,2023-03-20
2023-03-27,70.23332977294922,70.23332977294922,76.0,64.30000305175781,74.4000015258789,969000,2023-03-27
2023-04-03,81.26666259765625,81.26666259765625,83.53333282470703,70.83333587646484,72.66666412353516,542218,2023-04-03
2023-04-10,77.83333587646484,77.83333587646484,84.5,76.80000305175781,82.0,581672,2023-04-10
2023-04-17,72.86666870117188,72.86666870117188,79.66666412353516,71.83333587646484,77.06666564941406,270479,2023-04-17
2023-04-24,69.06666564941406,69.06666564941406,74.66666412353516,66.53333282470703,72.13333129882812,797721,2023-04-24
2023-05-01,69.19999694824219,69.19999694824219,73.86666870117188,67.0999984741211,69.06666564941406,1130427,2023-05-01
2023-05-08,81.33333587646484,81.33333587646484,83.33333587646484,67.16666412353516,69.63333129882812,2924568,2023-05-08
2023-05-15,77.06666564941406,77.06666564941406,82.56666564941406,76.73332977294922,82.56666564941406,628083,2023-05-15
2023-05-22,76.86666870117188,76.86666870117188,79.66666412353516,72.73332977294922,77.06666564941406,379394,2023-05-22
2023-05-29,77.83333587646484,77.83333587646484,81.33333587646484,76.36666870117188,78.03333282470703,594995,2023-05-29
2023-06-05,75.66666412353516,75.66666412353516,81.76666259765625,75.33333587646484,78.96666717529297,353790,2023-06-05
2023-06-12,74.13333129882812,74.13333129882812,77.33333587646484,72.86666870117188,77.33333587646484,240499,2023-06-12
2023-06-19,73.83333587646484,73.83333587646484,80.0,72.76666259765625,77.19999694824219,544805,2023-06-19
2023-06-26,74.03333282470703,74.03333282470703,75.93333435058594,72.69999694824219,73.83333587646484,461951,2023-06-26
2023-07-03,73.26666259765625,73.26666259765625,77.76666259765625,72.5,73.43333435058594,657302,2023-07-03
2023-07-10,71.30000305175781,71.30000305175781,76.0,70.63333129882812,73.26666259765625,328323,2023-07-10
2023-07-17,72.76666259765625,72.76666259765625,74.73332977294922,69.16666412353516,72.56666564941406,571101,2023-07-17
2023-07-24,69.23332977294922,69.23332977294922,74.16666412353516,68.0,73.93333435058594,351129,2023-07-24
2023-07-31,68.9000015258789,68.9000015258789,71.46666717529297,68.0,70.33333587646484,374896,2023-07-31
2023-08-07,67.13333129882812,67.13333129882812,70.0,66.66666412353516,69.93333435058594,323948,2023-08-07
2023-08-14,63.599998474121094,63.599998474121094,68.5,63.266666412353516,68.5,483632,2023-08-14
2023-08-21,66.33333587646484,66.33333587646484,72.5999984741211,60.33333206176758,65.0,1060052,2023-08-21
2023-08-28,64.96666717529297,64.96666717529297,69.5999984741211,63.900001525878906,67.30000305175781,487014,2023-08-28
2023-09-04,65.66666412353516,65.66666412353516,67.16666412353516,64.66666412353516,65.93333435058594,279716,2023-09-04
2023-09-11,62.599998474121094,62.599998474121094,67.0,60.79999923706055,67.0,432686,2023-09-11
2023-09-18,64.4000015258789,64.4000015258789,68.46666717529297,60.0,63.766666412353516,904093,2023-09-18
2023-09-25,67.36666870117188,67.36666870117188,71.13333129882812,62.0,64.46666717529297,1016600,2023-09-25
2023-10-02,65.06666564941406,65.06666564941406,68.83333587646484,62.70000076293945,67.36666870117188,519590,2023-10-02
2023-10-09,64.53333282470703,64.53333282470703,67.83333587646484,63.0,64.36666870117188,412483,2023-10-09
2023-10-16,62.96666717529297,62.96666717529297,66.66666412353516,62.20000076293945,65.5,280745,2023-10-16
2023-10-23,59.099998474121094,59.099998474121094,63.53333282470703,57.666664123535156,62.0,360547,2023-10-23
2023-10-30,60.79999923706055,60.79999923706055,63.0,58.70000076293945,60.29999923706055,343769,2023-10-30
2023-11-06,62.43333435058594,62.43333435058594,63.900001525878906,57.36666488647461,61.70000076293945,592760,2023-11-06
2023-11-13,61.83333206176758,61.83333206176758,63.83333206176758,60.666664123535156,63.83333206176758,304247,2023-11-13
2023-11-20,61.733333587646484,61.733333587646484,67.33333587646484,59.133331298828125,61.83333206176758,939615,2023-11-20
2023-11-27,62.5,62.5,66.46666717529297,61.733333587646484,61.733333587646484,885681,2023-11-27
2023-12-04,62.33333206176758,62.33333206176758,64.33333587646484,60.666664123535156,63.43333435058594,713640,2023-12-04
2023-12-11,61.666664123535156,61.666664123535156,65.26666259765625,61.33333206176758,62.666664123535156,741009,2023-12-11
2023-12-18,60.56666564941406,60.56666564941406,64.0,57.733333587646484,62.166664123535156,554660,2023-12-18
2023-12-25,59.93333435058594,59.93333435058594,61.0,58.70000076293945,60.56666564941406,435004,2023-12-25
2024-01-01,68.06666564941406,68.06666564941406,68.46666717529297,59.33333206176758,60.766666412353516,2067237,2024-01-01
2024-01-08,74.23332977294922,74.23332977294922,78.0,68.73332977294922,78.0,2776417,2024-01-08
2024-01-15,77.83333587646484,77.83333587646484,82.63333129882812,74.23332977294922,74.23332977294922,1270779,2024-01-15
2024-01-22,75.83333587646484,75.83333587646484,82.5999984741211,74.0,77.83333587646484,509988,2024-01-22
2024-01-29,76.80000305175781,76.80000305175781,77.96666717529297,68.69999694824219,77.36666870117188,1026206,2024-01-29
2024-02-05,90.73332977294922,90.73332977294922,99.33333587646484,72.86666870117188,77.4000015258789,8015269,2024-02-05
2024-02-12,86.5999984741211,86.5999984741211,94.0,70.43333435058594,93.19999694824219,1396700,2024-02-12
2024-02-19,83.33333587646484,83.33333587646484,92.0,82.66666412353516,86.5999984741211,760788,2024-02-19
2024-02-26,83.96666717529297,83.96666717529297,88.5,80.0,82.66666412353516,861778,2024-02-26
2024-03-04,80.30000305175781,80.30000305175781,86.0,74.0,85.33333587646484,978382,2024-03-04
2024-03-11,66.5,66.5,83.26666259765625,63.33333206176758,82.5999984741211,1378494,2024-03-11
2024-03-18,82.94999694824219,82.94999694824219,82.94999694824219,67.30000305175781,67.5,3083810,2024-03-18
