Date,Adj Close_PLASTIBLEN.NS,Close_PLASTIBLEN.NS,High_PLASTIBLEN.NS,Low_PLASTIBLEN.NS,Open_PLASTIBLEN.NS,Volume_PLASTIBLEN.NS,Date
2021-01-11,230.5121307373047,250.3000030517578,268.75,245.5500030517578,255.9499969482422,151328,2021-01-11
2021-01-18,225.95347595214844,245.35000610351562,264.79998779296875,242.35000610351562,252.10000610351562,269436,2021-01-18
2021-01-25,218.26358032226562,237.0,247.0500030517578,232.89999389648438,247.0500030517578,46251,2021-01-25
2021-02-01,218.7240447998047,237.5,242.89999389648438,235.0,241.60000610351562,31056,2021-02-01
2021-02-08,217.0663604736328,235.6999969482422,252.0,234.14999389648438,242.8000030517578,41682,2021-02-08
2021-02-15,218.7240447998047,237.5,241.39999389648438,230.0,235.0,34009,2021-02-15
2021-02-22,216.6058807373047,235.1999969482422,240.0,230.0500030517578,240.0,38110,2021-02-22
2021-03-01,223.51296997070312,242.6999969482422,260.0,233.9499969482422,238.5500030517578,66692,2021-03-01
2021-03-08,238.9848175048828,259.5,264.3999938964844,230.0,242.4499969482422,550581,2021-03-08
2021-03-15,217.11241149902344,235.75,260.0,225.14999389648438,260.0,111675,2021-03-15
2021-03-22,212.1393280029297,230.35000610351562,241.5,221.0,235.75,74845,2021-03-22
2021-03-29,211.63279724121094,229.8000030517578,235.6999969482422,227.0,230.35000610351562,21579,2021-03-29
2021-04-05,211.49464416503906,229.64999389648438,234.5500030517578,222.0,231.75,29054,2021-04-05
2021-04-12,206.19923400878906,223.89999389648438,231.0,222.0500030517578,231.0,21766,2021-04-12
2021-04-19,213.24444580078125,231.5500030517578,236.0500030517578,210.60000610351562,222.14999389648438,73787,2021-04-19
2021-04-26,211.5867462158203,229.75,237.14999389648438,222.9499969482422,233.5,40904,2021-04-26
2021-05-03,223.19065856933594,242.35000610351562,257.54998779296875,218.9499969482422,225.64999389648438,147221,2021-05-03
2021-05-10,223.46690368652344,242.64999389648438,252.0,238.0,249.89999389648438,54432,2021-05-10
2021-05-17,245.20118713378906,266.25,285.8999938964844,241.5,250.0,1112494,2021-05-17
