Date,Adj Close_IDEAFORGE.NS,Close_IDEAFORGE.NS,High_IDEAFORGE.NS,Low_IDEAFORGE.NS,Open_IDEAFORGE.NS,Volume_IDEAFORGE.NS,Date
2023-11-13,808.0499877929688,808.0499877929688,819.6500244140625,802.0,815.9000244140625,286180,2023-11-13
2023-11-20,773.2000122070312,773.2000122070312,812.8499755859375,758.0,808.9500122070312,907191,2023-11-20
2023-11-27,784.9000244140625,784.9000244140625,806.9500122070312,773.2000122070312,773.2000122070312,508873,2023-11-27
2023-12-04,802.9500122070312,802.9500122070312,818.9500122070312,784.0,794.9000244140625,803272,2023-12-04
2023-12-11,798.4000244140625,798.4000244140625,814.9500122070312,788.0999755859375,800.0,650178,2023-12-11
2023-12-18,829.1500244140625,829.1500244140625,876.0,794.9500122070312,800.0,1488106,2023-12-18
2023-12-25,830.1500244140625,830.1500244140625,852.0,813.0,829.1500244140625,374816,2023-12-25
2024-01-01,830.5999755859375,830.5999755859375,863.4000244140625,826.1500244140625,834.9500122070312,580429,2024-01-01
2024-01-08,783.7999877929688,783.7999877929688,836.6500244140625,779.5,830.5999755859375,981304,2024-01-08
2024-01-15,768.0,768.0,783.7999877929688,760.5,783.7999877929688,500888,2024-01-15
2024-01-22,723.3499755859375,723.3499755859375,779.5499877929688,696.9500122070312,768.0,929342,2024-01-22
2024-01-29,707.2999877929688,707.2999877929688,734.5999755859375,705.5,734.5999755859375,758807,2024-01-29
2024-02-05,737.8499755859375,737.8499755859375,838.7999877929688,701.0,712.0,4925590,2024-02-05
2024-02-12,699.75,699.75,739.9000244140625,686.0,739.9000244140625,1237193,2024-02-12
2024-02-19,780.1500244140625,780.1500244140625,786.2000122070312,702.0499877929688,705.0,3108207,2024-02-19
2024-02-26,797.25,797.25,886.0,782.0499877929688,800.0,7797742,2024-02-26
2024-03-04,749.2000122070312,749.2000122070312,823.7000122070312,723.5,820.5499877929688,1778375,2024-03-04
2024-03-11,712.6500244140625,712.6500244140625,751.4500122070312,686.0499877929688,746.0999755859375,1543333,2024-03-11
2024-03-18,710.3499755859375,710.3499755859375,727.9500122070312,701.0,715.0,762879,2024-03-18
2024-03-25,687.6500244140625,687.6500244140625,724.0,686.0,710.3499755859375,931339,2024-03-25
2024-04-01,718.6500244140625,718.6500244140625,742.0499877929688,695.0499877929688,705.9500122070312,1459632,2024-04-01
2024-04-08,690.0,690.0,728.0,689.0,725.7999877929688,1107682,2024-04-08
2024-04-15,689.7999877929688,689.7999877929688,703.9500122070312,679.25,695.0499877929688,1120158,2024-04-15
2024-04-22,687.0499877929688,687.0499877929688,701.4500122070312,685.0,694.0,947310,2024-04-22
2024-04-29,699.9500122070312,699.9500122070312,731.9000244140625,685.0,691.0,1888165,2024-04-29
2024-05-06,673.7000122070312,673.7000122070312,704.0,661.5999755859375,704.0,822084,2024-05-06
2024-05-13,699.5,699.5,718.0,655.2000122070312,673.0,2445097,2024-05-13
2024-05-20,700.5999755859375,700.5999755859375,747.7000122070312,686.7000122070312,697.3499755859375,2986350,2024-05-20
2024-05-27,677.4000244140625,677.4000244140625,708.0,670.1500244140625,701.9500122070312,854593,2024-05-27
2024-06-03,688.9500122070312,688.9500122070312,710.0,618.7999877929688,710.0,1854394,2024-06-03
2024-06-10,778.75,778.75,789.0,679.4000244140625,698.0,6219045,2024-06-10
2024-06-17,775.25,775.25,854.4000244140625,755.0499877929688,778.75,12853736,2024-06-17
2024-06-24,781.3499755859375,781.3499755859375,830.0,771.5,775.0,4705194,2024-06-24
2024-07-01,831.6500244140625,831.6500244140625,852.0,775.0,785.0,6293753,2024-07-01
2024-07-08,829.1500244140625,829.1500244140625,864.4000244140625,780.0,835.0499877929688,3937590,2024-07-08
2024-07-15,785.4000244140625,785.4000244140625,856.0,781.0,831.9500122070312,2247323,2024-07-15
2024-07-22,828.5499877929688,828.5499877929688,838.25,758.0499877929688,783.0,2584606,2024-07-22
2024-07-29,735.25,735.25,864.4000244140625,725.5999755859375,840.0,9517541,2024-07-29
2024-08-05,702.9500122070312,702.9500122070312,727.5999755859375,690.0,719.9000244140625,2103862,2024-08-05
2024-08-12,686.0,686.0,704.9500122070312,665.0,701.0,980066,2024-08-12
2024-08-19,732.25,732.25,736.9000244140625,690.0499877929688,704.9000244140625,1544378,2024-08-19
2024-08-26,720.0499877929688,720.0499877929688,740.0,699.8499755859375,738.7000122070312,1001260,2024-08-26
2024-09-02,698.4000244140625,698.4000244140625,727.0,697.0,720.9500122070312,821287,2024-09-02
2024-09-09,696.5,696.5,718.5,685.5,695.0999755859375,740304,2024-09-09
2024-09-16,707.3499755859375,707.3499755859375,727.0,687.8499755859375,700.0,1121574,2024-09-16
2024-09-23,713.5499877929688,713.5499877929688,720.2000122070312,695.0,709.0,662829,2024-09-23
2024-09-30,683.25,683.25,715.9500122070312,680.9000244140625,712.4500122070312,448926,2024-09-30
2024-10-07,684.5,684.5,711.0,654.0,684.25,1952773,2024-10-07
2024-10-14,649.3499755859375,649.3499755859375,690.0499877929688,646.5,690.0,724253,2024-10-14
2024-10-21,606.2000122070312,606.2000122070312,680.0,604.0,655.0,1174067,2024-10-21
2024-10-28,575.5,575.5,613.4500122070312,535.0,604.0,2020587,2024-10-28
2024-11-04,621.5,621.5,636.4500122070312,560.2999877929688,578.0,1118993,2024-11-04
2024-11-11,578.4500122070312,578.4500122070312,626.9500122070312,570.1500244140625,614.75,511176,2024-11-11
2024-11-18,567.8499755859375,567.8499755859375,594.7000122070312,560.0499877929688,578.0999755859375,495276,2024-11-18
2024-11-25,572.9000244140625,572.9000244140625,587.4000244140625,565.7999877929688,577.5999755859375,672614,2024-11-25
2024-12-02,604.75,604.75,614.5,571.0,574.75,684797,2024-12-02
2024-12-09,643.7999877929688,643.7999877929688,661.25,610.5499877929688,614.0,1153996,2024-12-09
2024-12-16,587.25,587.25,649.0,585.7999877929688,640.0,461077,2024-12-16
2024-12-23,589.1500244140625,589.1500244140625,594.5,574.5,587.9500122070312,376416,2024-12-23
2024-12-30,645.7999877929688,645.7999877929688,652.2000122070312,570.7000122070312,589.1500244140625,879277,2024-12-30
2025-01-06,582.1500244140625,582.1500244140625,645.6500244140625,580.0,645.6500244140625,487584,2025-01-06
2025-01-13,576.1500244140625,576.1500244140625,580.25,540.2999877929688,571.5,513726,2025-01-13
2025-01-20,541.7000122070312,541.7000122070312,590.0,540.2000122070312,590.0,361035,2025-01-20
2025-01-27,481.25,481.25,540.0,413.95001220703125,540.0,2649060,2025-01-27
2025-02-03,446.3999938964844,446.3999938964844,476.6000061035156,443.5,475.54998779296875,566993,2025-02-03
2025-02-10,386.8500061035156,386.8500061035156,447.0,383.8999938964844,446.3999938964844,875400,2025-02-10
2025-02-17,396.1000061035156,396.1000061035156,416.75,366.0,386.0,832534,2025-02-17
2025-02-24,361.6499938964844,361.6499938964844,406.0,357.1499938964844,393.29998779296875,639290,2025-02-24
2025-03-03,366.54998779296875,366.54998779296875,377.8500061035156,330.45001220703125,362.70001220703125,1423740,2025-03-03
2025-03-10,333.6000061035156,333.6000061035156,374.0,332.6499938964844,366.5,825854,2025-03-10
2025-03-17,386.75,386.75,402.0,322.45001220703125,337.0,3919166,2025-03-17
2025-03-24,346.25,346.25,408.0,338.3999938964844,394.0,3127532,2025-03-24
2025-03-31,350.0,350.0,376.3500061035156,346.0,346.25,1542580,2025-03-31
2025-04-07,338.75,338.75,348.0,304.20001220703125,306.0,887923,2025-04-07
2025-04-14,363.0,363.0,369.54998779296875,338.75,338.75,569092,2025-04-14
2025-04-21,362.79998779296875,362.79998779296875,384.0,355.1000061035156,363.0,1107557,2025-04-21
2025-04-28,382.0,382.0,399.79998779296875,358.45001220703125,369.95001220703125,2045268,2025-04-28
2025-05-05,463.5,463.5,463.5,355.04998779296875,384.6499938964844,13433970,2025-05-05
2025-05-12,560.5,560.5,584.7999877929688,454.8999938964844,480.0,24904004,2025-05-12
2025-05-19,526.8499755859375,526.8499755859375,584.0,523.0,566.4000244140625,4267957,2025-05-19
2025-05-26,534.2999877929688,534.2999877929688,552.0,501.5,529.4000244140625,3727177,2025-05-26
2025-06-02,591.3499755859375,591.3499755859375,627.6500244140625,523.0999755859375,537.0,8046704,2025-06-02
2025-06-09,590.0499877929688,590.0499877929688,606.0,548.0999755859375,591.3499755859375,3863966,2025-06-09
2025-06-16,573.7000122070312,573.7000122070312,615.0,555.0,593.0,5678693,2025-06-16
2025-06-23,586.25,586.25,659.8499755859375,573.0,575.0,11662919,2025-06-23
2025-06-30,591.5499877929688,591.5499877929688,601.4500122070312,565.0,588.5,2639248,2025-06-30
2025-07-07,566.8499755859375,566.8499755859375,597.5,563.3499755859375,593.9000244140625,1675234,2025-07-07
2025-07-14,562.4000244140625,562.4000244140625,568.7999877929688,556.0,565.0,384566,2025-07-14
