Date,Adj Close_FINEORG.NS,Close_FINEORG.NS,High_FINEORG.NS,Low_FINEORG.NS,Open_FINEORG.NS,Volume_FINEORG.NS,Date
2022-06-20,4741.23486328125,4765.64990234375,4910.0,4422.5,4910.0,280136,2022-06-20
2022-06-27,4809.08544921875,4833.85009765625,5000.0,4775.0,4805.0,219990,2022-06-27
2022-07-04,5124.9091796875,5151.2998046875,5294.7001953125,4835.89990234375,4867.89990234375,380446,2022-07-04
2022-07-11,4990.0537109375,5015.75,5353.60009765625,4930.0,5167.85009765625,316361,2022-07-11
2022-07-18,5140.77734375,5167.25,5245.0498046875,4965.0,5054.89990234375,276897,2022-07-18
2022-07-25,5358.904296875,5386.5,5564.60009765625,5110.0,5150.0,287973,2022-07-25
2022-08-01,5655.228515625,5684.35009765625,5794.7001953125,5386.5,5445.9501953125,300184,2022-08-01
2022-08-08,6177.98583984375,6209.7998046875,6844.9501953125,5650.39990234375,5700.0,1065345,2022-08-08
2022-08-15,6112.77880859375,6136.0498046875,6363.0,6072.0,6209.7998046875,377996,2022-08-15
2022-08-22,6195.76318359375,6219.35009765625,6288.14990234375,6050.0,6128.0,295723,2022-08-22
2022-08-29,6121.19677734375,6144.5,6236.5,6005.5498046875,6066.0,168344,2022-08-29
2022-09-05,6498.56005859375,6523.2998046875,6699.9501953125,6105.0,6151.0,521983,2022-09-05
2022-09-12,6963.490234375,6990.0,7328.75,6568.10009765625,6579.0,1007832,2022-09-12
2022-09-19,7060.86962890625,7087.75,7219.0,6843.25,6990.0,270766,2022-09-19
2022-09-26,6951.1376953125,6977.60009765625,7246.10009765625,6675.0498046875,7055.0,308303,2022-09-26
2022-10-03,6853.55859375,6879.64990234375,6977.0,6560.10009765625,6977.0,292213,2022-10-03
2022-10-10,7021.3701171875,7048.10009765625,7172.0,6710.0,6710.0,189322,2022-10-10
2022-10-17,6698.150390625,6723.64990234375,7321.14990234375,6687.0498046875,7048.10009765625,227009,2022-10-17
2022-10-24,6330.0517578125,6354.14990234375,6872.0,6332.0,6777.85009765625,124397,2022-10-24
2022-10-31,5955.17919921875,5977.85009765625,6330.0,5611.64990234375,6302.25,935421,2022-10-31
2022-11-07,6165.1796875,6188.64990234375,6750.0,5730.0,6040.0,642080,2022-11-07
2022-11-14,5935.005859375,5957.60009765625,6242.0,5913.64990234375,6219.0,326678,2022-11-14
2022-11-21,6056.044921875,6079.10009765625,6168.64990234375,5900.0498046875,5957.60009765625,121359,2022-11-21
2022-11-28,6082.4443359375,6105.60009765625,6322.0,6050.10009765625,6109.0,201234,2022-11-28
2022-12-05,5984.9658203125,6007.75,6220.0,5991.0,6150.0,112686,2022-12-05
2022-12-12,5771.17919921875,5793.14990234375,5968.7998046875,5750.2001953125,5940.0,213276,2022-12-12
2022-12-19,5447.16259765625,5467.89990234375,5830.39990234375,5440.0,5793.14990234375,135054,2022-12-19
2022-12-26,5719.12744140625,5740.89990234375,5789.0,5412.14990234375,5495.25,129603,2022-12-26
2023-01-02,5555.50048828125,5576.64990234375,5809.0,5523.0,5784.10009765625,113607,2023-01-02
2023-01-09,5613.72900390625,5635.10009765625,5759.5498046875,5575.0,5575.0,72749,2023-01-09
2023-01-16,5446.216796875,5466.9501953125,5663.25,5447.0,5663.25,56567,2023-01-16
2023-01-23,5171.46240234375,5191.14990234375,5484.85009765625,5180.0,5467.5,103279,2023-01-23
2023-01-30,4831.65576171875,4850.0498046875,5192.0498046875,4825.0,5192.0,185713,2023-01-30
2023-02-06,4745.98193359375,4764.0498046875,5244.0,4681.0,4850.0498046875,296351,2023-02-06
2023-02-13,4809.04248046875,4827.35009765625,4870.0,4421.10009765625,4771.0,551090,2023-02-13
2023-02-20,4770.58837890625,4788.75,5049.0,4756.35009765625,4832.64990234375,153820,2023-02-20
2023-02-27,4488.71142578125,4505.7998046875,4807.2998046875,4495.0,4807.2998046875,164933,2023-02-27
2023-03-06,4476.35888671875,4493.39990234375,4617.89990234375,4470.0,4507.7998046875,178487,2023-03-06
2023-03-13,4121.908203125,4137.60009765625,4496.5,4086.050048828125,4400.0,193337,2023-03-13
2023-03-20,4262.07421875,4278.2998046875,4532.9501953125,4040.0,4137.64990234375,574928,2023-03-20
2023-03-27,4290.56591796875,4306.89990234375,4380.0,4150.0,4289.0,178726,2023-03-27
2023-04-03,4290.267578125,4306.60009765625,4390.0,4269.39990234375,4354.9501953125,76970,2023-04-03
2023-04-10,4472.27392578125,4489.2998046875,4543.0,4285.0,4347.39990234375,205873,2023-04-10
2023-04-17,4313.37890625,4329.7998046875,4540.0,4251.0498046875,4499.0,159742,2023-04-17
2023-04-24,4407.81982421875,4424.60009765625,4432.60009765625,4302.0,4335.5,73379,2023-04-24
2023-05-01,4434.51806640625,4451.39990234375,4598.7998046875,4424.60009765625,4424.60009765625,125791,2023-05-01
2023-05-08,4482.63525390625,4499.7001953125,4573.9501953125,4433.0,4495.0,108142,2023-05-08
2023-05-15,4415.68994140625,4432.5,4500.0,4409.4501953125,4499.0,88292,2023-05-15
2023-05-22,4455.98681640625,4472.9501953125,4822.4501953125,4350.0,4434.9501953125,394796,2023-05-22
2023-05-29,4481.88818359375,4498.9501953125,4548.64990234375,4456.0498046875,4500.0,128309,2023-05-29
2023-06-05,5015.30712890625,5034.39990234375,5125.0,4545.0,4559.9501953125,643735,2023-06-05
2023-06-12,4898.701171875,4917.35009765625,5077.85009765625,4820.0,5077.85009765625,236728,2023-06-12
2023-06-19,4809.14208984375,4827.4501953125,4963.5,4756.25,4930.0,161147,2023-06-19
2023-06-26,4869.611328125,4888.14990234375,4975.0,4805.10009765625,4827.0,98734,2023-06-26
2023-07-03,4790.5126953125,4808.75,4949.89990234375,4800.0,4913.85009765625,103255,2023-07-03
2023-07-10,4663.0478515625,4680.7998046875,4823.7001953125,4620.0,4823.7001953125,174510,2023-07-10
2023-07-17,4689.7958984375,4707.64990234375,4878.5,4681.0,4740.0,129859,2023-07-17
2023-07-24,4458.77587890625,4475.75,4779.85009765625,4432.5498046875,4734.9501953125,283800,2023-07-24
2023-07-31,4584.2978515625,4601.75,4640.0498046875,4470.0,4475.0,133646,2023-07-31
2023-08-07,4586.39013671875,4603.85009765625,4665.0,4571.75,4601.7001953125,70848,2023-08-07
2023-08-14,4501.31396484375,4518.4501953125,4628.10009765625,4505.0,4620.0,56714,2023-08-14
2023-08-21,4518.86474609375,4527.2001953125,4611.7001953125,4510.14990234375,4544.9501953125,76937,2023-08-21
2023-08-28,4808.5302734375,4817.39990234375,4898.7998046875,4530.0,4530.0,266926,2023-08-28
2023-09-04,4974.82373046875,4984.0,4990.9501953125,4832.5498046875,4875.0,141554,2023-09-04
2023-09-11,4980.61279296875,4989.7998046875,5039.89990234375,4787.5498046875,4985.0,128714,2023-09-11
2023-09-18,4906.25,4915.2998046875,5164.89990234375,4868.39990234375,4990.0,166797,2023-09-18
2023-09-25,4786.271484375,4795.10009765625,4968.89990234375,4785.0,4928.0,121797,2023-09-25
2023-10-02,4912.08935546875,4921.14990234375,4970.7998046875,4795.10009765625,4795.10009765625,75259,2023-10-02
2023-10-09,4886.93603515625,4895.9501953125,4942.5,4786.10009765625,4800.0,86663,2023-10-09
2023-10-16,4742.10302734375,4750.85009765625,4945.0,4730.0,4895.0,91293,2023-10-16
2023-10-23,4563.33251953125,4571.75,4777.4501953125,4452.0498046875,4758.9501953125,85818,2023-10-23
2023-10-30,4235.0380859375,4242.85009765625,4617.5498046875,4215.0,4595.7998046875,218709,2023-10-30
2023-11-06,4216.67236328125,4224.4501953125,4324.0,4218.25,4243.0498046875,111214,2023-11-06
2023-11-13,4273.81689453125,4281.7001953125,4330.5498046875,4267.0,4320.0,59083,2023-11-13
2023-11-20,4223.50927734375,4231.2998046875,4290.0,4225.0,4260.0,86574,2023-11-20
2023-11-27,4275.7626953125,4283.64990234375,4324.7998046875,4215.0,4231.2998046875,143801,2023-11-27
2023-12-04,4449.14306640625,4457.35009765625,4569.89990234375,4260.0,4299.64990234375,228809,2023-12-04
2023-12-11,4461.07080078125,4469.2998046875,4545.0,4374.10009765625,4456.0,99355,2023-12-11
2023-12-18,4591.48095703125,4599.9501953125,4899.89990234375,4403.0,4475.0,604793,2023-12-18
2023-12-25,4969.083984375,4978.25,5120.0,4599.9501953125,4599.9501953125,639109,2023-12-25
2024-01-01,4846.859375,4855.7998046875,5049.9501953125,4802.0,4935.14990234375,151565,2024-01-01
2024-01-08,4730.673828125,4739.39990234375,4950.0,4700.0,4861.0,233777,2024-01-08
2024-01-15,4571.41796875,4579.85009765625,4805.0,4509.0,4787.2998046875,201591,2024-01-15
2024-01-22,4662.69921875,4671.2998046875,4689.89990234375,4410.0,4579.85009765625,72853,2024-01-22
2024-01-29,4659.10595703125,4667.7001953125,4790.60009765625,4550.0,4674.9501953125,120426,2024-01-29
2024-02-05,4389.90234375,4398.0,4649.4501953125,4350.0,4550.0,248954,2024-02-05
2024-02-12,4299.56884765625,4307.5,4447.85009765625,4250.0498046875,4447.85009765625,118715,2024-02-12
2024-02-19,4301.66552734375,4309.60009765625,4405.2001953125,4297.60009765625,4351.5,99861,2024-02-19
2024-02-26,4304.41015625,4312.35009765625,4371.0,4254.0,4320.89990234375,107683,2024-02-26
2024-03-04,4226.15478515625,4233.9501953125,4368.0,4213.0,4310.0,101969,2024-03-04
2024-03-11,4050.827880859375,4058.300048828125,4254.9501953125,4050.0,4254.9501953125,128749,2024-03-11
2024-03-18,4103.68017578125,4111.25,4185.0,4026.800048828125,4069.85009765625,101865,2024-03-18
2024-03-25,4027.421142578125,4034.85009765625,4127.25,4021.0,4111.25,124993,2024-03-25
2024-04-01,4346.93212890625,4354.9501953125,4410.0,4045.050048828125,4097.0,131187,2024-04-01
2024-04-08,4340.09423828125,4348.10009765625,4458.0,4276.0,4397.0,85446,2024-04-08
2024-04-15,4288.14013671875,4296.0498046875,4330.0,4180.0,4262.2998046875,77185,2024-04-15
2024-04-22,4473.59814453125,4481.85009765625,4598.75,4262.5498046875,4339.0,149261,2024-04-22
2024-04-29,4290.28662109375,4298.2001953125,4502.7998046875,4290.10009765625,4481.85009765625,64474,2024-04-29
2024-05-06,4398.08740234375,4406.2001953125,4451.0,4151.0498046875,4298.2001953125,130045,2024-05-06
2024-05-13,4368.591796875,4376.64990234375,4496.7998046875,4250.0,4428.2001953125,119493,2024-05-13
2024-05-20,4393.39599609375,4401.5,4461.25,4318.0,4461.25,76280,2024-05-20
2024-05-27,4427.732421875,4435.89990234375,4619.9501953125,4323.0498046875,4422.89990234375,215797,2024-05-27
2024-06-03,4478.83837890625,4487.10009765625,4578.0,4230.0,4550.0,123262,2024-06-03
2024-06-10,4664.845703125,4673.4501953125,4770.0,4487.0,4510.0,202387,2024-06-10
2024-06-17,4733.71826171875,4742.4501953125,4873.89990234375,4630.0498046875,4673.4501953125,160170,2024-06-17
2024-06-24,4881.04638671875,4890.0498046875,4942.0,4700.0,4742.4501953125,243144,2024-06-24
2024-07-01,5332.86328125,5342.7001953125,5423.4501953125,4914.0498046875,4915.0,538235,2024-07-01
2024-07-08,5337.654296875,5347.5,5500.0,5252.60009765625,5342.2998046875,249097,2024-07-08
2024-07-15,5142.6142578125,5152.10009765625,5358.85009765625,5105.10009765625,5350.0,125423,2024-07-15
2024-07-22,5181.14306640625,5190.7001953125,5330.0,4981.35009765625,5125.0,123932,2024-07-22
2024-07-29,5450.9453125,5461.0,5958.85009765625,5200.0,5200.0,906305,2024-07-29
2024-08-05,5261.84375,5271.5498046875,5463.0,5124.35009765625,5296.35009765625,161131,2024-08-05
2024-08-12,5260.09716796875,5269.7998046875,5456.10009765625,5156.14990234375,5230.0,152520,2024-08-12
