Date,Adj Close_SINCLAIR.NS,Close_SINCLAIR.NS,High_SINCLAIR.NS,Low_SINCLAIR.NS,Open_SINCLAIR.NS,Volume_SINCLAIR.NS,Date
2025-02-17,92.19999694824219,92.19999694824219,94.94000244140625,80.0,85.0199966430664,476279,2025-02-17
2025-02-24,78.2300033569336,78.2300033569336,91.98999786376953,76.69000244140625,90.80000305175781,328721,2025-02-24
2025-03-03,89.08000183105469,89.08000183105469,91.98999786376953,72.86000061035156,79.9800033569336,544930,2025-03-03
2025-03-10,83.12000274658203,83.12000274658203,92.55000305175781,82.20999908447266,89.08999633789062,228427,2025-03-10
2025-03-17,90.05999755859375,90.05999755859375,92.02999877929688,81.55000305175781,84.0,460434,2025-03-17
2025-03-24,81.93000030517578,81.93000030517578,94.38999938964844,79.80999755859375,91.69999694824219,608974,2025-03-24
2025-03-31,87.80999755859375,87.80999755859375,90.55999755859375,81.93000030517578,81.93000030517578,264918,2025-03-31
2025-04-07,85.51000213623047,85.51000213623047,87.69000244140625,80.61000061035156,84.98999786376953,200635,2025-04-07
2025-04-14,95.33000183105469,95.33000183105469,98.0,85.76000213623047,85.76000213623047,343442,2025-04-14
2025-04-21,91.62000274658203,91.62000274658203,102.73999786376953,88.91999816894531,94.0999984741211,569128,2025-04-21
2025-04-28,87.77999877929688,87.77999877929688,95.0,86.37999725341797,92.91999816894531,204893,2025-04-28
2025-05-05,83.48999786376953,83.48999786376953,89.91999816894531,82.0199966430664,86.5199966430664,202488,2025-05-05
2025-05-12,92.0199966430664,92.0199966430664,93.88999938964844,86.51000213623047,86.51000213623047,198913,2025-05-12
2025-05-19,93.18000030517578,93.18000030517578,98.9000015258789,91.95999908447266,94.0,334275,2025-05-19
2025-05-26,92.3499984741211,92.3499984741211,95.69000244140625,91.61000061035156,94.0199966430664,268429,2025-05-26
2025-06-02,94.08000183105469,94.08000183105469,96.0,90.41999816894531,93.0,456083,2025-06-02
2025-06-09,88.81999969482422,88.81999969482422,95.43000030517578,87.30000305175781,94.0,329760,2025-06-09
2025-06-16,89.19999694824219,89.19999694824219,90.38999938964844,86.19999694824219,89.25,174990,2025-06-16
2025-06-23,88.95999908447266,88.95999908447266,91.0,86.47000122070312,89.8499984741211,247407,2025-06-23
2025-06-30,100.37999725341797,100.37999725341797,104.4000015258789,88.36000061035156,89.87999725341797,1093156,2025-06-30
2025-07-07,95.5999984741211,95.5999984741211,101.9800033569336,91.91000366210938,98.30999755859375,509960,2025-07-07
2025-07-14,92.68000030517578,92.68000030517578,95.7300033569336,91.80000305175781,94.6500015258789,116484,2025-07-14
