Date,Adj Close_BHARATWIRE.NS,Close_BHARATWIRE.NS,High_BHARATWIRE.NS,Low_BHARATWIRE.NS,Open_BHARATWIRE.NS,Volume_BHARATWIRE.NS,Date
2021-09-27,61.75,61.75,65.0,61.0,65.0,253889,2021-09-27
2021-10-04,64.3499984741211,64.3499984741211,65.94999694824219,61.5,62.0,94362,2021-10-04
2021-10-11,64.25,64.25,67.69999694824219,63.5,64.25,223301,2021-10-11
2021-10-18,60.95000076293945,60.95000076293945,65.9000015258789,60.0,65.0,81284,2021-10-18
2021-10-25,57.75,57.75,60.95000076293945,55.54999923706055,60.0,59753,2021-10-25
2021-11-01,57.25,57.25,59.0,56.0,57.0,27388,2021-11-01
2021-11-08,59.70000076293945,59.70000076293945,62.79999923706055,56.0,58.0,218123,2021-11-08
2021-11-15,58.849998474121094,58.849998474121094,60.95000076293945,57.150001525878906,59.79999923706055,82106,2021-11-15
2021-11-22,57.900001525878906,57.900001525878906,59.45000076293945,55.349998474121094,59.0,69421,2021-11-22
2021-11-29,56.5,56.5,58.79999923706055,52.099998474121094,57.0,71868,2021-11-29
2021-12-06,55.20000076293945,55.20000076293945,58.75,54.54999923706055,57.0,80651,2021-12-06
2021-12-13,54.900001525878906,54.900001525878906,57.04999923706055,53.599998474121094,55.20000076293945,67296,2021-12-13
2021-12-20,54.29999923706055,54.29999923706055,56.20000076293945,49.45000076293945,55.79999923706055,90156,2021-12-20
2021-12-27,58.54999923706055,58.54999923706055,63.95000076293945,53.04999923706055,54.29999923706055,391704,2021-12-27
2022-01-03,66.1500015258789,66.1500015258789,71.30000305175781,58.599998474121094,59.900001525878906,796940,2022-01-03
2022-01-10,74.69999694824219,74.69999694824219,74.69999694824219,66.44999694824219,66.94999694824219,568675,2022-01-10
2022-01-17,76.55000305175781,76.55000305175781,82.5999984741211,75.94999694824219,78.25,792330,2022-01-17
2022-01-24,74.6500015258789,74.6500015258789,78.4000015258789,69.1500015258789,76.69999694824219,226921,2022-01-24
2022-01-31,83.0,83.0,85.0999984741211,74.5,74.6500015258789,1655830,2022-01-31
2022-02-07,78.44999694824219,78.44999694824219,87.0,76.0999984741211,85.80000305175781,394714,2022-02-07
2022-02-14,76.94999694824219,76.94999694824219,81.69999694824219,70.9000015258789,78.05000305175781,231677,2022-02-14
2022-02-21,64.25,64.25,76.0999984741211,63.29999923706055,76.0999984741211,239410,2022-02-21
2022-02-28,66.9000015258789,66.9000015258789,68.1500015258789,62.04999923706055,63.25,152024,2022-02-28
2022-03-07,68.9000015258789,68.9000015258789,73.75,64.25,68.0,273564,2022-03-07
2022-03-14,68.44999694824219,68.44999694824219,73.69999694824219,67.0999984741211,68.0999984741211,161046,2022-03-14
2022-03-21,65.19999694824219,65.19999694824219,70.5,62.400001525878906,68.9000015258789,456776,2022-03-21
2022-03-28,68.4000015258789,68.4000015258789,71.94999694824219,62.25,65.19999694824219,330466,2022-03-28
2022-04-04,76.5,76.5,81.75,68.05000305175781,68.9000015258789,529839,2022-04-04
2022-04-11,79.30000305175781,79.30000305175781,81.0,74.6500015258789,76.0999984741211,238372,2022-04-11
2022-04-18,86.0,86.0,92.55000305175781,76.55000305175781,78.0999984741211,1307569,2022-04-18
2022-04-25,76.8499984741211,76.8499984741211,86.9000015258789,76.05000305175781,86.9000015258789,235244,2022-04-25
2022-05-02,69.25,69.25,77.8499984741211,67.5,77.8499984741211,224054,2022-05-02
2022-05-09,59.0,59.0,69.9000015258789,55.75,69.9000015258789,303343,2022-05-09
2022-05-16,67.3499984741211,67.3499984741211,68.75,57.599998474121094,59.0,172511,2022-05-16
2022-05-23,62.04999923706055,62.04999923706055,69.5,59.599998474121094,67.5,89434,2022-05-23
2022-05-30,62.25,62.25,65.69999694824219,60.45000076293945,62.349998474121094,78732,2022-05-30
2022-06-06,66.3499984741211,66.3499984741211,69.19999694824219,61.45000076293945,62.0,329002,2022-06-06
2022-06-13,56.0,56.0,68.30000305175781,55.20000076293945,66.0,403557,2022-06-13
2022-06-20,61.400001525878906,61.400001525878906,62.20000076293945,52.20000076293945,56.900001525878906,288664,2022-06-20
2022-06-27,57.75,57.75,63.150001525878906,56.5,61.5,188893,2022-06-27
2022-07-04,62.29999923706055,62.29999923706055,63.0,56.0,57.099998474121094,80221,2022-07-04
2022-07-11,65.6500015258789,65.6500015258789,68.19999694824219,62.099998474121094,62.900001525878906,136282,2022-07-11
2022-07-18,63.900001525878906,63.900001525878906,67.0,63.04999923706055,65.9000015258789,107377,2022-07-18
2022-07-25,62.849998474121094,62.849998474121094,65.94999694824219,61.900001525878906,63.099998474121094,114184,2022-07-25
2022-08-01,75.0999984741211,75.0999984741211,79.0,62.20000076293945,62.900001525878906,979376,2022-08-01
2022-08-08,88.0999984741211,88.0999984741211,94.94999694824219,75.0999984741211,75.5,3490982,2022-08-08
2022-08-15,111.75,111.75,119.75,88.0999984741211,88.0999984741211,3613084,2022-08-15
2022-08-22,105.5,105.5,114.6500015258789,104.1500015258789,111.75,981407,2022-08-22
2022-08-29,99.6500015258789,99.6500015258789,110.0,98.0,100.5,1395536,2022-08-29
2022-09-05,131.4499969482422,131.4499969482422,137.9499969482422,101.0,103.0,6818905,2022-09-05
2022-09-12,115.5999984741211,115.5999984741211,132.5,113.25,132.39999389648438,1289242,2022-09-12
2022-09-19,117.19999694824219,117.19999694824219,125.0,109.0,116.80000305175781,2338146,2022-09-19
2022-09-26,109.19999694824219,109.19999694824219,123.0,104.8499984741211,118.0,1612967,2022-09-26
2022-10-03,120.3499984741211,120.3499984741211,122.55000305175781,107.5999984741211,111.5999984741211,1396189,2022-10-03
2022-10-10,119.44999694824219,119.44999694824219,123.0,110.3499984741211,120.3499984741211,1001960,2022-10-10
2022-10-17,122.19999694824219,122.19999694824219,132.35000610351562,116.19999694824219,120.9000015258789,3356008,2022-10-17
2022-10-24,119.55000305175781,119.55000305175781,127.05000305175781,118.0,124.4000015258789,455467,2022-10-24
2022-10-31,113.9000015258789,113.9000015258789,121.5,113.0999984741211,119.5999984741211,428330,2022-10-31
2022-11-07,116.75,116.75,127.80000305175781,113.69999694824219,114.9000015258789,731104,2022-11-07
2022-11-14,117.94999694824219,117.94999694824219,126.5,111.30000305175781,116.75,1332067,2022-11-14
2022-11-21,119.44999694824219,119.44999694824219,120.69999694824219,112.5,117.0999984741211,636031,2022-11-21
2022-11-28,115.05000305175781,115.05000305175781,120.05000305175781,111.5,119.80000305175781,1299546,2022-11-28
2022-12-05,109.75,109.75,115.6500015258789,108.25,115.6500015258789,745074,2022-12-05
2022-12-12,106.1500015258789,106.1500015258789,113.3499984741211,105.69999694824219,109.5999984741211,642979,2022-12-12
2022-12-19,89.05000305175781,89.05000305175781,110.05000305175781,87.30000305175781,106.80000305175781,973992,2022-12-19
2022-12-26,104.5999984741211,104.5999984741211,109.75,90.94999694824219,91.0,1349223,2022-12-26
2023-01-02,102.55000305175781,102.55000305175781,109.0,102.0,103.30000305175781,489426,2023-01-02
2023-01-09,103.44999694824219,103.44999694824219,107.25,99.5999984741211,102.0,556558,2023-01-09
2023-01-16,115.19999694824219,115.19999694824219,116.1500015258789,101.0999984741211,104.0,2708042,2023-01-16
2023-01-23,110.94999694824219,110.94999694824219,118.69999694824219,106.0999984741211,117.0,2434590,2023-01-23
2023-01-30,103.4000015258789,103.4000015258789,112.6500015258789,99.19999694824219,110.0999984741211,880523,2023-01-30
2023-02-06,104.8499984741211,104.8499984741211,109.6500015258789,102.0,104.94999694824219,476618,2023-02-06
2023-02-13,100.55000305175781,100.55000305175781,105.9000015258789,99.69999694824219,104.0,396872,2023-02-13
2023-02-20,94.6500015258789,94.6500015258789,101.69999694824219,92.4000015258789,100.9000015258789,731863,2023-02-20
2023-02-27,103.9000015258789,103.9000015258789,108.3499984741211,87.30000305175781,95.8499984741211,2112216,2023-02-27
2023-03-06,112.94999694824219,112.94999694824219,115.05000305175781,104.0,104.3499984741211,1210849,2023-03-06
2023-03-13,109.8499984741211,109.8499984741211,115.3499984741211,106.05000305175781,114.44999694824219,805816,2023-03-13
2023-03-20,129.60000610351562,129.60000610351562,135.3000030517578,106.80000305175781,109.5999984741211,9847536,2023-03-20
2023-03-27,155.1999969482422,155.1999969482422,157.0,127.69999694824219,128.0,12059677,2023-03-27
2023-04-03,148.10000610351562,148.10000610351562,160.0,141.6999969482422,156.0,2040410,2023-04-03
2023-04-10,149.0,149.0,158.0,145.60000610351562,151.0500030517578,1683446,2023-04-10
2023-04-17,149.8000030517578,149.8000030517578,164.5,147.8000030517578,149.4499969482422,5951453,2023-04-17
2023-04-24,164.85000610351562,164.85000610351562,174.39999389648438,150.0,151.39999389648438,10536968,2023-04-24
2023-05-01,165.85000610351562,165.85000610351562,177.8000030517578,164.39999389648438,164.85000610351562,3521239,2023-05-01
2023-05-08,156.25,156.25,171.6999969482422,154.8000030517578,167.14999389648438,2553712,2023-05-08
2023-05-15,157.4499969482422,157.4499969482422,163.9499969482422,153.10000610351562,156.25,2080627,2023-05-15
2023-05-22,160.3000030517578,160.3000030517578,169.0,152.5,157.89999389648438,2392283,2023-05-22
2023-05-29,184.6999969482422,184.6999969482422,192.75,158.0,162.0,6303132,2023-05-29
2023-06-05,176.35000610351562,176.35000610351562,188.85000610351562,175.1999969482422,185.6999969482422,2256655,2023-06-05
2023-06-12,179.39999389648438,179.39999389648438,187.89999389648438,176.0,177.0,2104764,2023-06-12
2023-06-19,174.75,174.75,183.5,170.5500030517578,180.0,2177015,2023-06-19
2023-06-26,175.5500030517578,175.5500030517578,186.6999969482422,171.0500030517578,173.0500030517578,2278758,2023-06-26
2023-07-03,184.5,184.5,185.89999389648438,170.75,175.5,2541685,2023-07-03
2023-07-10,202.0,202.0,205.89999389648438,185.14999389648438,185.8000030517578,5886051,2023-07-10
2023-07-17,194.75,194.75,205.3000030517578,191.5500030517578,204.0,2277376,2023-07-17
2023-07-24,209.1999969482422,209.1999969482422,226.4499969482422,194.75,196.0,7797539,2023-07-24
2023-07-31,221.6999969482422,221.6999969482422,224.6999969482422,200.0,210.8000030517578,3019198,2023-07-31
2023-08-07,210.4499969482422,210.4499969482422,228.0,208.0,224.0,2300355,2023-08-07
2023-08-14,208.3000030517578,208.3000030517578,216.5,204.14999389648438,210.0,1004881,2023-08-14
2023-08-21,202.4499969482422,202.4499969482422,212.89999389648438,199.75,209.85000610351562,1211764,2023-08-21
2023-08-28,241.1999969482422,241.1999969482422,244.89999389648438,202.0500030517578,206.0,5533497,2023-08-28
2023-09-04,269.79998779296875,269.79998779296875,274.70001220703125,235.10000610351562,243.60000610351562,5774329,2023-09-04
2023-09-11,261.0,261.0,278.70001220703125,245.0500030517578,271.5,3494182,2023-09-11
2023-09-18,254.3000030517578,254.3000030517578,265.0,251.1999969482422,261.70001220703125,1048579,2023-09-18
2023-09-25,273.3999938964844,273.3999938964844,277.8999938964844,254.5,255.64999389648438,2970005,2023-09-25
2023-10-02,264.3500061035156,264.3500061035156,273.70001220703125,257.25,273.3999938964844,853471,2023-10-02
2023-10-09,285.8500061035156,285.8500061035156,294.5,256.04998779296875,260.0,3982092,2023-10-09
2023-10-16,273.3999938964844,273.3999938964844,287.1000061035156,263.6000061035156,286.70001220703125,1249070,2023-10-16
2023-10-23,240.89999389648438,240.89999389648438,274.29998779296875,231.5500030517578,274.25,1755429,2023-10-23
2023-10-30,265.8999938964844,265.8999938964844,267.6000061035156,235.25,241.3000030517578,1761426,2023-10-30
2023-11-06,286.6499938964844,286.6499938964844,288.6499938964844,262.79998779296875,269.95001220703125,1711823,2023-11-06
2023-11-13,275.20001220703125,275.20001220703125,288.0,273.29998779296875,286.29998779296875,988596,2023-11-13
2023-11-20,292.75,292.75,301.8999938964844,273.6000061035156,275.20001220703125,2964559,2023-11-20
2023-11-27,282.04998779296875,282.04998779296875,294.0,281.0,292.75,797754,2023-11-27
2023-12-04,325.5,325.5,343.45001220703125,286.0,286.3500061035156,4678533,2023-12-04
2023-12-11,302.6000061035156,302.6000061035156,336.8999938964844,300.1000061035156,326.79998779296875,1248678,2023-12-11
2023-12-18,315.6000061035156,315.6000061035156,325.0,292.95001220703125,300.1000061035156,2759991,2023-12-18
2023-12-25,309.0,309.0,332.75,302.3500061035156,315.6000061035156,1340348,2023-12-25
2024-01-01,308.8500061035156,308.8500061035156,321.0,300.0,309.0,1471652,2024-01-01
2024-01-08,395.1499938964844,395.1499938964844,400.6000061035156,303.25,309.75,8943981,2024-01-08
2024-01-15,378.04998779296875,378.04998779296875,399.70001220703125,360.8999938964844,393.95001220703125,2053972,2024-01-15
2024-01-22,360.29998779296875,360.29998779296875,388.0,344.1000061035156,378.04998779296875,548414,2024-01-22
2024-01-29,344.6000061035156,344.6000061035156,369.95001220703125,338.5,360.29998779296875,598092,2024-01-29
2024-02-05,328.95001220703125,328.95001220703125,350.95001220703125,322.54998779296875,346.0,630057,2024-02-05
2024-02-12,328.20001220703125,328.20001220703125,346.0,311.54998779296875,325.20001220703125,554963,2024-02-12
2024-02-19,328.0,328.0,344.6000061035156,317.0,328.20001220703125,444951,2024-02-19
2024-02-26,316.79998779296875,316.79998779296875,330.0,295.0,330.0,393969,2024-02-26
2024-03-04,305.3500061035156,305.3500061035156,328.5,292.79998779296875,321.8500061035156,365711,2024-03-04
2024-03-11,288.0,288.0,306.95001220703125,255.5500030517578,301.20001220703125,982221,2024-03-11
2024-03-18,278.1499938964844,278.1499938964844,292.0,265.04998779296875,288.0,767560,2024-03-18
2024-03-25,275.20001220703125,275.20001220703125,289.8999938964844,273.6499938964844,279.8500061035156,483229,2024-03-25
2024-04-01,317.70001220703125,317.70001220703125,322.0,275.20001220703125,275.20001220703125,644274,2024-04-01
2024-04-08,302.79998779296875,302.79998779296875,319.0,300.0,317.0,176690,2024-04-08
2024-04-15,290.6499938964844,290.6499938964844,305.0,286.0,290.1000061035156,224794,2024-04-15
2024-04-22,308.1000061035156,308.1000061035156,315.45001220703125,292.54998779296875,292.54998779296875,636208,2024-04-22
2024-04-29,287.1000061035156,287.1000061035156,330.54998779296875,279.29998779296875,312.0,3227537,2024-04-29
2024-05-06,256.6000061035156,256.6000061035156,289.3500061035156,253.0,287.0,1095184,2024-05-06
2024-05-13,270.6000061035156,270.6000061035156,275.79998779296875,258.0,258.45001220703125,773930,2024-05-13
2024-05-20,286.25,286.25,297.29998779296875,263.70001220703125,271.25,1174439,2024-05-20
2024-05-27,273.54998779296875,273.54998779296875,293.95001220703125,272.1000061035156,288.79998779296875,571107,2024-05-27
