Date,Adj Close_AVALON.NS,Close_AVALON.NS,High_AVALON.NS,Low_AVALON.NS,Open_AVALON.NS,Volume_AVALON.NS,Date
2024-05-20,483.0,483.0,508.0,474.8500061035156,488.6000061035156,837440,2024-05-20
2024-05-27,486.70001220703125,486.70001220703125,491.79998779296875,477.1000061035156,485.54998779296875,564153,2024-05-27
2024-06-03,491.0,491.0,497.70001220703125,457.20001220703125,496.70001220703125,559419,2024-06-03
2024-06-10,519.5,519.5,523.9500122070312,487.0,491.0,639631,2024-06-10
2024-06-17,526.7999877929688,526.7999877929688,534.8499755859375,512.7999877929688,519.5,434038,2024-06-17
2024-06-24,541.0,541.0,575.0,526.0,528.9500122070312,1430015,2024-06-24
2024-07-01,539.1500244140625,539.1500244140625,560.0,533.0,541.0,434730,2024-07-01
2024-07-08,531.7000122070312,531.7000122070312,552.5999755859375,523.8499755859375,544.0,553157,2024-07-08
2024-07-15,514.0999755859375,514.0999755859375,549.0,511.0,537.0,291131,2024-07-15
2024-07-22,522.5,522.5,536.0,484.0,484.0,306777,2024-07-22
2024-07-29,514.5499877929688,514.5499877929688,534.2000122070312,507.29998779296875,527.0,315200,2024-07-29
2024-08-05,473.1000061035156,473.1000061035156,505.79998779296875,425.0,491.0,1007439,2024-08-05
2024-08-12,488.79998779296875,488.79998779296875,495.29998779296875,450.6499938964844,471.95001220703125,597319,2024-08-12
2024-08-19,515.1500244140625,515.1500244140625,527.7999877929688,480.0,489.04998779296875,568280,2024-08-19
2024-08-26,521.1500244140625,521.1500244140625,548.7999877929688,495.1000061035156,522.7000122070312,1024603,2024-08-26
2024-09-02,502.79998779296875,502.79998779296875,543.1500244140625,498.20001220703125,523.7000122070312,933882,2024-09-02
2024-09-09,541.2999877929688,541.2999877929688,555.5499877929688,489.8500061035156,499.79998779296875,1508499,2024-09-09
2024-09-16,581.75,581.75,608.4000244140625,523.0499877929688,542.0,3256470,2024-09-16
2024-09-23,607.0999755859375,607.0999755859375,667.0,562.0499877929688,583.0,5521353,2024-09-23
2024-09-30,561.9500122070312,561.9500122070312,611.25,537.4500122070312,604.9500122070312,709578,2024-09-30
2024-10-07,626.5499877929688,626.5499877929688,640.0,527.4500122070312,550.5999755859375,1808427,2024-10-07
2024-10-14,590.3499755859375,590.3499755859375,659.0,559.5499877929688,628.0,1778089,2024-10-14
2024-10-21,587.3499755859375,587.3499755859375,612.0,530.5499877929688,589.9000244140625,1323214,2024-10-21
2024-10-28,588.6500244140625,588.6500244140625,613.4500122070312,566.4000244140625,580.0,940705,2024-10-28
2024-11-04,793.2999877929688,793.2999877929688,849.0999755859375,575.0,588.0,16234324,2024-11-04
2024-11-11,773.5499877929688,773.5499877929688,848.0,735.0,789.9500122070312,4226406,2024-11-11
2024-11-18,856.8499755859375,856.8499755859375,897.7000122070312,745.5499877929688,780.0,4235878,2024-11-18
2024-11-25,964.9000244140625,964.9000244140625,969.9000244140625,842.25,875.2000122070312,3166572,2024-11-25
2024-12-02,892.5499877929688,892.5499877929688,990.5499877929688,852.2999877929688,963.9500122070312,1952018,2024-12-02
2024-12-09,853.1500244140625,853.1500244140625,904.4000244140625,830.2000122070312,891.9000244140625,1709368,2024-12-09
2024-12-16,992.5,992.5,1073.75,843.5999755859375,853.1500244140625,5319678,2024-12-16
2024-12-23,1012.4000244140625,1012.4000244140625,1035.8499755859375,935.9500122070312,999.0,3584971,2024-12-23
2024-12-30,973.1500244140625,973.1500244140625,1050.949951171875,946.0,1015.9500122070312,6872638,2024-12-30
2025-01-06,913.7000122070312,913.7000122070312,992.0,900.2000122070312,975.0,3770221,2025-01-06
2025-01-13,822.5999755859375,822.5999755859375,904.4500122070312,790.0,885.1500244140625,3013337,2025-01-13
2025-01-20,692.6500244140625,692.6500244140625,856.7999877929688,685.25,820.0,4283901,2025-01-20
2025-01-27,690.6500244140625,690.6500244140625,693.25,598.0,688.0999755859375,3786378,2025-01-27
2025-02-03,707.8499755859375,707.8499755859375,766.7999877929688,668.5,690.9500122070312,3414164,2025-02-03
2025-02-10,636.2000122070312,636.2000122070312,720.7000122070312,636.2000122070312,720.7000122070312,1871207,2025-02-10
2025-02-17,692.4500122070312,692.4500122070312,726.75,603.0,620.0,3114120,2025-02-17
2025-02-24,664.4500122070312,664.4500122070312,705.2000122070312,640.0999755859375,669.0,2029173,2025-02-24
2025-03-03,710.4500122070312,710.4500122070312,737.9500122070312,644.1500244140625,666.9500122070312,2614654,2025-03-03
2025-03-10,675.0999755859375,675.0999755859375,720.7999877929688,651.7999877929688,710.0,996480,2025-03-10
2025-03-17,768.7999877929688,768.7999877929688,804.5499877929688,666.75,675.0,1659529,2025-03-17
2025-03-24,757.5499877929688,757.5499877929688,807.2000122070312,736.1500244140625,783.0,2182700,2025-03-24
2025-03-31,766.5499877929688,766.5499877929688,834.9000244140625,749.5,757.5499877929688,2149651,2025-03-31
2025-04-07,812.2999877929688,812.2999877929688,821.0,689.9000244140625,689.9000244140625,1596639,2025-04-07
2025-04-14,828.75,828.75,854.0,815.2999877929688,844.0,665040,2025-04-14
2025-04-21,836.7999877929688,836.7999877929688,925.0999755859375,816.5,828.7999877929688,2864545,2025-04-21
2025-04-28,894.2000122070312,894.2000122070312,905.0,821.0,835.2000122070312,2431388,2025-04-28
2025-05-05,793.0,793.0,900.25,774.0,894.0,3173593,2025-05-05
2025-05-12,897.0999755859375,897.0999755859375,914.0,824.2999877929688,840.0,2280002,2025-05-12
2025-05-19,870.2000122070312,870.2000122070312,903.5999755859375,852.5,900.0,1027067,2025-05-19
2025-05-26,859.9000244140625,859.9000244140625,928.4000244140625,831.25,875.0,1663557,2025-05-26
2025-06-02,866.3499755859375,866.3499755859375,884.0499877929688,833.7000122070312,858.0,779559,2025-06-02
2025-06-09,831.1500244140625,831.1500244140625,879.1500244140625,803.5999755859375,876.7000122070312,577429,2025-06-09
2025-06-16,835.5499877929688,835.5499877929688,855.0,807.0,830.0,497884,2025-06-16
2025-06-23,825.0,825.0,873.9000244140625,783.4500122070312,832.0499877929688,5475186,2025-06-23
2025-06-30,832.2999877929688,832.2999877929688,863.2000122070312,818.5999755859375,840.0,947005,2025-06-30
2025-07-07,855.75,855.75,882.2999877929688,832.0499877929688,835.0,1239211,2025-07-07
2025-07-14,874.5499877929688,874.5499877929688,889.9500122070312,857.75,864.7999877929688,578273,2025-07-14
