Date,Adj Close_CMSINFO.NS,Close_CMSINFO.NS,High_CMSINFO.NS,Low_CMSINFO.NS,Open_CMSINFO.NS,Volume_CMSINFO.NS,Date
2023-01-30,299.7484436035156,310.3999938964844,324.0,299.79998779296875,302.04998779296875,1665679,2023-01-30
2023-02-06,290.6227111816406,300.95001220703125,319.6499938964844,289.3999938964844,310.3999938964844,990969,2023-02-06
2023-02-13,284.9734802246094,295.1000061035156,303.6499938964844,282.95001220703125,300.25,799396,2023-02-13
2023-02-20,270.4881896972656,280.1000061035156,297.1499938964844,279.29998779296875,295.1000061035156,959524,2023-02-20
2023-02-27,280.96588134765625,290.95001220703125,294.04998779296875,274.04998779296875,280.5,614538,2023-02-27
2023-03-06,281.5935363769531,291.6000061035156,298.1000061035156,287.45001220703125,295.29998779296875,343478,2023-03-06
2023-03-13,276.5237121582031,286.3500061035156,294.79998779296875,273.8500061035156,290.0,813625,2023-03-13
2023-03-20,270.3916015625,280.0,291.95001220703125,275.20001220703125,281.25,641509,2023-03-20
2023-03-27,267.4462890625,276.95001220703125,283.70001220703125,260.79998779296875,280.0,657225,2023-03-27
2023-04-03,275.89599609375,285.70001220703125,288.70001220703125,278.6499938964844,280.0,544253,2023-04-03
2023-04-10,280.00018310546875,289.95001220703125,294.70001220703125,281.8500061035156,286.45001220703125,439443,2023-04-10
2023-04-17,276.3305358886719,286.1499938964844,299.6000061035156,284.1000061035156,291.8999938964844,566662,2023-04-17
2023-04-24,281.8349609375,291.8500061035156,302.0,280.0,287.1499938964844,2788566,2023-04-24
2023-05-01,283.8629150390625,293.95001220703125,295.0,286.5,291.8500061035156,478056,2023-05-01
2023-05-08,298.29986572265625,308.8999938964844,319.45001220703125,290.25,295.95001220703125,1717291,2023-05-08
2023-05-15,297.23760986328125,307.79998779296875,322.95001220703125,306.0,315.0,1338493,2023-05-15
2023-05-22,311.14349365234375,322.20001220703125,330.5,306.8999938964844,309.29998779296875,1732188,2023-05-22
2023-05-29,314.52337646484375,325.70001220703125,332.0,313.95001220703125,326.1000061035156,1631582,2023-05-29
2023-06-05,296.8513488769531,307.3999938964844,338.0,296.45001220703125,329.45001220703125,29110409,2023-06-05
2023-06-12,326.9324035644531,338.54998779296875,346.95001220703125,310.5,314.0,13844780,2023-06-12
2023-06-19,332.6300048828125,344.45001220703125,361.95001220703125,332.8500061035156,338.95001220703125,4946507,2023-06-19
2023-06-26,355.32354736328125,367.95001220703125,375.0,341.0,344.45001220703125,3818536,2023-06-26
2023-07-03,359.7173767089844,372.5,386.3999938964844,362.04998779296875,370.0,3874950,2023-07-03
2023-07-10,381.3004150390625,394.8500061035156,398.0,367.3999938964844,370.54998779296875,2475336,2023-07-10
2023-07-17,367.3463134765625,380.3999938964844,401.1000061035156,377.29998779296875,397.3999938964844,1946679,2023-07-17
2023-07-24,374.5889587402344,387.8999938964844,391.0,366.25,389.0,2965070,2023-07-24
2023-07-31,379.2242431640625,392.70001220703125,409.3999938964844,374.25,389.79998779296875,3384214,2023-07-31
2023-08-07,355.13037109375,367.75,400.0,357.1499938964844,395.45001220703125,19693121,2023-08-07
2023-08-14,339.0034484863281,351.04998779296875,367.75,346.0,367.75,3677739,2023-08-14
2023-08-21,347.2601013183594,359.6000061035156,365.45001220703125,346.79998779296875,350.79998779296875,4545978,2023-08-21
2023-08-28,346.004638671875,358.29998779296875,366.0,353.0,360.95001220703125,4537366,2023-08-28
2023-09-04,356.67205810546875,364.45001220703125,371.0,355.5,361.70001220703125,5539948,2023-09-04
2023-09-11,354.421142578125,362.1499938964844,376.6000061035156,341.29998779296875,371.0,9304047,2023-09-11
2023-09-18,341.6007385253906,349.04998779296875,366.0,344.04998779296875,366.0,2865163,2023-09-18
2023-09-25,342.6283264160156,350.1000061035156,356.5,346.20001220703125,350.0,1695187,2023-09-25
2023-10-02,362.5929260253906,370.5,372.79998779296875,344.1000061035156,350.1000061035156,3404408,2023-10-02
2023-10-09,364.4034423828125,372.3500061035156,373.95001220703125,360.6000061035156,366.5,3194639,2023-10-09
2023-10-16,370.4222106933594,378.5,389.5,370.54998779296875,372.0,5263031,2023-10-16
2023-10-23,352.2680969238281,359.95001220703125,388.0,351.25,382.0,2460087,2023-10-23
2023-10-30,365.822509765625,373.79998779296875,396.75,362.29998779296875,363.70001220703125,6701157,2023-10-30
2023-11-06,368.1223449707031,376.1499938964844,384.6000061035156,369.6000061035156,377.1000061035156,2424100,2023-11-06
2023-11-13,378.83868408203125,387.1000061035156,394.95001220703125,375.5,381.75,2160559,2023-11-13
2023-11-20,386.6190185546875,395.04998779296875,405.75,385.04998779296875,389.95001220703125,3441048,2023-11-20
2023-11-27,391.1208190917969,399.6499938964844,421.3999938964844,392.5,395.04998779296875,7288585,2023-11-27
2023-12-04,381.0406494140625,389.3500061035156,406.0,383.6499938964844,405.0,3032512,2023-12-04
2023-12-11,383.7808837890625,392.1499938964844,396.8999938964844,381.20001220703125,390.8999938964844,3068353,2023-12-11
2023-12-18,377.76214599609375,386.0,396.0,375.3500061035156,393.29998779296875,3500707,2023-12-18
2023-12-25,374.4346923828125,382.6000061035156,387.8999938964844,370.0,386.0,2230175,2023-12-25
2024-01-01,370.7647705078125,378.8500061035156,386.8500061035156,376.04998779296875,383.6000061035156,2060875,2024-01-01
2024-01-08,359.85272216796875,367.70001220703125,383.54998779296875,363.6499938964844,378.8500061035156,3198013,2024-01-08
2024-01-15,371.6944580078125,379.79998779296875,382.0,364.20001220703125,367.70001220703125,1633061,2024-01-15
2024-01-22,381.18743896484375,389.5,397.79998779296875,365.70001220703125,379.79998779296875,3208112,2024-01-22
2024-01-29,377.6642761230469,385.8999938964844,399.5,378.0,396.79998779296875,5272153,2024-01-29
2024-02-05,357.5038757324219,365.29998779296875,388.79998779296875,362.6499938964844,385.0,2676261,2024-02-05
2024-02-12,363.6734924316406,369.1499938964844,378.20001220703125,355.1000061035156,368.5,2448232,2024-02-12
