Date,Adj Close_SHREECEM.NS,Close_SHREECEM.NS,High_SHREECEM.NS,Low_SHREECEM.NS,Open_SHREECEM.NS,Volume_SHREECEM.NS,Date
2022-07-18,20582.68359375,20780.0,20887.19921875,19780.0,19799.0,121007,2022-07-18
2022-07-25,20303.361328125,20498.0,21622.0,20039.94921875,20700.0,245757,2022-07-25
2022-08-01,21035.740234375,21237.400390625,21290.0,20539.94921875,20625.25,149187,2022-08-01
2022-08-08,20951.34765625,21152.19921875,21450.0,20855.0,21199.94921875,79525,2022-08-08
2022-08-15,21219.775390625,21423.19921875,21800.0,21050.0,21152.19921875,114350,2022-08-15
2022-08-22,21888.068359375,22097.900390625,22200.69921875,20742.0,21390.0,235327,2022-08-22
2022-08-29,20888.15625,21088.400390625,22550.0,21011.0,21415.0,207710,2022-08-29
2022-09-05,24272.908203125,24505.599609375,25550.0,20801.0,21193.849609375,1101626,2022-09-05
2022-09-12,23096.28515625,23317.69921875,25000.0,23211.0,24599.0,698172,2022-09-12
2022-09-19,21000.126953125,21201.44921875,23735.30078125,21151.150390625,23400.0,529699,2022-09-19
2022-09-26,20833.380859375,21033.099609375,21990.0,20585.94921875,21150.0,1181403,2022-09-26
2022-10-03,21081.65234375,21283.75,21446.44921875,20611.19921875,21102.0,256179,2022-10-03
2022-10-10,20987.302734375,21188.5,21499.0,20685.0,21100.0,317905,2022-10-10
2022-10-17,20736.408203125,20935.19921875,22198.30078125,20150.0,20725.0,493365,2022-10-17
2022-10-24,21573.037109375,21779.849609375,21820.0,20998.349609375,21250.0,195458,2022-10-24
2022-10-31,22745.548828125,22963.599609375,23037.19921875,21760.5,21760.5,380921,2022-10-31
2022-11-07,22646.896484375,22864.0,23676.900390625,22303.0,22970.0,187125,2022-11-07
2022-11-14,22928.197265625,23148.0,23391.94921875,22800.0,22864.0,166581,2022-11-14
2022-11-21,22984.013671875,23204.349609375,23387.94921875,22900.0,23050.0,148518,2022-11-21
2022-11-28,23866.056640625,24094.849609375,24162.0,23120.19921875,23120.19921875,165795,2022-11-28
2022-12-05,24209.46484375,24441.55078125,24612.900390625,23550.0,24090.0,141314,2022-12-05
2022-12-12,23500.51171875,23725.80078125,24575.0,23633.0,24370.05078125,115837,2022-12-12
2022-12-19,23050.427734375,23271.400390625,23940.599609375,23170.55078125,23775.0,159335,2022-12-19
2022-12-26,23068.302734375,23289.44921875,24442.0,23055.400390625,23289.94921875,203317,2022-12-26
2023-01-02,23626.552734375,23853.05078125,24590.0,23139.0,23296.5,212452,2023-01-02
2023-01-09,23910.529296875,24139.75,24290.25,23205.0,23972.349609375,148441,2023-01-09
2023-01-16,24189.0625,24420.94921875,24773.0,23817.0,24120.0,139306,2023-01-16
2023-01-23,21693.236328125,21901.19921875,24549.5,21410.0,24449.94921875,251238,2023-01-23
2023-01-30,24235.265625,24467.599609375,24742.80078125,21860.0,21860.0,375375,2023-01-30
2023-02-06,23742.984375,23970.599609375,24604.849609375,22752.0,24318.94921875,293468,2023-02-06
2023-02-13,25512.8203125,25757.400390625,26050.05078125,23812.400390625,23999.0,389633,2023-02-13
2023-02-20,25217.083984375,25412.80078125,27049.0,25200.0,25600.0,519841,2023-02-20
2023-02-27,25458.3125,25655.900390625,26789.0,24880.0,25350.0,270456,2023-02-27
2023-03-06,25980.111328125,26181.75,26663.849609375,25150.0,25750.0,214180,2023-03-06
2023-03-13,24967.96484375,25161.75,26151.0,25034.94921875,26030.05078125,204924,2023-03-13
2023-03-20,25315.173828125,25511.650390625,25700.0,24751.599609375,25327.150390625,180133,2023-03-20
2023-03-27,25985.267578125,26186.94921875,26425.0,25031.0,25450.0,144235,2023-03-27
2023-04-03,25963.19140625,26164.69921875,26599.900390625,25830.0,26299.94921875,78809,2023-04-03
2023-04-10,25609.4375,25808.19921875,26484.0,25775.25,26125.099609375,127815,2023-04-10
2023-04-17,23703.0859375,23887.05078125,26100.0,23830.05078125,25850.0,131057,2023-04-17
2023-04-24,24147.03515625,24334.44921875,24400.0,23550.0,24048.19921875,176212,2023-04-24
2023-05-01,24327.388671875,24516.19921875,24620.0,23951.19921875,24334.44921875,112380,2023-05-01
2023-05-08,24560.23046875,24750.849609375,24935.0,24068.94921875,24520.0,114737,2023-05-08
2023-05-15,24220.66796875,24408.650390625,25050.0,23727.599609375,24750.849609375,106817,2023-05-15
2023-05-22,24784.638671875,24977.0,25450.0,23705.75,24327.19921875,260904,2023-05-22
2023-05-29,24845.568359375,25038.400390625,25885.0,24969.94921875,25050.0,371062,2023-05-29
2023-06-05,25307.125,25447.80078125,26137.900390625,24707.650390625,25168.94921875,213018,2023-06-05
2023-06-12,26068.2421875,26213.150390625,26400.0,25380.55078125,25550.0,134145,2023-06-12
2023-06-19,25006.244140625,25145.25,26580.0,25066.0,26419.80078125,175524,2023-06-19
2023-06-26,23754.40625,23886.44921875,24299.94921875,22605.599609375,22630.75,712166,2023-06-26
2023-07-03,23751.322265625,23883.349609375,24559.80078125,23722.849609375,24200.0,147981,2023-07-03
2023-07-10,24205.1015625,24339.650390625,24511.900390625,23560.900390625,23907.0,245830,2023-07-10
2023-07-17,22961.115234375,23088.75,24527.349609375,23026.0,24440.0,221829,2023-07-17
2023-07-24,23915.111328125,24048.05078125,24340.0,23090.19921875,23200.0,214916,2023-07-24
2023-07-31,24090.287109375,24224.19921875,24299.0,23800.0,23800.0,155940,2023-07-31
2023-08-07,23977.314453125,24110.599609375,24400.0,23926.94921875,24400.0,110188,2023-08-07
2023-08-14,23407.13671875,23537.25,24129.75,23451.0,24101.0,76894,2023-08-14
2023-08-21,23720.4453125,23852.30078125,24290.0,23524.25,23669.94921875,151620,2023-08-21
2023-08-28,24005.90625,24139.349609375,24325.0,23752.400390625,23949.0,135639,2023-08-28
2023-09-04,25829.51953125,25973.099609375,26049.19921875,24449.0,24590.0,251212,2023-09-04
2023-09-11,26646.130859375,26794.25,27117.94921875,25505.650390625,25970.0,254549,2023-09-11
2023-09-18,25796.3046875,25939.69921875,26822.599609375,25820.0,26675.349609375,128844,2023-09-18
2023-09-25,25324.228515625,25465.0,26543.0,25342.55078125,25939.69921875,127273,2023-09-25
2023-10-02,25644.697265625,25787.25,25940.0,25309.099609375,25465.0,67045,2023-10-02
2023-10-09,26702.716796875,26851.150390625,26920.0,25501.0,25649.05078125,85682,2023-10-09
2023-10-16,25940.455078125,26084.650390625,27298.94921875,25900.0,26850.0,121997,2023-10-16
2023-10-23,25373.455078125,25514.5,26199.5,25309.0,26025.0,132513,2023-10-23
2023-10-30,25814.353515625,25957.849609375,26145.0,25326.150390625,25699.900390625,83270,2023-10-30
2023-11-06,26212.791015625,26358.5,26750.0,25758.05078125,26026.0,131336,2023-11-06
2023-11-13,26054.966796875,26199.80078125,26480.0,25966.94921875,26300.0,61382,2023-11-13
2023-11-20,25503.6328125,25645.400390625,26315.0,25600.0,26199.80078125,142267,2023-11-20
2023-11-27,26877.1484375,27026.55078125,27065.44921875,25600.0,25645.400390625,91382,2023-11-27
2023-12-04,27517.287109375,27670.25,28151.0,27051.69921875,27120.150390625,105840,2023-12-04
2023-12-11,28599.919921875,28758.900390625,28997.650390625,27742.849609375,27880.0,93554,2023-12-11
2023-12-18,28030.734375,28186.55078125,28859.30078125,27905.75,28789.0,90609,2023-12-18
2023-12-25,28494.904296875,28653.30078125,29250.0,28186.55078125,28186.55078125,63779,2023-12-25
2024-01-01,26873.91796875,27023.30078125,28750.0,26931.349609375,28750.0,124533,2024-01-01
2024-01-08,26725.439453125,26874.0,27736.30078125,26600.0,26983.05078125,100679,2024-01-08
2024-01-15,26502.181640625,26649.5,27348.0,25650.0,26951.0,167162,2024-01-15
2024-01-22,27794.30078125,27948.80078125,28249.5,26649.5,26649.5,110564,2024-01-22
2024-01-29,28296.654296875,28453.94921875,30737.75,27921.94921875,27998.75,368357,2024-01-29
2024-02-05,27477.361328125,27630.099609375,29000.05078125,26699.19921875,29000.0,206790,2024-02-05
2024-02-12,26199.21484375,26298.0,27709.599609375,26250.0,27630.099609375,107448,2024-02-12
2024-02-19,26390.14453125,26489.650390625,26894.400390625,26207.400390625,26426.0,100113,2024-02-19
2024-02-26,25541.49609375,25637.80078125,26506.900390625,25421.5,26340.19921875,158798,2024-02-26
2024-03-04,24613.09375,24705.900390625,25845.80078125,24458.0,25790.0,184000,2024-03-04
