Date,Adj Close_MOREPENLAB.NS,Close_MOREPENLAB.NS,High_MOREPENLAB.NS,Low_MOREPENLAB.NS,Open_MOREPENLAB.NS,Volume_MOREPENLAB.NS,Date
2021-04-05,38.70000076293945,38.70000076293945,39.400001525878906,31.799999237060547,34.099998474121094,40924608,2021-04-05
2021-04-12,39.0,39.0,41.75,35.04999923706055,38.20000076293945,53262077,2021-04-12
2021-04-19,50.0,50.0,55.349998474121094,36.599998474121094,37.45000076293945,152120536,2021-04-19
2021-04-26,65.4000015258789,65.4000015258789,66.0,48.349998474121094,50.900001525878906,146229884,2021-04-26
2021-05-03,61.79999923706055,61.79999923706055,72.05000305175781,58.900001525878906,66.30000305175781,35085819,2021-05-03
2021-05-10,58.79999923706055,58.79999923706055,64.8499984741211,56.70000076293945,64.0,37259119,2021-05-10
2021-05-17,58.849998474121094,58.849998474121094,60.349998474121094,54.70000076293945,59.349998474121094,23426997,2021-05-17
2021-05-24,56.25,56.25,59.900001525878906,56.0,59.70000076293945,13303241,2021-05-24
2021-05-31,58.650001525878906,58.650001525878906,60.79999923706055,52.45000076293945,56.5,23770486,2021-05-31
2021-06-07,64.19999694824219,64.19999694824219,66.75,58.5,59.95000076293945,53157684,2021-06-07
2021-06-14,62.849998474121094,62.849998474121094,72.4000015258789,60.0,64.8499984741211,50265937,2021-06-14
2021-06-21,63.0,63.0,67.5,61.099998474121094,61.099998474121094,16293284,2021-06-21
2021-06-28,63.29999923706055,63.29999923706055,65.94999694824219,62.099998474121094,63.5,13108784,2021-06-28
2021-07-05,71.0,71.0,75.0,63.099998474121094,63.5,61734330,2021-07-05
2021-07-12,66.80000305175781,66.80000305175781,73.8499984741211,66.5,72.30000305175781,15592296,2021-07-12
2021-07-19,65.3499984741211,65.3499984741211,69.4000015258789,64.5999984741211,66.25,8611252,2021-07-19
2021-07-26,65.30000305175781,65.30000305175781,71.0,64.5,65.5999984741211,18619796,2021-07-26
2021-08-02,60.25,60.25,66.19999694824219,59.04999923706055,65.9000015258789,10159466,2021-08-02
2021-08-09,55.5,55.5,60.70000076293945,50.29999923706055,60.599998474121094,12555940,2021-08-09
2021-08-16,52.20000076293945,52.20000076293945,55.75,51.849998474121094,55.599998474121094,5441774,2021-08-16
2021-08-23,52.150001525878906,52.150001525878906,53.5,46.849998474121094,52.5,7379703,2021-08-23
2021-08-30,55.099998474121094,55.099998474121094,57.0,51.099998474121094,52.400001525878906,9320808,2021-08-30
2021-09-06,55.75,55.75,56.95000076293945,53.099998474121094,55.400001525878906,4242208,2021-09-06
2021-09-13,60.20000076293945,60.20000076293945,61.900001525878906,55.849998474121094,55.849998474121094,16498448,2021-09-13
