Date,Adj Close_ASKAUTOLTD.NS,Close_ASKAUTOLTD.NS,High_ASKAUTOLTD.NS,Low_ASKAUTOLTD.NS,Open_ASKAUTOLTD.NS,Volume_ASKAUTOLTD.NS,Date
2024-08-05,405.6850280761719,406.70001220703125,409.0,370.54998779296875,390.95001220703125,2067169,2024-08-05
2024-08-12,417.54998779296875,417.54998779296875,419.5,392.04998779296875,401.0,1132830,2024-08-12
2024-08-19,441.5,441.5,445.79998779296875,416.54998779296875,420.8500061035156,1735488,2024-08-19
2024-08-26,461.6000061035156,461.6000061035156,474.79998779296875,434.54998779296875,446.0,1594383,2024-08-26
2024-09-02,453.79998779296875,453.79998779296875,467.3500061035156,442.0,460.0,1288736,2024-09-02
2024-09-09,461.45001220703125,461.45001220703125,469.29998779296875,441.0,453.79998779296875,1083111,2024-09-09
2024-09-16,458.79998779296875,458.79998779296875,478.25,437.54998779296875,463.20001220703125,975540,2024-09-16
2024-09-23,443.20001220703125,443.20001220703125,485.29998779296875,440.0,458.79998779296875,4684155,2024-09-23
2024-09-30,412.1499938964844,412.1499938964844,445.0,406.1000061035156,441.3999938964844,2208764,2024-09-30
2024-10-07,402.8999938964844,402.8999938964844,415.5,382.8999938964844,413.0,1947273,2024-10-07
2024-10-14,420.29998779296875,420.29998779296875,431.70001220703125,398.0,407.0,1703821,2024-10-14
2024-10-21,406.5,406.5,429.45001220703125,392.8500061035156,429.0,1520907,2024-10-21
2024-10-28,441.70001220703125,441.70001220703125,444.75,408.04998779296875,417.6000061035156,821698,2024-10-28
2024-11-04,441.04998779296875,441.04998779296875,462.0,438.54998779296875,445.0,1439818,2024-11-04
2024-11-11,415.6000061035156,415.6000061035156,442.8500061035156,403.0,432.0,713956,2024-11-11
2024-11-18,432.54998779296875,432.54998779296875,445.70001220703125,418.04998779296875,424.0,834599,2024-11-18
2024-11-25,454.95001220703125,454.95001220703125,458.70001220703125,431.6499938964844,441.79998779296875,990826,2024-11-25
2024-12-02,464.6499938964844,464.6499938964844,472.8999938964844,445.04998779296875,450.1000061035156,1466204,2024-12-02
2024-12-09,482.04998779296875,482.04998779296875,499.3999938964844,464.0,464.6499938964844,2456944,2024-12-09
2024-12-16,470.6000061035156,470.6000061035156,508.95001220703125,465.75,486.0,1663831,2024-12-16
2024-12-23,465.6000061035156,465.6000061035156,484.0,457.95001220703125,483.6000061035156,568828,2024-12-23
2024-12-30,493.79998779296875,493.79998779296875,499.20001220703125,455.79998779296875,465.6000061035156,972999,2024-12-30
2025-01-06,465.8999938964844,465.8999938964844,496.3500061035156,460.0,494.04998779296875,946534,2025-01-06
2025-01-13,461.79998779296875,461.79998779296875,468.70001220703125,426.1499938964844,455.20001220703125,1062001,2025-01-13
2025-01-20,437.3999938964844,437.3999938964844,479.8500061035156,427.20001220703125,462.70001220703125,848351,2025-01-20
2025-01-27,435.8500061035156,435.8500061035156,460.0,404.0,436.0,1177803,2025-01-27
2025-02-03,431.1000061035156,431.1000061035156,454.0,429.75,436.0,442090,2025-02-03
2025-02-10,415.0,415.0,435.95001220703125,408.3500061035156,433.54998779296875,1128433,2025-02-10
2025-02-17,436.1000061035156,436.1000061035156,438.45001220703125,415.1499938964844,423.95001220703125,795751,2025-02-17
2025-02-24,363.29998779296875,363.29998779296875,435.0,355.04998779296875,435.0,2217583,2025-02-24
2025-03-03,413.6000061035156,413.6000061035156,413.6000061035156,333.29998779296875,346.54998779296875,1021874,2025-03-03
2025-03-10,410.20001220703125,410.20001220703125,431.95001220703125,386.3999938964844,419.0,876075,2025-03-10
2025-03-17,454.1000061035156,454.1000061035156,459.20001220703125,407.95001220703125,408.0,657018,2025-03-17
2025-03-24,445.70001220703125,445.70001220703125,469.8999938964844,429.8999938964844,455.0,1026843,2025-03-24
2025-03-31,413.8999938964844,413.8999938964844,456.79998779296875,413.8999938964844,450.0,288125,2025-03-31
2025-04-07,407.6000061035156,407.6000061035156,424.95001220703125,372.54998779296875,372.54998779296875,652694,2025-04-07
2025-04-14,424.29998779296875,424.29998779296875,437.5,414.0,417.8999938964844,230216,2025-04-14
2025-04-21,408.25,408.25,445.54998779296875,404.1000061035156,431.79998779296875,810606,2025-04-21
2025-04-28,390.79998779296875,390.79998779296875,415.0,383.3500061035156,407.25,576877,2025-04-28
2025-05-05,414.54998779296875,414.54998779296875,430.45001220703125,385.20001220703125,393.0,569741,2025-05-05
2025-05-12,434.1499938964844,434.1499938964844,458.0,423.04998779296875,423.70001220703125,1260245,2025-05-12
2025-05-19,439.29998779296875,439.29998779296875,445.20001220703125,425.54998779296875,434.04998779296875,528588,2025-05-19
2025-05-26,451.04998779296875,451.04998779296875,470.45001220703125,425.79998779296875,439.79998779296875,961913,2025-05-26
2025-06-02,461.70001220703125,461.70001220703125,472.0,438.3999938964844,451.04998779296875,1168752,2025-06-02
2025-06-09,453.1000061035156,453.1000061035156,467.20001220703125,438.70001220703125,462.3999938964844,729713,2025-06-09
2025-06-16,471.29998779296875,471.29998779296875,483.0,438.6000061035156,451.1000061035156,2566081,2025-06-16
2025-06-23,523.4500122070312,523.4500122070312,533.7000122070312,466.20001220703125,472.0,2730117,2025-06-23
2025-06-30,521.5999755859375,521.5999755859375,547.7000122070312,509.0,530.0,1609095,2025-06-30
2025-07-07,542.3499755859375,542.3499755859375,547.4500122070312,505.25,526.8499755859375,1471350,2025-07-07
2025-07-14,549.7000122070312,549.7000122070312,552.0,534.0,542.7000122070312,670244,2025-07-14
