Date,Adj Close_SAGARDEEP.NS,Close_SAGARDEEP.NS,High_SAGARDEEP.NS,Low_SAGARDEEP.NS,Open_SAGARDEEP.NS,Volume_SAGARDEEP.NS,Date
2022-05-30,29.450000762939453,29.450000762939453,31.0,28.950000762939453,30.899999618530273,126507,2022-05-30
2022-06-06,30.149999618530273,30.149999618530273,32.099998474121094,29.049999237060547,29.899999618530273,185466,2022-06-06
2022-06-13,29.049999237060547,29.049999237060547,30.700000762939453,28.700000762939453,30.0,113088,2022-06-13
2022-06-20,27.399999618530273,27.399999618530273,30.5,24.649999618530273,28.600000381469727,130848,2022-06-20
2022-06-27,26.399999618530273,26.399999618530273,28.450000762939453,23.350000381469727,27.700000762939453,174226,2022-06-27
2022-07-04,27.049999237060547,27.049999237060547,28.5,25.75,26.0,151548,2022-07-04
2022-07-11,26.950000762939453,26.950000762939453,27.5,26.350000381469727,27.5,101466,2022-07-11
2022-07-18,26.850000381469727,26.850000381469727,27.700000762939453,24.100000381469727,26.149999618530273,159254,2022-07-18
2022-07-25,26.75,26.75,27.850000381469727,26.350000381469727,26.549999237060547,155524,2022-07-25
2022-08-01,28.25,28.25,29.0,26.049999237060547,26.799999237060547,245526,2022-08-01
2022-08-08,36.20000076293945,36.20000076293945,40.599998474121094,28.299999237060547,28.850000381469727,1042395,2022-08-08
2022-08-15,32.75,32.75,36.650001525878906,31.299999237060547,36.20000076293945,178250,2022-08-15
2022-08-22,31.149999618530273,31.149999618530273,33.599998474121094,28.899999618530273,32.0,158110,2022-08-22
2022-08-29,30.399999618530273,30.399999618530273,33.0,28.700000762939453,28.75,121396,2022-08-29
2022-09-05,31.299999237060547,31.299999237060547,32.0,29.600000381469727,30.399999618530273,140281,2022-09-05
2022-09-12,31.25,31.25,32.400001525878906,30.149999618530273,30.700000762939453,95000,2022-09-12
2022-09-19,30.75,30.75,32.0,30.0,30.950000762939453,61475,2022-09-19
2022-09-26,29.950000762939453,29.950000762939453,31.700000762939453,27.899999618530273,31.549999237060547,120058,2022-09-26
2022-10-03,28.600000381469727,28.600000381469727,31.0,28.0,29.350000381469727,118388,2022-10-03
2022-10-10,28.450000762939453,28.450000762939453,29.299999237060547,28.0,28.600000381469727,54768,2022-10-10
2022-10-17,27.899999618530273,27.899999618530273,29.149999618530273,25.799999237060547,28.399999618530273,71291,2022-10-17
2022-10-24,27.899999618530273,27.899999618530273,28.950000762939453,27.450000762939453,28.700000762939453,29102,2022-10-24
2022-10-31,27.600000381469727,27.600000381469727,28.700000762939453,26.149999618530273,28.700000762939453,66524,2022-10-31
2022-11-07,27.600000381469727,27.600000381469727,28.600000381469727,27.0,27.649999618530273,63736,2022-11-07
2022-11-14,26.450000762939453,26.450000762939453,28.399999618530273,26.0,27.899999618530273,86054,2022-11-14
2022-11-21,26.600000381469727,26.600000381469727,27.5,25.549999237060547,27.100000381469727,111665,2022-11-21
