Date,Adj Close_VETO.NS,Close_VETO.NS,High_VETO.NS,Low_VETO.NS,Open_VETO.NS,Volume_VETO.NS,Date
2023-07-17,104.71519470214844,106.19999694824219,111.5,105.6500015258789,106.0999984741211,638010,2023-07-17
2023-07-24,104.7645034790039,106.25,109.69999694824219,105.0,106.9000015258789,436568,2023-07-24
2023-07-31,114.57538604736328,116.19999694824219,122.80000305175781,105.0,107.94999694824219,2028380,2023-07-31
2023-08-07,119.60408782958984,121.30000305175781,132.3000030517578,115.55000305175781,117.0999984741211,3830741,2023-08-07
2023-08-14,135.92269897460938,137.85000610351562,142.39999389648438,114.6500015258789,122.0,5933797,2023-08-14
2023-08-21,140.6555938720703,142.64999389648438,147.0,132.14999389648438,143.5,7267269,2023-08-21
2023-08-28,133.55624389648438,135.4499969482422,145.35000610351562,132.64999389648438,143.4499969482422,1435800,2023-08-28
2023-09-04,134.0492706298828,135.9499969482422,144.0,134.60000610351562,136.4499969482422,1514373,2023-09-04
2023-09-11,125.322998046875,127.0999984741211,137.14999389648438,121.0999984741211,136.85000610351562,1314088,2023-09-11
2023-09-18,130.1051788330078,131.9499969482422,138.0,124.19999694824219,127.0,1815177,2023-09-18
2023-09-25,127.01861572265625,127.8499984741211,132.0,125.6500015258789,131.0,467416,2023-09-25
2023-10-02,125.97544860839844,126.80000305175781,129.89999389648438,122.5999984741211,127.8499984741211,362677,2023-10-02
2023-10-09,119.16998291015625,119.94999694824219,126.19999694824219,118.5,125.5999984741211,771152,2023-10-09
2023-10-16,118.72291564941406,119.5,125.69999694824219,117.3499984741211,121.6500015258789,636163,2023-10-16
2023-10-23,112.51355743408203,113.25,121.0,106.80000305175781,120.5,527204,2023-10-23
2023-10-30,114.94762420654297,115.69999694824219,118.4000015258789,111.44999694824219,114.30000305175781,308450,2023-10-30
2023-11-06,117.232666015625,118.0,126.0,115.0,116.80000305175781,556385,2023-11-06
2023-11-13,115.09664916992188,115.8499984741211,120.44999694824219,115.0,120.44999694824219,267549,2023-11-13
2023-11-20,117.03397369384766,117.80000305175781,119.9000015258789,113.6500015258789,117.75,350357,2023-11-20
2023-11-27,123.6407241821289,124.44999694824219,131.5,117.4000015258789,117.80000305175781,2581829,2023-11-27
2023-12-04,118.9216079711914,119.69999694824219,127.25,118.55000305175781,126.5,575835,2023-12-04
2023-12-11,117.43136596679688,118.19999694824219,124.4000015258789,118.0,119.69999694824219,594226,2023-12-11
2023-12-18,116.04047393798828,116.80000305175781,123.5999984741211,112.3499984741211,118.19999694824219,638444,2023-12-18
2023-12-25,114.3018569946289,115.05000305175781,119.3499984741211,113.4000015258789,116.80000305175781,276749,2023-12-25
