Date,Adj Close_KNRCON.NS,Close_KNRCON.NS,High_KNRCON.NS,Low_KNRCON.NS,Open_KNRCON.NS,Volume_KNRCON.NS,Date
2021-01-18,184.09939575195312,184.75,186.0,175.25,183.75,2477044,2021-01-18
2021-01-25,183.80044555664062,184.4499969482422,192.5,181.5,192.25,3009796,2021-01-25
2021-02-01,210.4064178466797,211.14999389648438,242.0,184.5,184.5500030517578,21987929,2021-02-01
2021-02-08,221.06875610351562,221.85000610351562,232.89999389648438,201.25,214.35000610351562,6115566,2021-02-08
2021-02-15,212.49903869628906,213.25,227.75,212.0,225.0,3407722,2021-02-15
2021-02-22,205.87246704101562,206.60000610351562,216.0,201.60000610351562,214.8000030517578,2506179,2021-02-22
2021-03-01,212.9972686767578,213.75,218.5,204.0,210.0,3648052,2021-03-01
2021-03-08,211.15379333496094,211.89999389648438,219.6999969482422,207.5,215.0,3135644,2021-03-08
2021-03-15,204.82614135742188,205.5500030517578,212.9499969482422,193.14999389648438,212.0,2101852,2021-03-15
2021-03-22,205.07528686523438,205.8000030517578,210.0,197.0500030517578,208.0,2506643,2021-03-22
2021-03-29,211.0541229248047,211.8000030517578,216.8000030517578,204.0,205.8000030517578,2431499,2021-03-29
2021-04-05,211.0541229248047,211.8000030517578,221.8000030517578,205.0,212.0,3713590,2021-04-05
2021-04-12,203.33143615722656,204.0500030517578,209.75,195.6999969482422,205.10000610351562,1609823,2021-04-12
2021-04-19,194.46275329589844,195.14999389648438,206.39999389648438,193.9499969482422,196.0,1750734,2021-04-19
2021-04-26,199.3455352783203,200.0500030517578,202.5,188.0,196.85000610351562,3194899,2021-04-26
2021-05-03,198.84727478027344,199.5500030517578,202.0,196.0,200.0,1155374,2021-05-03
2021-05-10,207.81558227539062,208.5500030517578,218.5,199.5500030517578,199.5500030517578,2669782,2021-05-10
2021-05-17,226.94798278808594,227.75,230.0,209.10000610351562,209.5500030517578,6433852,2021-05-17
2021-05-24,216.28565979003906,217.0500030517578,239.4499969482422,216.0,231.10000610351562,5735123,2021-05-24
2021-05-31,228.24339294433594,229.0500030517578,231.60000610351562,217.39999389648438,218.0,2687885,2021-05-31
2021-06-07,222.01541137695312,222.8000030517578,232.0,220.25,231.0,1752457,2021-06-07
2021-06-14,222.21469116210938,223.0,229.60000610351562,216.1999969482422,222.89999389648438,8185367,2021-06-14
2021-06-21,219.4744110107422,220.25,225.5,215.0,218.0,1569885,2021-06-21
2021-06-28,236.3647003173828,237.1999969482422,259.8999938964844,218.6999969482422,221.0,17410646,2021-06-28
2021-07-05,242.24391174316406,243.10000610351562,254.0,239.0,244.0,7698474,2021-07-05
2021-07-12,254.99884033203125,255.89999389648438,264.75,237.0,245.25,10628125,2021-07-12
2021-07-19,269.2485046386719,270.20001220703125,273.8999938964844,249.25,251.0,5997741,2021-07-19
2021-07-26,269.8962097167969,270.8500061035156,283.8999938964844,260.6499938964844,268.75,4260221,2021-07-26
2021-08-02,278.96417236328125,279.95001220703125,289.45001220703125,268.45001220703125,272.0,4173941,2021-08-02
2021-08-09,284.7935485839844,285.79998779296875,293.79998779296875,264.6499938964844,281.5,5846398,2021-08-09
2021-08-16,286.4377136230469,287.45001220703125,307.8999938964844,281.0,287.04998779296875,9785468,2021-08-16
2021-08-23,317.3285827636719,318.45001220703125,323.6000061035156,283.0,298.0,6731649,2021-08-23
2021-08-30,324.7523193359375,325.8999938964844,343.8999938964844,315.6000061035156,319.0,5771337,2021-08-30
2021-09-06,311.9476013183594,313.04998779296875,331.3999938964844,311.5,326.1000061035156,3271694,2021-09-06
2021-09-13,300.4880676269531,301.54998779296875,324.0,296.0,314.0,7292511,2021-09-13
2021-09-20,291.07135009765625,292.1000061035156,310.6499938964844,287.70001220703125,301.0,4383005,2021-09-20
2021-09-27,289.1264953613281,289.8999938964844,296.0,284.25,294.70001220703125,2120770,2021-09-27
2021-10-04,287.97955322265625,288.75,294.8500061035156,283.75,291.8999938964844,2306907,2021-10-04
2021-10-11,305.6323547363281,306.45001220703125,315.3500061035156,287.95001220703125,288.75,4594793,2021-10-11
2021-10-18,291.669677734375,292.45001220703125,312.5,287.1000061035156,308.0,3046082,2021-10-18
2021-10-25,279.05340576171875,279.79998779296875,292.95001220703125,274.70001220703125,288.8999938964844,1455965,2021-10-25
2021-11-01,294.16302490234375,294.95001220703125,296.0,278.0,278.0,1289509,2021-11-01
2021-11-08,283.990234375,284.75,305.29998779296875,266.3500061035156,295.6000061035156,3555808,2021-11-08
2021-11-15,286.2840881347656,287.04998779296875,302.5,279.8999938964844,285.0,2630659,2021-11-15
2021-11-22,262.1486511230469,262.8500061035156,289.1499938964844,258.6499938964844,287.04998779296875,1562054,2021-11-22
2021-11-29,280.1504821777344,280.8999938964844,284.29998779296875,242.35000610351562,255.35000610351562,1848445,2021-11-29
2021-12-06,288.32861328125,289.1000061035156,294.8999938964844,270.20001220703125,282.0,1244772,2021-12-06
2021-12-13,288.8771667480469,289.6499938964844,299.0,280.25,292.0,1682409,2021-12-13
2021-12-20,285.1870422363281,285.95001220703125,289.0,272.8999938964844,285.0,951727,2021-12-20
2021-12-27,299.0499267578125,299.8500061035156,302.8999938964844,282.1000061035156,287.0,2562636,2021-12-27
2022-01-03,292.1683349609375,292.95001220703125,308.5,288.79998779296875,303.79998779296875,2719555,2022-01-03
2022-01-10,314.0099182128906,314.8500061035156,325.0,293.6499938964844,293.70001220703125,5639633,2022-01-10
2022-01-17,314.2093505859375,315.04998779296875,321.0,308.04998779296875,315.79998779296875,2752900,2022-01-17
2022-01-24,301.2440490722656,302.04998779296875,319.54998779296875,280.0,315.54998779296875,2354844,2022-01-24
2022-01-31,310.6189880371094,311.45001220703125,329.8500061035156,304.5,306.0,4955889,2022-01-31
2022-02-07,310.8683166503906,311.70001220703125,317.0,306.54998779296875,312.79998779296875,1242931,2022-02-07
2022-02-14,312.314453125,313.1499938964844,315.0,292.1000061035156,312.0,2829298,2022-02-14
2022-02-21,313.51123046875,314.3500061035156,319.20001220703125,292.6000061035156,313.0,2693844,2022-02-21
2022-02-28,305.7320251464844,306.54998779296875,324.0,300.25,314.3500061035156,2133391,2022-02-28
2022-03-07,306.08111572265625,306.8999938964844,308.95001220703125,281.70001220703125,303.0,2469994,2022-03-07
2022-03-14,282.4443664550781,283.20001220703125,311.0,267.6000061035156,308.3999938964844,5443432,2022-03-14
2022-03-21,279.25286865234375,280.0,288.79998779296875,274.1000061035156,277.0,1544700,2022-03-21
2022-03-28,291.91900634765625,292.70001220703125,294.0,268.29998779296875,280.0,2588347,2022-03-28
2022-04-04,286.6331481933594,287.3999938964844,297.0,283.25,295.6000061035156,1165059,2022-04-04
2022-04-11,285.7854309082031,286.54998779296875,292.79998779296875,279.0,289.0,625377,2022-04-11
2022-04-18,277.0089111328125,277.75,283.70001220703125,272.04998779296875,283.70001220703125,795255,2022-04-18
2022-04-25,269.628662109375,270.3500061035156,281.8999938964844,268.0,277.95001220703125,1007131,2022-04-25
2022-05-02,262.9465026855469,263.6499938964844,278.0,250.4499969482422,268.0,833211,2022-05-02
2022-05-09,229.48605346679688,230.10000610351562,264.1499938964844,225.4499969482422,263.3999938964844,1549888,2022-05-09
2022-05-16,232.8271026611328,233.4499969482422,243.64999389648438,228.89999389648438,230.0,660188,2022-05-16
2022-05-23,241.3542938232422,242.0,248.0,220.8000030517578,237.0,1348370,2022-05-23
2022-05-30,249.33294677734375,250.0,270.0,236.4499969482422,242.0,3577979,2022-05-30
2022-06-06,249.88148498535156,250.5500030517578,262.54998779296875,245.0500030517578,250.0,1227497,2022-06-06
2022-06-13,225.19752502441406,225.8000030517578,248.6999969482422,223.3000030517578,248.0,861563,2022-06-13
2022-06-20,225.74606323242188,226.35000610351562,230.75,207.5,226.0,2663156,2022-06-20
2022-06-27,235.02122497558594,235.64999389648438,236.5,225.39999389648438,230.0,942095,2022-06-27
2022-07-04,238.06309509277344,238.6999969482422,248.14999389648438,228.6999969482422,236.25,1214908,2022-07-04
2022-07-11,249.73187255859375,250.39999389648438,253.25,234.0,238.0,699701,2022-07-11
2022-07-18,251.97586059570312,252.64999389648438,260.95001220703125,246.35000610351562,256.0,839891,2022-07-18
2022-07-25,262.89666748046875,263.6000061035156,264.3500061035156,248.0,253.89999389648438,596330,2022-07-25
2022-08-01,256.5635986328125,257.25,269.3999938964844,254.4499969482422,263.0,637922,2022-08-01
2022-08-08,259.4558410644531,260.1499938964844,268.5,255.64999389648438,259.0,372143,2022-08-08
2022-08-15,254.86813354492188,255.5500030517578,266.0,254.60000610351562,260.1499938964844,730150,2022-08-15
2022-08-22,261.0017395019531,261.70001220703125,265.45001220703125,246.10000610351562,255.5500030517578,1102879,2022-08-22
2022-08-29,255.26705932617188,255.9499969482422,268.70001220703125,250.10000610351562,251.0,930288,2022-08-29
2022-09-05,253.4718780517578,254.14999389648438,258.5,249.3000030517578,256.8999938964844,1427083,2022-09-05
2022-09-12,244.54574584960938,245.1999969482422,255.4499969482422,231.0,254.0,3285423,2022-09-12
2022-09-19,235.47003173828125,236.10000610351562,251.89999389648438,234.1999969482422,244.0,970884,2022-09-19
2022-09-26,228.37606811523438,228.75,238.89999389648438,222.9499969482422,230.0,1080957,2022-09-26
2022-10-03,231.37115478515625,231.75,233.5,225.5,228.75,446877,2022-10-03
2022-10-10,221.38751220703125,221.75,230.89999389648438,220.25,230.1999969482422,332648,2022-10-10
