Date,Adj Close_HIRECT.NS,Close_HIRECT.NS,High_HIRECT.NS,Low_HIRECT.NS,Open_HIRECT.NS,Volume_HIRECT.NS,Date
2021-10-04,187.71221923828125,188.4499969482422,195.5500030517578,185.5,195.5500030517578,67521,2021-10-04
2021-10-11,186.0686798095703,186.8000030517578,193.0,186.0,192.5,41803,2021-10-11
2021-10-18,173.41839599609375,174.10000610351562,191.0,170.0,188.9499969482422,103299,2021-10-18
2021-10-25,190.0530242919922,190.8000030517578,197.8000030517578,165.1999969482422,173.0,191464,2021-10-25
2021-11-01,190.60086059570312,191.35000610351562,202.25,178.9499969482422,193.9499969482422,134868,2021-11-01
2021-11-08,190.8498992919922,191.60000610351562,196.9499969482422,188.0,192.0,61371,2021-11-08
2021-11-15,171.0277862548828,171.6999969482422,194.35000610351562,149.0,190.0,50734,2021-11-15
2021-11-22,171.2768096923828,171.9499969482422,187.0,165.64999389648438,172.0,80333,2021-11-22
2021-11-29,169.58346557617188,170.25,175.3000030517578,164.14999389648438,172.0,39889,2021-11-29
2021-12-06,199.9142608642578,200.6999969482422,204.0,168.0,174.8000030517578,151170,2021-12-06
2021-12-13,187.16436767578125,187.89999389648438,214.0,185.64999389648438,202.0,208243,2021-12-13
2021-12-20,230.6434783935547,231.5500030517578,249.0,178.0,187.0,1293079,2021-12-20
2021-12-27,235.3250732421875,236.25,255.0,225.0500030517578,229.89999389648438,337768,2021-12-27
2022-01-03,256.7906799316406,257.79998779296875,288.0,237.8000030517578,239.89999389648438,608412,2022-01-03
2022-01-10,237.46665954589844,238.39999389648438,269.0,234.75,261.0,103723,2022-01-10
2022-01-17,235.3250732421875,236.25,250.0,230.0,236.0,57471,2022-01-17
2022-01-24,230.2450408935547,231.14999389648438,239.6999969482422,215.0,239.6999969482422,40552,2022-01-24
2022-01-31,232.78504943847656,233.6999969482422,239.75,221.25,239.75,28881,2022-01-31
2022-02-07,229.09954833984375,230.0,254.6999969482422,225.0,238.8000030517578,40519,2022-02-07
2022-02-14,200.51190185546875,201.3000030517578,219.0500030517578,194.0,219.0500030517578,64305,2022-02-14
2022-02-21,182.3831787109375,183.10000610351562,197.0500030517578,180.5,197.0500030517578,27309,2022-02-21
2022-02-28,189.1565399169922,189.89999389648438,194.89999389648438,176.60000610351562,181.0,32397,2022-02-28
2022-03-07,188.4592742919922,189.1999969482422,193.5,175.10000610351562,181.1999969482422,39107,2022-03-07
