Date,Adj Close_ATAM.NS,Close_ATAM.NS,High_ATAM.NS,Low_ATAM.NS,Open_ATAM.NS,Volume_ATAM.NS,Date
2023-11-06,149.85940551757812,150.60000610351562,172.0,146.0,172.0,214963,2023-11-06
2023-11-13,143.9884033203125,144.6999969482422,158.0,136.0,152.5,293196,2023-11-13
2023-11-20,180.20941162109375,181.10000610351562,181.10000610351562,145.3000030517578,149.39999389648438,515801,2023-11-20
2023-11-27,187.37400817871094,188.3000030517578,199.64999389648438,180.3000030517578,181.10000610351562,396860,2023-11-27
2023-12-04,228.81918334960938,229.9499969482422,229.9499969482422,187.10000610351562,195.0,396071,2023-12-04
2023-12-11,206.8776092529297,207.89999389648438,241.39999389648438,206.25,241.39999389648438,527833,2023-12-11
2023-12-18,202.44949340820312,203.4499969482422,225.9499969482422,200.10000610351562,213.64999389648438,317869,2023-12-18
2023-12-25,212.54959106445312,213.60000610351562,221.35000610351562,196.0,203.4499969482422,417390,2023-12-25
2024-01-01,206.2805633544922,207.3000030517578,218.0,201.9499969482422,218.0,199457,2024-01-01
2024-01-08,204.38990783691406,205.39999389648438,212.9499969482422,196.5,207.3000030517578,259411,2024-01-08
2024-01-15,216.92794799804688,218.0,218.0,203.8000030517578,205.39999389648438,223302,2024-01-15
2024-01-22,203.74310302734375,204.75,223.85000610351562,201.5,218.0,131652,2024-01-22
2024-01-29,193.19522094726562,194.14999389648438,208.60000610351562,192.0,207.0,198260,2024-01-29
2024-02-05,202.2007293701172,203.1999969482422,219.39999389648438,194.0500030517578,195.0,290229,2024-02-05
2024-02-12,172.29849243164062,173.14999389648438,210.0,158.14999389648438,210.0,267033,2024-02-12
2024-02-19,168.71621704101562,169.5500030517578,180.9499969482422,165.0,178.0,120329,2024-02-19
2024-02-26,173.84088134765625,174.6999969482422,176.0,165.0500030517578,170.0,102535,2024-02-26
2024-03-04,165.979736328125,166.8000030517578,174.0,162.8000030517578,174.0,90519,2024-03-04
2024-03-11,169.8605499267578,170.6999969482422,175.9499969482422,144.3000030517578,175.9499969482422,183917,2024-03-11
2024-03-18,177.6719512939453,178.5500030517578,186.89999389648438,173.3000030517578,182.9499969482422,180323,2024-03-18
2024-03-25,166.3777618408203,167.1999969482422,179.85000610351562,166.0,179.85000610351562,88905,2024-03-25
2024-04-01,197.62335205078125,198.60000610351562,200.0,172.0,173.5,187055,2024-04-01
2024-04-08,222.69943237304688,223.8000030517578,228.10000610351562,185.0500030517578,201.9499969482422,1466737,2024-04-08
2024-04-15,184.88629150390625,185.8000030517578,220.8000030517578,184.0,214.85000610351562,748950,2024-04-15
2024-04-22,194.48883056640625,195.4499969482422,209.0,190.10000610351562,191.0,261993,2024-04-22
2024-04-29,193.74252319335938,194.6999969482422,200.0,189.0,200.0,111955,2024-04-29
2024-05-06,216.43040466308594,217.5,226.60000610351562,194.0,197.0,691249,2024-05-06
2024-05-13,210.41015625,211.4499969482422,224.9499969482422,202.0,220.0,97782,2024-05-13
2024-05-20,214.04220581054688,215.10000610351562,228.64999389648438,210.0,214.25,130781,2024-05-20
2024-05-27,207.27565002441406,208.3000030517578,219.5,199.5,215.10000610351562,417163,2024-05-27
2024-06-03,208.5692596435547,209.60000610351562,211.9499969482422,186.0,206.0,201037,2024-06-03
2024-06-10,211.0768585205078,212.1199951171875,228.99000549316406,209.8000030517578,215.0,567640,2024-06-10
2024-06-17,205.61386108398438,206.6300048828125,216.0,204.0,213.5,224496,2024-06-17
2024-06-24,193.34449768066406,194.3000030517578,207.89999389648438,192.5500030517578,202.0,149688,2024-06-24
2024-07-01,193.5335693359375,194.49000549316406,200.25,193.64999389648438,195.5,88039,2024-07-01
2024-07-08,190.89659118652344,191.83999633789062,198.85000610351562,183.0,195.1999969482422,243906,2024-07-08
2024-07-15,179.43325805664062,180.32000732421875,199.0,179.0,193.60000610351562,240884,2024-07-15
2024-07-22,187.39390563964844,188.32000732421875,188.33999633789062,169.91000366210938,180.32000732421875,1051224,2024-07-22
2024-07-29,178.42820739746094,179.30999755859375,197.72999572753906,175.0,189.00999450683594,2139409,2024-07-29
2024-08-05,180.03028869628906,180.9199981689453,183.72000122070312,162.50999450683594,176.99000549316406,559831,2024-08-05
2024-08-12,169.87051391601562,170.7100067138672,184.89999389648438,168.0,180.9199981689453,318394,2024-08-12
2024-08-19,168.8356170654297,169.6699981689453,191.08999633789062,163.8800048828125,170.7100067138672,1824895,2024-08-19
2024-08-26,158.97434997558594,159.75999450683594,178.6999969482422,158.9499969482422,172.0,1201974,2024-08-26
2024-09-02,165.65135192871094,166.47000122070312,168.89999389648438,154.0,160.60000610351562,1059272,2024-09-02
2024-09-09,155.45176696777344,156.22000122070312,168.3800048828125,154.0,167.88999938964844,834534,2024-09-09
2024-09-16,151.75999450683594,152.50999450683594,159.0,149.39999389648438,159.0,235497,2024-09-16
2024-09-23,155.73037719726562,156.5,162.99000549316406,151.0,153.3000030517578,514723,2024-09-23
2024-09-30,150.25,150.25,158.19000244140625,149.39999389648438,157.3000030517578,169753,2024-09-30
2024-10-07,151.19000244140625,151.19000244140625,155.0399932861328,140.61000061035156,144.0,144759,2024-10-07
2024-10-14,150.57000732421875,150.57000732421875,155.2899932861328,146.10000610351562,152.0,186639,2024-10-14
2024-10-21,127.33000183105469,127.33000183105469,151.3699951171875,124.0,151.0,362287,2024-10-21
2024-10-28,132.89999389648438,132.89999389648438,134.39999389648438,124.05000305175781,125.0,221589,2024-10-28
2024-11-04,142.60000610351562,142.60000610351562,156.0,126.55000305175781,132.89999389648438,232419,2024-11-04
2024-11-11,142.0500030517578,142.0500030517578,157.8000030517578,139.25,150.0,368048,2024-11-11
2024-11-18,144.24000549316406,144.24000549316406,158.75,140.25999450683594,144.0,178870,2024-11-18
2024-11-25,145.2100067138672,145.2100067138672,151.97999572753906,144.50999450683594,147.38999938964844,111228,2024-11-25
2024-12-02,149.44000244140625,149.44000244140625,152.0,144.55999755859375,145.2100067138672,124829,2024-12-02
2024-12-09,140.67999267578125,140.67999267578125,149.44000244140625,137.02000427246094,149.44000244140625,145364,2024-12-09
2024-12-16,133.99000549316406,133.99000549316406,143.58999633789062,133.0,140.67999267578125,90051,2024-12-16
2024-12-23,136.41000366210938,136.41000366210938,142.39999389648438,128.0500030517578,134.50999450683594,106506,2024-12-23
2024-12-30,134.88999938964844,134.88999938964844,139.2100067138672,129.00999450683594,137.0,142103,2024-12-30
2025-01-06,126.9000015258789,126.9000015258789,139.00999450683594,123.55000305175781,136.00999450683594,102273,2025-01-06
2025-01-13,132.52999877929688,132.52999877929688,133.1999969482422,118.3499984741211,126.62000274658203,128135,2025-01-13
2025-01-20,128.32000732421875,128.32000732421875,148.0,127.0,134.5,278152,2025-01-20
2025-01-27,126.29000091552734,126.29000091552734,131.5,114.95999908447266,124.6500015258789,150127,2025-01-27
2025-02-03,122.36000061035156,122.36000061035156,126.5999984741211,121.0,122.0,106865,2025-02-03
2025-02-10,103.04000091552734,103.04000091552734,124.72000122070312,100.19999694824219,121.25,259443,2025-02-10
2025-02-17,101.75,101.75,104.5,91.5,102.0,173408,2025-02-17
2025-02-24,92.4000015258789,92.4000015258789,103.5,90.19999694824219,100.0,88650,2025-02-24
2025-03-03,97.36000061035156,97.36000061035156,98.0,82.20999908447266,90.02999877929688,196421,2025-03-03
2025-03-10,82.37999725341797,82.37999725341797,102.86000061035156,81.05999755859375,97.98999786376953,267262,2025-03-10
2025-03-17,85.19999694824219,85.19999694824219,90.0,78.0199966430664,82.37999725341797,283376,2025-03-17
2025-03-24,78.33000183105469,78.33000183105469,90.0,76.9800033569336,86.5,456086,2025-03-24
2025-03-31,86.16999816894531,86.16999816894531,89.11000061035156,78.33000183105469,78.33000183105469,145176,2025-03-31
2025-04-07,83.05000305175781,83.05000305175781,90.02999877929688,80.80999755859375,83.98999786376953,190236,2025-04-07
2025-04-14,93.98999786376953,93.98999786376953,95.9000015258789,83.5,83.5,84888,2025-04-14
2025-04-21,104.19000244140625,104.19000244140625,116.44999694824219,93.45999908447266,93.98999786376953,514727,2025-04-21
2025-04-28,99.98999786376953,99.98999786376953,109.0,98.80000305175781,101.5999984741211,54255,2025-04-28
2025-05-05,90.56999969482422,90.56999969482422,103.94999694824219,89.55000305175781,103.94000244140625,95571,2025-05-05
2025-05-12,104.52999877929688,104.52999877929688,108.55999755859375,92.01000213623047,92.01000213623047,149648,2025-05-12
2025-05-19,107.95999908447266,107.95999908447266,109.94999694824219,101.0,103.1500015258789,81519,2025-05-19
2025-05-26,101.29000091552734,101.29000091552734,110.5999984741211,98.51000213623047,110.5999984741211,155471,2025-05-26
2025-06-02,101.12999725341797,101.12999725341797,106.97000122070312,99.98999786376953,106.97000122070312,76926,2025-06-02
2025-06-09,114.30999755859375,114.30999755859375,128.0,97.0,101.0,1226216,2025-06-09
2025-06-16,107.52999877929688,107.52999877929688,117.1500015258789,105.19999694824219,117.1500015258789,124800,2025-06-16
2025-06-23,110.87999725341797,110.87999725341797,112.0,102.51000213623047,107.0999984741211,153093,2025-06-23
2025-06-30,107.27999877929688,107.27999877929688,114.19999694824219,107.0,110.5,81520,2025-06-30
2025-07-07,108.01000213623047,108.01000213623047,110.98999786376953,106.0,106.20999908447266,100516,2025-07-07
2025-07-14,107.0,107.0,108.7699966430664,105.0,108.08000183105469,24012,2025-07-14
