Date,Adj Close_MICEL.NS,Close_MICEL.NS,High_MICEL.NS,Low_MICEL.NS,Open_MICEL.NS,Volume_MICEL.NS,Date
2023-03-13,11.949999809265137,11.949999809265137,12.800000190734863,11.5,12.350000381469727,247338,2023-03-13
2023-03-20,12.0,12.0,12.600000381469727,11.600000381469727,12.25,390407,2023-03-20
2023-03-27,11.850000381469727,11.850000381469727,12.850000381469727,11.550000190734863,12.25,528111,2023-03-27
2023-04-03,12.899999618530273,12.899999618530273,13.050000190734863,11.699999809265137,12.399999618530273,801265,2023-04-03
2023-04-10,12.199999809265137,12.199999809265137,13.199999809265137,12.100000381469727,13.199999809265137,477972,2023-04-10
2023-04-17,12.25,12.25,12.75,11.75,12.199999809265137,515851,2023-04-17
2023-04-24,12.699999809265137,12.699999809265137,12.949999809265137,12.0,12.399999618530273,800573,2023-04-24
2023-05-01,17.600000381469727,17.600000381469727,17.600000381469727,12.699999809265137,12.699999809265137,1514610,2023-05-01
2023-05-08,17.950000762939453,17.950000762939453,20.299999237060547,17.549999237060547,18.450000762939453,3147174,2023-05-08
2023-05-15,18.200000762939453,18.200000762939453,19.649999618530273,17.0,17.25,1412124,2023-05-15
2023-05-22,17.25,17.25,18.850000381469727,15.800000190734863,17.649999618530273,687248,2023-05-22
2023-05-29,19.549999237060547,19.549999237060547,20.899999618530273,18.049999237060547,18.100000381469727,1091255,2023-05-29
2023-06-05,18.700000762939453,18.700000762939453,20.200000762939453,18.100000381469727,19.799999237060547,732501,2023-06-05
2023-06-12,23.700000762939453,23.700000762939453,23.700000762939453,18.799999237060547,19.25,989884,2023-06-12
2023-06-19,23.700000762939453,23.700000762939453,23.700000762939453,23.700000762939453,23.700000762939453,0,2023-06-19
2023-06-26,23.25,23.25,23.25,23.25,23.25,561662,2023-06-26
2023-07-03,23.399999618530273,23.399999618530273,23.700000762939453,22.799999237060547,23.399999618530273,850807,2023-07-03
2023-07-10,23.799999237060547,23.799999237060547,23.850000381469727,23.700000762939453,23.799999237060547,313251,2023-07-10
2023-07-17,23.700000762939453,23.700000762939453,24.25,23.700000762939453,23.700000762939453,318290,2023-07-17
2023-07-24,30.0,30.0,30.100000381469727,24.850000381469727,24.850000381469727,1742956,2023-07-24
2023-07-31,25.549999237060547,25.549999237060547,30.75,25.549999237060547,30.75,477902,2023-07-31
2023-08-07,26.899999618530273,26.899999618530273,27.0,26.049999237060547,26.049999237060547,472493,2023-08-07
2023-08-14,29.0,29.0,29.0,27.399999618530273,27.399999618530273,335071,2023-08-14
2023-08-21,29.5,29.5,31.299999237060547,29.5,29.549999237060547,364306,2023-08-21
2023-08-28,28.75,28.75,29.0,27.450000762939453,28.950000762939453,484279,2023-08-28
2023-09-04,30.75,30.75,31.600000381469727,29.299999237060547,29.299999237060547,522246,2023-09-04
2023-09-11,28.200000762939453,28.200000762939453,31.299999237060547,28.149999618530273,30.299999237060547,380908,2023-09-11
2023-09-18,24.799999237060547,24.799999237060547,29.600000381469727,24.799999237060547,29.600000381469727,1064587,2023-09-18
2023-09-25,25.899999618530273,25.899999618530273,26.0,22.850000381469727,25.25,929978,2023-09-25
2023-10-02,31.0,31.0,31.350000381469727,25.899999618530273,25.899999618530273,3015982,2023-10-02
2023-10-09,36.900001525878906,36.900001525878906,37.599998474121094,30.399999618530273,32.349998474121094,5267660,2023-10-09
2023-10-16,46.900001525878906,46.900001525878906,46.900001525878906,38.099998474121094,38.099998474121094,4902806,2023-10-16
2023-10-23,38.25,38.25,48.0,38.25,48.0,3151589,2023-10-23
2023-10-30,39.54999923706055,39.54999923706055,40.25,35.29999923706055,36.349998474121094,5111847,2023-10-30
2023-11-06,39.0,39.0,43.54999923706055,38.70000076293945,40.79999923706055,1803736,2023-11-06
2023-11-13,37.70000076293945,37.70000076293945,40.099998474121094,37.0,39.25,1210360,2023-11-13
2023-11-20,36.29999923706055,36.29999923706055,39.400001525878906,36.0,37.0,977354,2023-11-20
2023-11-27,35.650001525878906,35.650001525878906,37.5,33.54999923706055,36.29999923706055,1090326,2023-11-27
2023-12-04,34.54999923706055,34.54999923706055,36.95000076293945,33.20000076293945,35.900001525878906,966536,2023-12-04
2023-12-11,35.79999923706055,35.79999923706055,37.900001525878906,34.54999923706055,35.349998474121094,1577810,2023-12-11
2023-12-18,34.099998474121094,34.099998474121094,36.45000076293945,31.950000762939453,36.150001525878906,846102,2023-12-18
2023-12-25,33.79999923706055,33.79999923706055,35.099998474121094,33.0,34.099998474121094,556211,2023-12-25
2024-01-01,34.29999923706055,34.29999923706055,34.5,33.400001525878906,34.400001525878906,862670,2024-01-01
2024-01-08,36.349998474121094,36.349998474121094,38.70000076293945,34.150001525878906,34.5,1909779,2024-01-08
2024-01-15,34.95000076293945,34.95000076293945,36.349998474121094,34.04999923706055,36.349998474121094,536329,2024-01-15
2024-01-22,34.70000076293945,34.70000076293945,36.099998474121094,33.04999923706055,34.95000076293945,458085,2024-01-22
2024-01-29,38.79999923706055,38.79999923706055,40.20000076293945,33.25,35.75,2869430,2024-01-29
2024-02-05,37.95000076293945,37.95000076293945,42.70000076293945,37.04999923706055,40.45000076293945,4925166,2024-02-05
2024-02-12,46.849998474121094,46.849998474121094,46.849998474121094,36.150001525878906,39.849998474121094,5497056,2024-02-12
2024-02-19,48.25,48.25,53.650001525878906,44.29999923706055,51.400001525878906,7986803,2024-02-19
2024-02-26,47.150001525878906,47.150001525878906,50.900001525878906,44.79999923706055,49.25,3361302,2024-02-26
2024-03-04,45.099998474121094,45.099998474121094,49.95000076293945,43.150001525878906,49.5,2441414,2024-03-04
2024-03-11,39.75,39.75,45.5,36.849998474121094,45.45000076293945,2207386,2024-03-11
2024-03-18,41.849998474121094,41.849998474121094,43.70000076293945,38.599998474121094,40.150001525878906,1314202,2024-03-18
2024-03-25,39.5,39.5,43.150001525878906,38.349998474121094,41.849998474121094,1239155,2024-03-25
2024-04-01,44.400001525878906,44.400001525878906,47.0,40.349998474121094,41.0,2241684,2024-04-01
2024-04-08,42.25,42.25,45.70000076293945,41.0,45.349998474121094,946809,2024-04-08
2024-04-15,40.75,40.75,42.5,39.0,39.04999923706055,1090765,2024-04-15
2024-04-22,48.79999923706055,48.79999923706055,55.70000076293945,42.099998474121094,42.95000076293945,6058633,2024-04-22
2024-04-29,48.29999923706055,48.29999923706055,51.349998474121094,48.0,51.0,1752133,2024-04-29
2024-05-06,46.849998474121094,46.849998474121094,50.29999923706055,45.900001525878906,49.29999923706055,2055552,2024-05-06
2024-05-13,49.79999923706055,49.79999923706055,50.95000076293945,45.900001525878906,47.79999923706055,1941177,2024-05-13
2024-05-20,54.150001525878906,54.150001525878906,59.79999923706055,49.099998474121094,49.5,7778628,2024-05-20
2024-05-27,48.900001525878906,48.900001525878906,56.400001525878906,48.0,54.150001525878906,4345076,2024-05-27
2024-06-03,49.29999923706055,49.29999923706055,51.25,43.900001525878906,51.25,3491796,2024-06-03
2024-06-10,53.040000915527344,53.040000915527344,54.81999969482422,48.0,50.29999923706055,4468619,2024-06-10
2024-06-17,64.44999694824219,64.44999694824219,64.44999694824219,53.040000915527344,53.040000915527344,3613785,2024-06-17
2024-06-24,82.23999786376953,82.23999786376953,82.23999786376953,66.05999755859375,67.66999816894531,8412891,2024-06-24
2024-07-01,85.9000015258789,85.9000015258789,99.94000244140625,85.9000015258789,86.3499984741211,11343795,2024-07-01
2024-07-08,87.29000091552734,87.29000091552734,93.77999877929688,81.5999984741211,82.0,19731399,2024-07-08
2024-07-15,87.81999969482422,87.81999969482422,97.80000305175781,87.81999969482422,89.19999694824219,5892822,2024-07-15
2024-07-22,82.93000030517578,82.93000030517578,94.5,80.5,83.5,6036676,2024-07-22
2024-07-29,81.08000183105469,81.08000183105469,86.69999694824219,80.0,86.0,3651174,2024-07-29
2024-08-05,75.41000366210938,75.41000366210938,84.5,75.0,78.0,2475744,2024-08-05
2024-08-12,80.33000183105469,80.33000183105469,82.9000015258789,72.01000213623047,75.0,2262484,2024-08-12
2024-08-19,77.19000244140625,77.19000244140625,81.0,75.5999984741211,81.0,1912490,2024-08-19
2024-08-26,83.30999755859375,83.30999755859375,88.5,76.0999984741211,76.0999984741211,3901697,2024-08-26
2024-09-02,80.0199966430664,80.0199966430664,86.0,78.0,86.0,1794887,2024-09-02
2024-09-09,94.45999908447266,94.45999908447266,94.45999908447266,79.80000305175781,81.94999694824219,3803556,2024-09-09
2024-09-16,98.66000366210938,98.66000366210938,114.79000091552734,96.3499984741211,99.0,4325375,2024-09-16
