Date,Adj Close_UNIVCABLES.NS,Close_UNIVCABLES.NS,High_UNIVCABLES.NS,Low_UNIVCABLES.NS,Open_UNIVCABLES.NS,Volume_UNIVCABLES.NS,Date
2021-04-05,138.26116943359375,141.35000610351562,146.89999389648438,134.5500030517578,142.0,101694,2021-04-05
2021-04-12,134.00624084472656,137.0,144.8000030517578,135.0,144.8000030517578,55568,2021-04-12
2021-04-19,133.6638641357422,136.64999389648438,139.89999389648438,128.64999389648438,136.75,93663,2021-04-19
2021-04-26,140.9021759033203,144.0500030517578,145.10000610351562,134.10000610351562,135.0500030517578,151747,2021-04-26
2021-05-03,154.49842834472656,157.9499969482422,168.75,141.0500030517578,144.0,1408205,2021-05-03
2021-05-10,144.1300506591797,147.35000610351562,162.6999969482422,145.0,159.1999969482422,246555,2021-05-10
2021-05-17,178.85430908203125,182.85000610351562,189.0,147.3000030517578,149.9499969482422,3302195,2021-05-17
2021-05-24,187.31527709960938,191.5,199.3000030517578,176.10000610351562,187.5500030517578,1610537,2021-05-24
2021-05-31,195.53170776367188,199.89999389648438,217.6999969482422,195.0,196.0,2014319,2021-05-31
2021-06-07,190.93443298339844,195.1999969482422,203.0,186.5,200.8000030517578,621397,2021-06-07
2021-06-14,176.8979949951172,180.85000610351562,198.6999969482422,173.0500030517578,192.1999969482422,387545,2021-06-14
2021-06-21,194.89590454101562,199.25,206.39999389648438,174.5500030517578,174.5500030517578,1147912,2021-06-21
2021-06-28,187.26637268066406,191.4499969482422,215.0,190.0,201.85000610351562,1531824,2021-06-28
2021-07-05,187.80435180664062,192.0,206.0500030517578,191.0,192.1999969482422,601659,2021-07-05
2021-07-12,190.5920867919922,194.85000610351562,199.39999389648438,190.25,193.89999389648438,482623,2021-07-12
2021-07-19,183.6961212158203,187.8000030517578,198.0,186.10000610351562,191.5500030517578,258777,2021-07-19
2021-07-26,179.34339904785156,183.35000610351562,190.5500030517578,178.3000030517578,189.39999389648438,257879,2021-07-26
2021-08-02,177.3381805419922,181.3000030517578,191.0,179.75,185.5,209942,2021-08-02
2021-08-09,170.54005432128906,174.35000610351562,185.9499969482422,165.0,181.6999969482422,208620,2021-08-09
2021-08-16,150.97708129882812,154.35000610351562,176.25,150.85000610351562,173.5,192597,2021-08-16
2021-08-23,160.90528869628906,164.5,172.0,147.0,158.10000610351562,253569,2021-08-23
2021-08-30,166.82308959960938,170.5500030517578,178.1999969482422,164.0,164.5,191825,2021-08-30
2021-09-06,172.00726318359375,175.85000610351562,182.0,167.5,172.85000610351562,206732,2021-09-06
2021-09-13,165.55149841308594,169.25,178.0,168.0,178.0,126053,2021-09-13
2021-09-20,164.8931884765625,167.60000610351562,175.5,155.0,169.25,228568,2021-09-20
2021-09-27,163.66336059570312,166.35000610351562,170.0,162.5,169.9499969482422,143428,2021-09-27
2021-10-04,180.19203186035156,183.14999389648438,188.8000030517578,167.25,168.39999389648438,540360,2021-10-04
2021-10-11,172.81317138671875,175.64999389648438,185.0,174.25,184.39999389648438,168039,2021-10-11
2021-10-18,163.51577758789062,166.1999969482422,179.10000610351562,161.35000610351562,178.39999389648438,134022,2021-10-18
2021-10-25,162.92547607421875,165.60000610351562,170.0,160.0,169.89999389648438,118182,2021-10-25
2021-11-01,165.08995056152344,167.8000030517578,169.89999389648438,164.10000610351562,164.25,43299,2021-11-01
2021-11-08,160.66262817382812,163.3000030517578,177.89999389648438,162.5500030517578,166.0500030517578,107503,2021-11-08
2021-11-15,164.15530395507812,166.85000610351562,174.35000610351562,159.6999969482422,163.5,257551,2021-11-15
2021-11-22,154.66114807128906,157.1999969482422,171.85000610351562,155.10000610351562,171.85000610351562,107781,2021-11-22
2021-11-29,147.3806610107422,149.8000030517578,158.4499969482422,144.0500030517578,155.5500030517578,129215,2021-11-29
