Date,Adj Close_360ONE.NS,Close_360ONE.NS,High_360ONE.NS,Low_360ONE.NS,Open_360ONE.NS,Volume_360ONE.NS,Date
2021-04-26,249.80194091796875,281.8374938964844,289.2250061035156,270.01251220703125,274.98748779296875,351092,2021-04-26
2021-05-03,264.6258544921875,298.5625,324.75,270.0,283.70001220703125,550244,2021-05-03
2021-05-10,263.55120849609375,297.3500061035156,307.0,283.3374938964844,307.0,188712,2021-05-10
2021-05-17,247.6304473876953,279.38751220703125,304.25,266.25,304.25,1620380,2021-05-17
2021-05-24,262.54296875,296.2124938964844,305.0,282.23748779296875,287.07501220703125,2822040,2021-05-24
2021-05-31,261.3575439453125,294.875,301.625,291.76251220703125,299.25,387756,2021-05-31
2021-06-07,263.6065368652344,297.4125061035156,300.25,285.01251220703125,297.0,437528,2021-06-07
2021-06-14,249.58030700683594,281.5874938964844,300.0,275.26251220703125,298.75,3071648,2021-06-14
2021-06-21,249.44735717773438,281.4375,291.25,276.4375,281.54998779296875,485292,2021-06-21
2021-06-28,254.86508178710938,287.54998779296875,296.25,278.20001220703125,286.0,481160,2021-06-28
2021-07-05,268.459228515625,302.88751220703125,315.0,291.2124938964844,295.0,934028,2021-07-05
2021-07-12,307.7569885253906,347.2250061035156,360.0,302.23748779296875,304.4125061035156,2263468,2021-07-12
2021-07-19,292.35699462890625,329.8500061035156,372.0,325.8999938964844,342.5,1756048,2021-07-19
2021-07-26,312.72052001953125,352.82501220703125,362.5,315.9375,325.25,1492812,2021-07-26
2021-08-02,360.7264404296875,406.98748779296875,412.25,336.04998779296875,362.2250061035156,16887232,2021-08-02
2021-08-09,343.29901123046875,387.32501220703125,419.6875,378.75,415.36248779296875,2957900,2021-08-09
2021-08-16,341.7989196777344,377.26251220703125,404.11248779296875,372.5,390.32501220703125,1506936,2021-08-16
2021-08-23,340.5871276855469,375.92498779296875,392.6875,369.0375061035156,377.0,683548,2021-08-23
2021-08-30,358.1974182128906,395.36248779296875,415.0,373.75,376.25,1242500,2021-08-30
2021-09-06,379.329833984375,418.6875,423.75,390.20001220703125,396.25,1467888,2021-09-06
2021-09-13,374.67529296875,413.54998779296875,431.25,395.04998779296875,428.5,2363260,2021-09-13
2021-09-20,371.70819091796875,410.2749938964844,413.0375061035156,382.9624938964844,405.0,1080384,2021-09-20
2021-09-27,362.3990478515625,400.0,419.0249938964844,389.01251220703125,418.48748779296875,879732,2021-09-27
2021-10-04,356.9064636230469,393.9375,412.4750061035156,390.01251220703125,407.25,429116,2021-10-04
2021-10-11,373.57672119140625,412.3374938964844,418.25,385.5874938964844,393.9375,891384,2021-10-11
2021-10-18,356.3968200683594,393.375,446.3500061035156,371.5249938964844,414.3999938964844,3110748,2021-10-18
2021-10-25,369.1713562011719,407.4750061035156,431.75,384.5,387.75,1775436,2021-10-25
2021-11-01,363.0445251464844,400.7124938964844,419.125,386.25,411.25,364952,2021-11-01
2021-11-08,361.6658020019531,394.125,444.25,389.29998779296875,404.45001220703125,467108,2021-11-08
2021-11-15,350.814697265625,382.29998779296875,407.73748779296875,377.4375,407.73748779296875,669260,2021-11-15
2021-11-22,350.9179382324219,382.4125061035156,389.98748779296875,368.75,384.2124938964844,863680,2021-11-22
2021-11-29,342.7853088378906,373.54998779296875,392.1000061035156,358.375,389.75,541332,2021-11-29
2021-12-06,337.2909240722656,367.5625,386.75,363.1625061035156,377.75,774016,2021-12-06
2021-12-13,309.5207824707031,337.29998779296875,402.45001220703125,323.75,363.75,22204932,2021-12-13
2021-12-20,322.82659912109375,351.79998779296875,359.23748779296875,327.75,336.5,3230960,2021-12-20
2021-12-27,325.68280029296875,354.9125061035156,363.6000061035156,347.92498779296875,349.0,949848,2021-12-27
2022-01-03,348.7270202636719,380.0249938964844,385.0,349.76251220703125,352.5,1530060,2022-01-03
2022-01-10,375.31573486328125,409.0,411.25,380.0,381.9375,1231660,2022-01-10
2022-01-17,373.6410827636719,407.17498779296875,416.61248779296875,380.26251220703125,412.54998779296875,1908980,2022-01-17
2022-01-24,349.47259521484375,380.8374938964844,407.625,364.75,407.17498779296875,1172648,2022-01-24
2022-01-31,380.24810791015625,414.375,421.75,381.3374938964844,382.75,1454068,2022-01-31
2022-02-07,369.23638916015625,402.375,426.2250061035156,397.5,421.5,963968,2022-02-07
2022-02-14,367.84844970703125,400.86248779296875,416.25,376.23748779296875,400.0,1543680,2022-02-14
2022-02-21,346.18060302734375,377.25,392.8500061035156,362.48748779296875,392.8500061035156,1649384,2022-02-21
2022-02-28,343.78326416015625,374.63751220703125,387.20001220703125,363.0,372.5,733232,2022-02-28
2022-03-07,343.28997802734375,374.1000061035156,389.67498779296875,355.9750061035156,356.6625061035156,976592,2022-03-07
2022-03-14,356.5155334472656,388.51251220703125,396.61248779296875,355.98748779296875,375.0,1418556,2022-03-14
2022-03-21,382.0375061035156,416.32501220703125,423.75,384.2875061035156,392.25,2132952,2022-03-21
2022-03-28,389.51629638671875,424.4750061035156,448.75,407.5,424.0,6561256,2022-03-28
2022-04-04,415.3134765625,452.5874938964844,456.25,414.3999938964844,421.5,2074416,2022-04-04
2022-04-11,410.8628845214844,447.73748779296875,461.98748779296875,438.88751220703125,456.25,678344,2022-04-11
2022-04-18,404.7835693359375,441.11248779296875,477.07501220703125,434.0,440.5,1047088,2022-04-18
2022-04-25,394.85009765625,430.2875061035156,439.9750061035156,415.0625,435.0,933076,2022-04-25
2022-05-02,388.3692321777344,423.2250061035156,457.75,417.375,417.375,806660,2022-05-02
2022-05-09,334.2168273925781,364.2124938964844,435.0,357.5,420.0,1207312,2022-05-09
2022-05-16,360.5531311035156,392.9125061035156,406.25,371.26251220703125,383.73748779296875,536464,2022-05-16
2022-05-23,345.50384521484375,376.51251220703125,399.25,359.7749938964844,392.5,603788,2022-05-23
2022-05-30,352.6500244140625,384.29998779296875,397.76251220703125,375.0,380.11248779296875,356800,2022-05-30
2022-06-06,342.3735656738281,368.3374938964844,387.5,363.0,385.0,380160,2022-06-06
2022-06-13,321.0180358886719,345.36248779296875,372.98748779296875,337.5,362.5,996540,2022-06-13
2022-06-20,318.7291564941406,342.8999938964844,346.57501220703125,308.95001220703125,345.25,4025796,2022-06-20
2022-06-27,359.0699157714844,386.29998779296875,387.5,342.8999938964844,342.8999938964844,1338412,2022-06-27
2022-07-04,364.2402648925781,391.86248779296875,395.0,369.625,385.25,785656,2022-07-04
2022-07-11,362.3929138183594,389.875,406.61248779296875,385.0,388.375,292936,2022-07-11
2022-07-18,380.3905029296875,409.23748779296875,431.25,392.01251220703125,395.75,907684,2022-07-18
2022-07-25,388.52374267578125,417.98748779296875,422.5,400.25,409.25,602380,2022-07-25
2022-08-01,385.0730285644531,414.2749938964844,426.5,407.3999938964844,419.0249938964844,753296,2022-08-01
2022-08-08,388.4417419433594,414.1499938964844,417.5,405.54998779296875,414.2749938964844,287036,2022-08-08
2022-08-15,394.80792236328125,420.9375,426.0874938964844,410.2749938964844,414.1499938964844,427144,2022-08-15
2022-08-22,390.95068359375,416.82501220703125,427.5,410.5,425.25,263824,2022-08-22
2022-08-29,389.49688720703125,415.2749938964844,423.75,407.5,407.5,225284,2022-08-29
2022-09-05,410.1546936035156,437.29998779296875,456.25,412.54998779296875,417.73748779296875,1284324,2022-09-05
2022-09-12,426.5566101074219,454.7875061035156,469.25,418.0,438.9375,1542756,2022-09-12
2022-09-19,411.52642822265625,438.76251220703125,486.25,434.5,457.0625,1352180,2022-09-19
2022-09-26,431.5159912109375,460.07501220703125,462.5,426.54998779296875,433.57501220703125,630528,2022-09-26
2022-10-03,429.241455078125,457.6499938964844,475.0,447.51251220703125,459.79998779296875,459648,2022-10-03
2022-10-10,423.9656066894531,452.0249938964844,455.9624938964844,438.75,452.5625,485412,2022-10-10
2022-10-17,410.1312255859375,437.2749938964844,475.0,432.5,453.7124938964844,1083236,2022-10-17
2022-10-24,423.0511474609375,451.04998779296875,453.7250061035156,426.42498779296875,442.25,527960,2022-10-24
2022-10-31,430.3618469238281,454.5,471.25,440.25,453.3125,1078904,2022-10-31
2022-11-07,418.34814453125,441.8125,462.5,433.4375,457.0,285408,2022-11-07
2022-11-14,419.2003479003906,442.7124938964844,457.5,436.26251220703125,441.0,285548,2022-11-14
2022-11-21,419.2950744628906,442.8125,460.3125,427.5,442.7124938964844,243612,2022-11-21
2022-11-28,425.5918884277344,449.4624938964844,481.0,439.0,439.0,4895424,2022-11-28
2022-12-05,420.0170593261719,443.57501220703125,455.98748779296875,440.0,450.0,4490348,2022-12-05
2022-12-12,436.4811706542969,460.9624938964844,474.75,437.5375061035156,437.5375061035156,13978848,2022-12-12
2022-12-19,414.0279541015625,437.25,478.61248779296875,434.5249938964844,464.0,789372,2022-12-19
2022-12-26,420.537841796875,444.125,447.125,431.6499938964844,431.6499938964844,435080,2022-12-26
2023-01-02,420.2419738769531,443.8125,452.86248779296875,437.2749938964844,444.26251220703125,540484,2023-01-02
2023-01-09,422.1238708496094,445.79998779296875,476.75,435.0,446.0375061035156,1683036,2023-01-09
2023-01-16,455.04022216796875,480.5625,487.5,448.38751220703125,448.38751220703125,3078660,2023-01-16
2023-01-23,443.0264892578125,467.875,490.0,459.2749938964844,487.5,731544,2023-01-23
2023-01-30,449.5955810546875,474.8125,481.98748779296875,425.5,425.5,1013616,2023-01-30
2023-02-06,443.6117858886719,464.23748779296875,487.25,451.9375,476.75,972896,2023-02-06
2023-02-13,433.1841735839844,453.32501220703125,467.25,451.3999938964844,464.23748779296875,305104,2023-02-13
2023-02-20,424.44061279296875,444.17498779296875,474.5,440.88751220703125,457.5,1289460,2023-02-20
2023-02-27,426.9490051269531,446.79998779296875,489.95001220703125,425.01251220703125,446.25,1073631,2023-02-27
2023-03-06,422.7445068359375,442.3999938964844,455.0,430.1000061035156,445.0,535088,2023-03-06
2023-03-13,405.5442199707031,424.3999938964844,443.79998779296875,420.25,440.0,800297,2023-03-13
2023-03-20,410.0353698730469,429.1000061035156,440.0,395.1000061035156,425.0,1114429,2023-03-20
2023-03-27,411.5643615722656,430.70001220703125,440.0,404.95001220703125,427.0,915152,2023-03-27
2023-04-03,420.2599792480469,439.79998779296875,444.3999938964844,418.29998779296875,427.0,1545215,2023-04-03
2023-04-10,409.12762451171875,428.1499938964844,442.95001220703125,420.6499938964844,442.95001220703125,1238860,2023-04-10
2023-04-17,388.91729736328125,407.0,442.3999938964844,395.79998779296875,428.1499938964844,7212359,2023-04-17
2023-04-24,401.1963806152344,419.8500061035156,420.8999938964844,403.20001220703125,412.25,963952,2023-04-24
2023-05-01,395.5107116699219,413.8999938964844,423.8999938964844,408.0,419.8500061035156,748746,2023-05-01
2023-05-08,390.8761901855469,409.04998779296875,418.0,399.70001220703125,418.0,1048551,2023-05-08
2023-05-15,389.24615478515625,403.29998779296875,418.0,398.0,414.75,3727482,2023-05-15
2023-05-22,401.6966247558594,416.20001220703125,420.6000061035156,401.0,403.0,1992763,2023-05-22
2023-05-29,404.4955749511719,419.1000061035156,426.0,415.0,419.95001220703125,1904737,2023-05-29
2023-06-05,405.0746765136719,419.70001220703125,433.0,415.0,422.95001220703125,3986701,2023-06-05
2023-06-12,425.2945861816406,440.6499938964844,445.1000061035156,417.3500061035156,420.0,3042467,2023-06-12
2023-06-19,434.89788818359375,450.6000061035156,470.5,419.8500061035156,441.1499938964844,2677929,2023-06-19
2023-06-26,439.1445617675781,455.0,461.3999938964844,436.5,453.54998779296875,1300840,2023-06-26
2023-07-03,465.1554260253906,481.95001220703125,490.25,454.04998779296875,455.0,1667312,2023-07-03
2023-07-10,492.8070373535156,510.6000061035156,514.8499755859375,481.8999938964844,485.45001220703125,1735476,2023-07-10
2023-07-17,497.9223937988281,515.9000244140625,545.0,511.04998779296875,515.1500244140625,1113649,2023-07-17
2023-07-24,492.9518127441406,510.75,526.9500122070312,506.8500061035156,521.0,567404,2023-07-24
2023-07-31,493.9602966308594,507.79998779296875,526.9000244140625,486.54998779296875,512.6500244140625,662106,2023-07-31
2023-08-07,501.3044738769531,515.3499755859375,517.9000244140625,498.0,508.95001220703125,748765,2023-08-07
2023-08-14,494.0089111328125,507.8500061035156,521.7999877929688,501.0,515.3499755859375,636920,2023-08-14
2023-08-21,495.7599182128906,509.6499938964844,518.7999877929688,503.0,510.0,1131418,2023-08-21
2023-08-28,464.5834045410156,477.6000061035156,512.0499877929688,475.0,512.0,3537696,2023-08-28
2023-09-04,506.16827392578125,520.3499755859375,527.5499877929688,483.0,486.6000061035156,4937916,2023-09-04
2023-09-11,512.2965698242188,526.6500244140625,570.0,515.4000244140625,529.0,6581372,2023-09-11
2023-09-18,514.4852294921875,528.9000244140625,532.0499877929688,508.95001220703125,528.0,2237746,2023-09-18
2023-09-25,488.4156494140625,502.1000061035156,532.0,497.75,532.0,2556366,2023-09-25
2023-10-02,493.863037109375,507.70001220703125,509.79998779296875,487.54998779296875,502.1000061035156,1141671,2023-10-02
2023-10-09,523.1912841796875,537.8499755859375,540.0,502.75,505.0,5657282,2023-10-09
2023-10-16,525.0394897460938,539.75,555.2000122070312,525.0999755859375,531.0999755859375,2499349,2023-10-16
2023-10-23,509.9133605957031,524.2000122070312,545.0,501.95001220703125,545.0,452288,2023-10-23
2023-10-30,516.625244140625,531.0999755859375,555.0,515.2999877929688,522.75,2717153,2023-10-30
2023-11-06,528.0064697265625,542.7999877929688,549.0,518.0999755859375,537.0,783695,2023-11-06
2023-11-13,535.5313720703125,546.5,570.0,530.0499877929688,532.0,1973506,2023-11-13
2023-11-20,532.1996459960938,543.0999755859375,558.4500122070312,534.2999877929688,546.4500122070312,1163524,2023-11-20
2023-11-27,574.0426025390625,585.7999877929688,588.0,539.5,543.0999755859375,1917945,2023-11-27
2023-12-04,634.5532836914062,647.5499877929688,657.7999877929688,597.25,608.9500122070312,17251365,2023-12-04
2023-12-11,656.503662109375,669.9500122070312,735.0,627.8499755859375,647.5499877929688,5015389,2023-12-11
2023-12-18,644.695556640625,657.9000244140625,673.8499755859375,627.1500244140625,662.9000244140625,3359203,2023-12-18
2023-12-25,695.602783203125,709.8499755859375,715.5999755859375,647.6500244140625,657.9000244140625,1860040,2023-12-25
2024-01-01,649.1541748046875,662.4500122070312,714.4000244140625,644.0499877929688,709.8499755859375,2091691,2024-01-01
2024-01-08,656.2587280273438,669.7000122070312,688.0,655.4000244140625,664.9000244140625,1900917,2024-01-08
2024-01-15,616.1305541992188,628.75,669.7000122070312,626.0499877929688,669.7000122070312,915769,2024-01-15
2024-01-22,617.5514526367188,630.2000122070312,644.9000244140625,591.5,628.75,1025604,2024-01-22
2024-01-29,592.8082885742188,604.9500122070312,643.5499877929688,601.0999755859375,633.0,2071994,2024-01-29
2024-02-05,645.7789916992188,654.2999877929688,669.7000122070312,597.25,610.0,3185582,2024-02-05
2024-02-12,683.3828735351562,692.4000244140625,726.9500122070312,641.0499877929688,651.8499755859375,4723092,2024-02-12
2024-02-19,712.30126953125,721.7000122070312,744.9000244140625,689.0,695.1500244140625,886829,2024-02-19
2024-02-26,722.1710205078125,731.7000122070312,788.9500122070312,707.9000244140625,721.9000244140625,3645428,2024-02-26
2024-03-04,670.9469604492188,679.7999877929688,739.7000122070312,675.8499755859375,730.75,895413,2024-03-04
2024-03-11,685.3074340820312,694.3499755859375,731.4500122070312,672.0,681.0499877929688,2237629,2024-03-11
2024-03-18,657.1785888671875,665.8499755859375,710.0,659.0499877929688,705.0,1653146,2024-03-18
2024-03-25,666.8015747070312,675.5999755859375,681.0,647.0,665.8499755859375,1277099,2024-03-25
2024-04-01,706.5767822265625,715.9000244140625,745.4500122070312,677.2999877929688,685.0,1391842,2024-04-01
2024-04-08,738.9496459960938,748.7000122070312,765.0,707.3499755859375,719.7000122070312,4438249,2024-04-08
2024-04-15,780.3038940429688,790.5999755859375,900.9500122070312,730.0,745.0499877929688,4225255,2024-04-15
2024-04-22,797.5267333984375,808.0499877929688,870.0,760.0499877929688,800.0,11611825,2024-04-22
2024-04-29,781.6364135742188,791.9500122070312,811.5,765.0999755859375,811.1500244140625,3041597,2024-04-29
2024-05-06,741.9657592773438,748.4000244140625,799.9500122070312,716.25,799.9500122070312,2600853,2024-05-06
2024-05-13,780.1347045898438,786.9000244140625,800.0,735.0499877929688,750.0,1769734,2024-05-13
2024-05-20,816.6182861328125,823.7000122070312,829.9000244140625,770.0,787.5999755859375,1974254,2024-05-20
2024-05-27,769.4771118164062,776.1500244140625,827.5999755859375,765.9000244140625,826.0,1511252,2024-05-27
2024-06-03,792.9733276367188,799.8499755859375,809.0,691.4000244140625,809.0,2734727,2024-06-03
2024-06-10,795.2039794921875,802.0999755859375,819.7000122070312,778.0,800.0,2711266,2024-06-10
2024-06-17,830.3988037109375,837.5999755859375,864.5,787.1500244140625,802.0999755859375,5100280,2024-06-17
2024-06-24,971.7232666015625,980.1500244140625,1065.0,826.0,837.5,11430760,2024-06-24
2024-07-01,956.4060668945312,964.7000122070312,1018.1500244140625,920.2000122070312,995.0,2971043,2024-07-01
2024-07-08,928.498046875,936.5499877929688,1034.949951171875,929.0999755859375,1034.949951171875,3265148,2024-07-08
2024-07-15,957.7940063476562,966.0999755859375,1015.0,926.2999877929688,937.0499877929688,2977930,2024-07-15
2024-07-22,988.1309814453125,996.7000122070312,1039.0,957.4000244140625,964.9500122070312,1768862,2024-07-22
2024-07-29,1047.218505859375,1056.300048828125,1215.0,1008.0499877929688,1014.0,7722836,2024-07-29
2024-08-05,1024.4658203125,1033.3499755859375,1042.949951171875,982.4000244140625,1019.3499755859375,2115712,2024-08-05
2024-08-12,1063.077392578125,1069.5999755859375,1089.0,996.0,1000.0,3801071,2024-08-12
2024-08-19,1078.333740234375,1084.949951171875,1112.8499755859375,1070.550048828125,1078.25,3070277,2024-08-19
2024-08-26,1066.4566650390625,1073.0,1134.9000244140625,1057.4000244140625,1084.949951171875,2652977,2024-08-26
2024-09-02,1083.203857421875,1089.8499755859375,1119.6500244140625,1062.300048828125,1080.0,2050794,2024-09-02
2024-09-09,1086.135986328125,1092.800048828125,1112.0,1054.5,1090.4000244140625,2204912,2024-09-09
2024-09-16,1082.6075439453125,1089.25,1134.800048828125,1038.6500244140625,1106.949951171875,2628796,2024-09-16
2024-09-23,1061.0399169921875,1067.550048828125,1105.0,1016.9500122070312,1089.25,2923520,2024-09-23
2024-09-30,1005.0335693359375,1011.2000122070312,1083.949951171875,940.0,1076.550048828125,4028696,2024-09-30
2024-10-07,1050.454833984375,1056.9000244140625,1080.0,953.4000244140625,1007.5999755859375,5427220,2024-10-07
2024-10-14,1062.7294921875,1069.25,1143.6500244140625,1047.5999755859375,1063.949951171875,3800132,2024-10-14
2024-10-21,1005.977783203125,1012.1500244140625,1119.0,982.0,1074.0,6472395,2024-10-21
2024-10-28,1070.03466796875,1076.5999755859375,1097.5,994.6500244140625,1016.8499755859375,1731472,2024-10-28
2024-11-04,1040.0684814453125,1046.449951171875,1099.800048828125,1011.75,1079.800048828125,1730244,2024-11-04
2024-11-11,1043.9945068359375,1050.4000244140625,1068.8499755859375,1001.0499877929688,1042.5,1083910,2024-11-11
2024-11-18,1075.7994384765625,1082.4000244140625,1114.0,1031.5,1051.0,2164916,2024-11-18
2024-11-25,1108.250244140625,1115.050048828125,1148.8499755859375,1076.5,1099.0,3949918,2024-11-25
2024-12-02,1113.816162109375,1120.6500244140625,1177.699951171875,1094.0,1115.0,2302167,2024-12-02
2024-12-09,1179.3638916015625,1186.5999755859375,1225.949951171875,1121.5,1124.449951171875,4343960,2024-12-09
2024-12-16,1241.88037109375,1249.5,1270.0,1184.5999755859375,1186.800048828125,3886144,2024-12-16
2024-12-23,1243.2718505859375,1250.9000244140625,1312.0999755859375,1201.199951171875,1238.050048828125,2741412,2024-12-23
2024-12-30,1289.2398681640625,1297.1500244140625,1311.3499755859375,1221.75,1254.949951171875,1887064,2024-12-30
2025-01-06,1122.214599609375,1129.0999755859375,1318.0,1112.449951171875,1306.0999755859375,2751567,2025-01-06
2025-01-13,1176.4815673828125,1183.699951171875,1221.300048828125,1089.0,1100.199951171875,6204509,2025-01-13
2025-01-20,1120.5250244140625,1127.4000244140625,1233.949951171875,1101.0,1175.199951171875,1951409,2025-01-20
2025-01-27,1017.4076538085938,1023.6500244140625,1121.949951171875,936.9000244140625,1120.449951171875,5714948,2025-01-27
2025-02-03,1012.4878540039062,1018.7000122070312,1050.0,968.0,1023.5499877929688,4763440,2025-02-03
2025-02-10,899.0836181640625,904.5999755859375,1029.5,900.0499877929688,1019.0,2214552,2025-02-10
2025-02-17,975.2661743164062,981.25,985.0,865.8499755859375,882.0999755859375,3854858,2025-02-17
2025-02-24,992.2122192382812,998.2999877929688,1067.25,966.4500122070312,980.9500122070312,7653751,2025-02-24
2025-03-03,966.9671630859375,972.9000244140625,1005.0499877929688,961.0,994.4000244140625,4262403,2025-03-03
2025-03-10,859.5759887695312,864.8499755859375,984.0,825.0,972.0,6274071,2025-03-10
2025-03-17,937.0009765625,942.75,982.0,851.0,864.8499755859375,8700096,2025-03-17
2025-03-24,936.901611328125,942.6500244140625,997.5999755859375,924.9000244140625,950.0,5477393,2025-03-24
2025-03-31,844.1705322265625,849.3499755859375,954.75,837.9500122070312,942.6500244140625,2157847,2025-03-31
2025-04-07,864.8933715820312,870.2000122070312,897.9500122070312,790.5,806.5999755859375,4312963,2025-04-07
2025-04-14,950.9652709960938,956.7999877929688,990.5999755859375,870.2000122070312,870.2000122070312,6482136,2025-04-14
2025-04-21,965.7744140625,971.7000122070312,1068.9000244140625,948.0,968.0,12052271,2025-04-21
2025-04-28,942.96435546875,948.75,1019.9500122070312,943.0999755859375,972.0,5035612,2025-04-28
2025-05-05,915.7999877929688,915.7999877929688,948.3499755859375,882.5999755859375,942.2000122070312,3983174,2025-05-05
2025-05-12,1000.5499877929688,1000.5499877929688,1032.449951171875,940.0,940.0,3897219,2025-05-12
2025-05-19,1017.4500122070312,1017.4500122070312,1036.6500244140625,981.0,1010.0,2555161,2025-05-19
2025-05-26,997.4500122070312,997.4500122070312,1037.699951171875,993.0,1029.1500244140625,2954918,2025-05-26
2025-06-02,1064.800048828125,1064.800048828125,1125.0,1002.6500244140625,1005.0,5592280,2025-06-02
2025-06-09,1140.5,1140.5,1150.0,998.0,1077.199951171875,7615241,2025-06-09
2025-06-16,1137.25,1137.25,1191.5999755859375,1100.0999755859375,1140.0,5487990,2025-06-16
2025-06-23,1195.699951171875,1195.699951171875,1208.699951171875,1118.5,1120.5999755859375,6972278,2025-06-23
2025-06-30,1245.4000244140625,1245.4000244140625,1253.9000244140625,1155.0999755859375,1206.5,6836276,2025-06-30
2025-07-07,1194.0,1194.0,1273.800048828125,1173.800048828125,1244.0,4079729,2025-07-07
2025-07-14,1197.300048828125,1197.300048828125,1207.5999755859375,1176.4000244140625,1191.0999755859375,963680,2025-07-14
