Date,Adj Close_MANAKSIA.NS,Close_MANAKSIA.NS,High_MANAKSIA.NS,Low_MANAKSIA.NS,Open_MANAKSIA.NS,Volume_MANAKSIA.NS,Date
2021-12-13,57.3965950012207,60.95000076293945,64.9000015258789,60.5,62.25,156594,2021-12-13
2021-12-20,58.809146881103516,62.45000076293945,64.6500015258789,57.29999923706055,62.650001525878906,300715,2021-12-20
2021-12-27,73.54674530029297,78.0999984741211,82.4000015258789,61.45000076293945,63.5,3622678,2021-12-27
2022-01-03,73.17005920410156,77.69999694824219,82.44999694824219,74.5999984741211,80.0,1058788,2022-01-03
2022-01-10,73.07589721679688,77.5999984741211,80.69999694824219,75.5,78.55000305175781,641918,2022-01-10
2022-01-17,70.34496307373047,74.69999694824219,91.05000305175781,73.4000015258789,78.4000015258789,2052105,2022-01-17
2022-01-24,72.18128204345703,76.6500015258789,79.55000305175781,68.4000015258789,75.6500015258789,774399,2022-01-24
2022-01-31,70.20372009277344,74.55000305175781,78.1500015258789,72.5,77.1500015258789,400172,2022-01-31
2022-02-07,69.92120361328125,74.25,77.8499984741211,72.44999694824219,74.55000305175781,345437,2022-02-07
2022-02-14,71.28666687011719,75.69999694824219,81.4000015258789,69.05000305175781,73.0,1087312,2022-02-14
2022-02-21,65.63645935058594,69.69999694824219,75.75,64.5,75.1500015258789,459567,2022-02-21
2022-02-28,68.03780364990234,72.25,78.0,67.69999694824219,69.5,546948,2022-02-28
2022-03-07,70.62747192382812,75.0,76.69999694824219,69.75,71.30000305175781,309993,2022-03-07
2022-03-14,71.05123138427734,75.44999694824219,79.30000305175781,73.05000305175781,75.9000015258789,370762,2022-03-14
2022-03-21,68.79116821289062,73.05000305175781,78.30000305175781,72.5,76.5,371046,2022-03-21
2022-03-28,73.35840606689453,77.9000015258789,82.0,71.0999984741211,74.0,847965,2022-03-28
2022-04-04,75.14763641357422,79.80000305175781,84.9000015258789,78.05000305175781,78.75,911571,2022-04-04
2022-04-11,80.56240844726562,85.55000305175781,88.0,79.75,80.0,1057616,2022-04-11
2022-04-18,76.65435028076172,81.4000015258789,86.3499984741211,80.5,84.5999984741211,660416,2022-04-18
2022-04-25,87.38973236083984,92.80000305175781,105.69999694824219,80.0999984741211,82.05000305175781,4592950,2022-04-25
2022-05-02,78.77317810058594,83.6500015258789,96.80000305175781,80.19999694824219,92.0,835763,2022-05-02
2022-05-09,68.83824157714844,73.0999984741211,83.5999984741211,66.0,82.80000305175781,833515,2022-05-09
2022-05-16,73.49966430664062,78.05000305175781,81.44999694824219,70.5999984741211,73.75,640013,2022-05-16
2022-05-23,75.14763641357422,79.80000305175781,85.4000015258789,69.5,79.44999694824219,1225420,2022-05-23
2022-05-30,81.78661346435547,86.8499984741211,94.4000015258789,79.0,81.8499984741211,1428746,2022-05-30
2022-06-06,78.25524139404297,83.0999984741211,89.6500015258789,82.55000305175781,87.80000305175781,576741,2022-06-06
2022-06-13,69.9682846069336,74.30000305175781,83.5,73.9000015258789,80.69999694824219,481394,2022-06-13
2022-06-20,69.49744415283203,73.80000305175781,75.69999694824219,68.3499984741211,75.5,289110,2022-06-20
2022-06-27,69.9682846069336,74.30000305175781,77.4000015258789,72.80000305175781,74.6500015258789,211469,2022-06-27
2022-07-04,72.79338836669922,77.30000305175781,79.80000305175781,74.5,75.0,281377,2022-07-04
2022-07-11,73.02880859375,77.55000305175781,82.75,76.55000305175781,77.94999694824219,347162,2022-07-11
2022-07-18,75.52430725097656,80.19999694824219,83.4000015258789,77.5999984741211,77.5999984741211,401918,2022-07-18
2022-07-25,75.47723388671875,80.1500015258789,82.44999694824219,78.0,80.44999694824219,202175,2022-07-25
2022-08-01,72.55796813964844,77.05000305175781,82.9000015258789,73.94999694824219,80.19999694824219,434942,2022-08-01
2022-08-08,73.64091491699219,78.19999694824219,79.5,73.0999984741211,78.0,574592,2022-08-08
2022-08-15,71.85169219970703,76.30000305175781,79.3499984741211,75.0999984741211,78.19999694824219,285459,2022-08-15
2022-08-22,73.82925415039062,78.4000015258789,79.5999984741211,74.19999694824219,76.5,299761,2022-08-22
2022-08-29,72.84046936035156,77.3499984741211,79.5,75.75,78.4000015258789,263272,2022-08-29
2022-09-05,77.69022369384766,82.5,92.75,75.75,77.3499984741211,1577889,2022-09-05
2022-09-12,77.31353759765625,82.0999984741211,85.44999694824219,80.0,82.5,408646,2022-09-12
2022-09-19,73.7350845336914,78.30000305175781,83.0,78.05000305175781,83.0,204380,2022-09-19
2022-09-26,72.51087188720703,77.0,82.0,73.5,78.25,398448,2022-09-26
