Date,Adj Close_BOSCHLTD.NS,Close_BOSCHLTD.NS,High_BOSCHLTD.NS,Low_BOSCHLTD.NS,Open_BOSCHLTD.NS,Volume_BOSCHLTD.NS,Date
2022-02-28,14090.9423828125,14731.4501953125,15800.0,14700.0,15250.0,78989,2022-02-28
2022-03-07,13595.8935546875,14213.900390625,14757.349609375,14032.650390625,14500.0,231678,2022-03-07
2022-03-14,13951.5751953125,14585.75,14698.0,13865.849609375,14225.0,336942,2022-03-14
2022-03-21,13441.845703125,14052.849609375,14643.900390625,13957.5498046875,14620.0,121327,2022-03-21
2022-03-28,13920.9677734375,14553.75,14612.4501953125,13924.0,14100.0,135834,2022-03-28
2022-04-04,14382.728515625,15036.5,15099.349609375,14572.150390625,14615.0,128849,2022-04-04
2022-04-11,13928.8115234375,14561.9501953125,15167.9501953125,14463.0,15140.0,46459,2022-04-11
2022-04-18,13870.7021484375,14501.2001953125,14692.150390625,14043.099609375,14524.400390625,70973,2022-04-18
2022-04-25,13861.5185546875,14491.599609375,14790.0,14028.349609375,14452.0,117334,2022-04-25
2022-05-02,13246.8115234375,13848.9501953125,14602.400390625,13807.849609375,14420.0,78642,2022-05-02
2022-05-09,12529.181640625,13098.7001953125,13891.5498046875,12932.4501953125,13791.7001953125,119570,2022-05-09
2022-05-16,13558.828125,14175.150390625,14300.0,13075.400390625,13300.0,225027,2022-05-16
2022-05-23,13568.9677734375,14185.75,14375.150390625,13480.150390625,14310.5,118857,2022-05-23
2022-05-30,13723.494140625,14347.2998046875,14871.0,14256.0498046875,14290.0,71263,2022-05-30
2022-06-06,13597.8544921875,14215.9501953125,14430.0,13941.7001953125,14347.2998046875,52186,2022-06-06
2022-06-13,12750.185546875,13329.75,14145.400390625,13290.0,14081.0,62228,2022-06-13
2022-06-20,13646.494140625,14266.7998046875,14327.599609375,13165.0,13400.0,106718,2022-06-20
2022-06-27,15004.2744140625,15686.2998046875,15731.2001953125,14326.2998046875,14474.900390625,296110,2022-06-27
2022-07-04,15437.76953125,16139.5,16308.849609375,15591.599609375,15660.0,154044,2022-07-04
2022-07-11,15719.798828125,16434.349609375,16665.69921875,15881.400390625,16100.0,126870,2022-07-11
2022-07-18,16205.5361328125,16828.30078125,17127.599609375,16225.25,16499.0,209157,2022-07-18
2022-07-25,16482.39453125,17115.80078125,17230.0,16220.0,16828.30078125,200831,2022-07-25
2022-08-01,16755.93359375,17399.849609375,18188.94921875,16978.55078125,17200.0,501684,2022-08-01
2022-08-08,16622.173828125,17260.94921875,17605.0,17165.80078125,17300.0,187927,2022-08-08
2022-08-15,16733.353515625,17376.400390625,18224.69921875,17260.94921875,17260.94921875,245855,2022-08-15
2022-08-22,16613.701171875,17252.150390625,17542.25,17001.5,17341.650390625,234829,2022-08-22
2022-08-29,16917.95703125,17568.099609375,17898.0,16801.150390625,17050.0,184901,2022-08-29
2022-09-05,16545.666015625,17181.5,17809.94921875,17135.0,17594.80078125,128328,2022-09-05
2022-09-12,16307.419921875,16934.099609375,17699.900390625,16810.099609375,17327.650390625,192526,2022-09-12
2022-09-19,15622.97265625,16223.349609375,17249.900390625,16150.150390625,16851.0,160209,2022-09-19
2022-09-26,15229.5888671875,15814.849609375,16198.0,15300.0,16198.0,161732,2022-09-26
2022-10-03,15278.220703125,15865.349609375,16205.0,15500.099609375,15895.099609375,107727,2022-10-03
2022-10-10,14895.5283203125,15467.9501953125,15887.0498046875,15393.599609375,15700.0,84612,2022-10-10
2022-10-17,14980.0302734375,15555.7001953125,15849.9501953125,15400.099609375,15460.0,63343,2022-10-17
2022-10-24,15518.0546875,16114.400390625,16163.9501953125,15543.0,15610.0,48026,2022-10-24
2022-10-31,15718.2119140625,16322.25,16659.19921875,16108.5498046875,16245.0,180200,2022-10-31
2022-11-07,16147.755859375,16768.30078125,17510.30078125,16216.25,16375.0,250861,2022-11-07
2022-11-14,15923.666015625,16535.599609375,17100.0,16435.55078125,16852.150390625,79135,2022-11-14
2022-11-21,16309.8271484375,16936.599609375,16988.0,16309.0,16520.0,145341,2022-11-21
2022-11-28,16508.880859375,17143.30078125,17240.0,16766.0,16872.0,137528,2022-11-28
2022-12-05,16868.556640625,17516.80078125,17849.94921875,17010.0,17145.0,197733,2022-12-05
2022-12-12,16823.6796875,17470.19921875,17769.349609375,17251.69921875,17516.80078125,118956,2022-12-12
2022-12-19,16225.9013671875,16849.44921875,17897.650390625,16700.0,17400.0,130108,2022-12-19
2022-12-26,16625.3046875,17264.19921875,17464.900390625,16617.599609375,16800.05078125,110246,2022-12-26
2023-01-02,16434.150390625,17065.69921875,17348.0,16751.0,17337.849609375,76434,2023-01-02
2023-01-09,16691.462890625,17332.900390625,17524.94921875,17090.80078125,17150.75,52984,2023-01-09
2023-01-16,16327.11328125,16954.55078125,17366.349609375,16810.94921875,17318.94921875,54083,2023-01-16
2023-01-23,16078.2275390625,16696.099609375,17149.94921875,16366.0498046875,16920.0,43771,2023-01-23
2023-01-30,16770.95703125,17415.44921875,17445.0,16545.0,16750.0,60833,2023-01-30
2023-02-06,16851.4140625,17499.0,17623.94921875,17270.099609375,17581.0,55186,2023-02-06
2023-02-13,17347.88671875,18014.55078125,18218.349609375,16973.19921875,17519.94921875,209954,2023-02-13
2023-02-20,17151.193359375,17810.30078125,18525.0,17712.400390625,18036.94921875,150153,2023-02-20
2023-02-27,17507.740234375,17983.75,18440.55078125,17480.05078125,17800.0,96173,2023-02-27
2023-03-06,17902.55859375,18389.30078125,18948.94921875,17900.0,17985.0,169120,2023-03-06
2023-03-13,17634.15234375,18113.599609375,18427.69921875,17801.099609375,18350.05078125,107756,2023-03-13
2023-03-20,17964.23046875,18452.650390625,18625.0,17975.05078125,18154.94921875,152269,2023-03-20
2023-03-27,18857.201171875,19369.900390625,19504.94921875,18301.05078125,18502.0,160905,2023-03-27
2023-04-03,18297.517578125,18795.0,19654.94921875,18735.0,19500.0,149066,2023-04-03
2023-04-10,18406.603515625,18907.05078125,18960.0,18455.099609375,18940.0,166819,2023-04-10
2023-04-17,18270.208984375,18766.94921875,19051.94921875,18611.599609375,18907.05078125,63328,2023-04-17
2023-04-24,18859.099609375,19371.849609375,19424.94921875,18641.400390625,18775.0,84074,2023-04-24
2023-05-01,18813.34375,19324.849609375,19850.400390625,19080.0,19371.849609375,89677,2023-05-01
2023-05-08,18475.966796875,18978.30078125,19671.25,18791.05078125,19329.94921875,206113,2023-05-08
2023-05-15,18384.357421875,18884.19921875,19339.849609375,18716.099609375,19105.75,120076,2023-05-15
2023-05-22,18440.3359375,18941.69921875,19034.55078125,18680.349609375,18885.05078125,62100,2023-05-22
2023-05-29,18254.681640625,18751.0,19000.0,18245.69921875,19000.0,158187,2023-05-29
2023-06-05,18261.88671875,18758.400390625,19123.400390625,18720.0,18752.19921875,59153,2023-06-05
2023-06-12,18492.857421875,18995.650390625,19348.0,18738.94921875,18774.900390625,93431,2023-06-12
2023-06-19,18124.1796875,18616.94921875,19449.900390625,18490.05078125,18997.0,115221,2023-06-19
2023-06-26,18538.3203125,19042.349609375,19250.0,18485.0,18617.05078125,78522,2023-06-26
2023-07-03,19218.234375,19740.75,19990.0,18903.0,19100.05078125,171576,2023-07-03
2023-07-10,18401.248046875,18901.55078125,19890.0,18740.0,19850.0,172285,2023-07-10
2023-07-17,18680.59375,18907.650390625,19650.0,18779.099609375,18930.349609375,166875,2023-07-17
2023-07-24,18725.25,18952.849609375,19260.0,18810.0,18908.0,88131,2023-07-24
2023-07-31,18037.4609375,18256.69921875,19200.0,18081.099609375,19099.0,184999,2023-07-31
2023-08-07,17935.798828125,18153.80078125,18399.0,18015.0,18399.0,113652,2023-08-07
2023-08-14,18068.482421875,18288.099609375,18314.900390625,17931.150390625,18170.0,63500,2023-08-14
2023-08-21,18059.83984375,18279.349609375,18505.849609375,18175.05078125,18319.5,116072,2023-08-21
2023-08-28,18758.794921875,18986.80078125,19048.94921875,18270.0,18270.0,117394,2023-08-28
2023-09-04,19170.2421875,19403.25,19425.0,18844.69921875,18986.80078125,79753,2023-09-04
2023-09-11,19428.453125,19664.599609375,19749.94921875,18901.05078125,19455.0,129785,2023-09-11
2023-09-18,18889.65234375,19119.25,19718.0,18995.05078125,19700.0,54474,2023-09-18
2023-09-25,18791.298828125,19019.69921875,19700.0,18840.0,19119.0,158366,2023-09-25
2023-10-02,19072.134765625,19303.94921875,19342.0,18600.0,19019.69921875,71066,2023-10-02
2023-10-09,20282.91796875,20529.44921875,20932.099609375,19051.30078125,19200.0,215700,2023-10-09
2023-10-16,19847.4609375,20088.69921875,20775.69921875,19933.25,20552.44921875,98086,2023-10-16
2023-10-23,19505.56640625,19742.650390625,20136.0,19480.0,20099.900390625,90752,2023-10-23
2023-10-30,19285.095703125,19519.5,19927.19921875,19300.0,19742.650390625,55435,2023-10-30
2023-11-06,19337.41015625,19572.44921875,19895.55078125,19315.19921875,19608.0,123737,2023-11-06
2023-11-13,20403.8984375,20651.900390625,20899.94921875,19455.0,19555.0,140611,2023-11-13
2023-11-20,20783.6328125,21036.25,21333.0,20485.0,20660.0,169418,2023-11-20
2023-11-27,21818.357421875,22083.55078125,22125.349609375,21000.0,21036.25,143008,2023-11-27
2023-12-04,21366.546875,21626.25,22200.0,21459.94921875,22200.0,197398,2023-12-04
2023-12-11,21447.462890625,21708.150390625,22244.0,21585.94921875,21626.25,130958,2023-12-11
2023-12-18,21374.154296875,21633.94921875,22130.0,21331.0,21752.150390625,92450,2023-12-18
2023-12-25,21937.162109375,22203.80078125,22300.0,21562.94921875,21633.94921875,73070,2023-12-25
2024-01-01,22419.154296875,22691.650390625,22819.849609375,22101.0,22301.0,79891,2024-01-01
2024-01-08,22950.693359375,23229.650390625,23282.69921875,22400.0,22800.0,83171,2024-01-08
2024-01-15,22905.88671875,23184.30078125,23568.94921875,22555.0,23353.80078125,110519,2024-01-15
2024-01-22,22505.751953125,22779.30078125,23184.30078125,22315.19921875,23184.30078125,102396,2024-01-22
2024-01-29,23669.060546875,23956.75,24272.69921875,22775.05078125,22800.94921875,175857,2024-01-29
2024-02-05,25151.443359375,25457.150390625,25519.0,23751.0,24180.0,99784,2024-02-05
2024-02-12,27988.857421875,28329.05078125,28635.849609375,25107.19921875,25388.05078125,413013,2024-02-12
2024-02-19,27940.294921875,28279.900390625,29200.0,27922.0,28400.0,253361,2024-02-19
2024-02-26,28799.734375,28939.69921875,29350.0,28158.05078125,28420.0,169044,2024-02-26
2024-03-04,29358.3203125,29501.0,30468.05078125,28550.099609375,29038.94921875,215372,2024-03-04
2024-03-11,29428.529296875,29571.55078125,30020.0,28116.0,29819.94921875,239799,2024-03-11
2024-03-18,30032.7421875,30178.69921875,30450.0,29380.400390625,29500.05078125,182291,2024-03-18
2024-03-25,29886.056640625,30031.30078125,31150.0,29730.94921875,30178.69921875,127747,2024-03-25
2024-04-01,30643.921875,30792.849609375,31145.099609375,30050.099609375,30050.099609375,104151,2024-04-01
2024-04-08,29705.03515625,29849.400390625,31400.150390625,29375.05078125,30980.0,314192,2024-04-08
2024-04-15,29642.9375,29787.0,30449.80078125,29421.150390625,29730.0,127916,2024-04-15
2024-04-22,28737.537109375,28877.19921875,30127.150390625,28538.900390625,29985.94921875,166295,2024-04-22
2024-04-29,29947.904296875,30093.44921875,30899.94921875,29008.80078125,29100.0,187129,2024-04-29
2024-05-06,30284.767578125,30431.94921875,30584.0,29160.05078125,30250.0,154826,2024-05-06
2024-05-13,30877.685546875,31027.75,32100.0,29979.80078125,30431.94921875,338714,2024-05-13
2024-05-20,30690.994140625,30840.150390625,31344.94921875,30580.0,31027.75,263618,2024-05-20
2024-05-27,30246.751953125,30393.75,32229.5,29502.69921875,30901.0,1188432,2024-05-27
2024-06-03,30448.62109375,30596.599609375,31168.75,27500.0,30555.0,207414,2024-06-03
2024-06-10,32171.44921875,32327.80078125,32927.94921875,30563.80078125,30599.94921875,185239,2024-06-10
2024-06-17,32448.650390625,32606.349609375,34350.0,32064.94921875,32355.599609375,289781,2024-06-17
2024-06-24,33919.55078125,34084.3984375,36678.0,32200.0,32600.0,284543,2024-06-24
2024-07-01,34904.3671875,35074.0,35680.0,33702.1484375,34000.05078125,150069,2024-07-01
2024-07-08,34969.1015625,35139.05078125,35777.80078125,34342.5,35172.1015625,133835,2024-07-08
2024-07-15,33908.5078125,34073.30078125,35399.0,33948.0,35239.05078125,101157,2024-07-15
2024-07-22,34917.05078125,34917.05078125,35000.0,33100.0,34073.30078125,115001,2024-07-22
2024-07-29,33909.75,33909.75,35182.80078125,33810.0,34902.0,114408,2024-07-29
2024-08-05,32018.69921875,32018.69921875,33789.8984375,31619.0,33500.05078125,203175,2024-08-05
2024-08-12,31940.599609375,31940.599609375,32048.400390625,30900.0,31989.94921875,105254,2024-08-12
2024-08-19,32600.150390625,32600.150390625,32826.1015625,31525.099609375,31940.599609375,148373,2024-08-19
2024-08-26,32389.599609375,32389.599609375,32921.05078125,31500.0,32660.0,171570,2024-08-26
2024-09-02,32357.30078125,32357.30078125,34142.94921875,31922.349609375,32389.599609375,230219,2024-09-02
2024-09-09,34343.1484375,34343.1484375,35044.44921875,32154.75,32274.0,296756,2024-09-09
2024-09-16,35686.75,35686.75,36000.0,33850.0,34350.0,200700,2024-09-16
2024-09-23,37976.1015625,37976.1015625,38179.8984375,35501.19921875,35560.1015625,258181,2024-09-23
2024-09-30,36734.5,36734.5,38124.6015625,36420.55078125,37976.0,138055,2024-09-30
2024-10-07,38486.80078125,38486.80078125,39088.80078125,36220.30078125,36734.5,189616,2024-10-07
2024-10-14,36800.75,36800.75,38936.05078125,36060.1484375,38486.80078125,121700,2024-10-14
2024-10-21,35931.94921875,35931.94921875,37265.5,35370.30078125,36810.0,81661,2024-10-21
2024-10-28,35182.1484375,35182.1484375,36691.0,34822.3515625,35800.0,106954,2024-10-28
2024-11-04,35119.3984375,35119.3984375,36772.69921875,34755.1484375,35249.94921875,111864,2024-11-04
2024-11-11,33862.1015625,33862.1015625,35600.0,32830.5,35100.0,238867,2024-11-11
2024-11-18,34317.55078125,34317.55078125,34829.3984375,33610.0,33862.1015625,67211,2024-11-18
2024-11-25,34966.19921875,34966.19921875,35350.0,34400.0,34450.0,151214,2024-11-25
2024-12-02,36253.6484375,36253.6484375,36997.3515625,34589.1015625,34720.1015625,123768,2024-12-02
2024-12-09,36469.6015625,36469.6015625,36530.94921875,35460.0,36367.80078125,74902,2024-12-09
2024-12-16,34576.94921875,34576.94921875,36680.0,34465.94921875,36473.6015625,71992,2024-12-16
2024-12-23,34089.6484375,34089.6484375,34956.05078125,34000.0,34775.0,49543,2024-12-23
2024-12-30,34253.55078125,34253.55078125,34919.25,33539.30078125,34000.0,149626,2024-12-30
2025-01-06,31713.849609375,31713.849609375,34402.0,31624.75,34264.8515625,95479,2025-01-06
2025-01-13,31399.80078125,31399.80078125,31797.349609375,30815.75,31500.0,77800,2025-01-13
2025-01-20,30356.5,30356.5,31550.0,30204.099609375,31500.0,79153,2025-01-20
2025-01-27,28689.25,28689.25,30350.05078125,27980.05078125,30350.0,308363,2025-01-27
2025-02-03,28045.150390625,28045.150390625,29051.5,27840.0,28710.0,88710,2025-02-03
2025-02-10,27004.55078125,27004.55078125,28499.0,26640.30078125,28220.0,120174,2025-02-10
2025-02-17,27334.099609375,27334.099609375,27594.5,26501.05078125,26820.0,104047,2025-02-17
2025-02-24,26544.0,26544.0,27341.099609375,26310.75,27234.099609375,102917,2025-02-24
2025-03-03,27033.400390625,27033.400390625,27391.900390625,26005.0,26544.0,137104,2025-03-03
2025-03-10,26378.349609375,26378.349609375,27250.0,26282.44921875,27005.0,61819,2025-03-10
2025-03-17,27432.25,27432.25,27875.0,26210.94921875,26379.05078125,129978,2025-03-17
2025-03-24,28358.44921875,28358.44921875,28560.0,27366.55078125,27528.349609375,152241,2025-03-24
2025-03-31,27289.099609375,27289.099609375,28358.44921875,27124.599609375,28358.44921875,102115,2025-03-31
2025-04-07,26359.25,26359.25,27089.94921875,25921.599609375,26409.5,83696,2025-04-07
2025-04-14,27505.0,27505.0,27580.0,26580.0,27090.0,41829,2025-04-14
2025-04-21,27995.0,27995.0,28625.0,27515.0,27600.0,100663,2025-04-21
2025-04-28,29445.0,29445.0,29940.0,27860.0,27860.0,88480,2025-04-28
2025-05-05,30000.0,30000.0,30850.0,29425.0,29750.0,98460,2025-05-05
2025-05-12,31655.0,31655.0,31885.0,30420.0,30680.0,94990,2025-05-12
2025-05-19,32130.0,32130.0,32195.0,31250.0,31635.0,79870,2025-05-19
2025-05-26,31415.0,31415.0,32705.0,31010.0,32130.0,193297,2025-05-26
2025-06-02,31595.0,31595.0,31840.0,31080.0,31450.0,173004,2025-06-02
2025-06-09,31585.0,31585.0,31970.0,30945.0,31605.0,71527,2025-06-09
2025-06-16,32290.0,32290.0,32795.0,31405.0,31695.0,92909,2025-06-16
2025-06-23,32260.0,32260.0,32495.0,31435.0,32250.0,181498,2025-06-23
2025-06-30,35930.0,35930.0,36020.0,32120.0,32660.0,358989,2025-06-30
2025-07-07,36525.0,36525.0,37410.0,35265.0,35760.0,336722,2025-07-07
2025-07-14,38320.0,38320.0,38850.0,36525.0,36785.0,145043,2025-07-14
