Date,Adj Close_AWL.NS,Close_AWL.NS,High_AWL.NS,Low_AWL.NS,Open_AWL.NS,Volume_AWL.NS,Date
2024-04-01,352.20001220703125,352.20001220703125,362.5,326.1499938964844,328.0,14430701,2024-04-01
2024-04-08,345.04998779296875,345.04998779296875,366.70001220703125,344.1000061035156,363.0,5591183,2024-04-08
2024-04-15,335.3999938964844,335.3999938964844,342.70001220703125,330.1000061035156,335.95001220703125,4072595,2024-04-15
2024-04-22,342.8500061035156,342.8500061035156,349.1000061035156,337.1000061035156,340.0,4471958,2024-04-22
2024-04-29,344.25,344.25,361.29998779296875,342.6000061035156,344.70001220703125,8980762,2024-04-29
2024-05-06,332.3500061035156,332.3500061035156,346.20001220703125,327.29998779296875,344.0,5123810,2024-05-06
2024-05-13,337.6000061035156,337.6000061035156,343.79998779296875,327.5,334.1000061035156,5511899,2024-05-13
2024-05-20,345.04998779296875,345.04998779296875,353.8999938964844,335.04998779296875,336.45001220703125,10097757,2024-05-20
2024-05-27,355.75,355.75,361.54998779296875,337.0,346.3500061035156,14285389,2024-05-27
2024-06-03,345.0,345.0,383.95001220703125,316.0,381.95001220703125,26364794,2024-06-03
2024-06-10,344.3999938964844,344.3999938964844,351.0,343.0,347.8500061035156,6146916,2024-06-10
2024-06-17,338.54998779296875,338.54998779296875,346.70001220703125,335.75,344.3999938964844,4642559,2024-06-17
2024-06-24,332.1000061035156,332.1000061035156,340.29998779296875,331.04998779296875,337.95001220703125,4407993,2024-06-24
2024-07-01,332.8999938964844,332.8999938964844,343.6000061035156,331.1499938964844,333.1499938964844,5977077,2024-07-01
2024-07-08,335.75,335.75,347.0,332.5,344.95001220703125,8307132,2024-07-08
2024-07-15,319.95001220703125,319.95001220703125,337.3999938964844,319.0,336.3999938964844,6623259,2024-07-15
2024-07-22,325.1499938964844,325.1499938964844,333.8999938964844,315.5,318.0,7298441,2024-07-22
2024-07-29,383.1499938964844,383.1499938964844,383.1499938964844,327.1000061035156,328.0,59187287,2024-07-29
2024-08-05,385.1499938964844,385.1499938964844,403.95001220703125,360.3500061035156,369.0,75722403,2024-08-05
2024-08-12,363.29998779296875,363.29998779296875,378.8500061035156,351.25,375.0,24859189,2024-08-12
2024-08-19,376.95001220703125,376.95001220703125,401.8999938964844,357.04998779296875,365.0,30999805,2024-08-19
2024-08-26,362.0,362.0,385.5,361.0,378.0,12795209,2024-08-26
2024-09-02,362.6000061035156,362.6000061035156,380.29998779296875,361.0,363.0,14822632,2024-09-02
2024-09-09,360.3999938964844,360.3999938964844,369.8500061035156,354.5,362.0,7718829,2024-09-09
2024-09-16,346.20001220703125,346.20001220703125,376.0,341.3999938964844,364.0,11189217,2024-09-16
2024-09-23,344.04998779296875,344.04998779296875,355.6000061035156,342.29998779296875,349.0,5614689,2024-09-23
2024-09-30,336.45001220703125,336.45001220703125,355.75,335.0,344.29998779296875,6008240,2024-09-30
2024-10-07,337.45001220703125,337.45001220703125,346.5,328.0,345.54998779296875,5683529,2024-10-07
2024-10-14,329.0,329.0,339.8500061035156,322.29998779296875,338.0,4552298,2024-10-14
2024-10-21,324.25,324.25,344.6499938964844,310.20001220703125,331.0,14445960,2024-10-21
2024-10-28,343.95001220703125,343.95001220703125,352.79998779296875,316.20001220703125,325.1000061035156,8262842,2024-10-28
2024-11-04,333.6499938964844,333.6499938964844,349.0,326.20001220703125,342.70001220703125,6695217,2024-11-04
2024-11-11,331.04998779296875,331.04998779296875,337.5,316.0,332.0,4825602,2024-11-11
2024-11-18,292.3500061035156,292.3500061035156,333.95001220703125,279.0,333.95001220703125,21038859,2024-11-18
2024-11-25,313.6499938964844,313.6499938964844,325.0,287.04998779296875,299.0,21930273,2024-11-25
2024-12-02,312.8500061035156,312.8500061035156,317.0,308.6000061035156,315.0,6412675,2024-12-02
2024-12-09,306.04998779296875,306.04998779296875,314.79998779296875,303.04998779296875,312.6499938964844,5373697,2024-12-09
2024-12-16,290.8999938964844,290.8999938964844,309.3999938964844,290.0,308.79998779296875,3937859,2024-12-16
2024-12-23,329.20001220703125,329.20001220703125,330.54998779296875,290.20001220703125,294.8999938964844,11951611,2024-12-23
2024-12-30,328.6000061035156,328.6000061035156,337.04998779296875,303.1000061035156,327.0,15440619,2024-12-30
2025-01-06,291.1000061035156,291.1000061035156,333.0,291.1000061035156,331.0,23566775,2025-01-06
2025-01-13,268.04998779296875,268.04998779296875,275.70001220703125,257.54998779296875,271.8999938964844,52331326,2025-01-13
2025-01-20,251.85000610351562,251.85000610351562,270.6499938964844,250.8000030517578,269.8999938964844,14969203,2025-01-20
2025-01-27,266.79998779296875,266.79998779296875,272.29998779296875,240.9499969482422,251.85000610351562,26381747,2025-01-27
2025-02-03,266.95001220703125,266.95001220703125,274.8999938964844,261.6499938964844,266.79998779296875,7522619,2025-02-03
2025-02-10,236.4499969482422,236.4499969482422,266.75,231.5500030517578,265.6499938964844,10609095,2025-02-10
2025-02-17,260.3500061035156,260.3500061035156,264.3500061035156,231.8000030517578,236.0,12235556,2025-02-17
2025-02-24,246.14999389648438,246.14999389648438,264.3999938964844,240.14999389648438,257.5,5904893,2025-02-24
2025-03-03,260.8399963378906,260.8399963378906,263.20001220703125,233.94000244140625,246.3000030517578,11265930,2025-03-03
2025-03-10,247.07000732421875,247.07000732421875,264.79998779296875,246.0,261.70001220703125,6139293,2025-03-10
2025-03-17,265.25,265.25,266.70001220703125,244.5,247.25999450683594,8225997,2025-03-17
2025-03-24,258.32000732421875,258.32000732421875,270.1300048828125,248.27999877929688,267.70001220703125,12750703,2025-03-24
2025-03-31,266.1499938964844,266.1499938964844,274.3500061035156,257.20001220703125,258.32000732421875,7352610,2025-03-31
2025-04-07,272.54998779296875,272.54998779296875,279.70001220703125,246.14999389648438,250.0,8731983,2025-04-07
2025-04-14,284.45001220703125,284.45001220703125,287.3500061035156,272.54998779296875,272.54998779296875,6960759,2025-04-14
2025-04-21,273.95001220703125,273.95001220703125,291.20001220703125,270.8999938964844,284.45001220703125,6937635,2025-04-21
2025-04-28,267.3999938964844,267.3999938964844,287.0,261.1000061035156,273.75,11690585,2025-04-28
2025-05-05,252.60000610351562,252.60000610351562,280.45001220703125,248.0,269.1000061035156,9353089,2025-05-05
2025-05-12,270.3500061035156,270.3500061035156,272.8999938964844,258.3500061035156,259.75,10310810,2025-05-12
2025-05-19,259.95001220703125,259.95001220703125,275.79998779296875,256.20001220703125,270.54998779296875,7385662,2025-05-19
2025-05-26,275.0,275.0,279.8500061035156,257.20001220703125,260.70001220703125,29456006,2025-05-26
2025-06-02,263.8500061035156,263.8500061035156,273.8999938964844,263.20001220703125,268.95001220703125,7648106,2025-06-02
2025-06-09,266.20001220703125,266.20001220703125,280.8999938964844,262.8999938964844,265.5,10910829,2025-06-09
2025-06-16,256.70001220703125,256.70001220703125,267.45001220703125,254.6999969482422,266.20001220703125,6644324,2025-06-16
2025-06-23,259.20001220703125,259.20001220703125,265.20001220703125,253.75,256.20001220703125,7395775,2025-06-23
2025-06-30,256.1499938964844,256.1499938964844,261.0,255.0,260.0,5395525,2025-06-30
2025-07-07,269.8999938964844,269.8999938964844,273.3500061035156,255.0,256.1499938964844,10341916,2025-07-07
2025-07-14,263.1499938964844,263.1499938964844,271.45001220703125,261.5,269.8999938964844,4089051,2025-07-14
