Date,Adj Close_RAMAPHO.NS,Close_RAMAPHO.NS,High_RAMAPHO.NS,Low_RAMAPHO.NS,Open_RAMAPHO.NS,Volume_RAMAPHO.NS,Date
2023-05-01,102.66934967041016,103.07499694824219,108.2249984741211,101.80000305175781,104.0999984741211,92704,2023-05-01
2023-05-08,103.98914337158203,104.4000015258789,107.0,99.8499984741211,105.4749984741211,171786,2023-05-08
2023-05-15,95.8712158203125,96.25,110.94999694824219,95.5,107.0,356638,2023-05-15
2023-05-22,92.18577575683594,92.55000305175781,97.5,91.375,96.9749984741211,187328,2023-05-22
2023-05-29,90.5920639038086,90.94999694824219,96.625,88.5,96.625,228050,2023-05-29
2023-06-05,93.53046417236328,93.9000015258789,102.375,90.17500305175781,90.92500305175781,444306,2023-06-05
2023-06-12,107.17654418945312,107.5999984741211,109.9000015258789,92.25,94.75,584008,2023-06-12
2023-06-19,113.2276382446289,113.67500305175781,125.0,105.0,108.0,1380666,2023-06-19
2023-06-26,120.7230224609375,121.19999694824219,129.25,110.5,112.5250015258789,832922,2023-06-26
2023-07-03,118.60638427734375,119.07499694824219,125.69999694824219,118.05000305175781,121.19999694824219,215032,2023-07-03
2023-07-10,116.29053497314453,116.75,121.07499694824219,111.75,119.4749984741211,269072,2023-07-10
2023-07-17,123.76101684570312,124.25,129.10000610351562,113.9749984741211,115.0,470460,2023-07-17
2023-07-24,126.40058898925781,126.9000015258789,127.94999694824219,118.17500305175781,125.0,262468,2023-07-24
2023-07-31,131.4805145263672,132.0,134.5,125.9000015258789,129.9499969482422,552016,2023-07-31
2023-08-07,120.7977294921875,121.2750015258789,133.85000610351562,120.2750015258789,133.85000610351562,162752,2023-08-07
2023-08-14,125.19999694824219,125.19999694824219,135.0,117.57499694824219,121.2750015258789,629246,2023-08-14
2023-08-21,128.8249969482422,128.8249969482422,130.5,124.5999984741211,125.0,237976,2023-08-21
2023-08-28,125.2750015258789,125.2750015258789,129.5,123.2750015258789,128.97500610351562,150154,2023-08-28
2023-09-04,127.7249984741211,127.7249984741211,133.6750030517578,119.8499984741211,120.7750015258789,497658,2023-09-04
2023-09-11,124.69999694824219,124.69999694824219,133.0,120.0,129.64999389648438,354450,2023-09-11
2023-09-18,118.75,118.75,126.07499694824219,116.5999984741211,123.2249984741211,206158,2023-09-18
2023-09-25,116.375,116.375,121.0999984741211,115.25,119.0,97816,2023-09-25
2023-10-02,116.75,116.75,124.0,114.5999984741211,116.375,172982,2023-10-02
2023-10-09,119.7249984741211,119.7249984741211,124.4000015258789,114.0,116.0,189584,2023-10-09
2023-10-16,115.17500305175781,115.17500305175781,120.82499694824219,114.94999694824219,120.3499984741211,192126,2023-10-16
2023-10-23,109.7750015258789,109.7750015258789,115.17500305175781,106.57499694824219,115.17500305175781,126570,2023-10-23
2023-10-30,111.0250015258789,111.0250015258789,116.6500015258789,109.7750015258789,111.375,51592,2023-10-30
2023-11-06,106.57499694824219,106.57499694824219,114.0,105.625,112.67500305175781,86754,2023-11-06
2023-11-13,104.4749984741211,104.4749984741211,110.0,103.07499694824219,107.05000305175781,116772,2023-11-13
2023-11-20,106.9749984741211,106.9749984741211,109.875,103.6500015258789,105.17500305175781,142908,2023-11-20
2023-11-27,107.875,107.875,110.5,105.0,106.9749984741211,103386,2023-11-27
2023-12-04,106.25,106.25,111.5,104.4000015258789,108.44999694824219,265506,2023-12-04
2023-12-11,107.92500305175781,107.92500305175781,110.55000305175781,105.625,106.80000305175781,115208,2023-12-11
2023-12-18,108.19999694824219,108.19999694824219,109.875,103.80000305175781,108.0,148990,2023-12-18
2023-12-25,106.4000015258789,106.4000015258789,110.0,106.19999694824219,108.19999694824219,117528,2023-12-25
2024-01-01,117.2750015258789,117.2750015258789,122.875,106.44999694824219,107.9749984741211,715988,2024-01-01
2024-01-08,117.17500305175781,117.17500305175781,124.4000015258789,114.4749984741211,117.82499694824219,283138,2024-01-08
2024-01-15,111.32499694824219,111.32499694824219,117.17500305175781,107.0,117.17500305175781,99670,2024-01-15
2024-01-22,114.4749984741211,114.4749984741211,117.0,109.0250015258789,111.32499694824219,101276,2024-01-22
2024-01-29,110.6500015258789,110.6500015258789,115.0,109.94999694824219,114.5,124280,2024-01-29
2024-02-05,107.6500015258789,107.6500015258789,119.0,105.5,110.5,548290,2024-02-05
2024-02-12,97.625,97.625,107.92500305175781,93.4749984741211,106.5250015258789,251496,2024-02-12
2024-02-19,98.8499984741211,98.8499984741211,102.5,95.5250015258789,98.0999984741211,175572,2024-02-19
2024-02-26,95.17500305175781,95.17500305175781,99.75,92.5250015258789,98.8499984741211,102454,2024-02-26
2024-03-04,95.30000305175781,95.30000305175781,97.67500305175781,91.30000305175781,95.5250015258789,129540,2024-03-04
2024-03-11,87.375,87.375,95.30000305175781,85.57499694824219,95.30000305175781,287040,2024-03-11
2024-03-18,83.82499694824219,83.82499694824219,88.5250015258789,82.5250015258789,87.5,335302,2024-03-18
2024-03-25,80.30000305175781,80.30000305175781,87.5,80.0,83.82499694824219,371926,2024-03-25
2024-04-01,94.1500015258789,94.1500015258789,96.5,80.625,80.625,257390,2024-04-01
2024-04-08,92.4749984741211,92.4749984741211,97.9000015258789,89.7750015258789,94.6500015258789,86098,2024-04-08
2024-04-15,88.375,88.375,91.0250015258789,87.625,90.0,48510,2024-04-15
2024-04-22,90.92500305175781,90.92500305175781,95.67500305175781,88.82499694824219,88.8499984741211,105438,2024-04-22
2024-04-29,88.8499984741211,88.8499984741211,92.2249984741211,87.5,92.2249984741211,79638,2024-04-29
2024-05-06,86.69999694824219,86.69999694824219,89.69999694824219,85.0,89.2750015258789,44796,2024-05-06
2024-05-13,88.2249984741211,88.2249984741211,90.9749984741211,83.5,85.8499984741211,61224,2024-05-13
2024-05-20,84.05000305175781,84.05000305175781,88.7750015258789,83.17500305175781,88.44999694824219,91194,2024-05-20
2024-05-27,81.0250015258789,81.0250015258789,84.94999694824219,80.0,84.0250015258789,87052,2024-05-27
2024-06-03,80.4000015258789,80.4000015258789,84.94999694824219,72.2750015258789,81.625,140606,2024-06-03
2024-06-10,84.43499755859375,84.43499755859375,86.25,78.90499877929688,81.5,172094,2024-06-10
2024-06-17,96.98500061035156,96.98500061035156,114.0,84.43499755859375,84.43499755859375,2502626,2024-06-17
2024-06-24,92.79499816894531,92.79499816894531,98.9749984741211,92.00499725341797,95.05000305175781,258846,2024-06-24
2024-07-01,94.8550033569336,94.8550033569336,100.4749984741211,91.50499725341797,93.29499816894531,228206,2024-07-01
2024-07-08,95.19000244140625,95.19000244140625,102.5,93.51000213623047,94.8550033569336,392716,2024-07-08
2024-07-15,94.1500015258789,94.1500015258789,97.25,92.75,95.19999694824219,180956,2024-07-15
2024-07-22,93.69499969482422,93.69499969482422,96.52999877929688,91.75,94.1500015258789,194778,2024-07-22
2024-07-29,95.66999816894531,95.66999816894531,107.1500015258789,94.19999694824219,94.19999694824219,668362,2024-07-29
2024-08-05,92.25,92.25,96.79499816894531,90.91500091552734,94.80000305175781,136122,2024-08-05
2024-08-12,93.3949966430664,93.3949966430664,97.5199966430664,89.05000305175781,92.25,268692,2024-08-12
2024-08-19,95.91999816894531,95.91999816894531,98.8949966430664,92.18499755859375,93.9000015258789,199948,2024-08-19
2024-08-26,98.94000244140625,98.94000244140625,103.0,94.32499694824219,94.32499694824219,546856,2024-08-26
2024-09-02,102.15499877929688,102.15499877929688,110.48999786376953,98.0999984741211,98.94000244140625,899112,2024-09-02
2024-09-09,98.80999755859375,98.80999755859375,102.15499877929688,96.17500305175781,102.15499877929688,202944,2024-09-09
2024-09-16,103.50499725341797,103.50499725341797,106.91999816894531,95.90499877929688,99.3499984741211,272884,2024-09-16
2024-09-23,104.26499938964844,104.26499938964844,110.0,101.17500305175781,101.17500305175781,402816,2024-09-23
2024-09-30,100.33499908447266,100.33499908447266,104.26499938964844,99.45500183105469,104.26499938964844,104840,2024-09-30
2024-10-07,102.375,102.375,105.0,96.20500183105469,100.33499908447266,138156,2024-10-07
2024-10-14,105.5999984741211,105.5999984741211,113.99500274658203,100.70500183105469,104.3499984741211,412638,2024-10-14
2024-10-21,97.9749984741211,97.9749984741211,107.17500305175781,97.55000305175781,106.1449966430664,111512,2024-10-21
2024-10-28,104.71499633789062,104.71499633789062,106.4000015258789,97.5,97.5,103410,2024-10-28
2024-11-04,103.3949966430664,103.3949966430664,109.9000015258789,101.0,102.00499725341797,142086,2024-11-04
2024-11-11,99.33499908447266,99.33499908447266,112.0999984741211,98.125,103.5250015258789,361444,2024-11-11
2024-11-18,96.19499969482422,96.19499969482422,103.8499984741211,95.0,99.0,119994,2024-11-18
2024-11-25,102.42500305175781,102.42500305175781,103.79499816894531,94.55000305175781,99.44999694824219,115584,2024-11-25
2024-12-02,104.36499786376953,104.36499786376953,105.99500274658203,100.80000305175781,104.0,88824,2024-12-02
2024-12-09,98.99500274658203,98.99500274658203,105.4000015258789,98.125,105.4000015258789,86712,2024-12-09
2024-12-16,98.19999694824219,98.19999694824219,102.92500305175781,98.0,101.24500274658203,66184,2024-12-16
2024-12-23,95.29000091552734,95.29000091552734,101.0,94.83999633789062,98.20500183105469,68854,2024-12-23
2024-12-30,102.91500091552734,102.91500091552734,103.3949966430664,94.5,98.25,165978,2024-12-30
2025-01-06,108.58499908447266,108.58499908447266,123.5,98.125,105.0,2347458,2025-01-06
2025-01-13,103.44499969482422,103.44499969482422,108.0,98.51000213623047,105.57499694824219,424154,2025-01-13
2025-01-20,103.34500122070312,103.34500122070312,106.8499984741211,100.0,104.9749984741211,168264,2025-01-20
2025-01-27,113.08999633789062,113.08999633789062,117.5,95.38999938964844,104.875,616034,2025-01-27
2025-02-03,116.48999786376953,116.48999786376953,122.5999984741211,107.30500030517578,113.36000061035156,257122,2025-02-03
2025-02-10,96.55000305175781,96.55000305175781,116.5199966430664,95.20999908447266,116.5,269842,2025-02-10
2025-02-17,91.19999694824219,91.19999694824219,96.73999786376953,85.1500015258789,93.11000061035156,81649,2025-02-17
2025-02-24,87.2699966430664,87.2699966430664,96.44999694824219,87.0,91.19999694824219,41381,2025-02-24
2025-03-03,95.0999984741211,95.0999984741211,95.58000183105469,83.05000305175781,87.2699966430664,102241,2025-03-03
2025-03-10,89.76000213623047,89.76000213623047,95.77999877929688,88.0,95.0999984741211,60714,2025-03-10
2025-03-17,88.77999877929688,88.77999877929688,92.80000305175781,85.5,90.98999786376953,52782,2025-03-17
2025-03-24,83.18000030517578,83.18000030517578,90.0,80.8499984741211,87.5,309547,2025-03-24
2025-03-31,91.58999633789062,91.58999633789062,101.18000030517578,83.18000030517578,83.18000030517578,107092,2025-03-31
2025-04-07,91.73999786376953,91.73999786376953,93.97000122070312,81.0,81.0,60271,2025-04-07
2025-04-14,117.13999938964844,117.13999938964844,124.5,91.73999786376953,91.73999786376953,767266,2025-04-14
2025-04-21,123.68000030517578,123.68000030517578,138.9600067138672,116.7699966430664,117.98999786376953,1208481,2025-04-21
2025-04-28,107.93000030517578,107.93000030517578,131.39999389648438,107.93000030517578,125.5,339972,2025-04-28
2025-05-05,99.9800033569336,99.9800033569336,107.79000091552734,97.0,107.79000091552734,62600,2025-05-05
2025-05-12,124.47000122070312,124.47000122070312,124.47000122070312,102.0,102.0,73635,2025-05-12
2025-05-19,115.5,115.5,130.69000244140625,113.52999877929688,130.69000244140625,231594,2025-05-19
2025-05-26,114.0199966430664,114.0199966430664,118.0,111.0199966430664,115.5,47197,2025-05-26
2025-06-02,118.48999786376953,118.48999786376953,121.0,112.25,113.9800033569336,93281,2025-06-02
2025-06-09,126.62000274658203,126.62000274658203,129.5500030517578,114.0,120.0,118912,2025-06-09
2025-06-16,116.79000091552734,116.79000091552734,128.5,114.98999786376953,121.3499984741211,76389,2025-06-16
2025-06-23,131.5500030517578,131.5500030517578,134.39999389648438,112.45999908447266,120.69999694824219,324384,2025-06-23
2025-06-30,130.9199981689453,130.9199981689453,134.39999389648438,119.25,132.0,134080,2025-06-30
2025-07-07,131.41000366210938,131.41000366210938,135.0,123.0,132.0,94773,2025-07-07
2025-07-14,139.47000122070312,139.47000122070312,141.64999389648438,131.1999969482422,133.5,131169,2025-07-14
