Date,Adj Close_DHANUKA.NS,Close_DHANUKA.NS,High_DHANUKA.NS,Low_DHANUKA.NS,Open_DHANUKA.NS,Volume_DHANUKA.NS,Date
2021-05-31,899.9197387695312,931.6500244140625,967.0,892.5999755859375,909.9500122070312,1441366,2021-05-31
2021-06-07,924.7927856445312,957.4000244140625,974.7999877929688,853.0,939.9000244140625,4279449,2021-06-07
2021-06-14,935.65966796875,968.6500244140625,1019.9000244140625,920.9000244140625,968.0,2088296,2021-06-14
2021-06-21,927.8353881835938,960.5499877929688,974.9000244140625,941.3499755859375,956.4000244140625,502541,2021-06-21
2021-06-28,959.80810546875,993.6500244140625,1014.9500122070312,951.0,960.8499755859375,825452,2021-06-28
2021-07-05,966.0384521484375,1000.0999755859375,1053.9000244140625,983.0,1000.9000244140625,992252,2021-07-05
2021-07-12,967.0526733398438,1001.1500244140625,1016.0,978.9500122070312,1010.0,366572,2021-07-12
2021-07-19,972.6683349609375,1004.9500122070312,1035.0,974.5999755859375,993.0,370769,2021-07-19
2021-07-26,918.2252197265625,948.7000122070312,1024.0,945.0,1011.9000244140625,465060,2021-07-26
2021-08-02,892.9152221679688,922.5499877929688,960.5999755859375,911.2999877929688,950.0,455397,2021-08-02
2021-08-09,870.9927978515625,899.9000244140625,930.0,873.0,920.0,368839,2021-08-09
2021-08-16,841.0853271484375,869.0,904.1500244140625,863.9000244140625,899.9000244140625,249827,2021-08-16
2021-08-23,837.60107421875,865.4000244140625,880.0,835.5,869.0499877929688,211188,2021-08-23
2021-08-30,794.627197265625,821.0,876.0,817.7000122070312,865.4000244140625,232395,2021-08-30
2021-09-06,795.5467529296875,821.9500122070312,835.0,805.7999877929688,825.0,316239,2021-09-06
2021-09-13,812.1458129882812,839.0999755859375,860.0,807.2999877929688,828.7000122070312,548327,2021-09-13
2021-09-20,801.4508056640625,828.0499877929688,855.4500122070312,794.0999755859375,845.0,499101,2021-09-20
2021-09-27,787.0294189453125,813.1500244140625,839.9000244140625,809.1500244140625,829.0,271994,2021-09-27
2021-10-04,791.6751708984375,817.9500122070312,834.0,803.0,816.0,308558,2021-10-04
2021-10-11,798.5955810546875,825.0999755859375,844.9000244140625,815.5,820.0,347478,2021-10-11
2021-10-18,749.76611328125,774.6500244140625,838.0,768.3499755859375,838.0,305237,2021-10-18
2021-10-25,708.19580078125,731.7000122070312,781.1500244140625,704.2000122070312,774.0,312591,2021-10-25
2021-11-01,732.6346435546875,756.9500122070312,763.9000244140625,720.0,720.0,165503,2021-11-01
2021-11-08,741.2003784179688,765.7999877929688,790.6500244140625,742.2000122070312,757.4000244140625,193432,2021-11-08
2021-11-15,716.713134765625,740.5,785.0,735.2999877929688,766.0,129200,2021-11-15
2021-11-22,710.7122802734375,734.2999877929688,765.5,726.9500122070312,733.0999755859375,106302,2021-11-22
2021-11-29,716.325927734375,740.0999755859375,763.0,709.2999877929688,730.0499877929688,131947,2021-11-29
2021-12-06,730.7957153320312,755.0499877929688,761.0499877929688,728.2999877929688,747.0,111750,2021-12-06
2021-12-13,725.036865234375,749.0999755859375,765.0,737.2999877929688,759.0,108630,2021-12-13
2021-12-20,710.9542846679688,734.5499877929688,757.9500122070312,725.0,745.0,318716,2021-12-20
2021-12-27,807.5968627929688,834.4000244140625,855.0,717.0499877929688,742.0,1926379,2021-12-27
2022-01-03,724.3109741210938,748.3499755859375,810.0,746.0,799.0,839894,2022-01-03
2022-01-10,732.7315063476562,757.0499877929688,783.0,736.0,758.9000244140625,359940,2022-01-10
2022-01-17,720.7782592773438,744.7000122070312,775.7999877929688,736.9500122070312,764.7999877929688,180085,2022-01-17
2022-01-24,731.618408203125,755.9000244140625,760.0,710.0999755859375,754.0,252046,2022-01-24
2022-01-31,774.3502197265625,800.0499877929688,815.9500122070312,750.0,760.0,630870,2022-01-31
2022-02-07,726.9725952148438,751.0999755859375,812.0,745.0,808.0,106382,2022-02-07
2022-02-14,707.5398559570312,723.5,750.9500122070312,708.0499877929688,720.0,172273,2022-02-14
2022-02-21,715.9011840820312,732.0499877929688,740.0,662.75,720.0,520466,2022-02-21
2022-02-28,696.9780883789062,712.7000122070312,748.75,709.0999755859375,726.0,179740,2022-02-28
2022-03-07,707.7354736328125,723.7000122070312,749.8499755859375,696.0499877929688,712.7000122070312,244033,2022-03-07
2022-03-14,711.4027099609375,727.4500122070312,744.9500122070312,712.25,718.5999755859375,74284,2022-03-14
2022-03-21,690.71923828125,706.2999877929688,741.5999755859375,705.0,720.0499877929688,205464,2022-03-21
2022-03-28,712.9674072265625,729.0499877929688,738.0,702.0,709.8499755859375,278748,2022-03-28
2022-04-04,744.8971557617188,761.7000122070312,784.0,732.7000122070312,732.7000122070312,375670,2022-04-04
2022-04-11,754.6765747070312,771.7000122070312,785.0,744.0999755859375,764.4000244140625,163253,2022-04-11
2022-04-18,725.0938720703125,741.4500122070312,797.2000122070312,732.3499755859375,779.7000122070312,223820,2022-04-18
2022-04-25,698.2982788085938,714.0499877929688,748.5999755859375,705.5999755859375,745.2000122070312,127964,2022-04-25
2022-05-02,686.9542236328125,702.4500122070312,728.7000122070312,668.7000122070312,717.0,164348,2022-05-02
2022-05-09,690.2302856445312,705.7999877929688,718.0,664.0,700.5,131559,2022-05-09
2022-05-16,711.4515380859375,727.5,750.2000122070312,696.0499877929688,697.25,132517,2022-05-16
2022-05-23,688.127685546875,703.6500244140625,771.0,694.1500244140625,732.0,368890,2022-05-23
2022-05-30,687.2965087890625,702.7999877929688,715.0499877929688,695.0,714.0,106691,2022-05-30
2022-06-06,693.3596801757812,709.0,745.6500244140625,701.0,719.0,185959,2022-06-06
2022-06-13,680.842041015625,696.2000122070312,716.0,683.4500122070312,700.0499877929688,81781,2022-06-13
2022-06-20,678.1038208007812,693.4000244140625,709.7999877929688,666.7999877929688,699.6500244140625,69085,2022-06-20
2022-06-27,673.214111328125,688.4000244140625,718.0,686.0499877929688,698.0,56972,2022-06-27
2022-07-04,686.0252075195312,701.5,710.0,685.5,688.4000244140625,75030,2022-07-04
2022-07-11,682.7979736328125,698.2000122070312,709.8499755859375,687.2000122070312,705.0499877929688,57005,2022-07-11
2022-07-18,686.4163208007812,701.9000244140625,709.75,694.0499877929688,701.7000122070312,76102,2022-07-18
2022-07-25,683.8446044921875,693.2999877929688,705.0,680.0,705.0,48597,2022-07-25
2022-08-01,682.7103271484375,692.1500244140625,724.7000122070312,685.0999755859375,695.0,206348,2022-08-01
2022-08-08,681.4773559570312,690.9000244140625,704.0,680.0,704.0,74658,2022-08-08
2022-08-15,698.0482788085938,707.7000122070312,726.0,686.0,690.9000244140625,279229,2022-08-15
2022-08-22,700.6620483398438,710.3499755859375,719.2000122070312,696.6500244140625,710.0,76039,2022-08-22
2022-08-29,709.1448364257812,718.9500122070312,750.0,692.2999877929688,706.0499877929688,132884,2022-08-29
2022-09-05,711.1668090820312,721.0,749.25,715.0999755859375,722.5499877929688,162767,2022-09-05
2022-09-12,680.244384765625,689.6500244140625,729.75,684.9000244140625,724.6500244140625,143034,2022-09-12
2022-09-19,671.9096069335938,681.2000122070312,703.7999877929688,678.0499877929688,690.0,135354,2022-09-19
2022-09-26,644.3408203125,653.25,684.6500244140625,631.2000122070312,678.0,109931,2022-09-26
2022-10-03,675.4605712890625,684.7999877929688,688.2000122070312,645.5999755859375,656.5499877929688,84881,2022-10-03
2022-10-10,664.709228515625,673.9000244140625,691.5499877929688,665.1500244140625,665.7999877929688,80010,2022-10-10
2022-10-17,661.0596923828125,670.2000122070312,676.2000122070312,660.0,673.9500122070312,43689,2022-10-17
2022-10-24,712.7449951171875,722.5999755859375,742.0,674.5999755859375,676.8499755859375,286858,2022-10-24
2022-10-31,717.6768188476562,727.5999755859375,745.0,710.5999755859375,722.5999755859375,519857,2022-10-31
2022-11-07,721.3756713867188,731.3499755859375,739.9000244140625,725.0999755859375,729.7999877929688,75568,2022-11-07
2022-11-14,699.478515625,709.1500244140625,743.0,700.0,735.0499877929688,130644,2022-11-14
2022-11-21,692.573974609375,702.1500244140625,720.0,699.9000244140625,709.0,128311,2022-11-21
2022-11-28,695.6809692382812,705.2999877929688,716.1500244140625,700.0499877929688,705.0,85817,2022-11-28
2022-12-05,688.1353149414062,697.6500244140625,714.7999877929688,690.0999755859375,714.0,98639,2022-12-05
2022-12-12,687.7900390625,697.2999877929688,705.2000122070312,687.0,701.1500244140625,65934,2022-12-12
2022-12-19,656.1771850585938,665.25,722.2999877929688,661.0499877929688,697.2999877929688,108803,2022-12-19
2022-12-26,703.0786743164062,712.7999877929688,722.0,647.0,665.25,114200,2022-12-26
2023-01-02,711.9066162109375,721.75,745.0,691.7999877929688,714.0,259383,2023-01-02
2023-01-09,709.489990234375,719.2999877929688,740.0,715.8499755859375,734.7000122070312,72759,2023-01-09
2023-01-16,696.3220825195312,705.9500122070312,722.9000244140625,701.5499877929688,722.9000244140625,44390,2023-01-16
2023-01-23,671.3178100585938,680.5999755859375,712.0999755859375,678.0499877929688,712.0499877929688,34108,2023-01-23
2023-01-30,666.879150390625,676.0999755859375,715.0,668.9500122070312,680.5999755859375,82617,2023-01-30
2023-02-06,673.6358032226562,682.9500122070312,698.5999755859375,670.0499877929688,680.0,67307,2023-02-06
2023-02-13,670.3807983398438,679.6500244140625,689.9000244140625,665.0,686.4000244140625,65264,2023-02-13
2023-02-20,660.6651000976562,669.7999877929688,690.3499755859375,665.0,675.1500244140625,39774,2023-02-20
2023-02-27,649.4699096679688,658.4500122070312,677.3499755859375,652.0,677.25,51161,2023-02-27
2023-03-06,648.8781127929688,657.8499755859375,682.0999755859375,649.0,658.4500122070312,94949,2023-03-06
2023-03-13,651.985107421875,661.0,666.0,640.2999877929688,652.0999755859375,48543,2023-03-13
2023-03-20,636.0059814453125,644.7999877929688,664.75,640.0,664.3499755859375,63833,2023-03-20
2023-03-27,603.0615844726562,611.4000244140625,644.0,609.75,644.0,69211,2023-03-27
2023-04-03,627.8192749023438,636.5,639.9000244140625,605.0999755859375,614.5,57235,2023-04-03
2023-04-10,631.2716064453125,640.0,648.3499755859375,630.8499755859375,637.0,31743,2023-04-10
2023-04-17,630.53173828125,639.25,655.0,632.5499877929688,639.7999877929688,46829,2023-04-17
2023-04-24,636.4500122070312,645.25,649.4500122070312,630.0,640.0,44125,2023-04-24
2023-05-01,649.667236328125,658.6500244140625,666.9500122070312,644.2000122070312,645.25,68810,2023-05-01
2023-05-08,641.1844482421875,650.0499877929688,664.0,637.5,658.0,88307,2023-05-08
2023-05-15,663.8707885742188,673.0499877929688,680.0,642.9000244140625,650.0499877929688,116893,2023-05-15
2023-05-22,698.5907592773438,708.25,726.0999755859375,666.5,673.0499877929688,362939,2023-05-22
2023-05-29,703.3252563476562,713.0499877929688,726.8499755859375,704.7000122070312,711.7999877929688,135923,2023-05-29
2023-06-05,780.261474609375,791.0499877929688,818.0,712.1500244140625,726.9500122070312,1031900,2023-06-05
2023-06-12,782.6780395507812,793.5,808.0499877929688,777.9000244140625,795.0,205488,2023-06-12
2023-06-19,770.4471435546875,781.0999755859375,815.9000244140625,769.0999755859375,794.2999877929688,219868,2023-06-19
2023-06-26,789.0401000976562,799.9500122070312,810.0,779.5499877929688,785.0,121470,2023-06-26
2023-07-03,779.423095703125,790.2000122070312,810.0,773.5499877929688,809.0,163900,2023-07-03
2023-07-10,764.5289916992188,775.0999755859375,792.9500122070312,765.0,792.9500122070312,249358,2023-07-10
2023-07-17,764.8250122070312,775.4000244140625,800.0,767.0,775.2000122070312,123631,2023-07-17
2023-07-24,742.6185302734375,750.9500122070312,785.0499877929688,745.75,779.2999877929688,129179,2023-07-24
2023-07-31,760.0726928710938,768.5999755859375,772.7999877929688,703.3499755859375,751.9500122070312,282481,2023-07-31
2023-08-07,765.0172119140625,773.5999755859375,780.0,752.2999877929688,772.4500122070312,192060,2023-08-07
2023-08-14,761.7044067382812,770.25,797.0,750.0,780.0,184182,2023-08-14
2023-08-21,772.82958984375,781.5,808.6500244140625,757.75,770.2999877929688,276190,2023-08-21
2023-08-28,780.34521484375,789.0999755859375,804.0,768.0,781.5,161693,2023-08-28
2023-09-04,831.4222412109375,840.75,848.0,767.2000122070312,795.0,517333,2023-09-04
2023-09-11,836.3173217773438,845.7000122070312,904.9500122070312,824.3499755859375,855.0,669077,2023-09-11
2023-09-18,845.9097290039062,855.4000244140625,874.0,825.9000244140625,874.0,156413,2023-09-18
2023-09-25,832.2627563476562,841.5999755859375,870.0,829.5999755859375,870.0,172506,2023-09-25
2023-10-02,833.5978393554688,842.9500122070312,879.0,826.0999755859375,841.5999755859375,136259,2023-10-02
2023-10-09,829.9389038085938,839.25,853.9500122070312,811.5999755859375,820.0,170627,2023-10-09
2023-10-16,829.3455200195312,838.6500244140625,854.0499877929688,823.25,834.0,134199,2023-10-16
2023-10-23,806.4523315429688,815.5,842.4500122070312,786.0,831.0,174579,2023-10-23
2023-10-30,771.3956298828125,780.0499877929688,818.5,764.5999755859375,803.5,174574,2023-10-30
2023-11-06,820.6431274414062,829.8499755859375,909.9500122070312,783.8499755859375,797.7000122070312,1826934,2023-11-06
2023-11-13,857.3316040039062,866.9500122070312,900.0,833.0,833.0,406829,2023-11-13
2023-11-20,893.772705078125,903.7999877929688,948.7000122070312,864.0499877929688,870.0,677625,2023-11-20
2023-11-27,944.9485473632812,955.5499877929688,964.4000244140625,903.7999877929688,903.7999877929688,379715,2023-11-27
2023-12-04,957.55712890625,968.2999877929688,989.0,905.0999755859375,969.0,636442,2023-12-04
2023-12-11,1018.918701171875,1030.3499755859375,1037.0,962.7000122070312,971.5499877929688,531166,2023-12-11
2023-12-18,1035.384033203125,1047.0,1068.0,991.7000122070312,1030.3499755859375,324496,2023-12-18
2023-12-25,1045.27294921875,1057.0,1097.4000244140625,1047.0,1047.0,229803,2023-12-25
2024-01-01,1158.651123046875,1171.6500244140625,1197.0,1047.0,1050.0,417846,2024-01-01
2024-01-08,1234.3516845703125,1248.199951171875,1298.0,1155.0,1195.0,355474,2024-01-08
2024-01-15,1167.303955078125,1180.4000244140625,1293.0,1169.800048828125,1255.0,326329,2024-01-15
2024-01-22,1185.845947265625,1199.1500244140625,1214.3499755859375,1150.3499755859375,1180.4000244140625,169173,2024-01-22
2024-01-29,1117.1663818359375,1129.699951171875,1247.0,1106.300048828125,1210.5,306380,2024-01-29
2024-02-05,1055.656494140625,1067.5,1129.699951171875,1019.9500122070312,1129.699951171875,828469,2024-02-05
2024-02-12,1076.8685302734375,1088.949951171875,1093.949951171875,1000.0,1071.1500244140625,242994,2024-02-12
2024-02-19,1164.454345703125,1168.5999755859375,1190.4000244140625,1090.050048828125,1091.949951171875,270966,2024-02-19
2024-02-26,1024.4527587890625,1028.0999755859375,1195.0,1022.0,1177.550048828125,497179,2024-02-26
2024-03-04,1037.1077880859375,1040.800048828125,1077.199951171875,1014.0,1051.0,179333,2024-03-04
2024-03-11,987.28515625,990.7999877929688,1064.949951171875,963.3499755859375,1043.0,197100,2024-03-11
2024-03-18,955.0997314453125,958.5,1014.9500122070312,933.7999877929688,992.0,255087,2024-03-18
2024-03-25,1022.2107543945312,1025.8499755859375,1034.75,948.5,958.5,187438,2024-03-25
2024-04-01,1092.7098388671875,1096.5999755859375,1104.5999755859375,1000.0,1052.0,197082,2024-04-01
2024-04-08,1193.4013671875,1197.6500244140625,1201.0,1100.050048828125,1105.6500244140625,185836,2024-04-08
2024-04-15,1256.7757568359375,1261.25,1283.0,1133.0999755859375,1195.0,349206,2024-04-15
2024-04-22,1391.6455078125,1396.5999755859375,1424.6500244140625,1254.050048828125,1263.0,381561,2024-04-22
2024-04-29,1363.9442138671875,1368.800048828125,1428.949951171875,1360.3499755859375,1411.0999755859375,143744,2024-04-29
2024-05-06,1276.5054931640625,1281.050048828125,1409.0,1250.199951171875,1375.6500244140625,169065,2024-05-06
2024-05-13,1310.9827880859375,1315.6500244140625,1377.9000244140625,1240.050048828125,1279.949951171875,228514,2024-05-13
2024-05-20,1287.3170166015625,1291.9000244140625,1335.4000244140625,1232.800048828125,1323.949951171875,169833,2024-05-20
2024-05-27,1270.9752197265625,1275.5,1298.0,1226.0999755859375,1291.9000244140625,117024,2024-05-27
2024-06-03,1363.645263671875,1368.5,1398.9000244140625,1170.0,1285.0,238831,2024-06-03
2024-06-10,1579.7259521484375,1585.3499755859375,1669.9000244140625,1359.050048828125,1382.3499755859375,751231,2024-06-10
2024-06-17,1682.510009765625,1688.5,1733.0,1526.4000244140625,1585.3499755859375,286745,2024-06-17
2024-06-24,1679.9193115234375,1685.9000244140625,1719.0,1606.699951171875,1689.0,280280,2024-06-24
2024-07-01,1783.8492431640625,1790.199951171875,1800.0,1603.699951171875,1684.0,326058,2024-07-01
2024-07-08,1693.96923828125,1700.0,1803.949951171875,1670.0,1790.0,261861,2024-07-08
2024-07-15,1678.1256103515625,1684.0999755859375,1729.9000244140625,1648.0,1713.1500244140625,173741,2024-07-15
2024-07-22,1692.300048828125,1692.300048828125,1823.949951171875,1631.3499755859375,1675.050048828125,611366,2024-07-22
2024-07-29,1821.449951171875,1821.449951171875,1828.0,1678.5999755859375,1694.8499755859375,604009,2024-07-29
2024-08-05,1846.75,1846.75,1925.800048828125,1725.6500244140625,1798.800048828125,770226,2024-08-05
2024-08-12,1788.5,1788.5,1872.9000244140625,1776.050048828125,1861.300048828125,202535,2024-08-12
2024-08-19,1796.449951171875,1796.449951171875,1870.0,1735.6500244140625,1790.0,162907,2024-08-19
2024-08-26,1825.9000244140625,1825.9000244140625,1869.449951171875,1733.5999755859375,1797.699951171875,224140,2024-08-26
2024-09-02,1588.800048828125,1588.800048828125,1849.949951171875,1581.4000244140625,1840.0,362884,2024-09-02
2024-09-09,1593.3499755859375,1593.3499755859375,1690.0,1533.4000244140625,1588.800048828125,351148,2024-09-09
2024-09-16,1557.6500244140625,1557.6500244140625,1610.0,1489.6500244140625,1599.0,167175,2024-09-16
2024-09-23,1530.5,1530.5,1574.550048828125,1489.800048828125,1550.0,292951,2024-09-23
2024-09-30,1547.449951171875,1547.449951171875,1580.0,1480.699951171875,1530.5,88616,2024-09-30
2024-10-07,1493.3499755859375,1493.3499755859375,1550.800048828125,1444.550048828125,1547.949951171875,87146,2024-10-07
2024-10-14,1507.25,1507.25,1575.75,1480.5999755859375,1493.3499755859375,152385,2024-10-14
2024-10-21,1367.0999755859375,1367.0999755859375,1508.6500244140625,1343.25,1507.199951171875,96686,2024-10-21
2024-10-28,1567.5999755859375,1567.5999755859375,1579.0,1360.550048828125,1380.0,83090,2024-10-28
2024-11-04,1600.550048828125,1600.550048828125,1670.0,1510.0999755859375,1567.6500244140625,470166,2024-11-04
2024-11-11,1527.1500244140625,1527.1500244140625,1643.949951171875,1503.050048828125,1600.550048828125,196174,2024-11-11
2024-11-18,1479.550048828125,1479.550048828125,1531.5999755859375,1468.0,1531.5,87945,2024-11-18
2024-11-25,1516.949951171875,1516.949951171875,1574.199951171875,1481.3499755859375,1491.4000244140625,230739,2024-11-25
2024-12-02,1599.699951171875,1599.699951171875,1648.75,1496.199951171875,1509.949951171875,284260,2024-12-02
2024-12-09,1619.6500244140625,1619.6500244140625,1664.0,1566.199951171875,1600.0,197391,2024-12-09
2024-12-16,1510.1500244140625,1510.1500244140625,1649.0,1500.050048828125,1624.5,126999,2024-12-16
2024-12-23,1501.8499755859375,1501.8499755859375,1548.949951171875,1485.0,1535.8499755859375,64422,2024-12-23
2024-12-30,1397.1500244140625,1397.1500244140625,1510.8499755859375,1388.0999755859375,1501.8499755859375,143765,2024-12-30
2025-01-06,1381.0,1381.0,1453.550048828125,1351.6500244140625,1418.0999755859375,173603,2025-01-06
2025-01-13,1429.3499755859375,1429.3499755859375,1450.0,1305.550048828125,1377.6500244140625,84646,2025-01-13
2025-01-20,1349.0999755859375,1349.0999755859375,1485.5999755859375,1343.0,1431.949951171875,94990,2025-01-20
2025-01-27,1395.949951171875,1395.949951171875,1517.0,1276.0999755859375,1347.050048828125,237291,2025-01-27
2025-02-03,1487.5999755859375,1487.5999755859375,1495.0,1360.0,1411.0,256365,2025-02-03
2025-02-10,1397.949951171875,1397.949951171875,1524.9000244140625,1385.0999755859375,1487.5999755859375,116217,2025-02-10
2025-02-17,1340.1500244140625,1340.1500244140625,1409.050048828125,1266.0,1397.0,107474,2025-02-17
2025-02-24,1271.449951171875,1271.449951171875,1355.0,1210.5,1340.1500244140625,113250,2025-02-24
2025-03-03,1156.8499755859375,1156.8499755859375,1290.449951171875,1151.0,1274.8499755859375,254989,2025-03-03
2025-03-10,1114.25,1114.25,1199.0,1092.050048828125,1156.949951171875,250056,2025-03-10
2025-03-17,1263.5999755859375,1263.5999755859375,1317.0999755859375,1114.25,1114.25,369756,2025-03-17
2025-03-24,1293.8499755859375,1293.8499755859375,1397.9000244140625,1261.0,1349.9000244140625,891602,2025-03-24
2025-03-31,1269.9000244140625,1269.9000244140625,1354.800048828125,1235.5999755859375,1293.8499755859375,248522,2025-03-31
2025-04-07,1322.9000244140625,1322.9000244140625,1347.75,1132.3499755859375,1166.0,198630,2025-04-07
2025-04-14,1316.4000244140625,1316.4000244140625,1365.4000244140625,1296.0,1322.9000244140625,292574,2025-04-14
2025-04-21,1309.800048828125,1309.800048828125,1416.0,1300.0,1316.4000244140625,318435,2025-04-21
2025-04-28,1275.199951171875,1275.199951171875,1340.800048828125,1271.0,1307.0,112032,2025-04-28
2025-05-05,1255.0999755859375,1255.0999755859375,1310.0999755859375,1215.0,1280.0,118881,2025-05-05
2025-05-12,1613.0,1613.0,1639.4000244140625,1273.9000244140625,1273.9000244140625,937078,2025-05-12
2025-05-19,1678.5,1678.5,1701.0,1577.0,1620.0,526694,2025-05-19
2025-05-26,1651.0,1651.0,1703.4000244140625,1642.0,1689.0,246915,2025-05-26
2025-06-02,1705.199951171875,1705.199951171875,1740.0,1633.0,1658.5,453993,2025-06-02
2025-06-09,1666.800048828125,1666.800048828125,1722.0,1640.5,1709.5999755859375,190986,2025-06-09
2025-06-16,1652.300048828125,1652.300048828125,1729.0,1632.300048828125,1679.800048828125,152674,2025-06-16
2025-06-23,1661.199951171875,1661.199951171875,1717.0,1628.0,1644.0999755859375,224746,2025-06-23
2025-06-30,1731.9000244140625,1731.9000244140625,1783.9000244140625,1663.699951171875,1686.0999755859375,768088,2025-06-30
2025-07-07,1624.5,1624.5,1755.300048828125,1597.199951171875,1733.9000244140625,374474,2025-07-07
2025-07-14,1705.199951171875,1705.199951171875,1729.0,1571.5,1621.0,287822,2025-07-14
