Date,Adj Close_UFO.NS,Close_UFO.NS,High_UFO.NS,Low_UFO.NS,Open_UFO.NS,Volume_UFO.NS,Date
2022-03-07,100.05000305175781,100.05000305175781,101.0,90.0,90.0,831729,2022-03-07
2022-03-14,99.05000305175781,99.05000305175781,102.80000305175781,98.05000305175781,99.9000015258789,787980,2022-03-14
2022-03-21,102.69999694824219,102.69999694824219,108.0,96.94999694824219,99.0999984741211,2262089,2022-03-21
2022-03-28,105.55000305175781,105.55000305175781,109.30000305175781,100.3499984741211,105.5,2780453,2022-03-28
2022-04-04,110.1500015258789,110.1500015258789,117.19999694824219,105.75,105.8499984741211,3576633,2022-04-04
2022-04-11,123.80000305175781,123.80000305175781,127.9000015258789,107.55000305175781,108.94999694824219,6176198,2022-04-11
2022-04-18,116.55000305175781,116.55000305175781,138.6999969482422,115.5,125.1500015258789,7004752,2022-04-18
2022-04-25,109.5,109.5,118.0,108.0,116.0,1182057,2022-04-25
2022-05-02,102.69999694824219,102.69999694824219,115.5999984741211,101.55000305175781,108.55000305175781,606256,2022-05-02
2022-05-09,99.05000305175781,99.05000305175781,104.94999694824219,93.69999694824219,100.5999984741211,944030,2022-05-09
2022-05-16,102.94999694824219,102.94999694824219,105.0,96.80000305175781,99.80000305175781,414105,2022-05-16
2022-05-23,97.05000305175781,97.05000305175781,108.9000015258789,94.0,102.0,631185,2022-05-23
2022-05-30,96.75,96.75,102.0999984741211,95.75,98.19999694824219,702603,2022-05-30
2022-06-06,95.44999694824219,95.44999694824219,98.9000015258789,94.3499984741211,96.75,307827,2022-06-06
2022-06-13,90.44999694824219,90.44999694824219,98.44999694824219,85.55000305175781,94.94999694824219,486594,2022-06-13
2022-06-20,88.0,88.0,92.0999984741211,83.25,92.0999984741211,408375,2022-06-20
2022-06-27,89.05000305175781,89.05000305175781,90.80000305175781,87.6500015258789,90.80000305175781,248604,2022-06-27
2022-07-04,92.0,92.0,93.4000015258789,87.9000015258789,89.94999694824219,286948,2022-07-04
2022-07-11,92.30000305175781,92.30000305175781,95.5,90.0999984741211,91.0,209074,2022-07-11
2022-07-18,96.69999694824219,96.69999694824219,97.94999694824219,91.19999694824219,94.0,470278,2022-07-18
2022-07-25,99.30000305175781,99.30000305175781,103.8499984741211,92.69999694824219,95.3499984741211,919350,2022-07-25
2022-08-01,101.9000015258789,101.9000015258789,105.80000305175781,97.3499984741211,100.0999984741211,1252703,2022-08-01
2022-08-08,99.3499984741211,99.3499984741211,102.75,98.9000015258789,102.75,408734,2022-08-08
2022-08-15,108.5999984741211,108.5999984741211,112.0999984741211,98.4000015258789,99.3499984741211,1490353,2022-08-15
2022-08-22,113.0,113.0,115.5999984741211,105.5,109.5,1540009,2022-08-22
2022-08-29,118.3499984741211,118.3499984741211,123.9000015258789,107.9000015258789,111.30000305175781,1301685,2022-08-29
2022-09-05,111.55000305175781,111.55000305175781,119.19999694824219,109.55000305175781,119.0,1034397,2022-09-05
2022-09-12,119.5,119.5,130.60000610351562,113.05000305175781,114.0,3890113,2022-09-12
2022-09-19,124.5,124.5,133.10000610351562,117.5,120.8499984741211,3532126,2022-09-19
2022-09-26,121.30000305175781,121.30000305175781,123.9000015258789,114.25,123.0999984741211,1223030,2022-09-26
2022-10-03,119.75,119.75,121.9000015258789,116.1500015258789,121.9000015258789,591345,2022-10-03
2022-10-10,111.0,111.0,119.0,110.0999984741211,118.4000015258789,707066,2022-10-10
2022-10-17,111.0999984741211,111.0999984741211,121.8499984741211,108.55000305175781,110.0999984741211,939328,2022-10-17
2022-10-24,109.5,109.5,114.0,109.0,111.30000305175781,245091,2022-10-24
2022-10-31,109.5,109.5,116.80000305175781,108.5999984741211,109.0999984741211,717077,2022-10-31
2022-11-07,99.9000015258789,99.9000015258789,110.69999694824219,98.0999984741211,109.5,881186,2022-11-07
2022-11-14,99.94999694824219,99.94999694824219,101.69999694824219,98.9000015258789,99.9000015258789,346574,2022-11-14
2022-11-21,100.0999984741211,100.0999984741211,105.19999694824219,95.9000015258789,100.8499984741211,534765,2022-11-21
2022-11-28,103.75,103.75,105.19999694824219,99.19999694824219,101.4000015258789,841789,2022-11-28
2022-12-05,100.4000015258789,100.4000015258789,106.5999984741211,99.69999694824219,105.05000305175781,454168,2022-12-05
2022-12-12,98.19999694824219,98.19999694824219,101.4000015258789,97.69999694824219,100.80000305175781,486149,2022-12-12
2022-12-19,86.94999694824219,86.94999694824219,100.0999984741211,86.5,98.9000015258789,613636,2022-12-19
2022-12-26,92.8499984741211,92.8499984741211,95.3499984741211,86.55000305175781,87.0,365303,2022-12-26
2023-01-02,92.19999694824219,92.19999694824219,95.4000015258789,91.3499984741211,93.80000305175781,222134,2023-01-02
2023-01-09,90.4000015258789,90.4000015258789,93.44999694824219,90.0,92.19999694824219,202909,2023-01-09
2023-01-16,88.0,88.0,91.9000015258789,86.19999694824219,90.44999694824219,523456,2023-01-16
2023-01-23,84.55000305175781,84.55000305175781,89.80000305175781,83.75,89.80000305175781,313360,2023-01-23
2023-01-30,84.05000305175781,84.05000305175781,88.4000015258789,82.5,84.75,269514,2023-01-30
2023-02-06,83.9000015258789,83.9000015258789,88.94999694824219,80.5,84.05000305175781,774178,2023-02-06
2023-02-13,81.19999694824219,81.19999694824219,84.94999694824219,80.5,83.8499984741211,259053,2023-02-13
2023-02-20,77.0999984741211,77.0999984741211,81.55000305175781,76.80000305175781,81.19999694824219,201429,2023-02-20
2023-02-27,78.6500015258789,78.6500015258789,81.0,74.25,77.8499984741211,508122,2023-02-27
2023-03-06,76.5999984741211,76.5999984741211,80.80000305175781,75.69999694824219,79.9000015258789,386436,2023-03-06
2023-03-13,71.94999694824219,71.94999694824219,76.94999694824219,71.0,76.94999694824219,491968,2023-03-13
2023-03-20,68.69999694824219,68.69999694824219,73.3499984741211,68.25,73.1500015258789,536444,2023-03-20
2023-03-27,62.45000076293945,62.45000076293945,68.94999694824219,57.20000076293945,68.69999694824219,1573576,2023-03-27
2023-04-03,68.0999984741211,68.0999984741211,68.5,62.45000076293945,62.45000076293945,329745,2023-04-03
2023-04-10,69.30000305175781,69.30000305175781,71.44999694824219,67.30000305175781,68.9000015258789,347213,2023-04-10
2023-04-17,68.69999694824219,68.69999694824219,70.5,67.25,70.0,234021,2023-04-17
2023-04-24,72.44999694824219,72.44999694824219,73.9000015258789,66.75,69.44999694824219,437422,2023-04-24
2023-05-01,69.94999694824219,69.94999694824219,73.8499984741211,69.6500015258789,72.44999694824219,282008,2023-05-01
2023-05-08,70.19999694824219,70.19999694824219,73.0999984741211,69.3499984741211,69.6500015258789,379533,2023-05-08
2023-05-15,70.05000305175781,70.05000305175781,73.9000015258789,69.0,71.4000015258789,290490,2023-05-15
2023-05-22,71.5999984741211,71.5999984741211,74.8499984741211,69.55000305175781,71.3499984741211,428141,2023-05-22
2023-05-29,76.19999694824219,76.19999694824219,78.5,71.0,71.6500015258789,596049,2023-05-29
2023-06-05,78.5999984741211,78.5999984741211,83.0,76.19999694824219,76.19999694824219,785248,2023-06-05
2023-06-12,81.05000305175781,81.05000305175781,83.75,78.0999984741211,78.3499984741211,742011,2023-06-12
2023-06-19,77.0,77.0,81.6500015258789,74.9000015258789,81.6500015258789,498750,2023-06-19
2023-06-26,78.4000015258789,78.4000015258789,79.0,74.05000305175781,77.4000015258789,659917,2023-06-26
2023-07-03,84.5999984741211,84.5999984741211,88.0,78.4000015258789,78.4000015258789,2282766,2023-07-03
2023-07-10,82.30000305175781,82.30000305175781,85.0,78.44999694824219,84.80000305175781,1569145,2023-07-10
2023-07-17,85.55000305175781,85.55000305175781,86.3499984741211,82.19999694824219,82.30000305175781,1246626,2023-07-17
2023-07-24,85.4000015258789,85.4000015258789,86.9000015258789,84.4000015258789,85.55000305175781,592556,2023-07-24
2023-07-31,98.5999984741211,98.5999984741211,102.1500015258789,84.69999694824219,85.5,7906896,2023-07-31
2023-08-07,96.8499984741211,96.8499984741211,102.5999984741211,92.3499984741211,98.0,2473436,2023-08-07
2023-08-14,110.19999694824219,110.19999694824219,114.9000015258789,95.19999694824219,97.0,4901490,2023-08-14
2023-08-21,107.0999984741211,107.0999984741211,113.0,102.30000305175781,111.80000305175781,1181349,2023-08-21
2023-08-28,112.0999984741211,112.0999984741211,114.80000305175781,104.5,108.80000305175781,873649,2023-08-28
2023-09-04,110.1500015258789,110.1500015258789,115.0,108.0,114.30000305175781,663156,2023-09-04
2023-09-11,103.69999694824219,103.69999694824219,113.0999984741211,98.5999984741211,112.5999984741211,528480,2023-09-11
2023-09-18,110.80000305175781,110.80000305175781,112.5,103.05000305175781,106.19999694824219,673208,2023-09-18
2023-09-25,109.94999694824219,109.94999694824219,112.05000305175781,105.0,109.0999984741211,418214,2023-09-25
2023-10-02,117.0999984741211,117.0999984741211,117.0999984741211,107.0,109.94999694824219,679448,2023-10-02
2023-10-09,125.1500015258789,125.1500015258789,125.80000305175781,115.0999984741211,115.55000305175781,1161505,2023-10-09
2023-10-16,122.1500015258789,122.1500015258789,129.85000610351562,120.0,125.5,732864,2023-10-16
2023-10-23,111.8499984741211,111.8499984741211,123.94999694824219,104.80000305175781,123.69999694824219,360165,2023-10-23
2023-10-30,110.6500015258789,110.6500015258789,120.5999984741211,108.0,113.44999694824219,649083,2023-10-30
2023-11-06,104.9000015258789,104.9000015258789,113.5,103.5999984741211,111.80000305175781,651929,2023-11-06
2023-11-13,106.05000305175781,106.05000305175781,107.80000305175781,102.8499984741211,105.6500015258789,473668,2023-11-13
2023-11-20,109.80000305175781,109.80000305175781,111.69999694824219,105.25,106.05000305175781,492340,2023-11-20
2023-11-27,109.3499984741211,109.3499984741211,117.0,107.8499984741211,109.80000305175781,1430988,2023-11-27
2023-12-04,106.9000015258789,106.9000015258789,112.5,106.0,111.0,1014911,2023-12-04
2023-12-11,113.3499984741211,113.3499984741211,123.0,107.0999984741211,107.80000305175781,4290860,2023-12-11
2023-12-18,109.8499984741211,109.8499984741211,117.0,105.8499984741211,113.3499984741211,918908,2023-12-18
2023-12-25,112.0,112.0,116.0999984741211,109.05000305175781,109.8499984741211,800549,2023-12-25
2024-01-01,121.4000015258789,121.4000015258789,128.89999389648438,111.1500015258789,112.0,3591244,2024-01-01
2024-01-08,137.75,137.75,148.14999389648438,120.1500015258789,121.80000305175781,12145647,2024-01-08
2024-01-15,135.9499969482422,135.9499969482422,143.8000030517578,126.5999984741211,138.89999389648438,4092762,2024-01-15
2024-01-22,153.10000610351562,153.10000610351562,154.89999389648438,128.35000610351562,135.9499969482422,5780126,2024-01-22
2024-01-29,163.85000610351562,163.85000610351562,173.85000610351562,155.3000030517578,161.5,10348717,2024-01-29
2024-02-05,146.35000610351562,146.35000610351562,166.0,143.0,164.6999969482422,3141388,2024-02-05
2024-02-12,153.6999969482422,153.6999969482422,156.39999389648438,135.89999389648438,147.5,2353787,2024-02-12
2024-02-19,154.10000610351562,154.10000610351562,163.89999389648438,150.25,154.4499969482422,2402350,2024-02-19
2024-02-26,143.25,143.25,155.89999389648438,139.60000610351562,155.75,1113550,2024-02-26
2024-03-04,135.89999389648438,135.89999389648438,144.75,133.75,144.4499969482422,1064405,2024-03-04
