Date,Adj Close_MODISONLTD.NS,Close_MODISONLTD.NS,High_MODISONLTD.NS,Low_MODISONLTD.NS,Open_MODISONLTD.NS,Volume_MODISONLTD.NS,Date
2023-12-11,133.57936096191406,137.39999389648438,142.0,118.1500015258789,121.3499984741211,2577660,2023-12-11
2023-12-18,128.52395629882812,132.1999969482422,142.0,121.75,137.9499969482422,1040386,2023-12-18
2023-12-25,135.5237579345703,139.39999389648438,143.4499969482422,129.64999389648438,132.1999969482422,776721,2023-12-25
2024-01-01,133.33631896972656,137.14999389648438,144.89999389648438,131.0,141.5,700667,2024-01-01
2024-01-08,126.04486846923828,129.64999389648438,140.9499969482422,126.0,140.89999389648438,412388,2024-01-08
2024-01-15,122.15609741210938,125.6500015258789,132.25,123.4000015258789,129.64999389648438,272968,2024-01-15
2024-01-22,124.1004867553711,127.6500015258789,130.9499969482422,122.8499984741211,125.6500015258789,194040,2024-01-22
2024-01-29,138.58616638183594,142.5500030517578,158.6999969482422,126.0,129.8000030517578,3595018,2024-01-29
2024-02-05,139.75279235839844,143.75,147.0,135.60000610351562,144.0,602799,2024-02-05
2024-02-12,135.9612579345703,139.85000610351562,150.0,126.0,147.0,669467,2024-02-12
2024-02-19,128.52395629882812,132.1999969482422,142.75,130.10000610351562,141.9499969482422,393523,2024-02-19
2024-02-26,119.59617614746094,122.55000305175781,134.60000610351562,118.55000305175781,134.0,369341,2024-02-26
2024-03-04,114.5215072631836,117.3499984741211,126.30000305175781,116.9000015258789,124.94999694824219,310902,2024-03-04
2024-03-11,107.59263610839844,110.25,118.05000305175781,97.19999694824219,117.0,579985,2024-03-11
2024-03-18,105.49446105957031,108.0999984741211,113.44999694824219,100.05000305175781,109.0999984741211,644583,2024-03-18
2024-03-25,113.59441375732422,116.4000015258789,125.0,103.3499984741211,108.0999984741211,1718109,2024-03-25
2024-04-01,136.8695526123047,140.25,143.9499969482422,117.5,117.5,1964289,2024-04-01
2024-04-08,140.28518676757812,143.75,146.89999389648438,132.0,141.75,642451,2024-04-08
2024-04-15,138.87014770507812,142.3000030517578,150.8000030517578,134.0,143.89999389648438,781118,2024-04-15
2024-04-22,138.52857971191406,141.9499969482422,145.85000610351562,133.60000610351562,142.3000030517578,240143,2024-04-22
2024-04-29,134.86895751953125,138.1999969482422,147.8000030517578,136.0,143.89999389648438,89403,2024-04-29
2024-05-06,126.5738296508789,129.6999969482422,140.89999389648438,128.0,140.89999389648438,59811,2024-05-06
2024-05-13,132.77078247070312,136.0500030517578,138.5,121.05000305175781,129.6999969482422,94582,2024-05-13
2024-05-20,129.8430938720703,133.0500030517578,139.39999389648438,130.0,134.89999389648438,77107,2024-05-20
2024-05-27,122.18230438232422,125.19999694824219,135.0500030517578,121.0999984741211,133.0500030517578,112245,2024-05-27
2024-06-03,123.15819549560547,126.19999694824219,131.4499969482422,115.05000305175781,131.4499969482422,151154,2024-06-03
2024-06-10,123.45096588134766,126.5,128.75,122.30999755859375,124.0,130034,2024-06-10
2024-06-17,117.9957046508789,120.91000366210938,127.0,120.0,126.5,150440,2024-06-17
2024-06-24,122.91422271728516,125.94999694824219,129.89999389648438,118.30000305175781,121.98999786376953,168313,2024-06-24
2024-07-01,134.86895751953125,138.1999969482422,138.1999969482422,122.9000015258789,127.3499984741211,269217,2024-07-01
2024-07-08,134.64451599121094,137.97000122070312,152.0,132.60000610351562,145.11000061035156,192038,2024-07-08
2024-07-15,142.0222930908203,145.52999877929688,151.5,134.60000610351562,136.85000610351562,405736,2024-07-15
2024-07-22,149.65379333496094,153.35000610351562,153.35000610351562,136.9600067138672,148.0,472707,2024-07-22
2024-07-29,157.4191436767578,159.10000610351562,169.05999755859375,155.14999389648438,158.0,785778,2024-07-29
2024-08-05,177.14845275878906,179.0399932861328,185.52999877929688,149.02000427246094,151.13999938964844,1628104,2024-08-05
2024-08-12,147.47531127929688,149.0500030517578,183.5,148.00999450683594,178.0,996973,2024-08-12
2024-08-19,160.783203125,162.5,164.8000030517578,146.80999755859375,149.0500030517578,453065,2024-08-19
2024-08-26,165.28514099121094,167.0500030517578,179.0,155.0,162.5500030517578,837754,2024-08-26
2024-09-02,158.27005004882812,159.9600067138672,170.4499969482422,158.3699951171875,166.39999389648438,635265,2024-09-02
2024-09-09,171.61752319335938,173.4499969482422,179.99000549316406,154.5399932861328,162.33999633789062,1256192,2024-09-09
2024-09-16,194.36463928222656,196.44000244140625,232.8000030517578,170.52999877929688,174.1999969482422,10738602,2024-09-16
2024-09-23,180.89842224121094,182.8300018310547,205.0,176.35000610351562,186.61000061035156,285033,2024-09-23
2024-09-30,192.7716522216797,194.8300018310547,207.5,174.5,188.35000610351562,253589,2024-09-30
2024-10-07,179.06796264648438,180.97999572753906,201.89999389648438,175.82000732421875,201.89999389648438,83019,2024-10-07
2024-10-14,170.95460510253906,172.77999877929688,188.38999938964844,168.0,181.9499969482422,79966,2024-10-14
2024-10-21,148.96934509277344,150.55999755859375,177.6999969482422,148.0,172.8000030517578,115490,2024-10-21
2024-10-28,167.26400756835938,169.0500030517578,171.0,146.75,150.55999755859375,64190,2024-10-28
2024-11-04,169.5397186279297,171.35000610351562,175.77000427246094,158.50999450683594,169.10000610351562,65641,2024-11-04
2024-11-11,166.98696899414062,168.77000427246094,174.6699981689453,150.9600067138672,174.5,115544,2024-11-11
2024-11-18,162.02000427246094,163.75,170.0,161.1999969482422,168.0,63054,2024-11-18
2024-11-25,167.43222045898438,169.22000122070312,172.0,160.3800048828125,168.67999267578125,74774,2024-11-25
2024-12-02,173.3985137939453,175.25,180.0,168.0,169.0,114093,2024-12-02
2024-12-09,180.03762817382812,181.9600067138672,184.89999389648438,172.0,175.25,132138,2024-12-09
2024-12-16,183.11476135253906,185.07000732421875,195.5,175.5,176.0500030517578,207340,2024-12-16
2024-12-23,196.3533935546875,198.4499969482422,211.0,176.64999389648438,193.89999389648438,710462,2024-12-23
2024-12-30,183.094970703125,185.0500030517578,200.89999389648438,180.61000061035156,198.4499969482422,386293,2024-12-30
2025-01-06,164.91903686523438,166.67999267578125,189.1300048828125,165.0,183.0,200270,2025-01-06
2025-01-13,170.59840393066406,172.4199981689453,175.5800018310547,155.05999755859375,164.1999969482422,130388,2025-01-13
2025-01-20,156.00424194335938,157.6699981689453,177.0,156.82000732421875,170.0500030517578,78101,2025-01-20
2025-01-27,160.37753295898438,162.08999633789062,167.97999572753906,137.7100067138672,159.9199981689453,219047,2025-01-27
2025-02-03,160.783203125,162.5,167.08999633789062,152.39999389648438,160.0,95339,2025-02-03
2025-02-10,136.5717315673828,138.02999877929688,162.88999938964844,137.0,161.44000244140625,159158,2025-02-10
2025-02-17,136.27490234375,137.72999572753906,152.80999755859375,125.11000061035156,140.0,208118,2025-02-17
2025-02-24,122.13999938964844,122.13999938964844,140.00999450683594,120.83999633789062,137.72999572753906,118344,2025-02-24
2025-03-03,140.47000122070312,140.47000122070312,144.7100067138672,118.5,120.30000305175781,231976,2025-03-03
2025-03-10,130.39999389648438,130.39999389648438,140.47000122070312,127.98999786376953,140.47000122070312,123179,2025-03-10
2025-03-17,136.5800018310547,136.5800018310547,140.14999389648438,126.11000061035156,130.0500030517578,137808,2025-03-17
2025-03-24,122.72000122070312,122.72000122070312,142.9499969482422,118.55000305175781,138.5500030517578,305595,2025-03-24
2025-03-31,131.5500030517578,131.5500030517578,138.74000549316406,121.05000305175781,122.72000122070312,168874,2025-03-31
2025-04-07,130.52000427246094,130.52000427246094,132.99000549316406,112.0,112.0,65035,2025-04-07
2025-04-14,135.92999267578125,135.92999267578125,142.0,128.0,128.0,70269,2025-04-14
2025-04-21,127.41999816894531,127.41999816894531,141.25,126.4000015258789,136.0,142458,2025-04-21
2025-04-28,123.02999877929688,123.02999877929688,129.85000610351562,122.0,126.63999938964844,145554,2025-04-28
2025-05-05,120.62999725341797,120.62999725341797,125.4000015258789,115.01000213623047,125.25,137274,2025-05-05
