SYMBOL,SERIES,DATE OF LISTING,ISIN NUMBER,FACE VALUE,YahooSymbol,Symbol,Company,Sector,Industry
ACC.NS,EQ,20-NOV-1996,INE012A01025,10,ACC.NS,ACC,ACC Limited,Basic Materials,Building Materials
ACCELYA.NS,EQ,01-DEC-1999,INE793A01012,10,ACCELYA.NS,ACCELYA,Accelya Solutions India Limited,Technology,Information Technology Services
ACE.NS,EQ,26-SEP-2006,INE731H01025,2,ACE.NS,ACE,Action Construction Equipment Limited,Industrials,Farm & Heavy Construction Machinery
ACEINTEG.NS,EQ,04-NOV-2022,INE543V01017,10,ACEINTEG.NS,ACEINTEG,Ace Integrated Solutions Limited,Industrials,Staffing & Employment Services
ACI.NS,EQ,21-NOV-2022,INE128X01021,2,ACI.NS,ACI,Archean Chemical Industries Limited,Basic Materials,Chemicals
ACLGATI.NS,EQ,10-OCT-2006,INE152B01027,2,ACLGATI.NS,ACLGATI,Allcargo Gati Limited,Industrials,Integrated Freight & Logistics
ACUTAAS.NS,EQ,14-SEP-2021,INE00FF01025,5,ACUTAAS.NS,ACUTAAS,Acutaas Chemicals Limited,Basic Materials,Specialty Chemicals
ADANIENT.NS,EQ,04-JUN-1997,INE423A01024,1,ADANIENT.NS,ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal
ADANIPORTS.NS,EQ,27-NOV-2007,INE742F01042,2,ADANIPORTS.NS,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping
ADANIPOWER.NS,EQ,20-AUG-2009,INE814H01011,10,ADANIPOWER.NS,ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers
ADFFOODS.NS,EQ,15-SEP-2010,INE982B01027,2,ADFFOODS.NS,ADFFOODS,ADF Foods Limited,Consumer Defensive,Packaged Foods
ADOR.NS,EQ,10-MAY-1995,INE045A01017,10,ADOR.NS,ADOR,Ador Welding Limited,Industrials,Specialty Industrial Machinery
ADROITINFO.NS,EQ,13-AUG-1997,INE737B01033,10,ADROITINFO.NS,ADROITINFO,Adroit Infotech Limited,Technology,Information Technology Services
ADSL.NS,EQ,25-JUL-2007,INE102I01027,5,ADSL.NS,ADSL,Allied Digital Services Limited,Technology,Information Technology Services
ADVANIHOTR.NS,EQ,25-JUN-2007,INE199C01026,2,ADVANIHOTR.NS,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Consumer Cyclical,Lodging
ADVENZYMES.NS,EQ,01-AUG-2016,INE837H01020,2,ADVENZYMES.NS,ADVENZYMES,Advanced Enzyme Technologies Limited,Basic Materials,Specialty Chemicals
AEGISLOG.NS,EQ,03-APR-1996,INE208C01025,1,AEGISLOG.NS,AEGISLOG,AEGIS LOGISTICS LIMITED,Energy,Oil & Gas Refining & Marketing
AEGISVOPAK.NS,EQ,02-JUN-2025,INE0INX01018,10,AEGISVOPAK.NS,AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,Energy,Oil & Gas Equipment & Services
AEROENTER.NS,EQ,21-NOV-2022,INE065D01027,2,AEROENTER.NS,AEROENTER,Aeroflex Enterprises Limited,Basic Materials,Steel
AEROFLEX.NS,EQ,31-AUG-2023,INE024001021,2,AEROFLEX.NS,AEROFLEX,Aeroflex Industries Limited,Industrials,Metal Fabrication
AETHER.NS,EQ,03-JUN-2022,INE0BWX01014,10,AETHER.NS,AETHER,Aether Industries Limited,Basic Materials,Specialty Chemicals
AFCONS.NS,EQ,04-NOV-2024,INE101I01011,10,AFCONS.NS,AFCONS,AFCONS INFRASTRUCTURE LTD,Industrials,Engineering & Construction
AFFLE.NS,EQ,08-AUG-2019,INE00WC01027,2,AFFLE.NS,AFFLE,Affle 3i Limited,Communication Services,Advertising Agencies
AFFORDABLE.NS,EQ,23-OCT-2024,INE692Z01013,10,AFFORDABLE.NS,AFFORDABLE,Affordable Robotic & Automation Limited,Industrials,Specialty Industrial Machinery
AGARIND.NS,EQ,26-MAY-2014,INE204E01012,10,AGARIND.NS,AGARIND,Agarwal Industrial Corporation Limited,Basic Materials,Specialty Chemicals
AGARWALEYE.NS,EQ,04-FEB-2025,INE943P01029,1,AGARWALEYE.NS,AGARWALEYE,DR AGARWALS HEALTH CARE L,Healthcare,Medical Instruments & Supplies
AGI.NS,EQ,31-MAY-2000,INE415A01038,2,AGI.NS,AGI,AGI Greenpac Limited,Consumer Cyclical,Packaging & Containers
AHLUCONT.NS,EQ,14-DEC-2009,INE758C01029,2,AHLUCONT.NS,AHLUCONT,Ahluwalia Contracts (India) Limited,Industrials,Engineering & Construction
AIAENG.NS,EQ,14-DEC-2005,INE212H01026,2,AIAENG.NS,AIAENG,AIA Engineering Limited,Industrials,Specialty Industrial Machinery
AIIL.NS,EQ,23-APR-2024,INE206F01022,1,AIIL.NS,AIIL,Authum Investment & Infrastructure Limited,Financial Services,Capital Markets
AIRAN.NS,EQ,03-MAY-2019,INE645W01026,2,AIRAN.NS,AIRAN,Airan Limited,Technology,Information Technology Services
AJANTPHARM.NS,EQ,29-MAY-2000,INE031B01049,2,AJANTPHARM.NS,AJANTPHARM,Ajanta Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic
AJAXENGG.NS,EQ,17-FEB-2025,INE274Y01021,1,AJAXENGG.NS,AJAXENGG,AJAX ENGINEERING LIMITED,Industrials,Farm & Heavy Construction Machinery
AJOONI.NS,EQ,07-MAY-2021,INE820Y01021,2,AJOONI.NS,AJOONI,Ajooni Biotech Limited,Consumer Defensive,Packaged Foods
AKG.NS,EQ,16-FEB-2021,INE00Y801016,10,AKG.NS,AKG,AKG Exim Limited,Industrials,Industrial Distribution
AKI.NS,BE,06-APR-2023,INE642Z01026,2,AKI.NS,AKI,AKI India Limited,Consumer Cyclical,Footwear & Accessories
AKSHAR.NS,BE,23-MAY-2022,INE256Z01025,1,AKSHAR.NS,AKSHAR,Akshar Spintex Limited,Consumer Cyclical,Textile Manufacturing
AKSHARCHEM.NS,EQ,28-MAR-2017,INE542B01011,10,AKSHARCHEM.NS,AKSHARCHEM,AksharChem (India) Limited,Basic Materials,Specialty Chemicals
AKUMS.NS,EQ,06-AUG-2024,INE09XN01023,2,AKUMS.NS,AKUMS,AKUMS DRUGS AND PHARMA L,Healthcare,Drug Manufacturers - Specialty & Generic
AKZOINDIA.NS,EQ,28-JUN-2001,INE133A01011,10,AKZOINDIA.NS,AKZOINDIA,Akzo Nobel India Limited,Basic Materials,Specialty Chemicals
ALANKIT.NS,EQ,30-JUN-2015,INE914E01040,1,ALANKIT.NS,ALANKIT,Alankit Limited,Technology,Information Technology Services
ALBERTDAVD.NS,EQ,14-JUN-2016,INE155C01010,10,ALBERTDAVD.NS,ALBERTDAVD,Albert David Limited,Healthcare,Drug Manufacturers - Specialty & Generic
ALICON.NS,EQ,29-SEP-2006,INE062D01024,5,ALICON.NS,ALICON,Alicon Castalloy Limited,Industrials,Metal Fabrication
ALIVUS.NS,EQ,06-AUG-2021,INE03Q201024,2,ALIVUS.NS,ALIVUS,Alivus Life Sciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic
ALKEM.NS,EQ,23-DEC-2015,INE540L01014,2,ALKEM.NS,ALKEM,Alkem Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic
ALKYLAMINE.NS,EQ,26-NOV-2007,INE150B01039,2,ALKYLAMINE.NS,ALKYLAMINE,Alkyl Amines Chemicals Limited,Basic Materials,Specialty Chemicals
ALLDIGI.NS,EQ,09-MAY-2005,INE835G01018,10,ALLDIGI.NS,ALLDIGI,Alldigi Tech Limited,Industrials,Specialty Business Services
ALMONDZ.NS,EQ,16-JUN-2008,INE326B01035,1,ALMONDZ.NS,ALMONDZ,Almondz Global Securities Limited,Financial Services,Capital Markets
AMBER.NS,EQ,30-JAN-2018,INE371P01015,10,AMBER.NS,AMBER,Amber Enterprises India Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
AMBIKCO.NS,EQ,29-JAN-2008,INE540G01014,10,AMBIKCO.NS,AMBIKCO,Ambika Cotton Mills Limited,Consumer Cyclical,Textile Manufacturing
AMBUJACEM.NS,EQ,18-FEB-1998,INE079A01024,2,AMBUJACEM.NS,AMBUJACEM,Ambuja Cements Limited,Basic Materials,Building Materials
AMNPLST.NS,EQ,10-NOV-2023,INE275D01022,2,AMNPLST.NS,AMNPLST,Amines & Plasticizers Limited,Basic Materials,Chemicals
AMRUTANJAN.NS,EQ,02-JAN-2015,INE098F01031,1,AMRUTANJAN.NS,AMRUTANJAN,Amrutanjan Health Care Limited,Healthcare,Drug Manufacturers - Specialty & Generic
ANANDRATHI.NS,EQ,14-DEC-2021,INE463V01026,5,ANANDRATHI.NS,ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,Asset Management
ANDHRAPAP.NS,EQ,13-MAY-2004,INE435A01051,2,ANDHRAPAP.NS,ANDHRAPAP,Andhra Paper Limited,Basic Materials,Paper & Paper Products
ANDHRSUGAR.NS,EQ,01-NOV-1995,INE715B01021,2,ANDHRSUGAR.NS,ANDHRSUGAR,The Andhra Sugars Limited,Basic Materials,Chemicals
ANGELONE.NS,EQ,05-OCT-2020,INE732I01013,10,ANGELONE.NS,ANGELONE,Angel One Limited,Financial Services,Capital Markets
ANIKINDS.NS,EQ,21-MAY-2008,INE087B01017,10,ANIKINDS.NS,ANIKINDS,Anik Industries Limited,Consumer Defensive,Food Distribution
ANTGRAPHIC.NS,EQ,31-DEC-1997,INE414B01021,1,ANTGRAPHIC.NS,ANTGRAPHIC,Antarctica Limited,Consumer Cyclical,Packaging & Containers
ANUHPHR.NS,EQ,20-DEC-2024,INE489G01022,5,ANUHPHR.NS,ANUHPHR,Anuh Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic
ANUP.NS,EQ,01-MAR-2019,INE294Z01018,10,ANUP.NS,ANUP,The Anup Engineering Limited,Industrials,Specialty Industrial Machinery
ANURAS.NS,EQ,24-MAR-2021,INE930P01018,10,ANURAS.NS,ANURAS,Anupam Rasayan India Ltd,Basic Materials,Specialty Chemicals
APARINDS.NS,EQ,12-JUL-2004,INE372A01015,10,APARINDS.NS,APARINDS,APAR Industries Limited,Industrials,Electrical Equipment & Parts
APCOTEXIND.NS,EQ,06-SEP-1995,INE116A01032,2,APCOTEXIND.NS,APCOTEXIND,Apcotex Industries Limited,Basic Materials,Specialty Chemicals
APEX.NS,EQ,04-SEP-2017,INE346W01013,10,APEX.NS,APEX,Apex Frozen Foods Limited,Consumer Defensive,Farm Products
APLAPOLLO.NS,EQ,14-DEC-2011,INE702C01027,2,APLAPOLLO.NS,APLAPOLLO,APL Apollo Tubes Limited,Basic Materials,Steel
APLLTD.NS,EQ,20-SEP-2011,INE901L01018,2,APLLTD.NS,APLLTD,Alembic Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic
APOLLOHOSP.NS,EQ,10-JAN-1996,INE437A01024,5,APOLLOHOSP.NS,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,Medical Care Facilities
APOLLOPIPE.NS,EQ,11-NOV-2019,INE126J01016,10,APOLLOPIPE.NS,APOLLOPIPE,Apollo Pipes Limited,Industrials,Building Products & Equipment
APOLLOTYRE.NS,EQ,31-MAY-1995,INE438A01022,1,APOLLOTYRE.NS,APOLLOTYRE,Apollo Tyres Limited,Consumer Cyclical,Auto Parts
APOLSINHOT.NS,EQ,28-JAN-2015,INE451F01024,5,APOLSINHOT.NS,APOLSINHOT,Apollo Sindoori Hotels Limited,Industrials,Specialty Business Services
APTECHT.NS,BE,27-SEP-2002,INE266F01018,10,APTECHT.NS,APTECHT,Aptech Limited,Consumer Defensive,Education & Training Services
ARE&M.NS,EQ,05-SEP-2003,INE885A01032,1,ARE&M.NS,ARE&M,Amara Raja Energy & Mobility Limited,Industrials,Electrical Equipment & Parts
ARIES.NS,EQ,11-JAN-2008,INE298I01015,10,ARIES.NS,ARIES,Aries Agro Limited,Basic Materials,Agricultural Inputs
ARIHANTCAP.NS,EQ,15-JUN-2021,INE420B01036,1,ARIHANTCAP.NS,ARIHANTCAP,Arihant Capital Markets Limited,Financial Services,Capital Markets
ARROWGREEN.NS,BE,21-MAY-2015,INE570D01018,10,ARROWGREEN.NS,ARROWGREEN,Arrow Greentech Limited,Consumer Cyclical,Packaging & Containers
ARVEE.NS,EQ,22-MAR-2021,INE006Z01016,10,ARVEE.NS,ARVEE,Arvee Laboratories (India) Ltd.,Basic Materials,Specialty Chemicals
ARVIND.NS,EQ,08-FEB-1995,INE034A01011,10,ARVIND.NS,ARVIND,Arvind Limited,Consumer Cyclical,Textile Manufacturing
ARVINDFASN.NS,EQ,08-MAR-2019,INE955V01021,4,ARVINDFASN.NS,ARVINDFASN,Arvind Fashions Limited,Consumer Cyclical,Apparel Manufacturing
ASAHIINDIA.NS,EQ,18-MAR-1998,INE439A01020,1,ASAHIINDIA.NS,ASAHIINDIA,Asahi India Glass Limited,Consumer Cyclical,Auto Parts
ASAHISONG.NS,BE,29-AUG-2011,INE228I01012,10,ASAHISONG.NS,ASAHISONG,Asahi Songwon Colors Limited,Basic Materials,Specialty Chemicals
ASAL.NS,EQ,12-MAR-2002,INE900C01027,10,ASAL.NS,ASAL,Automotive Stampings and Assemblies Limited,Consumer Cyclical,Auto Parts
ASALCBR.NS,EQ,12-FEB-2020,INE073G01016,10,ASALCBR.NS,ASALCBR,Associated Alcohols & Breweries Limited,Consumer Defensive,Beverages - Wineries & Distilleries
ASHAPURMIN.NS,EQ,20-SEP-1995,INE348A01023,2,ASHAPURMIN.NS,ASHAPURMIN,Ashapura Minechem Limited,Basic Materials,Other Industrial Metals & Mining
ASHIMASYN.NS,BE,27-JUL-1995,INE440A01010,10,ASHIMASYN.NS,ASHIMASYN,Ashima Limited,Consumer Cyclical,Textile Manufacturing
ASIANENE.NS,EQ,09-DEC-2021,INE276G01015,10,ASIANENE.NS,ASIANENE,Asian Energy Services Limited,Energy,Oil & Gas Equipment & Services
ASIANPAINT.NS,EQ,31-MAY-1995,INE021A01026,1,ASIANPAINT.NS,ASIANPAINT,Asian Paints Limited,Basic Materials,Specialty Chemicals
ASIANTILES.NS,BE,23-AUG-2007,INE022I01019,10,ASIANTILES.NS,ASIANTILES,Asian Granito India Limited,Industrials,Building Products & Equipment
ASKAUTOLTD.NS,EQ,15-NOV-2023,INE491J01022,2,ASKAUTOLTD.NS,ASKAUTOLTD,ASK AUTOMOTIVE LIMITED,Consumer Cyclical,Auto Parts
ASMS.NS,EQ,09-FEB-2023,INE855F01042,1,ASMS.NS,ASMS,Bartronics India Limited,Technology,Information Technology Services
ASPINWALL.NS,EQ,14-JUN-2016,INE991I01015,10,ASPINWALL.NS,ASPINWALL,Aspinwall and Company Limited,Consumer Defensive,Farm Products
ASTEC.NS,EQ,25-NOV-2009,INE563J01010,10,ASTEC.NS,ASTEC,Astec LifeSciences Limited,Basic Materials,Agricultural Inputs
ASTERDM.NS,EQ,26-FEB-2018,INE914M01019,10,ASTERDM.NS,ASTERDM,Aster DM Healthcare Limited,Healthcare,Medical Care Facilities
ASTRAL.NS,EQ,20-MAR-2007,INE006I01046,1,ASTRAL.NS,ASTRAL,Astral Limited,Industrials,Building Products & Equipment
ASTRAMICRO.NS,EQ,01-NOV-2004,INE386C01029,2,ASTRAMICRO.NS,ASTRAMICRO,Astra Microwave Products Limited,Technology,Communication Equipment
ASTRAZEN.NS,EQ,04-MAY-2001,INE203A01020,2,ASTRAZEN.NS,ASTRAZEN,AstraZeneca Pharma India Limited,Healthcare,Drug Manufacturers - Specialty & Generic
ATALREAL.NS,BE,12-MAY-2023,INE0ALR01029,2,ATALREAL.NS,ATALREAL,Atal Realtech Limited,Industrials,Engineering & Construction
ATAM.NS,EQ,10-MAY-2023,INE09KD01013,10,ATAM.NS,ATAM,Atam Valves Limited,Industrials,Specialty Industrial Machinery
ATGL.NS,EQ,05-NOV-2018,INE399L01023,1,ATGL.NS,ATGL,Adani Total Gas Limited,Utilities,Utilities - Regulated Gas
ATHERENERG.NS,EQ,06-MAY-2025,INE0LEZ01016,1,ATHERENERG.NS,ATHERENERG,Ather Energy Limited,Consumer Cyclical,Auto Manufacturers
ATUL.NS,EQ,06-MAY-1998,INE100A01010,10,ATUL.NS,ATUL,Atul Ltd,Basic Materials,Specialty Chemicals
ATULAUTO.NS,EQ,26-JUN-2013,INE951D01028,5,ATULAUTO.NS,ATULAUTO,Atul Auto Limited,Consumer Cyclical,Auto Manufacturers
AURIONPRO.NS,EQ,25-OCT-2005,INE132H01018,10,AURIONPRO.NS,AURIONPRO,Aurionpro Solutions Limited,Technology,Software - Infrastructure
AUROPHARMA.NS,EQ,19-JUL-2000,INE406A01037,1,AUROPHARMA.NS,AUROPHARMA,Aurobindo Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic
AUSOMENT.NS,BE,17-APR-1996,INE218C01016,10,AUSOMENT.NS,AUSOMENT,AuSom Enterprise Limited,Financial Services,Capital Markets
AUTOAXLES.NS,EQ,29-MAY-2003,INE449A01011,10,AUTOAXLES.NS,AUTOAXLES,Automotive Axles Limited,Consumer Cyclical,Auto Parts
AVALON.NS,EQ,18-APR-2023,INE0LCL01028,2,AVALON.NS,AVALON,Avalon Technologies Limited,Technology,Electronic Components
AVANTEL.NS,EQ,31-JUL-2024,INE005B01027,2,AVANTEL.NS,AVANTEL,Avantel Limited,Technology,Communication Equipment
AVANTIFEED.NS,EQ,15-APR-2015,INE871C01038,1,AVANTIFEED.NS,AVANTIFEED,Avanti Feeds Limited,Consumer Defensive,Packaged Foods
AVL.NS,EQ,06-NOV-2024,INE679V01027,1,AVL.NS,AVL,Aditya Vision Limited,Consumer Cyclical,Specialty Retail
AVONMORE.NS,EQ,04-JAN-2023,INE323B01024,1,AVONMORE.NS,AVONMORE,Avonmore Capital & Management Services Limited,Financial Services,Capital Markets
AVROIND.NS,EQ,07-APR-2022,INE652Z01017,10,AVROIND.NS,AVROIND,Avro India Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
AVTNPL.NS,EQ,10-JAN-2007,INE488D01021,1,AVTNPL.NS,AVTNPL,AVT Natural Products Limited,Basic Materials,Specialty Chemicals
AWFIS.NS,EQ,30-MAY-2024,INE108V01019,10,AWFIS.NS,AWFIS,AWFIS SPACE SOLUTIONS LTD,Industrials,Rental & Leasing Services
AWHCL.NS,EQ,01-JAN-2021,INE01BK01022,5,AWHCL.NS,AWHCL,Antony Waste Handling Cell Limited,Industrials,Waste Management
AWL.NS,EQ,08-FEB-2022,INE699H01024,1,AWL.NS,AWL,AWL Agri Business Limited,Consumer Defensive,Packaged Foods
AXISCADES.NS,BE,21-DEC-2000,INE555B01013,5,AXISCADES.NS,AXISCADES,AXISCADES Technologies Limited,Industrials,Engineering & Construction
AXITA.NS,EQ,21-JUN-2022,INE02EZ01022,1,AXITA.NS,AXITA,Axita Cotton Limited,Consumer Cyclical,Textile Manufacturing
AYMSYNTEX.NS,EQ,14-AUG-2015,INE193B01039,10,AYMSYNTEX.NS,AYMSYNTEX,AYM Syntex Limited,Consumer Cyclical,Textile Manufacturing
AZAD.NS,EQ,28-DEC-2023,INE02IJ01035,2,AZAD.NS,AZAD,AZAD ENGINEERING LIMITED,Industrials,Specialty Industrial Machinery
BAFNAPH.NS,EQ,27-FEB-2020,INE878I01022,10,BAFNAPH.NS,BAFNAPH,Bafna Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic
BAJAJ-AUTO.NS,EQ,26-MAY-2008,INE917I01010,10,BAJAJ-AUTO.NS,BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers
BAJAJCON.NS,EQ,18-AUG-2010,INE933K01021,1,BAJAJCON.NS,BAJAJCON,Bajaj Consumer Care Limited,Consumer Defensive,Household & Personal Products
BAJAJELEC.NS,EQ,02-NOV-2007,INE193E01025,2,BAJAJELEC.NS,BAJAJELEC,Bajaj Electricals Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
BAJAJHCARE.NS,EQ,25-NOV-2021,INE411U01027,5,BAJAJHCARE.NS,BAJAJHCARE,Bajaj HealthCare Limited,Healthcare,Drug Manufacturers - Specialty & Generic
BAJAJHLDNG.NS,EQ,15-MAR-1995,INE118A01012,10,BAJAJHLDNG.NS,BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services,Asset Management
BAJEL.NS,BE,19-DEC-2023,INE0KQN01018,2,BAJEL.NS,BAJEL,Bajel Projects Limited,Utilities,Utilities - Regulated Electric
BALAJITELE.NS,BE,22-NOV-2000,INE794B01026,2,BALAJITELE.NS,BALAJITELE,Balaji Telefilms Limited,Communication Services,Entertainment
BALAMINES.NS,EQ,05-APR-2007,INE050E01027,2,BALAMINES.NS,BALAMINES,Balaji Amines Limited,Basic Materials,Specialty Chemicals
BALAXI.NS,EQ,30-NOV-2015,INE618N01022,2,BALAXI.NS,BALAXI,Balaxi Pharmaceuticals Limited,Healthcare,Biotechnology
BALKRISIND.NS,EQ,27-JAN-2006,INE787D01026,2,BALKRISIND.NS,BALKRISIND,Balkrishna Industries Limited,Consumer Cyclical,Auto Parts
BALMLAWRIE.NS,EQ,06-JUL-1995,INE164A01016,10,BALMLAWRIE.NS,BALMLAWRIE,Balmer Lawrie & Co. Ltd.,Industrials,Conglomerates
BALRAMCHIN.NS,EQ,08-FEB-1995,INE119A01028,1,BALRAMCHIN.NS,BALRAMCHIN,Balrampur Chini Mills Limited,Consumer Defensive,Confectioners
BANARBEADS.NS,EQ,07-JUL-1995,INE655B01011,10,BANARBEADS.NS,BANARBEADS,Banaras Beads Limited,Consumer Cyclical,Footwear & Accessories
BANARISUG.NS,EQ,28-MAY-2003,INE459A01010,10,BANARISUG.NS,BANARISUG,Bannari Amman Sugars Limited,Consumer Defensive,Confectioners
BANCOINDIA.NS,EQ,22-DEC-2006,INE213C01025,2,BANCOINDIA.NS,BANCOINDIA,Banco Products (India) Limited,Consumer Cyclical,Auto Parts
BANG.NS,EQ,20-FEB-2008,INE863I01016,10,BANG.NS,BANG,Bang Overseas Limited,Consumer Cyclical,Apparel Manufacturing
BANSALWIRE.NS,EQ,10-JUL-2024,INE0B9K01025,5,BANSALWIRE.NS,BANSALWIRE,BANSAL WIRE INDUSTRIES L,Basic Materials,Steel
BASF.NS,EQ,17-MAY-1995,INE373A01013,10,BASF.NS,BASF,BASF India Limited,Basic Materials,Specialty Chemicals
BATAINDIA.NS,EQ,18-JUN-2003,INE176A01028,5,BATAINDIA.NS,BATAINDIA,Bata India Limited,Consumer Cyclical,Footwear & Accessories
BAYERCROP.NS,EQ,08-JAN-2010,INE462A01022,10,BAYERCROP.NS,BAYERCROP,Bayer CropScience Limited,Basic Materials,Agricultural Inputs
BBL.NS,EQ,21-NOV-2006,INE464A01036,5,BBL.NS,BBL,Bharat Bijlee Limited,Industrials,Electrical Equipment & Parts
BBOX.NS,BE,22-JUL-2003,INE676A01027,2,BBOX.NS,BBOX,Black Box Limited,Technology,Software - Application
BBTC.NS,EQ,03-APR-1996,INE050A01025,2,BBTC.NS,BBTC,"The Bombay Burmah Trading Corporation, Limited",Consumer Defensive,Packaged Foods
BCONCEPTS.NS,EQ,11-JAN-2022,INE977Y01011,10,BCONCEPTS.NS,BCONCEPTS,Brand Concepts Limited,Consumer Cyclical,Footwear & Accessories
BEARDSELL.NS,EQ,13-JAN-2015,INE520H01022,2,BEARDSELL.NS,BEARDSELL,Beardsell Limited,Industrials,Building Products & Equipment
BECTORFOOD.NS,EQ,24-DEC-2020,INE495P01012,10,BECTORFOOD.NS,BECTORFOOD,Mrs. Bectors Food Specialities Limited,Consumer Defensive,Packaged Foods
BELRISE.NS,EQ,28-MAY-2025,INE894V01022,5,BELRISE.NS,BELRISE,BELRISE INDUSTRIES LTD,Consumer Cyclical,Auto Parts
BEML.NS,EQ,05-NOV-2003,INE258A01016,10,BEML.NS,BEML,BEML Limited,Industrials,Conglomerates
